name;01;02;03;04;05
ZINC000068568445;-5.878653;-6.435457;-5.495285;-6.07216;-5.8961453
ZINC000000282106;-6.168497;-6.531068;-6.214374;-6.711596;-6.4701242
ZINC000263625185;-5.2485805;-5.1498947;-5.1295023;-5.2235355;-5.2306623
ZINC000263623077;-5.3184557;-5.3038335;-5.1397805;-5.159565;-5.2838435
ZINC000263625353;-5.1836066;-5.2344356;-5.0595374;-5.1788325;-5.176021
ZINC000263625007;-5.2847724;-5.207345;-5.186906;-5.110737;-5.1612988
ZINC000263625270;-4.5857286;-4.89392;-4.753759;-5.059177;-5.103461
ZINC000263624237;-5.205244;-5.512798;-5.1951594;-5.46696;-5.4874306
ZINC000263625191;-4.9924703;-5.2455597;-4.8059306;-4.9874983;-5.269942
ZINC000263624883;-5.0994415;-5.0960693;-5.0884185;-5.188968;-5.332102
ZINC000263623630;-5.283842;-5.5294614;-5.1186204;-5.405938;-5.458325
ZINC000001403780;-5.701136;-6.136207;-5.8623424;-6.3317347;-6.3269415
ZINC000002572271;-5.0240064;-4.230529;-4.5177817;-4.2144504;-4.105776
ZINC000006192244;-5.944362;-5.901136;-6.1276736;-6.2038383;-6.12628
ZINC000033978886;-6.507407;-6.185321;-6.1077027;-6.4699497;-6.257432
ZINC000263625182;-4.660902;-5.0598626;-4.692689;-5.07126;-5.2388735
ZINC000000752020;-6.117364;-6.3663926;-6.253462;-6.5728188;-6.428581
ZINC000002294735;-6.312411;-6.5706882;-6.2630205;-6.556654;-6.436054
ZINC000002699804;-6.336098;-6.287843;-6.082636;-5.884608;-6.523705
ZINC000001602788;-6.3920193;-6.1642284;-6.48099;-6.5836935;-6.54052
ZINC000001605976;-6.8925357;-7.1200957;-7.1521792;-7.111492;-6.937759
ZINC000037629242;-6.069031;-6.29265;-6.532643;-5.6731896;-5.8899465
ZINC000037629236;-6.094966;-6.29092;-6.564597;-5.686505;-5.9129663
ZINC000037629240;-6.1396747;-6.522337;-6.340749;-6.0156746;-6.269421
ZINC000037629238;-6.324595;-6.535698;-6.433657;-5.9964027;-6.2508507
ZINC000000074703;-5.435155;-5.2452745;-5.4624405;-5.528363;-5.4023824
ZINC000001720934;-6.2301946;-6.326061;-5.9884343;-5.948015;-6.1694427
ZINC000005771030;-7.349683;-7.2446666;-7.49441;-7.4637594;-7.1453123
ZINC000003281374;-6.1690035;-6.258128;-6.242353;-6.2734513;-6.056797
ZINC000003440625;-7.19615;-6.6403723;-6.7366896;-6.761887;-6.688371
ZINC000021992134;-5.818868;-5.7348185;-5.6903076;-5.7239738;-5.8312354
ZINC000022113237;-6.0761466;-6.021277;-6.1071258;-6.270586;-6.1016507
