name;01;02;03;04;05
ZINC000003158399;-4.1524577;-4.8096905;-4.8991203;-4.9060817;-4.4109364
ZINC000004343217;-4.6058006;-3.527663;-3.568198;-3.859633;-3.4172153
ZINC000003158398;-4.1766825;-4.7478685;-4.8143954;-4.8988733;-4.417895
ZINC000038029783;-5.2952666;-5.6065626;-5.862541;-5.4366794;-5.570215
ZINC000043701686;-5.73476;-5.7850485;-5.7071037;-5.9365225;-5.796617
ZINC000095160903;-6.346913;-6.730122;-6.4045377;-6.223285;-5.9643836
ZINC000043701684;-5.9705596;-5.9429193;-6.134333;-5.888542;-6.0519843
ZINC000952968052;-6.1247463;-6.1478395;-6.000365;-6.0563784;-6.2273617
ZINC000095953051;-5.4673395;-5.1310644;-5.4210577;-4.9690285;-5.4331093
ZINC000095953050;-5.5961347;-4.735059;-5.188813;-5.143854;-5.076446
ZINC000584900170;-6.174784;-6.071142;-5.7733903;-5.726532;-5.6392913
ZINC000002314759;-5.0517497;-4.8877735;-4.8467903;-4.6412306;-4.800175
ZINC000004992698;-5.346514;-5.636424;-4.980667;-5.5094233;-5.66846
ZINC000004992697;-6.0112786;-6.364295;-5.9631877;-5.891924;-6.4778805
ZINC000095370534;-5.061591;-5.7378936;-5.415752;-5.896636;-5.673962
ZINC000261596814;-5.446397;-5.5515566;-5.1931195;-5.763333;-5.685492
ZINC000402545713;-5.6138268;-5.0364103;-5.1251802;-4.7919745;-5.0674706
ZINC000402545714;-4.9610305;-4.9552794;-4.9555573;-4.7796345;-5.6507115
ZINC000005085903;-4.274127;-3.6557;-3.3639863;-3.7512965;-3.6648366
ZINC000021953462;-4.8648443;-5.1237955;-5.449648;-5.278248;-5.4633636
ZINC000223771794;-5.854757;-5.978351;-5.611538;-5.645402;-6.068169
ZINC000223537369;-6.486913;-6.331886;-6.2629666;-5.7839475;-6.2193136
ZINC000010128345;-3.5821192;-3.2047875;-3.08291;-3.664601;-3.6051643
ZINC000010128336;-3.6255786;-3.0228057;-3.0061314;-3.5899148;-3.5422268
ZINC000037271006;-5.213608;-5.3132744;-5.080208;-4.706173;-4.599247
ZINC000012082293;-4.4961286;-4.962836;-4.3204494;-5.0131497;-5.042366
ZINC000005495320;-5.461741;-5.365216;-5.3075585;-5.129863;-5.538271
ZINC000095477979;-4.8984466;-5.645684;-5.829537;-5.284626;-5.478083
ZINC000043763830;-4.5325756;-4.4964476;-4.5452623;-4.6412635;-4.6271176
ZINC000062913838;-6.018437;-6.8273535;-6.1742373;-6.9332056;-6.559733
ZINC000062913837;-5.7251697;-6.6791;-6.5153728;-6.945725;-6.482508
ZINC000426465360;-5.77022;-5.415688;-5.711064;-5.4337034;-5.6475606
ZINC000055364338;-6.254078;-6.047423;-5.8517237;-5.777933;-6.5165377
ZINC000299749047;-5.9509687;-5.9500003;-5.426585;-5.5794263;-5.467966
ZINC000096838252;-5.827218;-5.8618946;-5.903867;-5.780626;-6.0568404
ZINC000005589108;-5.0637894;-5.2666507;-5.2418733;-5.152695;-5.2276344
ZINC000299744017;-5.2547293;-5.344604;-5.4817977;-5.5592675;-5.472318
ZINC000005610768;-5.4923778;-5.5512543;-6.004865;-5.4799166;-5.3701105
ZINC000262888936;-5.07298;-5.3228374;-5.2685623;-5.6563287;-5.8514547
ZINC000003983804;-5.95178;-5.705247;-5.830372;-5.606043;-5.6176724
ZINC000000970322;-5.77075;-6.006045;-5.7705097;-6.0571637;-6.1968102
ZINC000005830072;-4.598042;-4.5120883;-4.197997;-4.456217;-4.638701
ZINC000035361487;-6.2497096;-5.8527765;-5.8552637;-5.8130784;-6.1029944
ZINC000005925089;-5.8318386;-6.136754;-6.182496;-6.15065;-6.9848914
ZINC000004096465;-4.803144;-4.2538548;-4.4741316;-4.7966504;-4.60099
ZINC000299872805;-5.3153796;-4.922671;-5.2882996;-5.2206244;-5.584607
ZINC000299872806;-5.557435;-5.4870815;-5.438842;-5.264186;-5.4644094
ZINC000299872807;-5.312664;-5.238376;-5.789099;-5.5790997;-5.7844663
ZINC000299872808;-5.407594;-5.6255417;-5.811458;-5.6736727;-5.7322125
ZINC000037434500;-5.539643;-5.4913187;-5.8074036;-6.0027685;-6.1399136
ZINC000037434942;-5.539652;-5.7301474;-5.4312305;-5.244926;-5.6462746
ZINC000037435394;-6.276173;-6.2402234;-5.952688;-6.1399293;-6.1697025
ZINC000037435396;-6.0642056;-6.2101884;-5.816017;-6.459574;-6.1715064
ZINC000006493600;-5.530776;-5.934989;-5.7175817;-5.794371;-5.851002
ZINC000054052603;-5.693576;-5.3834248;-5.138372;-5.4105387;-5.9094033
ZINC000037436301;-6.16838;-6.5318108;-6.567623;-6.9989104;-6.710803
ZINC000037436299;-6.0167685;-6.6040483;-6.4953003;-6.83959;-6.7422366
ZINC000037434940;-5.853216;-5.6117167;-5.151632;-5.683465;-5.6357694
ZINC000218324856;-6.6949573;-6.6149707;-5.855304;-6.5658126;-6.574591
ZINC000218457731;-6.882967;-6.6035;-6.1116266;-5.950594;-6.456381
ZINC000006090924;-4.8877225;-5.363464;-5.145531;-5.3350143;-4.974046
ZINC000218838469;-6.3221054;-6.19783;-6.375497;-6.347741;-6.4667172
ZINC000223664599;-6.417436;-6.135476;-5.921831;-6.2579136;-6.7504377
ZINC000006741282;-5.5720916;-5.618335;-5.3584924;-5.2858305;-5.204271
ZINC000038020061;-5.5852184;-5.4663806;-5.383742;-5.5494375;-5.8299685
ZINC000223730769;-5.9233794;-5.378912;-5.5143213;-5.377481;-6.225786
ZINC000032848077;-5.2011957;-4.996951;-5.2363257;-5.0666547;-5.7521496
ZINC000262253532;-6.541318;-6.092147;-5.6103053;-5.8343916;-5.7063713
ZINC000001611595;-4.1394715;-4.334093;-4.5444107;-4.0084963;-4.2617536
ZINC000002390999;-5.36148;-5.8639154;-5.439027;-5.888514;-5.444432
ZINC000003999777;-4.562014;-4.9209814;-4.573669;-4.865613;-4.8128586
ZINC000028760352;-4.753959;-5.0600195;-5.1426477;-5.2424846;-5.2295394
ZINC000072344453;-4.547657;-4.527912;-4.4259553;-4.8064365;-4.66761
ZINC000072344452;-4.570126;-4.5599875;-4.87786;-4.993493;-4.569563
ZINC000071757363;-4.581852;-4.8724327;-4.706898;-4.4573345;-4.7116985
ZINC000003999605;-5.131276;-5.9572425;-5.7238994;-5.7112637;-5.2752433
ZINC000262402315;-6.12911;-5.9927673;-5.3776464;-6.1512823;-5.882624
ZINC000003999617;-5.038642;-5.3559055;-5.440817;-4.8427672;-5.0413456
ZINC000256013684;-5.7676406;-5.1011333;-4.99083;-4.793195;-5.1750507
