name;01;02;03;04;05
ZINC000004714137;-5.728141;-5.367415;-5.429338;-5.420461;-5.531266
ZINC000100030012;-3.4221206;-3.6360397;-3.5105615;-3.4088457;-3.480076
ZINC000005725714;-5.2801266;-3.9890332;-3.3862638;-3.8255672;-3.1905155
ZINC000020134289;-5.2280197;-5.3172503;-5.4646854;-5.839865;-5.432859
ZINC000257261104;-5.416513;-5.441071;-5.5069594;-5.4382944;-5.842237
ZINC000257275512;-6.1015754;-6.0050797;-5.887529;-5.5618463;-5.5722666
ZINC000196337513;-3.1050472;-3.4209895;-2.697738;-2.8235788;-3.4891064
ZINC000114046788;-5.5550365;-6.184092;-5.9413295;-6.1897554;-6.045494
ZINC000117940477;-3.4581401;-3.1507685;-3.4490738;-3.3823562;-3.4138982
ZINC000117940475;-3.3979907;-3.115374;-3.4052203;-3.4117002;-3.394621
ZINC000257292474;-5.7730885;-6.12675;-5.9451466;-6.058202;-5.9144125
ZINC000257301670;-5.596367;-5.860973;-5.5846157;-5.7460623;-6.1112666
ZINC000039385063;-6.2615657;-6.747812;-5.8192267;-6.7156997;-6.1953597
ZINC000257312465;-5.661463;-5.744224;-5.927182;-5.3628335;-5.4077196
ZINC000257339020;-5.854888;-6.4161086;-5.995967;-5.876434;-5.818799
ZINC000004104919;-4.748647;-5.3595386;-4.9010267;-4.834182;-4.8101163
ZINC000004946405;-5.5503163;-5.4491878;-5.2797475;-5.523784;-5.525726
ZINC000004946404;-5.658859;-5.502717;-5.5772424;-5.2984185;-5.388987
ZINC000004946402;-5.5750318;-5.384676;-5.348659;-5.2889285;-5.249893
ZINC000105181098;-4.5934577;-4.9202538;-4.669113;-4.7129793;-4.6014147
ZINC000257210279;-6.6498528;-6.4113746;-6.640499;-6.4266267;-6.3364897
ZINC000006178739;-6.098492;-5.7964206;-4.995377;-5.8228884;-5.815366
ZINC000006178741;-6.3030314;-6.1002197;-5.836306;-6.196012;-6.09155
ZINC000225604492;-5.5138617;-5.701897;-5.4928765;-5.7457004;-5.922886
ZINC000004395666;-6.5960283;-6.141972;-6.185335;-6.293599;-6.1582613
ZINC000058252095;-4.3940506;-4.932178;-5.126604;-5.2768345;-5.219782
ZINC000005082156;-4.908645;-4.9060893;-4.888769;-4.7008758;-5.0273542
ZINC000049732576;-5.839446;-5.7324595;-5.6552835;-5.721286;-5.445264
ZINC000005112889;-5.6513367;-5.4069314;-5.1981125;-5.365677;-5.2974143
ZINC000035176919;-5.973744;-5.3229084;-5.606824;-5.3163624;-5.806409
ZINC000035176921;-6.329614;-5.6807265;-5.704113;-5.7293425;-6.0538654
ZINC000005133417;-5.9057403;-5.774193;-5.734287;-6.0895457;-6.2693477
ZINC000004110714;-5.4696927;-5.9364495;-5.711624;-5.37383;-5.5130024
ZINC000005133418;-5.9057403;-5.774193;-5.734287;-6.0895457;-6.2693477
ZINC000033941181;-5.611187;-6.16294;-6.031196;-6.057598;-6.1439037
ZINC000002482062;-5.804434;-6.026562;-5.603326;-5.472104;-5.618342
ZINC000004110715;-5.017925;-5.8715997;-5.5333514;-5.268581;-5.1846786
ZINC000033941183;-5.360149;-6.001077;-5.3687873;-5.6446443;-5.5750084
ZINC000002482064;-5.019549;-5.871565;-5.5339165;-5.2671976;-5.184802
ZINC000005163034;-4.983204;-5.3431883;-5.367834;-5.2811146;-5.197766
ZINC000256016403;-3.6761618;-3.8998766;-3.144167;-3.3371303;-3.8522542
ZINC000225456440;-4.7340646;-5.2012496;-5.176598;-4.8957853;-5.108893
ZINC000036870709;-6.581576;-5.547232;-6.1532707;-5.962533;-6.080951
ZINC000005421222;-4.954636;-5.3245907;-5.145981;-5.0566535;-4.8537645
ZINC000221554217;-4.4669647;-4.45986;-4.3200955;-4.1381607;-4.813352
ZINC000005544764;-5.284857;-5.4986367;-5.7306514;-5.504606;-5.299283
ZINC000005566549;-6.1351366;-5.0599375;-5.6182685;-5.6707816;-5.255719
ZINC000005600702;-5.0239353;-4.306973;-4.394541;-4.3289456;-4.1574297
ZINC000005600699;-5.490475;-4.0349727;-3.8536487;-4.3947573;-4.059832
ZINC000043710732;-4.944519;-3.9862585;-4.2561517;-4.7057557;-4.377684
ZINC000226860487;-6.6959715;-6.33154;-6.042755;-6.145278;-6.125463
ZINC000079670001;-4.917093;-4.59173;-4.746225;-5.0940104;-5.026166
ZINC000004096938;-5.2652817;-5.3186088;-5.1724124;-5.143172;-5.071276
ZINC000003861769;-5.0232406;-4.934719;-4.725836;-4.755077;-5.051395
ZINC000004245657;-5.0025516;-4.519429;-4.5989685;-5.070148;-5.075351
ZINC000062227779;-4.680151;-4.6053877;-4.3872232;-4.981466;-4.956693
ZINC000008602542;-4.7589107;-4.600273;-4.591253;-5.0174694;-4.9320564
ZINC000008585107;-4.973843;-5.1719513;-4.4604206;-4.8854823;-4.7460504
ZINC000004946403;-5.2073884;-5.060253;-4.6110234;-5.1427393;-5.17929
ZINC000005590521;-5.112383;-5.2811575;-5.1408935;-5.0421977;-5.0938025
ZINC000006002995;-6.5597363;-6.458397;-6.688281;-6.453013;-6.527911
ZINC000067896224;-5.217942;-5.286957;-5.4828424;-5.388419;-5.531927
ZINC000067896233;-6.322452;-5.9025216;-5.9768047;-6.350494;-6.7056937
ZINC000067896220;-5.5077887;-5.407803;-5.6829724;-5.7708597;-6.016951
ZINC000067896060;-5.2961245;-5.3830776;-5.903945;-5.8317575;-5.7046566
ZINC000006021859;-4.34506;-3.9451134;-4.40776;-4.4462366;-4.29362
ZINC000548805475;-7.330332;-7.4278564;-7.0157456;-6.757603;-7.278984
ZINC000004095908;-4.754256;-4.499086;-4.6073875;-4.5578036;-5.005211
ZINC000006320576;-5.7016754;-5.94038;-5.404584;-5.198552;-5.3252482
ZINC000037433632;-5.9888387;-5.141315;-4.692097;-5.2037063;-5.1025305
ZINC000004096937;-5.055433;-5.068317;-5.020652;-5.1371427;-5.251275
ZINC000227149422;-8.154422;-6.9764423;-7.3721185;-7.201745;-6.9467154
ZINC000222651527;-5.9302645;-5.5397515;-5.4164896;-5.532832;-5.5424423
ZINC000033941182;-5.9954844;-6.64096;-6.0832753;-5.801888;-6.0556874
ZINC000040166343;-5.966322;-5.22141;-5.4900117;-5.122265;-5.3860416
ZINC000058486205;-5.43771;-5.1785507;-5.3747478;-5.233875;-5.4120326
ZINC000004899811;-5.5703993;-5.7721663;-5.5879507;-5.883843;-5.9401894
ZINC000002522620;-6.0801306;-6.336085;-5.9335723;-6.1132917;-6.291949
ZINC000077312213;-3.656059;-4.0196996;-3.2244365;-3.5978217;-3.595355
