name;01;02;03;04;05
ZINC000004714975;-4.8830843;-5.233692;-5.7137113;-5.4363713;-5.3506613
ZINC000004714977;-5.5413475;-5.4216843;-5.6734347;-5.594231;-5.694888
ZINC000004714976;-4.8983126;-4.87432;-5.477359;-5.322855;-5.288804
ZINC000217352688;-5.8950577;-5.100656;-4.317533;-4.8278394;-4.0958815
ZINC000217352906;-5.450562;-5.0417905;-4.384143;-4.879234;-4.2677608
ZINC000217352766;-5.1158047;-4.6885114;-4.573684;-4.801911;-4.461966
ZINC000217352841;-5.7580595;-5.319001;-4.494363;-5.0366554;-4.4830494
ZINC000257202066;-5.6138554;-6.286298;-6.114977;-5.61148;-6.0538063
ZINC000257207386;-5.3012342;-5.3468785;-5.910784;-6.0489473;-5.694614
ZINC000004775233;-4.4603176;-4.9242945;-4.7872286;-4.228375;-4.8262043
ZINC000004775248;-4.507951;-4.6548004;-4.8062162;-4.3835306;-4.5875635
ZINC000004775227;-4.825832;-4.610651;-4.5911856;-4.595685;-5.1024013
ZINC000005736906;-5.506523;-5.4479303;-5.5491524;-6.222003;-5.6950994
ZINC000005736915;-6.0162945;-5.8108273;-5.4870353;-5.9690566;-6.0369773
ZINC000257212346;-6.334753;-6.222927;-5.604364;-5.7407007;-5.7905316
ZINC000257213452;-5.9761124;-6.2105722;-5.525216;-5.7748175;-5.9742985
ZINC000257212158;-6.808979;-6.522427;-6.646428;-6.4660497;-6.5036063
ZINC000004531114;-6.0183935;-5.997446;-5.938183;-6.0990324;-6.114523
ZINC000257213181;-6.2893643;-5.8101563;-5.9023986;-6.4782753;-5.74459
ZINC000004775228;-4.8334036;-4.6995625;-5.2035546;-4.6531286;-4.572299
ZINC000257221983;-5.3220353;-5.796073;-6.451396;-6.0260305;-5.839831
ZINC000004773849;-5.5910306;-5.540833;-4.933557;-5.3775673;-5.2992163
ZINC000257223887;-5.548827;-6.289732;-6.0753803;-5.998974;-6.0032744
ZINC000257222609;-6.8491826;-6.3089056;-5.832773;-6.1783934;-6.7160087
