name;01;02;03;04;05
ZINC001346490557;-7.8158274;-7.2925205;-7.7097363;-7.3089375;-7.032629
ZINC001022061524;-8.461197;-8.567893;-7.4273143;-8.28776;-7.696413
ZINC001022063958;-8.145661;-7.8691306;-7.2166405;-7.414939;-6.790783
ZINC001454788448;-6.8823347;-5.7272277;-6.236925;-6.1952567;-6.512159
ZINC001454788444;-7.3983836;-6.247249;-6.64561;-6.3372855;-6.7685537
ZINC000565656383;-6.8021894;-7.1462183;-7.249114;-6.9533653;-7.2369347
ZINC000565656381;-6.742837;-7.3047605;-7.1806583;-6.944206;-7.202658
ZINC001125080413;-5.411775;-6.7211246;-5.1826305;-6.1996684;-6.312089
ZINC000590370191;-6.183109;-5.924528;-6.083497;-6.480653;-6.8544607
ZINC000590370206;-6.127852;-5.944977;-6.082274;-6.436693;-6.7804418
ZINC000610604293;-6.999828;-6.63711;-6.4874296;-6.4932094;-6.4041724
ZINC000610604294;-6.88212;-6.6790843;-6.731564;-6.4642434;-6.685302
ZINC001162434966;-7.27886;-8.118704;-6.8281674;-7.0398912;-7.0897517
ZINC001162434969;-6.2819376;-7.0547895;-6.5238953;-6.788311;-7.2022276
ZINC001196262196;-6.7011614;-6.5068374;-6.255549;-6.3368917;-6.0960593
ZINC001196262196;-6.5276785;-6.445246;-5.720849;-6.343957;-6.120015
ZINC001196262196;-6.803642;-6.701201;-6.055929;-6.369123;-6.3007345
ZINC001196262196;-6.214409;-6.230522;-5.4157104;-5.949618;-6.0576773
ZINC001162434713;-7.312848;-7.498472;-7.516993;-7.0539436;-7.3743334
ZINC001162434710;-6.555579;-7.7546005;-7.0292497;-7.075809;-6.5304604
ZINC001162434968;-6.886794;-7.0053735;-7.1383758;-7.158452;-6.897949
ZINC001162434708;-7.1100497;-7.8619742;-6.5720453;-6.752613;-6.937045
ZINC001196262193;-7.0108414;-6.8835716;-6.0931916;-6.1881647;-6.274545
ZINC001196262193;-6.891676;-6.8070607;-5.7631774;-6.250168;-6.0066204
ZINC001196262193;-6.7456336;-6.6066847;-5.753444;-6.4142604;-6.186994
ZINC001196262193;-6.2070494;-6.1331887;-5.425937;-5.9349437;-5.891412
ZINC001162434687;-7.1534343;-8.270553;-6.80796;-6.9026423;-7.125675
ZINC001196262194;-6.4058642;-6.302534;-5.788867;-6.43758;-6.5110703
ZINC001196262194;-6.498859;-5.9019675;-5.863058;-6.202613;-6.274004
ZINC001196262194;-6.4431367;-6.434587;-6.361984;-6.5207157;-6.375809
ZINC001196262194;-6.765846;-6.5672493;-6.0414734;-6.30289;-6.150499
ZINC001162434967;-6.6833196;-7.16352;-7.2096434;-6.7517786;-7.0598536
ZINC001162436365;-6.806331;-8.176968;-6.672388;-6.465992;-6.842576
ZINC001162436364;-6.773942;-7.055971;-6.5412555;-6.464614;-6.3166084
ZINC001162436366;-6.3983865;-7.0732985;-6.5985017;-6.1845136;-6.5304475
ZINC001196262195;-7.051119;-6.9723845;-6.0658875;-6.5937433;-6.481825
ZINC001196262195;-6.8554893;-6.82298;-6.149416;-6.5684752;-6.140018
ZINC001196262195;-6.9528418;-6.1324487;-5.7076597;-6.197743;-5.8077574
ZINC001196262195;-6.8512406;-6.8838367;-6.091342;-6.393663;-6.0530615
ZINC001162436363;-6.3521547;-7.545316;-6.364872;-6.372094;-6.8841043
ZINC001162437043;-6.0338774;-6.511301;-6.495507;-6.1998625;-6.445289
ZINC001162436835;-7.3943405;-8.136293;-7.0655003;-6.908412;-7.017612
ZINC001162436836;-6.833188;-7.735357;-7.0852313;-7.219369;-6.819573
ZINC001162436837;-7.3621244;-7.6276293;-7.6119533;-6.905889;-7.613683
ZINC001162437051;-6.2774477;-6.675011;-6.4868755;-6.277676;-6.891223
ZINC001162436829;-7.403493;-9.055278;-7.2964973;-7.3801036;-7.2256665
ZINC001162437049;-6.694212;-7.1364064;-6.565245;-6.2645197;-6.7016325
ZINC001162437054;-5.607478;-6.73505;-6.742392;-6.007965;-6.128378
ZINC001162437633;-6.536241;-6.8007126;-7.041648;-6.744414;-6.8180456
ZINC001162437630;-6.2527514;-6.9748216;-6.078466;-6.095772;-6.6105995
ZINC001162437636;-6.8394356;-7.3496037;-6.4395056;-6.171878;-6.5818057
ZINC001162437634;-5.8987427;-6.7384834;-6.1288934;-6.0970187;-5.9448223
ZINC001162438430;-6.758278;-7.5621247;-6.7477927;-6.8673415;-6.9676585
ZINC001162438429;-6.9203577;-8.203555;-6.965473;-7.0856485;-7.360456
ZINC001162437819;-6.6565394;-7.113781;-6.69802;-6.933182;-6.884218
ZINC001162438055;-6.6400595;-6.6764026;-6.402952;-7.0724673;-6.7903633
ZINC001162438431;-6.3739514;-7.6684246;-6.7564425;-6.918022;-6.6264434
ZINC001162438048;-6.884019;-7.94577;-6.140304;-6.855253;-7.1337643
ZINC001162438053;-6.528144;-7.1544013;-6.040151;-6.853407;-6.878792
ZINC001162438051;-6.367828;-7.2077565;-6.4879284;-6.5692124;-6.9273186
ZINC001162438426;-6.5553184;-7.326988;-6.433191;-6.8696165;-6.716714
ZINC001162438432;-7.525413;-7.3641286;-7.6374607;-7.0203896;-7.2996674
ZINC001162438428;-6.0408792;-7.247483;-6.606492;-6.7992806;-6.131188
ZINC001162438427;-7.066071;-7.6257668;-6.6079383;-6.7914557;-6.7485466
ZINC001162437822;-6.8952484;-6.8066463;-7.009805;-7.235815;-6.781966
ZINC001162438425;-6.2851243;-7.1786747;-6.4434037;-6.712814;-6.5640373
ZINC001162437820;-6.7249546;-7.215574;-7.174771;-6.7224736;-7.2221494
ZINC001162437821;-6.952689;-8.054092;-6.8954744;-7.317196;-7.017977
ZINC001162438993;-6.9303107;-7.8944016;-6.5361295;-7.256704;-6.893257
ZINC001162438994;-6.470394;-6.7531705;-6.833139;-7.170439;-6.7094994
ZINC001162439528;-6.7754903;-7.425865;-6.651726;-6.516781;-6.9239945
ZINC001162439330;-6.5515633;-7.067782;-6.345564;-6.56185;-6.8961096
ZINC001162438797;-6.897155;-7.0519295;-6.3333616;-6.4437747;-6.695895
ZINC001162439328;-6.115608;-6.354163;-6.5382433;-6.7335443;-6.6893244
ZINC001162438992;-6.6031957;-7.083235;-6.82934;-6.7781262;-7.0369763
ZINC001162439327;-6.0434456;-6.426659;-5.729871;-6.2634087;-6.7931933
ZINC001162438796;-6.5331736;-6.734978;-6.099665;-6.3900642;-6.6643867
ZINC001162439329;-5.9735255;-6.5715985;-6.619957;-6.351363;-6.7168427
ZINC001162438798;-6.184855;-6.543426;-6.322756;-6.5546546;-6.1825905
ZINC001162438991;-6.4911776;-7.132304;-6.540433;-6.9107113;-6.83482
ZINC001162438795;-6.4635134;-6.264739;-6.258314;-6.346814;-6.449489
