name;01;02;03;04;05
ZINC000067982095;-6.4672437;-6.2331457;-6.6208572;-6.5257196;-7.3924274
ZINC000004182708;-5.298175;-6.3813634;-6.837695;-6.62846;-6.6767054
ZINC000004789038;-7.083069;-6.900448;-6.775317;-6.551981;-6.348164
ZINC000020130719;-6.995222;-7.202625;-6.469563;-7.4461107;-7.1065083
ZINC000020130716;-6.99223;-7.193823;-6.416559;-7.4073114;-7.1286335
ZINC000237590495;-7.182416;-7.1783295;-7.1848235;-7.2097774;-6.8801003
ZINC000364147310;-6.299828;-6.3745546;-6.627227;-6.2341332;-6.3292284
ZINC000584888797;-6.3759537;-7.4032097;-7.0333824;-7.127269;-7.266958
ZINC000584888798;-6.7342176;-7.710376;-6.9658875;-7.1742077;-7.1119113
ZINC000584892116;-7.9430113;-8.308877;-7.4716735;-7.870273;-7.5661707
ZINC000584895418;-7.065057;-7.679579;-7.269882;-7.261672;-7.171789
ZINC000584892117;-7.9430075;-8.372852;-7.6130652;-7.9662194;-7.5383835
ZINC000584897485;-6.5551248;-6.3140917;-5.8877425;-6.0530305;-5.840934
ZINC000584896550;-6.648487;-6.950655;-6.340913;-7.0532784;-6.9520183
ZINC000584897486;-6.611678;-6.2890844;-6.186757;-6.2932196;-6.2034082
ZINC000584903771;-6.687051;-6.9654317;-7.3153067;-7.127686;-7.0228662
ZINC000584903124;-7.296765;-7.021131;-6.7563496;-6.7987638;-6.3141894
ZINC000584901257;-6.268136;-6.6709394;-6.6306562;-6.8694677;-6.88626
ZINC000584903123;-7.3144298;-6.843535;-6.972764;-6.7573757;-6.633135
ZINC000065388173;-7.6003428;-8.117982;-7.644215;-7.680013;-7.607213
ZINC000952969543;-6.945953;-6.7711673;-6.903659;-7.1762605;-6.4862227
ZINC000952969538;-7.293836;-7.173215;-7.3635626;-7.112514;-6.7709527
ZINC000037824271;-7.7595024;-7.338163;-6.8984666;-7.3725414;-7.0023756
ZINC000337430243;-6.075142;-6.5997076;-6.167319;-6.2592263;-6.4836226
ZINC000178907183;-7.6027884;-7.433704;-7.125544;-7.219421;-7.4397097
ZINC000178907170;-7.707634;-7.306586;-7.3164787;-7.1486893;-7.65757
ZINC000182960432;-5.8588223;-6.433816;-6.249604;-5.948675;-5.9302826
