name;01;02;03;04;05
ZINC000004699343;-6.564636;-6.3388867;-6.220463;-6.4106865;-6.28355
ZINC000004708366;-7.0016785;-6.5882416;-6.5417147;-6.295577;-6.6333675
ZINC000004721603;-6.901423;-6.8102856;-5.9802747;-6.79159;-7.1398063
ZINC000170087999;-6.5490966;-6.7707787;-6.6562834;-6.2788715;-6.1850758
ZINC000170088068;-5.998133;-5.406823;-5.2505865;-5.4356084;-6.0689626
ZINC000004743348;-7.4468794;-6.84691;-6.6862726;-6.9855113;-7.249423
ZINC000004744682;-6.8736067;-6.733384;-7.208222;-6.44671;-6.6691976
ZINC000004754132;-7.419652;-8.105661;-7.5549436;-7.3880825;-7.7336836
ZINC000004785460;-7.363253;-7.2671423;-6.8994527;-7.913883;-7.443307
ZINC000101103385;-6.4058514;-7.1390667;-6.3661585;-6.906863;-6.4339533
ZINC000004824037;-6.110329;-6.1558623;-5.72769;-6.7014103;-6.5615816
ZINC000004881389;-6.360658;-5.996846;-6.7161493;-5.9715014;-6.3948503
ZINC000004881388;-5.933871;-5.7385187;-6.259509;-5.9521055;-6.1967335
ZINC000003912657;-5.6326656;-6.2602887;-5.73334;-6.051633;-6.0906377
ZINC000004894757;-6.597568;-6.184264;-5.9823422;-6.551127;-6.2879972
ZINC000049321101;-6.7249513;-6.321497;-6.1563444;-6.4905987;-6.531001
ZINC000585132684;-6.382574;-6.1528916;-5.8219333;-6.298127;-6.0583267
ZINC000585132613;-5.910215;-6.661156;-6.5119734;-6.5813336;-6.2572255
ZINC000105297812;-5.4789;-5.289954;-5.591212;-5.7651553;-5.5585318
ZINC000005008154;-5.9546824;-5.5991592;-6.002201;-5.8867364;-6.2232747
ZINC000005025573;-5.873785;-5.695064;-6.230034;-5.908196;-6.029159
ZINC000005025574;-6.1286087;-5.789066;-6.0521097;-6.1418796;-6.0887294
ZINC000005039003;-7.0139265;-7.001463;-7.0126963;-6.9579268;-7.6580124
ZINC000005049619;-6.381763;-6.1587243;-6.0074596;-5.846438;-6.0426197
ZINC000005050667;-5.602735;-6.0116954;-6.2255034;-5.9222875;-5.573837
ZINC000005049641;-6.403037;-6.2164392;-5.9652305;-6.0357366;-6.1506987
ZINC000005074190;-5.9927645;-5.6028814;-5.9742866;-6.016638;-5.947197
ZINC000101816608;-5.7899394;-5.986304;-6.1375046;-6.323765;-5.759697
ZINC000101816614;-5.946452;-6.325366;-6.699059;-6.475716;-6.195765
ZINC000101833338;-6.3996825;-6.005004;-6.310893;-6.3856735;-6.1077166
ZINC000103216623;-6.1337805;-6.6735983;-6.26622;-6.4895735;-6.143606
ZINC000005105640;-6.079524;-5.8340816;-5.6922946;-6.277196;-6.0616
ZINC000005120174;-5.2662835;-5.039362;-5.2294545;-5.386554;-5.392775
ZINC000242723245;-6.0540247;-6.2736945;-6.286881;-6.3177786;-5.964404
ZINC000242723244;-6.6879587;-6.3866386;-6.5515957;-6.475873;-6.265787
ZINC000020220106;-6.39192;-6.1525755;-6.051532;-6.210723;-6.1352816
ZINC000020223515;-5.883944;-5.826114;-5.514949;-5.9578753;-5.890993
ZINC000020223517;-5.4637074;-6.1606603;-5.4195724;-6.034697;-5.4996533
ZINC000000340956;-5.1950006;-5.242678;-5.1655016;-5.1915407;-5.2676315
ZINC000106096396;-6.3381796;-6.6348457;-5.878486;-6.3343396;-6.590419
ZINC000106096399;-5.518601;-6.0275836;-5.5666304;-5.9158244;-6.0796523
ZINC000003912541;-5.5088606;-6.1649656;-6.1669903;-6.1079617;-6.167432
ZINC000239297252;-5.9668827;-5.970715;-6.106947;-6.026177;-5.7052135
ZINC000239297253;-6.0424128;-6.231389;-6.576461;-6.3735514;-6.1653113
ZINC000245294898;-5.6502986;-6.1069613;-5.868207;-6.3911366;-6.019753
ZINC000245294899;-5.8933887;-6.2534842;-5.91085;-6.194832;-6.1731405
ZINC000198207007;-6.257142;-5.1965475;-5.489329;-5.419296;-5.95781
ZINC000222407323;-6.921961;-6.3288703;-7.0726314;-6.4671206;-6.644884
