name;01;02;03;04;05
ZINC000037801192;-5.366592;-5.626391;-6.042319;-6.4708757;-5.8254313
ZINC000037823803;-5.544456;-5.927383;-5.8097796;-6.2641582;-5.7242484
ZINC001193114500;-5.4560976;-5.9761877;-5.950977;-5.942482;-5.610279
ZINC000832178429;-5.643779;-5.977437;-5.8641896;-6.1437836;-5.668805
ZINC000832177717;-5.374053;-5.911883;-5.559148;-5.634675;-5.3237834
ZINC000049253055;-6.3591843;-6.2421627;-6.2373514;-5.5229597;-6.0718527
ZINC000832409681;-6.3914022;-6.585099;-6.6027803;-6.2664585;-6.228468
ZINC000832653138;-5.98096;-5.7301126;-5.6880007;-5.822965;-5.5203037
ZINC001193625610;-5.3004174;-4.596289;-5.054709;-5.142392;-5.3695784
ZINC001193625510;-5.187155;-5.205898;-5.1363087;-5.3777843;-5.3685904
ZINC001193625507;-5.2062225;-5.2393646;-5.142948;-5.3820496;-5.3872867
ZINC001220490000;-6.5316453;-6.7195134;-6.7826147;-6.5510993;-6.4670744
ZINC001220489851;-6.93253;-7.2608128;-7.0103316;-6.777052;-7.146294
ZINC001220489774;-6.9862537;-7.154567;-7.079206;-6.5852003;-6.8815856
ZINC001220489952;-7.2485037;-7.749098;-7.47206;-7.364279;-7.3289914
ZINC001220489756;-7.990239;-7.929233;-7.5523853;-7.3759727;-7.782734
ZINC001220489672;-7.3076944;-7.476495;-7.3560786;-6.6929746;-7.42161
ZINC001220490001;-6.6083145;-6.740181;-6.8307233;-6.5941668;-6.4897957
ZINC001220489751;-6.715975;-6.883108;-6.477922;-6.5902185;-6.611083
ZINC001220490023;-6.7246532;-6.6745553;-7.004042;-6.6204596;-6.8343067
ZINC001220489677;-7.7885275;-7.7103014;-7.152087;-6.610564;-7.1877947
ZINC001220489776;-7.2114124;-7.447403;-7.2977333;-6.923976;-7.0610614
ZINC001220489801;-7.2766156;-7.2439895;-6.966614;-6.6541357;-7.0206594
ZINC001220489927;-6.6243653;-6.629989;-6.5426197;-6.2381077;-6.7252584
