name;01;02;03;04;05
ZINC000005817119;-6.0965977;-6.1983128;-5.5253515;-5.533295;-5.033165
ZINC000005740897;-6.199232;-6.0288763;-6.1876407;-6.301962;-6.4704237
ZINC000004755358;-6.2619205;-6.437731;-6.146608;-6.2778997;-6.2349806
ZINC000008830524;-6.4972177;-6.7229056;-6.586085;-6.8388376;-6.9563227
ZINC000008984230;-6.4087133;-6.7730517;-6.6134005;-6.7908874;-7.029564
ZINC000009306561;-7.353232;-7.179285;-7.0411835;-6.6296997;-6.9405313
ZINC000261688848;-5.69931;-5.646467;-5.7761555;-5.986088;-6.3598013
ZINC000004811653;-5.4233775;-5.992983;-5.5038137;-5.4068046;-5.3735504
ZINC000012887775;-6.2052627;-5.68073;-5.6195645;-6.3114414;-5.3327527
ZINC000012954621;-5.9835887;-6.305029;-6.125949;-6.2009;-6.4484043
ZINC000013300099;-5.90538;-6.2857966;-5.6671157;-5.685277;-5.744601
ZINC000075260471;-5.9527493;-5.324254;-6.060224;-5.733484;-5.5845537
ZINC000075286400;-6.0511165;-6.150919;-6.496005;-6.2254105;-6.1402235
ZINC000075286399;-6.466624;-6.3480773;-6.3842187;-6.106186;-6.214267
ZINC000075286396;-6.6140804;-6.0433874;-6.2261643;-6.1816206;-6.3594437
ZINC000075286394;-6.459829;-6.425817;-6.4798574;-6.2995267;-6.0435524
ZINC000014824069;-6.3379393;-6.3382277;-6.2050605;-6.4029117;-6.987288
ZINC000020153774;-5.5566278;-6.072903;-5.9672413;-5.837205;-5.6300907
ZINC000004900356;-5.2147255;-5.604144;-5.477875;-5.6762323;-5.772249
ZINC000095634886;-5.616905;-4.8802013;-5.5911336;-5.2041736;-5.2246976
ZINC000016125522;-5.0296392;-5.0517497;-4.9449334;-4.896746;-5.249306
ZINC000072324537;-6.815723;-6.404001;-6.3374205;-6.42831;-6.28014
ZINC000016942348;-5.388841;-5.3788676;-4.9515944;-5.2835574;-5.587148
ZINC000016887741;-5.9720798;-5.7265906;-5.647982;-5.8545313;-5.5382695
ZINC000016887742;-6.1130342;-5.7623005;-5.6568475;-5.9929566;-5.559061
ZINC000262425520;-5.8887644;-5.67814;-4.9460955;-5.6757164;-5.505882
ZINC000299803995;-6.4621325;-6.7278166;-6.6810365;-6.1937304;-6.4045424
ZINC000299803994;-6.4768906;-6.6309094;-6.687653;-6.2404766;-6.39447
ZINC000005017989;-5.8935595;-5.60868;-5.7341647;-5.9745064;-5.8506365
ZINC000005017990;-6.082532;-5.381321;-5.678738;-5.932859;-5.7839785
ZINC000000056710;-6.3096256;-6.3057632;-6.6394253;-6.3486905;-6.54025
ZINC000000056711;-6.240043;-6.2435474;-6.7406425;-6.3793592;-6.4642963
ZINC000575064223;-6.4444633;-6.211666;-5.98665;-6.1600704;-6.1030965
ZINC000033687359;-5.322162;-5.719452;-5.477208;-5.457726;-5.6172957
ZINC000096029357;-5.5594516;-5.303434;-5.839009;-5.631781;-5.529708
ZINC000005119557;-5.4274263;-5.475094;-5.32124;-5.8251038;-5.473341
ZINC000101311446;-5.825818;-5.621814;-5.9156475;-5.4984674;-5.663675
ZINC000019854471;-6.5051026;-7.150191;-6.5725303;-6.850554;-6.301695
ZINC000019854477;-6.869081;-6.8173714;-6.613613;-6.9477324;-6.6559277
ZINC000019854478;-6.6056046;-6.86528;-6.6091576;-6.8707223;-6.458557
ZINC000019854492;-6.8351316;-7.5367074;-6.5847073;-6.877369;-6.4914393
ZINC000005934696;-6.037554;-6.1485615;-6.1835785;-6.200866;-6.045856
ZINC000005352767;-6.32254;-6.3532343;-6.2402496;-6.0298557;-6.0241156
ZINC000019946676;-5.91096;-5.5298233;-5.6870217;-5.84356;-5.8325257
ZINC000019946669;-5.6763844;-5.9742985;-5.898093;-5.869691;-6.13326
ZINC000102580787;-6.241917;-6.1148415;-5.78493;-5.785204;-6.2079425
ZINC000035239298;-6.461504;-6.0361423;-5.8827386;-5.59566;-6.101318
ZINC000005758333;-6.1203976;-6.071636;-6.1696053;-6.240576;-6.011778
ZINC000001600348;-5.949015;-6.781191;-7.2145815;-6.0826178;-6.9671273
ZINC000005363399;-5.7517753;-5.655134;-5.9473457;-5.7924705;-5.6650696
ZINC000067341258;-5.0655923;-4.796014;-5.1970596;-5.133366;-5.235903
ZINC000005450731;-4.7982974;-5.436412;-5.400518;-5.458213;-4.901305
ZINC000584908688;-7.083765;-7.2000284;-6.761795;-6.827924;-7.2380376
ZINC000585095653;-5.4573183;-5.6801033;-5.3233485;-5.414486;-5.4611273
ZINC000585095652;-6.0486984;-5.8184814;-5.952116;-5.607706;-5.356062
ZINC000585095651;-5.8689404;-5.787612;-5.7825027;-5.3026185;-5.184353
ZINC000585095654;-5.9402223;-6.11868;-5.725838;-5.472957;-5.563666
ZINC000230116947;-6.896804;-6.614572;-6.425401;-6.7213483;-6.6611667
ZINC000028779210;-6.8343616;-6.7665944;-6.612672;-6.586069;-6.8847775
ZINC000004029825;-6.32083;-5.868137;-5.2139144;-6.3018184;-5.7793703
