name;01;02;03;04;05
ZINC000005261011;-5.6742697;-5.8343525;-5.5484858;-6.2381997;-5.7316
ZINC000225473324;-7.254893;-7.826817;-7.4891953;-7.770056;-7.4982567
ZINC000257212330;-7.122463;-6.8480844;-6.714784;-6.623748;-6.6494093
ZINC000257212331;-7.022953;-6.147147;-6.7384024;-6.644639;-6.338334
ZINC000072378281;-7.0824265;-6.3574004;-6.772965;-6.8198085;-6.5203185
ZINC000072378281;-6.863268;-6.7260437;-6.9516716;-6.938018;-6.4400845
ZINC000257231924;-7.3406186;-7.616291;-6.872584;-6.9289846;-7.364777
ZINC000257231924;-7.348427;-7.563948;-6.8477383;-6.9253597;-7.3731313
ZINC000257231924;-7.351571;-7.5649385;-6.836626;-6.9201803;-7.3714147
ZINC000257231924;-7.09779;-7.281886;-6.719176;-6.692133;-7.0441084
ZINC000257231923;-7.079507;-7.447913;-6.4919887;-6.610122;-7.1558757
ZINC000257231923;-7.0979147;-7.3980827;-6.5066447;-6.6177692;-7.1570225
ZINC000257231923;-7.4334626;-7.726839;-7.001798;-6.6806383;-7.1830626
ZINC000257231923;-7.0979147;-7.3980827;-6.5066447;-6.6177692;-7.1570225
ZINC000064875785;-6.493354;-7.684305;-6.8529477;-7.5683303;-6.6954565
ZINC000257250853;-8.004778;-8.204548;-7.552763;-7.6952267;-7.789969
ZINC000257284964;-6.535473;-6.567537;-6.32776;-6.796542;-6.5253315
ZINC000257287695;-6.3713036;-6.3304915;-5.955868;-6.006055;-6.226759
ZINC000013735127;-8.042509;-7.5568714;-7.0951595;-7.3970857;-7.794932
ZINC000226642422;-6.2133474;-6.1450267;-6.8311796;-6.86881;-6.6387506
ZINC000226642422;-6.3611393;-5.680374;-6.6742682;-6.803608;-6.90638
ZINC000257320538;-6.4774275;-6.7389727;-6.489457;-6.5577445;-5.8129654
ZINC000257321703;-6.4655323;-6.3501067;-6.5570245;-6.4347224;-6.6884828
ZINC000257320103;-6.1290045;-6.5317564;-6.099947;-7.0227785;-6.128523
ZINC000257320104;-6.2610755;-6.756239;-6.098156;-6.938057;-6.470383
ZINC000257319858;-7.3956137;-7.350196;-7.255004;-7.50341;-7.246887
