name;01;02;03;04;05
ZINC000004700011;-7.5649357;-7.2824035;-7.2626734;-7.3099594;-7.3058496
ZINC000012775869;-6.5886917;-6.398123;-6.6896276;-6.743105;-6.4807158
ZINC000012813118;-7.7438865;-7.6274095;-6.876944;-7.272296;-7.3366146
ZINC000004832345;-6.8964396;-6.601331;-6.627581;-6.845869;-6.694975
ZINC000095788055;-6.5873203;-7.1087275;-6.679096;-6.766664;-6.530149
ZINC000014007513;-6.642174;-6.344036;-6.45914;-6.411171;-6.5562005
ZINC000004015698;-7.2168975;-6.14683;-6.9100237;-7.0068016;-6.5068264
ZINC000004899512;-6.6966405;-6.9689755;-6.5637364;-7.0473533;-6.6641865
ZINC000015686613;-6.567676;-6.4187536;-6.91568;-6.281145;-6.991201
ZINC000015686613;-6.0893536;-6.3589306;-5.8627625;-6.2987413;-6.1163306
ZINC000095993845;-6.914634;-6.7893205;-6.3191686;-6.919561;-6.6517015
ZINC000004947927;-7.4718623;-7.245119;-7.144829;-7.385173;-7.369296
ZINC000019907283;-6.426269;-6.4973755;-6.2348104;-6.435337;-6.5587573
ZINC000019907285;-6.381377;-6.550372;-6.3269815;-6.413306;-6.517095
ZINC000355314823;-7.880904;-7.8541203;-6.9196525;-7.270192;-7.6383667
ZINC000005041881;-7.423058;-6.892043;-6.719417;-6.830777;-7.0960693
ZINC000096406520;-6.297236;-6.1462173;-6.048887;-6.5294967;-6.3204474
ZINC000005063959;-7.7177234;-7.293045;-7.321853;-7.327942;-7.7403607
ZINC000005063715;-8.209577;-8.037308;-7.608772;-7.80891;-7.9280667
ZINC000005063784;-7.2575555;-7.774578;-6.988845;-7.3896503;-7.3524733
ZINC000096011381;-6.301671;-6.208093;-6.325017;-6.916731;-6.6094356
ZINC000034488931;-7.0475;-6.799513;-7.190671;-7.211405;-7.6409492
ZINC000070076670;-6.938942;-6.931513;-7.383829;-6.9722896;-7.2767496
ZINC000019707219;-8.01052;-8.191667;-7.8296237;-7.925558;-7.5045815
ZINC000019708165;-7.7008514;-7.213105;-7.3589344;-7.4535503;-7.2893486
ZINC000019834632;-6.9437847;-6.09623;-6.769033;-6.293803;-5.904881
ZINC000040452411;-6.3561215;-6.224752;-6.127307;-6.517524;-6.310832
ZINC000020220104;-7.441801;-7.5503054;-7.078705;-7.1785502;-7.0147133
ZINC000015443290;-6.236883;-6.068677;-6.2020364;-6.6520524;-6.392805
ZINC000027343818;-7.2253323;-7.347656;-6.8767095;-7.212323;-7.262151
ZINC000027343818;-6.732051;-7.17666;-6.6577067;-7.0784254;-6.8872347
ZINC000027343815;-6.7351685;-7.2680073;-6.6471386;-7.1077104;-6.898624
ZINC000027343815;-7.263301;-7.2680616;-6.896076;-7.200298;-7.261941
ZINC000085577612;-7.6293554;-7.588498;-7.175768;-7.3266125;-7.3890686
ZINC000004754654;-7.182684;-6.3973937;-6.3859525;-7.148026;-7.192609
ZINC000024056990;-6.8599515;-6.8375235;-6.135963;-6.499094;-7.0276384
ZINC000020259371;-6.5988283;-6.3187275;-7.0185585;-6.523367;-6.42396
ZINC000020259373;-6.5766087;-6.2238894;-6.6233287;-6.559674;-6.329406
ZINC000029842759;-6.7941804;-6.18359;-6.265069;-6.7932076;-6.4241633
ZINC000212762910;-6.8052297;-7.286168;-6.9486065;-6.94795;-7.521814
ZINC000036026113;-6.4283457;-6.321993;-5.4939427;-5.8233204;-6.2304373
ZINC000036026113;-6.5360312;-6.540826;-6.9897776;-6.6694555;-6.870223
ZINC000012577857;-6.5029993;-6.286317;-6.483198;-6.5272527;-6.3692656
ZINC000012577857;-6.630044;-6.285033;-6.8787003;-6.418649;-6.6692133
ZINC000034890105;-6.1890807;-6.285967;-6.1798105;-6.166992;-6.0165987
ZINC000034890105;-6.651126;-5.895979;-6.6099505;-6.3053074;-6.275951
ZINC000034781234;-7.1464534;-7.754168;-7.0029383;-7.1076503;-7.137815
ZINC000034847870;-6.726372;-7.024851;-7.060546;-7.2899904;-7.3490896
ZINC000020352008;-7.1876664;-7.724681;-7.366957;-7.4106965;-7.18682
ZINC000037245931;-7.5453606;-7.580564;-7.604198;-7.201542;-6.8965507
ZINC000020169591;-6.4811277;-6.3697567;-6.179758;-6.801818;-6.597278
ZINC000069570805;-6.2552276;-6.103338;-6.140338;-6.624831;-6.317467
ZINC000107515916;-7.148876;-7.1487923;-6.50715;-7.199541;-7.0676856
ZINC000020388389;-5.8007984;-5.791809;-6.2875204;-6.2282295;-6.238432
ZINC000107515919;-7.3383603;-7.1918554;-6.494728;-7.1787157;-6.9984484
ZINC000537719665;-7.454465;-6.835485;-6.480623;-6.6987324;-7.0124183
ZINC000537719678;-7.380166;-6.7826653;-7.07208;-6.962579;-7.015587
ZINC000069843799;-6.107644;-5.659086;-6.06367;-6.5632124;-6.1945286
ZINC000344435075;-6.6166577;-6.6955476;-6.356822;-6.9690957;-7.1084604
ZINC000005940025;-7.2087717;-6.664671;-6.547241;-7.128691;-7.1277475
ZINC000108153172;-6.893512;-6.818543;-6.205575;-6.856932;-6.646413
