name;01;02;03;04;05
ZINC000004690304;-6.692882;-6.7097106;-6.5359197;-6.4940033;-6.593188
ZINC000004725626;-6.4279976;-6.3050456;-6.5831304;-6.388608;-6.7154465
ZINC000004699654;-5.8300557;-6.2340484;-5.769278;-6.0549827;-6.1568666
ZINC000004703678;-6.6337743;-6.3277802;-6.5113773;-6.6363053;-6.5471244
ZINC000004706695;-6.5588517;-6.317671;-6.087345;-6.30922;-6.0171986
ZINC000004708106;-6.43552;-6.3542213;-6.4011936;-6.3248568;-6.163138
ZINC000005948121;-6.6785026;-6.5516253;-6.4262075;-6.6583824;-6.95396
ZINC000005948122;-6.6785026;-6.5516253;-6.4262075;-6.6583824;-6.95396
ZINC000225535454;-6.324607;-6.199893;-6.195038;-6.0996175;-6.5153947
ZINC000003886285;-6.712921;-6.810192;-6.1761537;-6.8325925;-6.5677395
ZINC000003886114;-6.742543;-6.372264;-6.416445;-6.7359824;-6.4319224
ZINC000225815124;-6.570698;-6.336809;-6.494602;-6.656495;-6.639796
ZINC000225815078;-6.6123595;-6.3034425;-6.0084376;-6.4995513;-6.480899
ZINC000225815145;-6.610442;-6.3217263;-6.447606;-6.5763373;-6.2790165
ZINC000225815098;-6.545145;-6.2921443;-6.0823917;-6.55042;-6.5722775
ZINC000011919373;-5.7391405;-5.7065754;-5.4661517;-5.6504254;-5.8639154
ZINC000004799633;-5.909094;-6.1342206;-5.7061825;-6.0695915;-5.823867
ZINC000075092972;-5.743949;-6.4920387;-6.4621344;-6.4495425;-6.374536
ZINC000075109968;-6.6068606;-6.682169;-6.432403;-6.660372;-6.556757
ZINC000012878008;-6.407551;-7.0369887;-6.786743;-6.646175;-7.0712237
ZINC000013130761;-6.758856;-6.6643543;-6.315995;-6.6307697;-6.6034427
ZINC000013544882;-6.43552;-6.3542213;-6.4011936;-6.3248568;-6.163138
ZINC000003161143;-6.683861;-6.5408015;-6.6674204;-6.602833;-6.7082953
ZINC000075251444;-6.1074386;-5.8919854;-5.472174;-5.6743455;-5.847213
ZINC000075251442;-6.140325;-5.861325;-6.000866;-6.1503367;-5.746735
ZINC000005517545;-6.4851637;-6.600656;-6.1415615;-6.771231;-6.884405
ZINC000005517547;-5.895412;-6.340323;-6.2534547;-6.460267;-6.409651
ZINC000014608593;-5.9512267;-6.1263213;-6.228031;-6.5131464;-6.3161745
ZINC000095940278;-7.612617;-6.8623667;-6.774974;-7.45736;-7.3601274
ZINC000004899549;-6.65526;-7.1027346;-6.6394057;-6.929577;-6.455379
ZINC000015081630;-6.168515;-6.422346;-5.8744044;-5.760647;-5.9992695
