name;01;02;03;04;05
ZINC000004692005;-7.4670973;-7.247929;-7.3560104;-7.794373;-7.958685
ZINC000256055271;-6.793331;-6.3588324;-6.420019;-6.5414414;-6.5989585
ZINC000256055296;-6.8226137;-6.708022;-6.5878487;-6.828932;-6.7664833
ZINC000408917111;-5.412355;-5.6994343;-5.4991937;-5.7746773;-5.9507337
ZINC000256055387;-6.8365335;-6.1139708;-6.520587;-6.5318336;-6.713249
ZINC000408533507;-6.493799;-6.3304534;-6.067492;-6.162823;-6.7212076
ZINC000256055942;-6.800906;-6.2778416;-6.655726;-6.5418935;-6.6145964
ZINC000008628020;-6.322321;-5.9454494;-6.474167;-6.4157143;-6.0012445
ZINC000004411268;-5.1305656;-4.9572544;-4.8831854;-5.167829;-4.7354603
ZINC000004771695;-5.2957783;-5.073127;-5.1860805;-5.105515;-5.3260937
ZINC000012652149;-6.531887;-6.687357;-6.348748;-6.538622;-6.8976
ZINC000004824202;-5.4340773;-5.723929;-5.5687275;-5.6334944;-5.6252985
ZINC000013213423;-7.4989195;-7.096281;-6.7396865;-6.9611254;-6.798555
ZINC000013407290;-5.840056;-5.4153214;-5.520151;-5.5651083;-5.9139886
ZINC000013407295;-5.8068495;-5.4780865;-5.511219;-5.6225967;-5.852865
ZINC000020591255;-6.0188556;-6.310588;-6.366597;-6.2389565;-6.085269
ZINC000020155143;-6.085218;-6.273698;-6.0302224;-5.964188;-6.1181555
ZINC000020155145;-6.039334;-6.400139;-6.302736;-6.0038834;-6.147408
ZINC000408914964;-5.6163883;-5.5199347;-5.4854994;-5.878805;-5.8572097
ZINC000015440577;-6.013096;-6.1845303;-6.064249;-6.0936766;-6.080382
ZINC000016188940;-5.324278;-5.9259033;-5.500892;-5.2903295;-5.940494
ZINC000016189871;-5.4169292;-5.400437;-5.249235;-5.527334;-5.8005714
ZINC000004945771;-6.728672;-5.8195477;-6.2915726;-6.603117;-6.3710346
ZINC000020185641;-6.3236785;-6.3416643;-6.2956085;-6.130084;-6.316716
ZINC000096193614;-5.8232985;-6.1347294;-5.9905357;-6.360435;-6.326289
ZINC000016932257;-6.2581673;-6.6328793;-6.14471;-6.6440525;-7.2227197
ZINC000016889831;-6.251109;-6.369033;-5.8269506;-6.278791;-6.4666443
ZINC000016999673;-5.6748238;-5.654369;-5.151357;-5.5405407;-5.7875137
ZINC000005006707;-6.3434877;-5.751645;-5.9728255;-6.1915736;-5.7882047
ZINC000017820423;-5.2163596;-5.156501;-5.4874816;-5.6280117;-5.547023
ZINC000019459941;-6.3605194;-6.012567;-6.197674;-6.1663632;-6.02265
ZINC000019460307;-6.6074543;-6.3187733;-6.650992;-6.309062;-6.3520765
ZINC000019460309;-6.641694;-6.3453565;-6.6373777;-6.327099;-6.419455
ZINC000019459939;-6.410042;-6.009898;-6.247322;-6.160249;-5.9743414
ZINC000019589320;-5.6272306;-5.958664;-5.7645025;-5.5468535;-5.9298134
ZINC000019691558;-5.6707616;-5.914662;-6.082493;-6.2938085;-6.126706
ZINC000100436780;-6.040501;-6.213203;-6.155947;-6.1998606;-6.5487213
ZINC000005431587;-5.464386;-5.926695;-5.663179;-5.8792;-6.020413
ZINC000020081411;-5.893714;-6.8636713;-6.1579432;-6.160214;-5.9897323
ZINC000226297627;-5.878661;-5.9595227;-6.224858;-6.039874;-6.1035495
ZINC000226297412;-6.1879296;-6.2007275;-6.452504;-6.128316;-6.347574
ZINC000005663446;-6.3699064;-6.457922;-5.702563;-6.151835;-6.097682
ZINC000005427079;-5.569291;-6.112817;-5.6630936;-6.0794063;-5.8442245
ZINC000027546480;-6.7991867;-6.7748446;-6.3929987;-6.7005672;-6.4575796
ZINC000001819339;-7.0132937;-6.557816;-6.660916;-6.9935117;-6.950227
ZINC000005525002;-6.267111;-5.564175;-5.148356;-5.501246;-5.6649413
ZINC000408529161;-5.366259;-5.2242317;-5.4316816;-5.0878315;-5.7558594
ZINC000005567471;-5.4189906;-5.4032087;-5.6243763;-5.66066;-5.516018
ZINC000216816362;-5.414159;-5.572183;-5.249663;-5.2255926;-5.850743
ZINC000216816321;-5.444259;-5.218482;-5.1271095;-5.1669064;-5.780195
ZINC000005582011;-6.821042;-7.0325794;-6.2595797;-7.0161343;-6.773333
ZINC000005615624;-5.682237;-5.296996;-5.1347156;-5.6800013;-5.48692
ZINC000005615627;-5.7091646;-5.318956;-5.1289196;-5.7362256;-5.531238
ZINC000005663437;-6.1244884;-6.7811084;-6.0834465;-6.2161956;-6.189602
ZINC000005663440;-6.464937;-6.7920556;-6.341634;-6.281297;-6.4479833
ZINC000005663442;-6.2617393;-6.8088694;-6.1636767;-5.9158516;-6.3886895
ZINC000031759646;-5.5573964;-5.788488;-5.814258;-6.2284675;-5.8816824
ZINC000031759642;-5.6833515;-5.7569013;-5.8965282;-6.0785294;-5.8599634
ZINC000032108336;-5.783942;-5.7697434;-5.6464396;-5.7243166;-6.0144806
ZINC000032108337;-5.705185;-5.530589;-5.6940236;-5.627892;-5.617469
ZINC000033637059;-5.175049;-5.4332123;-5.5390463;-5.5015936;-5.292021
ZINC000033637057;-5.1781783;-5.434616;-5.541549;-5.501196;-5.3011165
ZINC000016576221;-5.2484107;-5.4793653;-5.526301;-5.4249907;-5.6919813
ZINC000005733847;-5.70861;-5.665061;-5.4979033;-6.073333;-5.9287252
ZINC000005733855;-5.624625;-5.572171;-5.493596;-6.129409;-5.9424553
ZINC000001563835;-5.7627134;-5.8477345;-5.4445443;-6.0702314;-5.9984846
ZINC000037393534;-6.4963865;-6.6794844;-6.3184776;-6.3423724;-6.179995
ZINC000006118707;-6.5829787;-6.892408;-6.2902546;-6.5460606;-6.6161976
ZINC000040166403;-6.0867734;-5.737539;-6.0945125;-5.7235103;-5.84396
ZINC000040166402;-6.18087;-5.6607757;-6.704214;-6.073162;-6.066803
ZINC000017107872;-7.344383;-7.0823727;-6.909163;-7.5413685;-7.5753345
ZINC000104201201;-7.344383;-7.0823727;-6.909163;-7.5413685;-7.5753345
ZINC000245240669;-6.978714;-7.0659847;-6.4350696;-6.189731;-6.9474845
ZINC000006562329;-5.6672997;-5.43804;-5.3377924;-5.7988873;-5.5828643
ZINC000040293260;-5.797761;-6.0641336;-5.8883924;-5.7657213;-5.52448
ZINC000020506721;-5.0853033;-5.4012837;-5.134123;-5.166891;-5.5588903
ZINC000008656019;-6.6335144;-6.47932;-5.9539104;-6.8635097;-6.585813
ZINC000006878769;-6.7002378;-5.6624417;-5.6535726;-5.9709964;-6.0673466
ZINC000003594192;-6.6656737;-6.167378;-6.1943436;-6.2216043;-6.0234756
ZINC000007365410;-6.5026226;-6.5086856;-6.713155;-6.401616;-6.215373
ZINC000408912777;-5.7890716;-5.5450454;-5.8107066;-5.8036027;-5.8793516
ZINC000021011454;-6.254147;-6.0871215;-5.646364;-5.278861;-5.690965
ZINC000247879522;-5.394793;-5.6559243;-5.401604;-5.365738;-5.704111
ZINC000248036339;-5.529213;-5.6663074;-5.508154;-5.1269646;-5.444032
ZINC000408736679;-6.686838;-5.986237;-6.8141875;-6.612815;-6.019724
ZINC000408736678;-6.849514;-6.1381445;-6.6794744;-6.8046565;-6.0084004
ZINC000104247540;-6.1882734;-5.875081;-5.571752;-5.7268543;-5.8018107
ZINC000104247545;-6.1882734;-5.875081;-5.571752;-5.7268543;-5.8018107
ZINC000001592469;-6.1882734;-5.875081;-5.571752;-5.7268543;-5.8018107
ZINC000044217965;-6.1067524;-6.3541512;-6.164;-5.9431133;-5.81006
ZINC000044217961;-6.094099;-6.328943;-6.184051;-5.912805;-5.7857776
ZINC000245239783;-5.810669;-6.1550007;-5.8499355;-5.5911417;-5.863122
ZINC000035635584;-6.566249;-6.7313404;-6.7226815;-6.6476526;-6.8598447
ZINC000008581225;-6.2833743;-6.255078;-6.285243;-6.0683975;-6.251208
ZINC000072361503;-5.3476696;-5.6032906;-5.597986;-5.3141713;-5.347641
ZINC000072361489;-5.510735;-6.139321;-5.6089177;-5.555112;-5.9117627
ZINC000008569618;-5.5394125;-5.7392817;-5.782089;-5.846884;-5.7039027
ZINC000008569620;-5.489419;-5.6520786;-5.6210685;-5.8179646;-5.6600657
ZINC000217417223;-5.889755;-5.1401753;-5.282102;-5.4973774;-5.5612783
ZINC000022148230;-6.7251024;-6.387771;-6.0963187;-5.9658957;-6.356388
ZINC000256055831;-5.2871532;-5.351063;-5.282971;-5.548432;-5.51976
ZINC000003104984;-6.270903;-6.3323565;-6.1538997;-6.55154;-6.0708637
ZINC000408752289;-5.6355724;-5.930679;-5.8417015;-6.15333;-6.123395
ZINC000409375164;-6.8169374;-6.2905717;-6.735511;-6.320358;-6.8273573
ZINC000409377998;-5.8890963;-5.805891;-6.0111914;-5.753818;-5.8230615
ZINC000409375165;-6.832779;-6.3614106;-6.7449875;-6.304732;-6.802577
ZINC000408909612;-5.2206554;-5.5543246;-5.6436157;-5.552273;-5.7498627
ZINC000409378001;-5.667398;-5.552953;-5.8889775;-5.6876593;-5.796136
ZINC000408936851;-5.1801424;-5.3155174;-4.8266244;-5.148153;-5.362084
ZINC000009570356;-5.82057;-6.455396;-6.111179;-6.3369174;-6.4492264
ZINC000059139209;-5.8001475;-5.4248004;-5.4079714;-5.6683326;-5.5744257
ZINC000059139155;-5.169173;-5.141086;-5.103936;-4.9011106;-5.356047
ZINC000059139207;-4.955083;-5.050005;-5.189096;-4.9010544;-5.218984
ZINC000059139201;-5.603501;-5.6639132;-5.435351;-5.5665708;-5.5621624
ZINC000408917244;-5.2707486;-5.6124935;-5.849824;-5.734437;-5.7092195
ZINC000095611587;-5.4075437;-5.4801493;-5.7112436;-5.631871;-5.370882
ZINC000217417306;-5.7997293;-5.13662;-5.5925965;-5.4578266;-5.3179975
ZINC000253607720;-5.976042;-5.734792;-6.1340313;-6.012844;-6.4748106
ZINC000068602477;-5.4845734;-5.959841;-5.618386;-5.3600254;-5.2284074
ZINC000100643953;-5.2921824;-6.506334;-6.2843285;-6.0672245;-6.127285
ZINC000256050605;-6.195338;-6.4439974;-5.4605484;-6.151714;-5.7726517
ZINC000028376663;-6.052101;-5.8796644;-5.946305;-6.0278664;-6.1442485
ZINC000004712898;-6.0163856;-5.9461145;-5.9241133;-6.262325;-6.282702
ZINC000408960548;-5.107363;-4.8418965;-4.9030614;-4.772975;-5.175454
ZINC000013282299;-5.298742;-5.5643764;-5.176012;-5.393767;-5.3235984
ZINC000057467028;-5.626328;-5.7894235;-5.6942234;-5.573385;-5.667449
ZINC000000363367;-5.3397703;-5.367768;-5.211685;-5.5461435;-5.7622414
ZINC000100330857;-5.520976;-5.3959556;-5.706401;-6.053995;-6.1522417
ZINC000100330853;-5.685661;-5.4714513;-5.594348;-6.038321;-6.142963
ZINC000100330843;-5.685661;-5.4714513;-5.594348;-6.038321;-6.142963
ZINC000100330847;-5.520976;-5.3959556;-5.706401;-6.053995;-6.1522417
ZINC000100643956;-5.810669;-6.1550007;-5.8499355;-5.5911417;-5.863122
ZINC000005535315;-5.612631;-5.9032073;-5.6211505;-5.634451;-5.920723
ZINC000217417143;-6.07691;-5.131743;-5.3063264;-5.3073034;-5.41941
ZINC000104119174;-6.2581673;-6.6328793;-6.14471;-6.6440525;-7.2227197
ZINC000104132632;-5.2163596;-5.156501;-5.4874816;-5.6280117;-5.547023
ZINC000104143470;-5.939123;-5.3899636;-5.5723667;-5.6538935;-6.122395
ZINC000104143463;-6.64719;-6.2131963;-6.254481;-6.2417765;-6.347836
ZINC000036926634;-5.28452;-4.9265027;-5.0811424;-5.140232;-5.288244
ZINC000065735143;-5.1397595;-5.392884;-5.011386;-5.238078;-5.358478
ZINC000065735146;-5.34766;-5.2288675;-5.0544286;-5.3251414;-5.203464
ZINC000018118834;-6.0669928;-5.6124673;-5.4663444;-5.724156;-5.6623335
ZINC000003200621;-5.8204627;-6.134157;-6.045001;-6.0972714;-6.0486507
ZINC000004521366;-6.3933015;-6.266105;-6.2009354;-6.3306966;-6.1198254
ZINC000004724066;-5.8665957;-5.8550806;-5.497893;-5.8644285;-5.6061716
ZINC000016188908;-5.6456366;-5.5493264;-5.5656204;-5.8092976;-6.038074
ZINC000016431324;-5.0185347;-5.5954137;-5.2362556;-5.469057;-5.496971
ZINC000005417523;-6.5615344;-6.8676534;-6.651306;-6.6570277;-6.7962723
ZINC000024717598;-5.859259;-5.5679684;-5.477801;-5.574507;-5.8529267
ZINC000024717604;-5.7785273;-5.3013124;-5.4809165;-5.6331897;-5.9313083
ZINC000026098921;-5.945419;-6.6063023;-6.4713416;-6.3392344;-6.0801516
ZINC000035877054;-5.4214573;-5.535303;-5.255316;-5.48963;-5.368763
ZINC000575421916;-5.0889254;-5.8889127;-5.513438;-5.4215064;-4.88828
ZINC000575420016;-4.731611;-5.808295;-5.696025;-5.630627;-5.9654436
ZINC000575421917;-5.2134333;-6.1758795;-5.480051;-5.5089254;-5.3179064
ZINC000575420015;-4.8523674;-5.494008;-5.360294;-5.8660216;-6.045845
ZINC000575421918;-5.1228504;-5.7534776;-5.340015;-5.841509;-5.581745
ZINC000575421921;-4.9048376;-5.187432;-5.0855713;-5.5178905;-5.094978
ZINC000575423085;-6.112321;-5.4804754;-5.730986;-6.05029;-6.0930567
ZINC000575423089;-6.1038957;-5.7466984;-5.8303833;-6.0106;-5.9017315
ZINC000575423287;-5.5494323;-6.0997896;-5.55694;-5.6641235;-5.6418123
ZINC000575423292;-5.9173017;-6.138056;-5.767365;-5.7973137;-6.1104097
ZINC000001690541;-5.403371;-5.6932673;-5.6237216;-5.4774737;-5.4950123
ZINC000004743194;-5.403371;-5.6932673;-5.6237216;-5.4774737;-5.4950123
ZINC000005510019;-5.794608;-5.645344;-5.6019735;-5.6059794;-6.1129565
ZINC000070237655;-5.2982044;-5.3035526;-5.313032;-5.3687572;-5.4220204
ZINC000104035123;-5.9185963;-6.3072014;-5.823622;-5.858399;-6.2889385
ZINC000104146626;-5.466416;-5.1735983;-4.479197;-5.4353476;-5.3379526
ZINC000104146632;-5.1745577;-5.396724;-4.756945;-5.3946185;-5.4882674
ZINC000072361490;-5.604506;-6.0923147;-5.617045;-5.530308;-5.8919816
ZINC000072361520;-5.525047;-5.787724;-5.9528766;-5.9001637;-5.741183
ZINC000072361494;-5.770803;-5.8349466;-5.608561;-5.465535;-5.6275787
ZINC000256049981;-6.2380943;-6.7490463;-6.5979247;-6.691934;-7.091677
ZINC000256049982;-6.5240264;-6.892805;-6.5053473;-6.8707876;-6.5457745
ZINC000217417066;-4.8766556;-5.3318863;-5.46185;-5.031987;-5.2489057
ZINC000000351510;-5.952091;-6.615657;-6.285313;-5.8816466;-6.1678348
ZINC000217396275;-6.102337;-5.6320734;-5.420771;-5.7671704;-5.699623
ZINC000217396347;-5.8441205;-5.6866894;-5.339015;-5.7114205;-5.51909
ZINC000068602471;-6.978714;-7.0659847;-6.4350696;-6.189731;-6.9474845
ZINC000001320309;-5.80816;-6.6378365;-6.9880667;-6.843325;-6.652495
ZINC000001579232;-5.6276064;-5.8406887;-5.796221;-5.6494045;-5.504318
ZINC000001571898;-3.7335243;-4.493674;-4.6114836;-4.4517527;-4.735683
ZINC000001569515;-6.138479;-6.5642557;-5.6263733;-6.0328584;-5.8440113
ZINC000001588564;-5.478969;-5.4264307;-5.6879134;-5.671737;-5.548427
ZINC000001609049;-6.1410956;-6.221837;-6.360715;-6.1983156;-6.162258
ZINC000001609050;-6.212914;-6.223874;-6.166669;-6.433328;-6.281956
ZINC000618254971;-6.9753666;-6.879714;-6.4068394;-6.9665003;-6.9976397
ZINC000001652986;-6.001248;-5.9439373;-5.926677;-5.95546;-6.0816393
ZINC000618255156;-5.5399423;-6.037094;-5.959925;-5.779997;-5.9625263
ZINC000618254691;-5.5680747;-5.899007;-5.74835;-5.6280966;-5.6726966
ZINC000618255200;-6.2442293;-6.2011924;-5.893768;-6.259935;-6.176236
ZINC000618255050;-6.3846655;-6.320916;-6.5126944;-6.439162;-6.499583
ZINC000218797040;-4.9715242;-5.294896;-4.854025;-4.652999;-4.905045
ZINC000001716736;-5.7783575;-5.651504;-5.8901424;-5.952981;-6.13042
ZINC000072361493;-5.752163;-5.841844;-5.608857;-5.4483595;-5.642584
ZINC000001717858;-6.211916;-5.9910545;-6.4483023;-6.408777;-6.0239706
ZINC000218796932;-5.013918;-5.1338468;-4.932734;-4.7189574;-4.7683296
ZINC000002028254;-5.6903214;-5.5135784;-5.638432;-6.017877;-6.089122
ZINC000008989774;-8.996357;-8.532223;-7.896699;-8.878675;-9.272621
ZINC000004158481;-5.886036;-5.301483;-5.5049353;-5.6322956;-5.586805
ZINC000255966744;-6.0367446;-6.7258782;-6.319596;-6.2341022;-6.5770607
ZINC000004614903;-5.1552663;-5.813751;-5.5521092;-5.2308664;-5.8794193
