name;01;02;03;04;05
ZINC000004775695;-5.8942575;-6.2218065;-5.8139753;-6.022461;-6.2468567
ZINC000005634528;-6.3851557;-6.5217867;-6.3755903;-6.5411744;-6.815924
ZINC000004714565;-7.3490334;-6.959436;-6.876893;-7.021454;-7.5586605
ZINC000006451480;-5.8842344;-6.284342;-6.0684743;-6.291792;-6.6232667
ZINC000085396946;-5.915423;-5.209139;-6.0414896;-6.1328135;-5.985693
ZINC000226106499;-4.9490633;-5.103822;-5.1727486;-5.061739;-5.371541
ZINC000226106516;-5.035859;-5.0254936;-4.524353;-4.981486;-5.4558244
ZINC000012284984;-7.46487;-7.6428604;-7.5319843;-7.7362275;-7.8736925
ZINC000004806147;-6.6356907;-6.114996;-6.249159;-6.2952766;-6.16952
ZINC000004806144;-6.8949356;-6.0736365;-6.266318;-6.3619213;-6.071734
ZINC000004806146;-6.8179317;-5.950457;-6.102109;-6.390342;-6.1169066
ZINC000004806148;-6.744598;-6.0525055;-6.053287;-6.258825;-6.1699195
ZINC000013099494;-5.8429217;-6.0493765;-6.50647;-6.101166;-6.426261
ZINC000013277029;-5.246891;-5.1813383;-5.232257;-5.4399743;-5.2455044
ZINC000013303763;-5.9984274;-5.7700543;-5.67298;-5.8632727;-6.4506273
ZINC000408721669;-6.446244;-6.471351;-6.5748186;-6.5786047;-6.5652714
ZINC000014608431;-5.569136;-5.980315;-5.894409;-6.2558875;-6.270048
ZINC000004899909;-5.6966095;-5.1847897;-5.5013537;-5.355557;-5.363243
ZINC000004905896;-6.8856072;-6.519764;-6.4633493;-6.7365904;-6.9552836
ZINC000015938682;-7.097799;-6.664108;-6.5639305;-6.760726;-6.9464397
ZINC000095920183;-6.6316376;-6.199764;-6.182597;-6.617526;-6.5231304
ZINC000095920182;-6.559763;-6.241406;-6.166197;-6.606511;-6.4470253
ZINC000095920184;-6.432412;-5.8914795;-6.434175;-6.475804;-6.344998
ZINC000095920181;-6.6641636;-5.313924;-5.482399;-6.155612;-6.0917196
ZINC000016215750;-6.377289;-6.562374;-6.0830355;-6.4110107;-6.635559
ZINC000016195301;-7.144693;-6.4014935;-6.4614115;-6.7605066;-6.97158
ZINC000004987685;-6.6512256;-6.0323677;-5.924155;-6.2657576;-6.091097
ZINC000016688009;-6.478034;-5.891504;-6.493849;-6.627785;-6.4918513
ZINC000085396956;-6.3321853;-6.0371265;-6.257704;-6.0978756;-5.9619756
ZINC000016688281;-7.7343974;-6.478896;-6.6759;-6.948581;-6.9866624
ZINC000085396952;-6.444171;-6.197242;-6.174443;-6.0214324;-6.1232176
ZINC000016952349;-7.478963;-6.788378;-7.267327;-7.3042736;-7.6005626
ZINC000016954569;-6.167675;-6.083642;-5.9063864;-6.3688126;-6.245456
ZINC000016957291;-5.7227683;-6.1673937;-6.0227776;-6.5074015;-6.0632124
ZINC000016952777;-6.0863733;-6.9493747;-5.810677;-6.268759;-5.96515
ZINC000016926131;-6.228959;-6.679965;-7.0438514;-6.6890955;-6.743885
ZINC000016979992;-7.3253946;-6.4976826;-6.3165975;-7.0839963;-7.047992
ZINC000016979995;-7.3746185;-6.6478734;-6.8395863;-7.350576;-7.169406
ZINC000362248737;-5.474973;-5.7144027;-5.59887;-5.3671346;-5.5838785
ZINC000362248740;-5.523147;-5.5557933;-5.639383;-5.3634734;-5.7551737
ZINC000017142030;-6.195608;-5.392079;-5.6490645;-5.57148;-5.8086257
ZINC000017124948;-5.8345995;-5.504657;-6.0333242;-5.8187785;-5.9308567
ZINC000017124946;-5.8334484;-5.5057693;-6.03319;-5.821373;-5.9319816
ZINC000017124940;-5.8334484;-5.5057693;-6.03319;-5.821373;-5.9319816
ZINC000017124943;-5.8345995;-5.504657;-6.0333242;-5.8187785;-5.9308567
ZINC000017191715;-6.8889694;-6.678712;-6.83329;-7.182415;-6.8951654
ZINC000017196756;-5.394693;-5.2184906;-5.1952724;-4.7788634;-4.802903
ZINC000017420802;-7.2945275;-6.9524813;-6.992623;-7.090513;-7.049798
ZINC000017426933;-6.241999;-5.8497605;-6.360353;-6.4467072;-6.0593424
ZINC000017420798;-7.2945275;-6.9524813;-6.992623;-7.090513;-7.049798
