name;01;02;03;04;05
ZINC000038021804;-6.313946;-6.59652;-6.040073;-6.3226414;-6.1986327
ZINC000038021967;-7.001479;-6.767655;-6.396563;-6.415604;-6.256149
ZINC000004706281;-6.838359;-7.0326867;-7.293053;-7.476061;-7.302396
ZINC000004706296;-6.723211;-6.899937;-7.2842455;-7.5027347;-7.2283945
ZINC000004715701;-6.7960835;-7.1012583;-7.1087484;-7.0738935;-7.363591
ZINC000017007491;-6.6100616;-6.61323;-6.70675;-7.037735;-6.9902234
ZINC000017022338;-6.596058;-7.0578337;-6.489767;-6.5305576;-6.588653
ZINC000004748551;-6.557136;-7.008417;-6.467389;-6.434144;-6.265688
ZINC000251977234;-7.846512;-8.030186;-7.924169;-7.870121;-7.8045874
ZINC000020118624;-6.440809;-6.457862;-6.531101;-6.6095405;-6.8910866
ZINC000006161333;-6.562779;-6.138758;-6.2742953;-6.3109655;-6.277876
ZINC000585092812;-6.336505;-6.1587977;-5.797123;-6.272155;-5.916048
ZINC000004566731;-4.795866;-5.1534047;-4.7077484;-5.2103863;-5.12429
ZINC000004739194;-6.423292;-6.1784234;-6.473064;-6.2880545;-6.252377
ZINC000004832322;-6.9719553;-6.70731;-6.4965973;-7.01698;-6.9027686
ZINC000004838236;-6.4403396;-6.690541;-6.4842997;-6.1679215;-6.365802
ZINC000004838235;-6.711405;-6.534185;-6.179235;-6.479653;-6.3235855
ZINC000004838234;-6.298679;-6.284533;-6.5156116;-6.3218737;-6.3816366
ZINC000585133192;-7.2372403;-6.766129;-6.7777853;-7.1152897;-7.3320847
ZINC000585133193;-6.768264;-6.939612;-6.7198687;-7.215248;-7.168757
ZINC000004842563;-6.2392406;-6.557289;-6.549761;-6.5039144;-6.8058114
ZINC000097235732;-7.249131;-7.7160587;-7.339074;-7.1974726;-7.3607755
ZINC000097235732;-7.4399977;-7.7624536;-7.3557625;-7.260955;-7.3349085
ZINC000023115259;-6.346191;-6.4222994;-6.0065923;-5.9800997;-6.1708064
ZINC000023115284;-7.0279484;-6.691536;-6.3638573;-6.7514997;-6.8755
ZINC000023115257;-6.2955604;-6.424663;-5.822901;-6.1126237;-6.255051
ZINC000023115286;-7.0833864;-6.857289;-6.4977036;-6.896122;-6.777589
ZINC000004868094;-5.962817;-6.08762;-6.3398905;-6.440387;-6.4768667
ZINC000004868846;-6.9911613;-7.0128736;-7.000104;-7.1130657;-7.2575006
ZINC000000221738;-6.6603274;-6.633031;-6.734379;-7.1533265;-6.746628
ZINC000023114878;-6.4173436;-7.011556;-6.595551;-6.719932;-6.505798
ZINC000023114876;-6.277912;-6.97061;-6.596144;-6.7272806;-6.4721823
ZINC000023114974;-6.9063516;-7.0282164;-7.1399107;-7.1509743;-7.1240234
ZINC000023114972;-6.5753703;-6.9749327;-7.1654415;-7.3114324;-7.0972037
ZINC000261493918;-6.81618;-6.646033;-7.0649934;-7.1202507;-6.9165926
ZINC000004951411;-6.0128913;-6.4595523;-6.3435163;-6.565462;-6.2155643
ZINC000011919893;-6.6048136;-7.305331;-6.6533155;-6.948702;-6.7584944
