name;01;02;03;04;05
ZINC000062710896;-6.4311;-6.1712704;-6.2133155;-6.1999874;-6.226251
ZINC000062710896;-6.4642434;-6.1548676;-6.1739397;-6.20233;-6.236143
ZINC000016383477;-6.3822975;-7.094537;-6.6578946;-6.5517154;-6.340179
ZINC000016383475;-6.188267;-6.7251544;-6.5947924;-6.4000435;-6.2427373
ZINC000004293289;-7.2086635;-7.0540667;-6.962328;-7.467022;-7.131054
ZINC000004839284;-6.3380156;-6.2922792;-6.2300186;-6.348635;-6.3448095
ZINC000013122728;-7.121291;-6.712842;-7.3798184;-7.157401;-6.6276803
ZINC000104954603;-6.3525996;-5.9633937;-6.042073;-5.813809;-6.1314178
ZINC000104954603;-6.356408;-5.9681044;-6.049044;-5.817614;-6.1351643
ZINC000004879726;-6.042838;-5.9642935;-5.9096303;-5.9763794;-5.924682
ZINC000035188426;-6.951461;-6.5864143;-6.3072615;-6.8161054;-6.6811795
ZINC000005545849;-5.6988034;-6.1212916;-5.9019685;-6.030929;-5.746663
ZINC000005532891;-5.929114;-6.405509;-6.5346127;-6.2637835;-6.5065413
ZINC000006294960;-6.8405724;-6.52842;-6.067678;-6.769298;-6.72797
ZINC000006505934;-5.844418;-5.5240593;-5.379151;-5.454881;-5.5714483
ZINC000006505934;-5.8488812;-5.5268445;-5.3838234;-5.458482;-5.574407
ZINC000006694631;-6.951461;-6.5864143;-6.3072615;-6.8161054;-6.6811795
ZINC000016384403;-6.464799;-6.791501;-6.771241;-6.6670833;-6.74244
ZINC000005410219;-5.876422;-5.464533;-5.335133;-5.4254217;-5.59264
ZINC000330931116;-6.5250983;-6.1945887;-6.758042;-6.329156;-6.421425
ZINC000005426707;-7.5519834;-7.4263234;-6.9540715;-7.0829644;-7.31369
ZINC000005458703;-5.6141615;-5.252252;-5.6147842;-5.6296034;-5.5989585
ZINC000005512755;-5.914751;-6.058818;-5.70964;-6.038265;-6.1008067
ZINC000005560784;-4.3484054;-5.272438;-5.1495223;-4.758214;-5.3429623
ZINC000005561084;-4.480054;-5.134624;-5.089292;-4.6830177;-5.2001886
ZINC000005560799;-4.5389247;-5.1919427;-5.0358276;-4.708456;-5.1792355
ZINC000005561104;-4.719204;-5.1917825;-5.1054482;-4.738629;-5.17268
ZINC000079037159;-6.5534563;-6.316316;-6.890294;-6.5333843;-6.667677
ZINC000005620775;-6.917935;-6.828524;-6.97928;-7.0181727;-6.554961
ZINC000079037163;-6.7784905;-6.967292;-7.280667;-6.660981;-6.529538
ZINC000106679668;-5.9890494;-6.029901;-5.8103585;-5.765106;-5.945298
ZINC000106679721;-5.555828;-5.28817;-5.3983374;-5.537049;-5.524254
ZINC000106679492;-5.6054525;-5.3602514;-5.6105304;-5.6819205;-5.670049
ZINC000106679494;-5.9236197;-5.4409347;-5.4637895;-5.7024684;-5.7198305
ZINC000106679683;-6.2820134;-6.118143;-5.739277;-5.900024;-6.019348
ZINC000106679665;-5.9877114;-6.113492;-5.6963897;-5.7209725;-5.9739475
ZINC000005719896;-5.603853;-5.87937;-5.8856487;-5.7897325;-5.745561
ZINC000005720139;-6.2280216;-6.08602;-6.036725;-6.1995287;-6.299057
ZINC000005719893;-6.301567;-6.4702435;-6.331072;-6.099499;-6.7656713
ZINC000005719890;-5.6648045;-5.616891;-5.4510503;-5.675431;-5.9752493
ZINC000005725783;-5.660546;-5.7994943;-6.0213366;-5.688966;-5.8658676
ZINC000040116178;-6.2387147;-6.9757338;-6.43743;-6.60091;-6.6207924
ZINC000040116178;-6.2779813;-6.9399033;-6.390872;-6.6242;-6.6212487
ZINC000040116190;-6.682269;-7.1986055;-6.758942;-6.7229176;-6.7214174
ZINC000040116190;-6.7317014;-7.1783934;-6.6982546;-6.71258;-6.708081
ZINC000005747689;-5.2674727;-5.4061923;-5.164252;-5.05063;-5.6229563
ZINC000005781568;-6.2817783;-6.4083967;-6.2192545;-6.3857484;-6.145489
ZINC000005781568;-6.3756137;-6.31391;-6.1880302;-6.363564;-6.1859236
ZINC000005781566;-6.2864985;-6.4059286;-6.217077;-6.3907223;-6.147468
ZINC000005781566;-6.3829594;-6.312987;-6.1876974;-6.370384;-6.1862354
ZINC000001684061;-5.9745135;-5.6852984;-6.0741796;-5.963352;-6.048441
ZINC000005817134;-5.70751;-6.4929733;-6.433885;-6.2900863;-6.222126
ZINC000005817134;-5.8362484;-6.438567;-6.5003896;-6.3134546;-6.317953
ZINC000005817134;-5.8362484;-6.438567;-6.5003896;-6.3134546;-6.317953
ZINC000005818359;-5.350177;-6.2739882;-6.2669024;-5.9165993;-6.3092437
ZINC000005818359;-5.481119;-6.208428;-6.2257605;-5.9403324;-6.411606
ZINC000005830572;-6.0583906;-6.422108;-6.2802258;-5.892211;-6.4004264
ZINC000005854343;-3.829046;-3.5373456;-3.5944524;-4.2046876;-3.2217245
ZINC000005852280;-5.8259945;-6.0733385;-5.842993;-6.044033;-6.1583295
ZINC000005852280;-5.8706965;-6.147518;-5.8162565;-6.0353694;-6.15684
ZINC000005852342;-5.4787335;-5.4365573;-5.651578;-5.47004;-5.765853
