name;01;02;03;04;05
ZINC000008300583;-5.61708;-6.3791676;-5.7540073;-6.1905513;-6.024995
ZINC000008300583;-5.61708;-6.3791676;-5.7540073;-6.1905513;-6.024995
ZINC000004758920;-6.337043;-5.986617;-5.835178;-6.0570292;-5.9464874
ZINC000329554338;-6.540757;-5.813007;-6.2730837;-5.804738;-6.405444
ZINC000329554339;-5.884989;-5.2492476;-5.9890766;-5.872467;-5.7488756
ZINC000059415593;-6.486478;-6.773005;-6.508072;-6.1522264;-6.550826
ZINC000059383120;-5.0545893;-5.4886045;-5.4932632;-5.2726407;-5.4261117
ZINC000004235269;-6.4453325;-6.367602;-6.1929994;-6.308379;-6.268745
ZINC000227149454;-6.8607407;-6.5377784;-6.3736563;-6.604361;-6.7485905
ZINC000004293277;-5.8607917;-5.996928;-5.34663;-5.585754;-5.880676
ZINC000004293627;-6.497425;-6.5443926;-6.3631587;-6.3920302;-6.6105785
ZINC000408723549;-5.994786;-6.2459645;-6.5766344;-6.036104;-6.1736274
ZINC000329614398;-6.3349857;-6.8595157;-5.9882565;-6.053593;-6.686056
ZINC000000096788;-6.417118;-5.766076;-6.2122793;-6.1826506;-5.9077306
ZINC000004578396;-7.0124145;-6.8918476;-6.657704;-6.946666;-6.94379
ZINC000004705893;-5.459444;-5.7325654;-5.720193;-5.8448977;-5.7213683
ZINC000004976670;-5.9394417;-6.0280757;-5.588678;-6.337079;-6.290799
ZINC000330143894;-5.7957993;-5.6834936;-5.915579;-5.6885533;-5.809038
ZINC000056688453;-6.497286;-6.606985;-6.2281914;-6.305409;-6.464453
ZINC001549161990;-6.844798;-6.6376686;-6.4022236;-6.706151;-6.6486993
ZINC000329368441;-6.2827086;-6.99162;-7.1293406;-6.450512;-6.6948776
ZINC000330166174;-6.057404;-5.9208274;-6.069723;-5.8977695;-6.0672636
ZINC000096186180;-6.646332;-6.115964;-6.414918;-6.3044543;-6.5813465
ZINC000096183608;-7.2058687;-6.111904;-6.2916746;-6.233639;-6.3520722
ZINC000096186559;-6.949456;-5.9485264;-6.132083;-6.552088;-6.255531
ZINC000014608393;-6.0097103;-5.802111;-6.0362234;-5.927631;-5.9625244
ZINC000019014241;-6.596327;-6.574523;-6.3221045;-5.946281;-6.1858644
ZINC000019014243;-6.9773736;-6.893619;-6.611583;-6.240044;-6.498271
ZINC000096048196;-6.466461;-6.6152334;-6.1938643;-6.335329;-6.0666966
ZINC000096048197;-6.5589933;-6.6154637;-6.1113763;-6.3454537;-6.256072
ZINC000330907901;-5.4401035;-6.072739;-5.6667223;-5.2188597;-6.0157347
ZINC000096056386;-5.8566313;-5.903492;-5.911251;-5.6792436;-5.852039
ZINC000019552311;-5.225195;-5.6074934;-5.7209606;-5.5540514;-5.796709
ZINC000096062136;-5.6163254;-6.29124;-5.7283225;-5.7402143;-6.1280212
ZINC000096063945;-6.2136426;-6.621448;-6.314654;-6.407999;-6.2125683
ZINC000005296967;-5.3055444;-6.268342;-6.0950723;-6.1237884;-6.4252596
ZINC000008300761;-5.915974;-6.772613;-6.563689;-6.5371637;-6.1973476
ZINC000096100094;-6.266694;-5.6018295;-5.5546184;-5.839073;-5.801819
ZINC000096100093;-5.842021;-5.718334;-5.5460134;-5.433755;-5.6936827
ZINC000005426707;-7.594455;-7.439865;-6.8549485;-7.243039;-7.313038
ZINC000685937264;-5.0485163;-5.0948067;-5.246316;-5.192722;-5.334192
ZINC000057467238;-5.409974;-5.773215;-5.8157897;-5.395844;-5.6279097
ZINC000096112284;-5.8044705;-6.2752566;-6.013536;-5.9717064;-5.9414616
ZINC000005464456;-6.2182474;-5.953714;-6.118631;-6.1237006;-5.767538
ZINC000331730602;-6.8316417;-6.7988324;-6.328189;-6.4029336;-6.45994
ZINC000331730603;-6.880232;-6.534672;-6.2687163;-6.4911637;-6.463138
ZINC000096662701;-4.723659;-4.729152;-4.9825277;-4.55179;-4.6701336
ZINC000096662703;-4.7105985;-4.557042;-4.9165688;-4.62078;-4.628204
ZINC000096662702;-4.8964367;-4.8049574;-4.947878;-4.6338124;-4.798865
ZINC000005534699;-6.3615937;-6.6504216;-6.397258;-6.5454273;-6.2452083
ZINC000225869093;-5.663651;-5.6086116;-5.5005245;-5.585419;-5.7836943
ZINC000005552657;-6.965793;-6.8811717;-6.7649207;-7.095023;-6.980785
ZINC000331031092;-6.897308;-6.5908856;-6.7782397;-6.3267646;-6.70339
ZINC000331031093;-7.008761;-6.593341;-6.8026905;-6.302488;-6.6751013
ZINC000096193235;-7.341816;-7.1617937;-6.959732;-6.975567;-7.110636
ZINC000013080825;-5.592306;-5.5438366;-5.520979;-5.609874;-5.601478
ZINC000408729454;-6.925503;-6.9483185;-6.8152823;-6.631173;-6.853864
ZINC000005720139;-6.2400265;-6.1209135;-5.983885;-6.3184166;-6.3160505
ZINC000001580575;-5.8910193;-6.05752;-5.9666824;-5.983878;-5.5973306
ZINC000001586086;-6.3572807;-7.293868;-6.4771566;-6.8587165;-6.8491793
ZINC000005784109;-6.312974;-5.6575136;-5.6528034;-6.123983;-5.8125987
ZINC000005818359;-5.093725;-6.0287504;-6.064908;-5.833941;-6.292001
ZINC000038674603;-6.571011;-6.9284477;-7.1669106;-6.8869653;-7.1381664
ZINC000005895928;-5.9752975;-5.347966;-5.5327024;-6.025392;-6.0480356
ZINC000038674605;-6.5094495;-7.00157;-6.878709;-6.6934443;-7.0576115
ZINC000004293301;-5.9125195;-6.392003;-5.4840236;-5.701582;-6.082791
ZINC000004705892;-5.7964897;-5.804224;-5.7687454;-5.901196;-5.80325
ZINC000016430698;-5.8920565;-5.855277;-5.707746;-5.696273;-5.715708
ZINC000096081678;-6.240754;-6.1753273;-6.300877;-5.927267;-6.143611
ZINC000102949678;-5.5389876;-5.7762084;-5.4983788;-5.6942606;-5.55313
ZINC000004106449;-6.151993;-6.174669;-6.0794363;-6.2139144;-6.1473303
ZINC000330147303;-5.867067;-6.2438846;-6.3589025;-6.1354585;-6.4213414
ZINC000330147304;-5.9416733;-6.302907;-6.377379;-6.183908;-6.44198
ZINC000006006951;-6.9817896;-6.61039;-6.3905435;-6.844316;-7.254295
ZINC000096226153;-5.856729;-5.7381516;-6.1597595;-5.976622;-5.965265
ZINC000006078526;-6.4703197;-6.330225;-6.475653;-6.2530274;-6.3043137
ZINC000006161287;-7.6674595;-7.244588;-6.9688673;-7.5871687;-7.6382704
ZINC000100311234;-5.9468207;-6.4261684;-5.6915426;-6.0260572;-6.0424848
ZINC000225680734;-6.587337;-6.2185807;-6.575302;-6.6504188;-6.638777
ZINC000225682716;-6.22305;-6.327832;-5.8409133;-6.612511;-6.354263
ZINC000225683523;-6.499894;-6.268443;-6.5101833;-6.4778004;-6.325548
ZINC000000480663;-6.3203545;-6.176487;-6.0666785;-6.544447;-6.5917835
ZINC000225680672;-6.352161;-6.29695;-6.392441;-6.6237903;-6.37649
ZINC000225680700;-6.126979;-6.180823;-6.111315;-6.384057;-6.322416
ZINC000006220273;-7.3006926;-7.144662;-7.117673;-7.0942717;-7.543874
ZINC000006219889;-7.578626;-7.8848124;-7.5032225;-7.7396464;-7.9035077
ZINC000000478704;-6.3730817;-6.4197;-6.520944;-6.612242;-6.9205966
ZINC000006271515;-6.956261;-6.73874;-7.191919;-7.2572613;-7.00228
ZINC000107730504;-6.3917418;-6.274017;-6.481682;-6.4757023;-6.493597
ZINC000107730500;-6.0875373;-6.268807;-5.7261896;-6.1528606;-6.151432
ZINC000330143893;-5.7537994;-5.7712326;-5.8937235;-5.6885805;-5.7341194
ZINC000104924158;-7.187051;-6.118141;-6.062298;-6.244728;-6.5152345
ZINC000009189475;-7.328623;-7.076513;-6.832739;-7.559936;-7.19794
ZINC000331328706;-5.878633;-6.335869;-6.5233502;-6.601315;-6.191419
ZINC000331328707;-5.9290423;-5.9397726;-6.113804;-6.097425;-6.219947
ZINC000226278151;-5.3765106;-6.0876956;-5.6658473;-5.5299606;-5.8590736
ZINC000226278185;-5.574445;-6.2243066;-5.9220605;-5.8261633;-5.89196
ZINC000226278196;-5.3933535;-5.9965696;-5.5810747;-5.681535;-5.7910433
ZINC000043404475;-5.48817;-5.637327;-5.946673;-5.9153295;-5.8846664
ZINC000003894802;-6.544109;-6.1809897;-5.9399652;-6.1395006;-6.2065988
ZINC000040163991;-5.7756543;-5.902899;-6.021312;-5.919763;-5.9288383
ZINC000006385533;-6.2172375;-6.2664156;-5.7892065;-6.715035;-6.3386126
ZINC000104117844;-5.519318;-5.2709985;-5.257137;-5.379371;-5.382729
ZINC000331297649;-5.580044;-6.153469;-5.899387;-5.9728737;-6.156431
ZINC000331297648;-5.641566;-6.5100756;-5.981138;-6.273954;-6.1561007
ZINC000056659708;-6.3218;-6.3565035;-6.0068235;-6.3663964;-6.4012623
ZINC000138055723;-6.5526915;-6.2714267;-5.8412285;-6.347678;-5.9375777
