name;01;02;03;04;05
ZINC000004695731;-6.6819;-6.368067;-6.6385946;-6.5107293;-6.4224367
ZINC000004708793;-5.799856;-6.2964015;-5.891808;-6.6636066;-6.260504
ZINC000004713401;-7.1986074;-7.20942;-7.1336737;-7.09709;-7.3414726
ZINC000585139438;-5.8707767;-5.8679814;-5.9695077;-6.3417597;-6.2447634
ZINC000585139437;-5.818267;-5.85786;-5.9745693;-6.357132;-6.2016273
ZINC000004749028;-6.4310746;-6.492899;-6.565338;-6.62125;-6.433432
ZINC000070005341;-6.569486;-6.483018;-6.4435453;-6.684903;-6.2065244
ZINC000070005344;-6.470946;-6.4513726;-6.197475;-6.51565;-6.0954585
ZINC000004822603;-7.489635;-7.562469;-7.7500744;-7.403018;-7.681247
ZINC000004833426;-6.276762;-6.2928386;-6.2314215;-6.0673447;-6.312714
ZINC000041405107;-5.278242;-5.778367;-5.6819515;-5.8430977;-5.906826
ZINC000005380755;-5.987155;-5.5826645;-5.7222652;-5.943545;-5.915524
ZINC000004999816;-6.414219;-6.558098;-6.5162535;-6.602936;-6.696871
ZINC000005042100;-5.773361;-6.0203934;-5.885221;-5.751004;-5.51697
ZINC000005042099;-5.763516;-5.9222345;-5.76385;-5.950214;-5.6201673
ZINC000221355342;-6.3794847;-6.9823766;-6.764567;-7.2444386;-6.6648774
ZINC000005050492;-6.417854;-6.5441294;-6.315462;-6.3719983;-6.374276
ZINC000221355297;-6.370339;-6.9719696;-6.745891;-7.1501255;-6.5517063
ZINC000100020727;-6.128132;-5.85693;-6.0677023;-6.164516;-6.424428
ZINC000101389083;-6.238377;-5.817055;-5.9470305;-6.318821;-6.4529686
ZINC000007604127;-5.323495;-5.2227793;-5.3763494;-5.328563;-5.7084236
ZINC000000067364;-6.6632433;-5.622366;-5.43379;-5.3459854;-5.909869
ZINC000000186828;-6.226351;-6.211955;-5.3739185;-5.966424;-5.997372
ZINC000003145514;-6.202857;-5.6065044;-5.615903;-5.899203;-5.615773
ZINC000000193083;-5.5033607;-6.158851;-5.679242;-5.7148337;-5.6129913
ZINC000004771468;-5.9030595;-5.7936554;-5.7171736;-5.767528;-5.74445
ZINC000504677273;-6.138339;-6.2712283;-6.09784;-5.998003;-6.0137515
ZINC000675060668;-5.298568;-5.503923;-5.1905026;-5.4223437;-5.6049275
ZINC000004771458;-5.7789354;-5.6628675;-5.829733;-5.8734665;-5.8811593
ZINC000675062074;-5.8105164;-5.9940486;-5.939474;-5.646763;-5.726917
ZINC000000013232;-6.0361795;-6.0282464;-5.9408493;-6.049485;-6.139307
ZINC000071771797;-6.4841943;-6.5796857;-6.030772;-5.9301014;-5.931894
ZINC000071773543;-5.696698;-6.5276203;-6.3604293;-6.0503554;-6.715239
ZINC000358552793;-6.519873;-6.1936955;-6.2744317;-6.7187333;-6.4461746
ZINC000000013231;-6.001115;-5.9289136;-5.837969;-5.938446;-6.0766125
ZINC000005610683;-6.609959;-6.4644938;-6.4879003;-6.6903353;-6.581372
ZINC000000049973;-5.7634935;-5.9598746;-5.825178;-5.88526;-5.5548534
ZINC000000074641;-6.4116445;-6.651855;-6.549145;-6.528658;-6.727882
ZINC000000074635;-6.696605;-6.8759193;-6.682967;-6.689973;-6.6842966
ZINC000000107324;-5.8743763;-5.7635474;-5.673718;-5.921326;-5.7342734
ZINC000000123847;-6.952349;-6.7624836;-6.992841;-6.9320407;-7.0072236
ZINC000038137743;-6.184961;-6.0933247;-6.599588;-6.4212303;-6.505622
ZINC000005753708;-4.7264514;-5.060363;-5.022401;-4.946239;-5.450624
ZINC000005753705;-4.7229743;-5.054758;-4.9832025;-5.1535425;-5.7221627
ZINC000000155181;-6.054935;-6.258547;-6.1899676;-6.384203;-6.317171
ZINC000573091294;-6.7244935;-7.0896697;-6.445454;-6.485727;-6.730264
ZINC000005804434;-6.434118;-6.9302053;-6.9048557;-6.8725863;-6.8718615
ZINC000038440019;-6.9357934;-6.867295;-6.5374584;-7.045303;-6.78607
ZINC000000190721;-6.6526194;-6.730144;-6.6914716;-6.8221827;-6.995635
ZINC000000190179;-5.851414;-6.070494;-6.089477;-6.4553943;-6.4221244
ZINC000000185109;-6.0053844;-6.239191;-5.910606;-6.3726115;-5.964509
ZINC000044122615;-5.814445;-5.7543545;-5.927043;-5.822951;-6.019999
ZINC000044122611;-5.6537795;-5.6092196;-5.8159223;-5.65903;-6.2314367
ZINC000000206935;-5.616583;-5.573657;-5.655691;-5.669639;-5.6590934
ZINC000000207531;-7.380962;-7.3371215;-7.2240486;-6.8889256;-7.140782
ZINC000005839834;-5.1577425;-5.3160257;-5.237391;-5.3342876;-5.6265936
ZINC000000207916;-7.029977;-7.254987;-6.712601;-6.9373517;-6.83164
ZINC000000207533;-7.3346972;-7.1977754;-7.2364984;-6.7871046;-6.9858317
ZINC000000251213;-5.7081094;-5.729239;-5.404043;-5.6326923;-4.9814086
ZINC000000255486;-5.342252;-5.319642;-5.595316;-5.4882507;-5.5715938
ZINC000000255482;-5.2978053;-5.2131577;-5.477522;-5.221784;-5.4070883
ZINC000000258698;-6.345754;-6.3005238;-6.1978717;-6.104056;-6.298187
ZINC000000268676;-6.976578;-7.010799;-7.0960793;-7.142263;-7.0885944
ZINC000000267019;-6.3380594;-6.306572;-6.126563;-6.4267654;-6.243351
ZINC000000264129;-6.6156106;-6.647771;-6.948371;-6.6076202;-6.8901634
ZINC000004700947;-6.031848;-6.1496024;-5.5921006;-6.058756;-6.1856365
ZINC000005927135;-6.028656;-6.6611133;-6.2615786;-6.4653263;-6.716876
ZINC000000284514;-6.1379113;-6.467243;-6.2698164;-6.2689004;-6.340777
ZINC000000295906;-7.3149476;-6.8143463;-6.3497458;-5.6743913;-7.02258
ZINC000004700945;-5.691975;-5.9327207;-5.927453;-5.5538054;-5.9239025
ZINC000038982206;-7.436115;-6.9555984;-7.035597;-7.237505;-7.1436806
ZINC000000330249;-5.5082707;-4.9530597;-5.725045;-5.5037904;-5.47196
ZINC000008473737;-5.9145126;-6.055566;-5.398207;-5.716893;-5.771746
ZINC000000343338;-5.2538004;-5.535991;-5.116284;-5.3222423;-5.199657
ZINC000000356953;-5.8412185;-5.9344473;-6.0188365;-5.8759046;-5.9577847
ZINC000000394370;-6.505186;-6.6208086;-6.234347;-6.6103725;-6.498225
ZINC000000394736;-6.4167123;-6.2302647;-6.2585635;-6.3979645;-6.4932694
ZINC000000407145;-5.696202;-5.9153013;-5.8506713;-5.80237;-5.701867
ZINC000000407146;-5.6671605;-5.889055;-5.8384366;-5.7889204;-5.6967807
ZINC000000439984;-6.757167;-6.361794;-6.464629;-6.443859;-6.4371233
