name;01;02;03;04;05
ZINC000585103825;-6.1091247;-6.2543983;-5.752507;-6.103814;-5.7304044
ZINC000585103824;-6.474431;-6.495196;-5.9563866;-6.1527004;-6.226958
ZINC000585111854;-6.498944;-5.9327683;-6.4025044;-5.7280345;-5.992742
ZINC000585112133;-6.434161;-6.5035024;-6.3189163;-6.359977;-5.940546
ZINC000585112132;-6.1978173;-6.2422085;-6.3433194;-5.8707547;-5.9207764
ZINC000585111856;-6.249405;-6.2178283;-6.635744;-6.214982;-6.2037597
ZINC000257217218;-6.1059866;-7.000888;-6.4175787;-7.0462914;-6.6714134
ZINC000257217219;-6.089134;-6.533518;-6.5114884;-7.28237;-6.9130006
ZINC000004785488;-7.569181;-7.4690723;-6.634507;-7.815486;-7.587499
ZINC000257256951;-6.260833;-6.996366;-6.8341694;-7.07362;-6.709972
ZINC000257256952;-6.111537;-6.5901866;-6.9282045;-7.3052363;-6.8354974
ZINC000257260581;-5.984318;-6.8369284;-6.87036;-6.803536;-6.879593
ZINC000257259966;-6.47291;-5.709445;-7.140936;-6.4668536;-6.6072235
ZINC000257260580;-6.3338976;-7.0057826;-7.036018;-7.0022125;-7.0127616
ZINC000257264451;-7.5057507;-7.047347;-6.930802;-6.9152966;-7.058552
ZINC000257268129;-6.545235;-7.2585363;-7.113796;-7.3019257;-7.113703
ZINC000257271531;-6.0122066;-6.1788607;-6.3557353;-6.7169914;-6.5883265
ZINC000257271532;-6.0914335;-6.6678314;-6.081775;-6.473871;-6.430986
ZINC000257286876;-6.662363;-6.4464955;-6.5488005;-7.1032963;-6.704097
ZINC000257286877;-6.80173;-6.623177;-6.5785728;-6.878714;-6.650811
ZINC000095908686;-7.6458187;-7.8751993;-7.9496956;-7.441289;-7.303314
ZINC000095908687;-7.4004073;-7.644444;-8.283576;-7.7070966;-7.9922886
ZINC000257688977;-7.1961665;-6.9514256;-6.9571147;-6.9704866;-6.821004
ZINC000257695716;-7.5159607;-7.15781;-6.892538;-7.4454594;-7.223974
ZINC000085397138;-8.168026;-6.6732364;-7.1645164;-7.1611514;-7.1592493
ZINC000085397140;-7.737825;-7.2540693;-7.299102;-7.2146187;-7.068143
ZINC000096047939;-8.10467;-7.208205;-6.8942204;-7.3021874;-7.3015194
ZINC000096047913;-7.586954;-7.268604;-6.8541956;-6.9087377;-7.1703606
ZINC000096047912;-7.4794984;-7.3635883;-6.8349485;-6.9097943;-7.1239457
ZINC000096047916;-7.3443933;-7.263616;-6.87993;-7.0322156;-7.3019514
ZINC000096047909;-7.5376945;-7.2625103;-7.0451684;-6.746214;-7.1792426
ZINC000096047908;-7.5047784;-7.39176;-6.8771687;-6.796732;-7.181965
ZINC000096047942;-7.85341;-7.369157;-6.821002;-7.2718573;-7.410165
