name;01;02;03;04;05
ZINC000004700212;-6.4813514;-6.691131;-6.4883704;-6.577808;-6.6664343
ZINC000004700211;-6.5472317;-6.812917;-6.6954427;-6.7793403;-6.8270974
ZINC000089780815;-8.244791;-8.563526;-8.106548;-8.421952;-8.745124
ZINC000585140841;-6.6208134;-7.4554424;-7.174747;-7.2521152;-7.382813
ZINC000069871291;-6.1911616;-6.6883044;-6.5207276;-6.688596;-6.352001
ZINC000348364671;-6.3206806;-6.626226;-6.6822324;-6.7243137;-6.507155
ZINC000089959097;-7.3906083;-7.6018806;-7.07867;-7.4783382;-7.475889
ZINC000408522842;-6.355062;-6.8828897;-6.422599;-6.5507746;-6.3478274
ZINC000408522842;-6.355062;-6.8828897;-6.422599;-6.5507746;-6.3478274
ZINC000095941757;-7.2107935;-7.233301;-7.3979244;-7.153436;-7.7214518
ZINC000095941756;-6.9971213;-6.92782;-7.125376;-6.991609;-7.2840304
ZINC000081036690;-6.945302;-6.5901446;-6.4646707;-6.6949277;-6.632257
ZINC000000121153;-7.12922;-6.9471393;-6.8522053;-7.3563104;-7.0359674
ZINC000004899546;-7.211963;-7.3691096;-7.044639;-7.402202;-7.220807
ZINC000004899460;-7.261908;-7.2900767;-6.9331923;-7.3937354;-7.0280037
ZINC000299311753;-7.4841027;-7.383268;-7.354403;-7.2156215;-7.294398
ZINC000261493418;-7.4164886;-7.411788;-7.5398808;-7.927384;-7.672176
ZINC000261493657;-7.3456974;-7.523284;-7.6864643;-7.5073338;-7.6297083
ZINC000020167826;-6.7448406;-7.3021784;-6.8779426;-6.7262583;-7.3163643
ZINC000020167216;-7.2599463;-7.5805407;-7.234593;-7.1309414;-7.224115
ZINC000020167218;-6.9936996;-7.587815;-7.108387;-7.0231786;-7.3106465
ZINC000095986678;-7.189429;-7.1370845;-7.2521744;-7.29249;-7.32306
ZINC000095986677;-6.988897;-7.1912255;-7.150912;-7.1986933;-7.2245245
