name;01;02;03;04;05
ZINC000256051059;-6.29457;-6.3975616;-6.001518;-5.836038;-6.011537
ZINC000067802740;-6.7696776;-6.9181514;-6.2396436;-6.979354;-6.2061357
ZINC000067799503;-6.788151;-8.002208;-6.993433;-7.139954;-7.125122
ZINC000067799503;-6.78736;-7.7213182;-6.936887;-7.25249;-6.5772085
ZINC000256053136;-6.7980404;-6.7897315;-6.3860064;-6.144652;-6.1340184
ZINC000242723274;-7.6835175;-7.920973;-8.014661;-8.0252495;-7.464862
ZINC000257205800;-6.2523804;-6.748275;-6.0131516;-6.74685;-6.9889317
ZINC000257205800;-6.0970182;-6.193976;-6.1361647;-6.6116567;-6.7983947
ZINC000257205799;-6.085599;-7.050863;-6.363992;-6.811441;-6.658416
ZINC000257205799;-7.082518;-7.277672;-6.538495;-7.039387;-7.133125
ZINC000257210327;-6.888558;-6.943309;-6.9047527;-6.521131;-6.6339903
ZINC000257210327;-7.1931987;-7.793614;-6.9420257;-6.8916907;-7.113505
ZINC000257210326;-7.118509;-7.37938;-6.6380863;-6.7681613;-7.0991282
ZINC000257210326;-6.545256;-6.782586;-6.9107194;-6.06169;-6.7710853
ZINC000067890217;-8.301891;-7.893445;-8.150485;-7.8174562;-7.792488
ZINC000096075215;-5.8324995;-6.0066895;-5.995622;-5.553679;-5.647192
ZINC000257242834;-6.1670737;-6.622358;-6.5142655;-6.9621735;-6.975297
ZINC000257242833;-6.644477;-6.7022963;-6.6915655;-6.419908;-6.8374515
ZINC000257248506;-7.0194707;-7.0014453;-5.987761;-6.343859;-6.525473
ZINC000257248505;-6.678105;-6.8664484;-6.1414776;-5.7981596;-6.417444
ZINC000257258749;-6.3466225;-6.6634293;-6.664836;-7.0027847;-7.038464
ZINC000257258749;-6.754037;-7.509928;-6.949484;-7.155742;-7.5585403
ZINC000068136463;-5.9523144;-6.7565517;-6.5681157;-6.740106;-6.5113535
ZINC000257263119;-7.8967466;-7.660267;-7.721842;-7.524906;-8.14537
ZINC000257263119;-8.118204;-7.949536;-7.761979;-7.6651382;-8.416357
ZINC000257263119;-7.808626;-7.446225;-7.9743176;-7.309382;-8.159009
ZINC000257263119;-7.8557415;-7.8189163;-7.54031;-7.416928;-8.343106
ZINC000257263118;-8.171298;-7.9733357;-7.7241693;-7.725122;-8.324509
ZINC000257263118;-8.123153;-7.7196918;-7.539209;-7.4890714;-8.143975
ZINC000257263118;-7.8349166;-7.850983;-7.9284244;-7.4434614;-8.27306
ZINC000257263118;-7.848178;-7.6146774;-7.726121;-7.391364;-8.224466
ZINC000257280681;-7.812716;-7.746923;-7.6594987;-7.9185324;-7.817162
ZINC000257280681;-7.7236004;-7.7326245;-7.9475713;-7.64587;-7.925529
ZINC000257280682;-7.665452;-7.726594;-7.8665667;-7.574876;-7.9107203
