name;01;02;03;04;05
ZINC000004697315;-6.224643;-5.9215674;-5.9299507;-6.1289954;-6.150836
ZINC000004709796;-6.6095457;-6.266866;-6.09505;-6.226325;-5.7355285
ZINC000004735749;-5.8972855;-6.087961;-5.9565325;-6.288144;-6.1550274
ZINC000004819747;-6.1503625;-6.1249804;-6.3240137;-6.3410463;-6.2148447
ZINC000006870601;-6.156803;-6.300767;-6.1103926;-6.2200785;-6.3198977
ZINC000006870602;-5.6893516;-6.093642;-6.154912;-6.1746225;-6.262553
ZINC000006870603;-5.8908677;-6.184246;-6.055047;-5.8690505;-5.9901724
ZINC000004825796;-6.3255873;-6.3340836;-6.2609134;-6.3717895;-6.2200265
ZINC000004825121;-6.5290437;-6.5315604;-6.488363;-6.378196;-6.5400267
ZINC000013471269;-6.479245;-6.766592;-6.544682;-7.0618124;-6.699881
ZINC000026508018;-5.5253634;-5.7243094;-5.3765244;-5.752911;-5.92927
ZINC000013801492;-6.665821;-6.5436463;-6.5704317;-6.622989;-6.6396646
ZINC000013799545;-7.095457;-6.5573635;-6.8340592;-6.9419026;-6.8593526
ZINC000013774376;-6.9564133;-6.4081864;-6.9098606;-6.8523293;-6.6720595
ZINC000013786068;-6.6857624;-6.352565;-6.473496;-6.4380484;-6.533484
ZINC000001233529;-5.8025427;-5.7607155;-5.7231116;-5.8106513;-5.791589
ZINC000005830286;-6.358529;-6.517225;-6.733789;-6.9141216;-6.6139355
ZINC000005830323;-6.334866;-6.510358;-6.7279835;-6.9059477;-6.6142907
ZINC000001261114;-6.340463;-6.173864;-6.2518363;-6.5038652;-6.350835
ZINC000005050611;-6.6595716;-7.062749;-6.58677;-6.936897;-7.237883
ZINC000005065583;-6.801179;-6.7735476;-6.7782965;-6.595055;-6.565598
ZINC000005092800;-6.4333205;-6.453078;-6.411197;-6.4836936;-6.542879
ZINC000005132085;-6.0879726;-6.217609;-5.8837576;-6.01244;-5.9966326
ZINC000017752195;-6.135657;-6.202796;-5.885585;-5.800085;-6.134801
ZINC000100004456;-6.5105243;-6.6077275;-6.5039177;-7.0164943;-6.7401567
ZINC000085874989;-6.6040344;-6.5005746;-5.8346562;-6.522484;-6.523634
ZINC000526052599;-6.635858;-5.8450904;-5.579383;-5.893312;-5.854942
ZINC000039326658;-5.726397;-5.645764;-6.2667136;-6.528016;-6.354632
ZINC000005483417;-6.7775493;-6.7801495;-6.9329095;-6.607503;-7.087513
ZINC000020256174;-6.237248;-6.5255876;-6.3349195;-6.4285975;-6.412841
ZINC000020263962;-6.513217;-5.805971;-6.4174147;-6.397936;-6.007851
ZINC000016905129;-6.2132134;-6.128006;-5.976254;-6.2479253;-5.8273215
ZINC000017028645;-6.475611;-6.582295;-6.759113;-6.754774;-6.6544104
