name;01;02;03;04;05
ZINC000004768938;-7.5965056;-8.215977;-7.3866796;-7.7433224;-7.852354
ZINC000013111066;-6.1539297;-6.1498656;-6.552055;-6.433718;-6.7789083
ZINC000004785713;-6.4693303;-6.3523054;-5.9144797;-6.2876225;-6.0124197
ZINC000004785712;-6.2183347;-5.808921;-5.8907247;-6.014324;-6.0052195
ZINC000257240511;-6.7500725;-6.8237195;-6.774908;-6.8568897;-6.8873024
ZINC000257240510;-6.3622627;-6.8653965;-6.8121686;-6.824718;-6.589155
ZINC000020131621;-6.691376;-6.9178333;-6.4381127;-6.3079753;-6.599815
ZINC000020131621;-6.840958;-6.9029713;-6.426504;-6.405935;-6.5751896
ZINC000013556354;-7.946459;-8.572101;-8.087435;-8.080678;-7.7357993
ZINC000013556350;-8.363884;-8.569939;-7.823898;-7.9621935;-7.708746
ZINC000013556348;-8.615939;-8.552505;-7.9463825;-8.324588;-8.057287
ZINC000013556353;-8.371178;-8.476081;-8.268333;-8.455541;-7.7816
ZINC000013634894;-7.8565917;-8.273618;-7.676886;-7.9760537;-7.637192
ZINC000076555448;-6.18172;-6.930382;-6.3296566;-6.338639;-6.4715295
ZINC000013634897;-7.5144258;-7.7985845;-7.2066264;-7.254965;-7.4299755
ZINC000095951341;-6.0387554;-6.040094;-6.2005854;-6.1296444;-5.8104477
ZINC000095951343;-6.7692766;-6.9787083;-7.001496;-6.88998;-7.292013
ZINC000016524799;-6.5495205;-6.7997794;-6.5541916;-6.356524;-6.4435678
ZINC000013756401;-6.8256197;-7.101192;-6.443329;-6.542976;-6.4283233
ZINC000013756403;-6.4245887;-6.3268943;-6.0209093;-6.108967;-6.099011
ZINC000005027503;-7.5269337;-8.105858;-7.2598233;-7.39829;-7.1611786
ZINC000005027506;-7.375855;-7.8238955;-6.971104;-7.0650425;-7.2044487
ZINC000005027505;-7.497889;-7.9505672;-7.020786;-7.329358;-7.2662086
ZINC000005027504;-7.1656227;-7.645165;-7.1387515;-7.2829704;-7.111183
ZINC000004905768;-7.126421;-6.9655786;-6.825134;-6.9502263;-6.4336457
ZINC000096041331;-6.343023;-6.3664646;-6.472838;-6.3175125;-6.4050913
ZINC000096039592;-6.024497;-5.5086346;-5.6809726;-5.4772453;-5.5035124
ZINC000096039593;-6.212823;-5.924916;-5.8465714;-5.79503;-5.637574
ZINC000096041342;-6.404605;-6.7556257;-7.090031;-6.7133484;-6.4328694
ZINC000096041342;-6.6331043;-6.761094;-6.4921455;-6.5428395;-6.7052164
ZINC000096039595;-5.7856073;-5.795928;-5.891444;-5.483955;-5.5027614
ZINC000096039594;-6.100366;-6.09092;-5.9068203;-6.1514077;-6.0016646
ZINC000096039591;-5.7182674;-5.836689;-5.657349;-5.373126;-5.368156
ZINC000096039597;-6.118521;-6.205858;-5.8868895;-5.903915;-5.7820244
ZINC000096039590;-5.948275;-5.9658346;-5.9587293;-6.268326;-5.8935537
ZINC000096042352;-6.0493517;-6.292254;-6.009131;-6.033677;-5.9480696
ZINC000096042018;-6.27051;-6.452588;-6.5075855;-6.575096;-6.621072
ZINC000096041508;-6.7845874;-6.533236;-6.6404424;-6.5579095;-6.4923425
ZINC000096041505;-6.397328;-6.1050763;-6.572258;-6.1420865;-6.3519297
ZINC000096041505;-6.532152;-6.702914;-6.2427096;-6.296466;-6.226857
ZINC000096041528;-6.5251694;-6.8130007;-7.020778;-6.7370863;-6.923717
ZINC000096041528;-6.488097;-6.6991444;-6.6470942;-6.8359604;-6.7630186
ZINC000096048182;-6.547182;-6.309281;-6.443782;-6.694789;-6.3967886
ZINC000096048203;-6.8515244;-6.824008;-6.766286;-7.0940604;-6.5677114
ZINC000096048183;-6.428668;-6.677808;-6.1245594;-6.5589266;-5.944266
ZINC000096048202;-7.0956273;-6.4793305;-6.771738;-7.2136316;-6.5888166
ZINC000005162718;-7.232856;-7.3169026;-6.745862;-7.0580807;-7.137374
ZINC000096048190;-6.519727;-6.3546786;-6.5530434;-6.6478786;-6.5007715
ZINC000096048181;-6.717235;-6.170947;-6.2692914;-6.616835;-6.3186784
ZINC000096048188;-6.904023;-5.850929;-6.3618383;-6.5670147;-6.2202525
ZINC000096048191;-6.601059;-6.845276;-6.1826925;-6.5530787;-6.0850024
ZINC000096048189;-7.056754;-6.121112;-6.145626;-6.633236;-6.4871845
ZINC000096048180;-6.6138964;-5.92243;-6.410476;-6.6085997;-6.1739507
ZINC000096049998;-6.4356422;-6.357898;-5.750098;-6.0980206;-6.342962
ZINC000096050011;-6.513691;-6.9866962;-6.5459604;-6.6916666;-6.826955
ZINC000096049994;-6.4211636;-6.466421;-5.615899;-6.058158;-6.2124867
ZINC000096049997;-6.2292395;-6.4130874;-5.966311;-6.391445;-6.474297
