name;01;02;03;04;05
ZINC001168592731;-6.012138;-5.521343;-5.7581506;-5.5136604;-5.407039
ZINC000157320039;-7.7027154;-7.30619;-7.6331863;-7.6125746;-7.6745915
ZINC000225222233;-7.807008;-7.833203;-7.6080594;-7.932512;-7.7404423
ZINC000736583860;-5.9785385;-5.962311;-5.850991;-5.9192142;-5.9701467
ZINC000736583863;-6.1222334;-6.0647616;-6.0786543;-6.1778812;-6.0688467
ZINC000775793991;-6.7347565;-6.8807287;-6.763991;-6.617673;-6.8713083
ZINC000764642026;-7.558947;-7.9086647;-7.590149;-7.7606487;-7.742862
ZINC000216385120;-7.0112453;-7.293608;-7.01132;-7.2415676;-7.23514
ZINC000809158412;-6.744311;-6.832529;-6.6206017;-6.740448;-6.953193
ZINC000809158409;-6.744311;-6.832529;-6.6206017;-6.740448;-6.953193
ZINC000255199379;-6.9490566;-7.2414293;-6.9537587;-7.6945205;-7.3998303
ZINC000738947306;-5.4057655;-5.6587496;-5.454745;-5.8614407;-5.4500294
ZINC000738947322;-6.110379;-6.058174;-5.8062477;-5.836041;-6.052515
ZINC000255539495;-6.8076816;-6.6935806;-6.61935;-6.947043;-6.7125397
ZINC000764665896;-7.2751303;-7.545119;-7.742468;-7.5139155;-7.58462
ZINC000825809561;-6.995338;-7.2679224;-7.101948;-7.0844135;-7.4914064
ZINC000814680777;-7.4324517;-7.3594956;-7.3310657;-7.4083943;-7.7718096
ZINC000814681076;-7.0428643;-7.4331994;-7.0048323;-7.349982;-7.3901873
ZINC000814681075;-7.234296;-7.644391;-7.1277556;-7.7087016;-7.5560718
ZINC000814681074;-6.982786;-7.5028453;-6.911953;-7.298542;-7.295704
ZINC000814681073;-7.623106;-7.6625085;-7.3833613;-7.3365703;-7.4006877
ZINC000814680761;-6.6030684;-6.7457657;-6.5759745;-7.3705826;-6.7118993
ZINC000588577156;-6.9854574;-6.9009447;-6.987936;-7.1226134;-7.295313
ZINC000814687593;-8.390649;-8.243679;-8.014349;-8.0120325;-8.332598
ZINC000814687594;-7.9176774;-8.135794;-7.7774115;-7.8978796;-8.1140785
ZINC000814687871;-7.10128;-7.462419;-7.3599267;-7.799369;-7.5480657
ZINC000814687808;-8.109324;-8.30094;-8.295151;-8.070009;-8.67226
ZINC000814687592;-8.012926;-8.291451;-7.926098;-8.043948;-8.338508
ZINC000814687591;-7.994602;-8.227295;-7.7854958;-8.342503;-8.425088
ZINC000005549049;-6.687208;-7.000844;-6.776158;-6.8826094;-7.053814
ZINC000176380311;-7.558102;-7.5334706;-7.6712236;-7.674061;-7.6484547
ZINC000814768981;-7.6727643;-7.4904766;-7.12985;-7.393092;-7.4397573
ZINC000814768982;-7.102096;-7.2580075;-6.8831015;-7.215624;-7.308679
ZINC000814768980;-7.3624854;-7.4262385;-6.963624;-7.4805923;-7.5200343
ZINC000814768973;-6.676702;-6.4536324;-6.577892;-7.2933397;-6.8447685
ZINC000814768979;-7.2722406;-7.5079937;-6.959134;-7.659059;-7.523847
ZINC000814768676;-7.1925516;-7.405322;-7.750142;-7.443095;-7.851168
