name;01;02;03;04;05
ZINC000020124419;-7.4164186;-6.7112513;-6.400203;-6.8839035;-7.07428
ZINC000084044643;-5.8511205;-6.195079;-5.976376;-5.6651726;-5.991184
ZINC000036231146;-6.3447266;-6.6744986;-6.191368;-6.4353914;-5.9594803
ZINC000036231147;-6.3160276;-7.0690517;-6.3978686;-6.274079;-6.0577884
ZINC000095115708;-5.788528;-6.265855;-6.256234;-6.42276;-6.5651627
ZINC000230071595;-6.8081203;-6.735533;-6.5467887;-6.3192673;-6.7398934
ZINC000020139228;-6.6940804;-6.6120787;-6.0538054;-6.330831;-6.2721844
ZINC000004865936;-6.3187656;-6.528363;-6.2638936;-6.405666;-6.4475837
ZINC000004865934;-6.5573697;-5.906195;-6.4550304;-6.517029;-6.3003654
ZINC000186116059;-7.4186616;-7.1178017;-6.7489443;-7.0213118;-7.0139723
ZINC000089568899;-6.6278696;-6.4772234;-6.327027;-6.456315;-6.689995
ZINC000004980605;-5.212739;-5.660122;-5.241482;-5.331904;-5.20032
ZINC000004980790;-6.2160954;-6.4375954;-6.50961;-6.4800854;-6.5277834
ZINC000089568882;-7.0461364;-7.446995;-7.0409446;-6.906253;-6.6663933
ZINC000005051351;-6.0721188;-6.030569;-5.8769865;-6.122962;-6.0411425
ZINC000005065128;-6.997147;-6.7512054;-6.5064464;-6.752235;-6.7109594
ZINC000011840152;-6.840341;-6.592025;-6.5673323;-6.372366;-6.3633347
ZINC000032860472;-7.2023277;-6.5259724;-6.7091446;-7.0612698;-7.1388407
ZINC000004813661;-7.390144;-7.116296;-6.7669673;-7.0392838;-7.2599397
ZINC000000188653;-6.086429;-5.8236012;-6.109456;-6.035177;-6.0053496
ZINC000137159784;-5.790451;-5.659649;-6.0314198;-5.592162;-6.1082172
ZINC000155104329;-8.144107;-7.0998096;-6.7972894;-7.112228;-6.961643
ZINC000037680187;-7.2407;-6.7128506;-6.708314;-7.028128;-7.0021267
ZINC000037679367;-7.1487045;-6.5913715;-6.6563945;-6.9708242;-6.862266
ZINC000037762856;-7.2892947;-6.1290994;-7.2756605;-6.866971;-6.8114004
ZINC000037777305;-6.762763;-6.861638;-6.8851933;-6.641028;-7.2420697
ZINC000037777306;-7.338768;-7.2912874;-7.008093;-6.792981;-7.302401
ZINC000005701416;-6.689052;-6.880881;-6.570359;-6.7692595;-6.6688566
ZINC000000044429;-6.208856;-6.0241847;-6.084408;-5.945839;-6.106885
ZINC000004115863;-5.731396;-5.4639544;-5.753412;-5.725003;-5.684397
ZINC000154675291;-6.4562073;-6.160659;-6.2129674;-6.1052303;-6.116141
ZINC000154675389;-6.3465605;-6.3067684;-6.2196946;-6.2245045;-6.105151
ZINC000037363399;-7.071518;-6.786012;-6.9251056;-7.055425;-7.077731
ZINC000155129267;-6.6550255;-6.0395236;-6.4557185;-6.1804447;-6.2891407
ZINC000155129173;-6.369136;-6.098685;-6.468394;-6.0610914;-6.305536
ZINC000155287377;-6.7833023;-6.6838884;-6.379999;-6.2064695;-6.4040046
ZINC000155287266;-6.228655;-6.450965;-6.319137;-6.006556;-6.426008
ZINC000037363397;-7.2176294;-6.81879;-6.988318;-7.0693846;-7.0704107
ZINC000584908564;-5.753446;-6.2179375;-6.1873612;-5.810472;-5.736941
ZINC000584908563;-5.2948985;-5.833623;-5.987708;-5.8112545;-5.738912
ZINC000006170441;-6.9511743;-6.4109178;-6.522276;-6.6652036;-6.607444
ZINC000006208947;-7.375482;-6.841538;-6.874507;-6.678296;-6.8857822
ZINC000095409276;-6.3210764;-5.955222;-6.1237864;-6.04494;-6.1923027
ZINC000186116076;-6.7378235;-6.8033724;-6.634567;-6.8466015;-6.886147
ZINC000155104232;-7.5791917;-7.154344;-6.87544;-7.09634;-6.9443808
ZINC000071123905;-7.02038;-6.3815155;-6.9300566;-6.47401;-6.715619
ZINC000071872209;-7.131576;-7.1580977;-6.9803267;-7.0812335;-6.9563756
ZINC000170088982;-7.3175125;-7.782149;-7.47266;-7.2639494;-7.0955453
ZINC000170088984;-7.2802787;-7.617894;-7.48476;-7.1456366;-7.124083
ZINC000095453782;-6.553982;-5.640295;-6.0812874;-6.148057;-6.151149
ZINC000095466182;-6.6968813;-6.2096615;-6.644314;-6.7471085;-6.7639155
ZINC000095466181;-6.374064;-6.4441895;-6.985488;-6.397949;-6.8633456
ZINC000079721042;-7.233592;-6.1879845;-7.281048;-6.9376435;-6.8813343
ZINC000097073501;-6.595325;-6.679736;-6.4036064;-6.493663;-6.7577133
ZINC000006667553;-6.0107036;-6.169651;-6.420811;-6.1135707;-6.5324464
ZINC000006667521;-6.2710805;-6.2554655;-6.3621354;-6.311392;-6.459785
ZINC000006703266;-7.1555495;-6.3831973;-6.6232677;-6.942269;-6.624099
ZINC000006703267;-7.2100334;-6.353876;-6.6216917;-6.8995075;-6.6335626
ZINC000222196933;-6.3059735;-6.37771;-6.767286;-6.394939;-6.7518544
ZINC000222196880;-6.4921646;-6.7240815;-6.8388863;-6.506784;-6.447221
ZINC000156020875;-6.78157;-7.115202;-6.4439516;-5.997652;-6.110865
ZINC000156020641;-7.1572165;-7.3418674;-6.297552;-5.983193;-6.3811364
ZINC000156020756;-6.8457255;-7.275518;-6.3080053;-6.0635076;-6.182669
ZINC000156020524;-6.621742;-6.844783;-6.5058413;-6.091443;-6.0897317
ZINC000035511249;-6.491012;-6.884756;-6.7642107;-6.542448;-6.1719065
ZINC000035511250;-6.246566;-6.9071174;-6.436279;-6.6554856;-6.002213
ZINC000043288561;-7.8420587;-6.7933693;-6.956568;-7.2557926;-7.5652227
ZINC000043288563;-7.9881988;-6.92959;-6.990259;-7.329109;-7.642659
ZINC000004530202;-6.2076187;-6.113767;-6.1713243;-5.6411114;-6.040168
ZINC000006996936;-6.1655946;-6.327888;-6.159994;-6.0899906;-6.218502
ZINC000000005579;-6.531601;-6.40983;-6.739815;-6.3171225;-6.7299933
ZINC000020735179;-6.157429;-6.2430487;-6.127849;-6.061856;-6.421308
ZINC000020735175;-6.141147;-6.1696057;-5.9889946;-6.1206903;-6.406349
ZINC000100149014;-6.745686;-6.8301096;-7.331175;-6.8130198;-7.0539055
ZINC000156669619;-6.6643915;-5.9775376;-6.3280087;-6.1658525;-6.506274
ZINC000156669480;-6.1146135;-6.0826044;-6.0669966;-6.202064;-6.1202464
