name;01;02;03;04;05
ZINC000158303570;-7.304409;-7.3614864;-7.0004134;-7.08757;-7.1076303
ZINC000095572146;-6.5885973;-6.60382;-6.647783;-6.671685;-6.806671
ZINC000126425304;-7.6329174;-7.717186;-7.418262;-7.550513;-7.7259493
ZINC001205605490;-5.596451;-6.0301023;-5.9692187;-5.806833;-5.9508414
ZINC001205605774;-5.667796;-5.696151;-5.618493;-5.648751;-5.771349
ZINC000126466973;-7.5950656;-7.5597887;-7.5071363;-7.3307176;-7.708502
ZINC000126467980;-7.393948;-7.511619;-7.38575;-7.4175544;-7.657778
ZINC000255169259;-5.9761;-6.100618;-5.93429;-6.2737103;-6.1186604
ZINC001174494897;-6.741736;-7.3595667;-6.5795603;-7.1458583;-7.013721
ZINC001212511763;-5.4719033;-5.9194098;-5.708843;-6.1004133;-5.760181
ZINC001174501055;-6.473649;-7.148356;-6.5957665;-6.8125243;-7.0506573
ZINC000188000499;-6.3032894;-6.202049;-6.1862416;-6.2682824;-6.604477
ZINC001229117283;-5.7520237;-5.6487474;-5.554264;-5.886984;-5.7511554
ZINC001592445061;-7.002338;-7.438361;-7.418878;-7.383506;-7.5570636
ZINC001229546278;-5.956443;-6.0634108;-5.6631293;-6.0833645;-5.954613
ZINC001229546281;-5.956443;-6.0634108;-5.6631293;-6.0833645;-5.954613
ZINC001238992497;-5.4560986;-5.60931;-5.37582;-5.4553857;-5.7657433
ZINC001174983270;-6.3716545;-6.6559095;-6.546054;-6.5166693;-6.4460397
ZINC001174984020;-6.0519423;-6.1381354;-5.924998;-6.214387;-6.1747723
ZINC001210006799;-6.235726;-6.4144945;-6.366659;-6.285554;-6.2359004
ZINC000184517046;-6.381799;-6.4430885;-6.3422565;-6.5452123;-6.6995115
ZINC000255380992;-6.226711;-6.355383;-6.1473093;-6.4838095;-6.392038
ZINC000255382859;-6.0587196;-6.1804028;-6.1321907;-6.261607;-6.435773
ZINC001239291377;-6.6912503;-6.9039545;-6.3729815;-6.5443225;-6.4486656
ZINC001226069016;-5.977441;-5.89718;-5.779592;-6.1989937;-6.101286
ZINC001226069017;-5.9799666;-5.900475;-5.7835693;-6.202464;-6.102618
ZINC001236002255;-5.343422;-5.330982;-5.288931;-5.2779164;-5.395678
ZINC001239362889;-5.5724773;-5.923342;-5.8345656;-6.005273;-5.7826056
ZINC001239362594;-5.326855;-5.826964;-5.446932;-5.5664206;-5.8026457
ZINC001203321473;-5.2811146;-5.9892416;-5.4514403;-5.89445;-5.5943933
ZINC001213623373;-6.7360334;-7.4548397;-6.6187625;-6.706238;-7.037964
ZINC001249960339;-5.863218;-6.0195446;-5.5945196;-5.8279424;-5.7307997
ZINC001249965644;-5.618557;-5.7101398;-5.2139635;-5.4897747;-5.512991
ZINC001589017582;-6.2459846;-6.411375;-6.260948;-6.5947814;-6.428293
ZINC001175316734;-5.912434;-6.479913;-5.9758835;-6.3554707;-6.116414
ZINC001244091311;-5.6561446;-5.57749;-5.7056055;-5.887902;-5.730457
ZINC000350730526;-6.3016114;-6.5136633;-6.2696543;-6.279108;-6.4028854
ZINC001244117194;-5.6181865;-5.7862988;-5.696746;-5.8067055;-5.746804
ZINC001243512821;-5.2458453;-5.6148915;-5.6461926;-5.7444835;-5.644514
ZINC001243515473;-5.764662;-6.0568714;-6.001537;-6.1703215;-5.991767
ZINC001243519032;-5.5594015;-5.9222746;-5.9068804;-5.7229223;-6.01162
ZINC001222411845;-5.4262276;-5.7291613;-5.7087793;-5.774624;-5.608029
ZINC001222412265;-5.3177567;-5.6079955;-5.6405525;-5.7274294;-5.7213397
ZINC001222425028;-5.5394645;-5.5129466;-5.8766437;-5.7339907;-5.683582
ZINC000753161699;-7.3698826;-7.6941833;-7.741343;-7.5376773;-7.7939205
ZINC000753161200;-6.763792;-6.984951;-7.1814427;-7.075614;-7.0258145
ZINC000753162042;-6.574769;-6.895893;-6.6989036;-6.9588957;-7.002041
ZINC000740702798;-6.3199;-6.3777704;-6.0885677;-6.316346;-6.5701427
ZINC001222648574;-5.606397;-5.987721;-6.625935;-5.968574;-5.9587207
ZINC001215270290;-5.8675623;-6.389;-6.0323706;-6.2671337;-6.143764
ZINC001215459600;-6.008354;-6.398727;-6.079886;-6.338108;-6.1276336
ZINC001215611903;-5.537532;-5.790959;-5.929735;-5.7452173;-5.897299
ZINC001595131629;-6.193142;-6.499764;-6.3652043;-6.5761576;-6.3465786
ZINC001595131628;-6.210563;-6.387333;-6.09419;-6.2690396;-6.3733916
ZINC000806558349;-6.703561;-6.8073087;-6.6005497;-6.9136863;-6.7871456
ZINC000806558513;-6.893136;-7.1386495;-6.669659;-6.9425426;-6.887585
