name;01;02;03;04;05
ZINC000546933611;-8.05844;-7.804963;-7.757893;-8.237019;-7.8650465
ZINC001229394969;-6.318161;-6.4656;-6.0073094;-6.7760434;-6.5297003
ZINC001229394968;-6.492614;-6.5314984;-6.06113;-6.7452736;-6.6555486
ZINC001229398126;-7.277255;-7.789667;-7.0515537;-7.6458826;-7.174492
ZINC001229395525;-7.1928215;-7.634231;-6.7625012;-7.0115924;-6.8408475
ZINC001229394959;-7.038141;-7.4252267;-7.359816;-7.4260597;-7.1689515
ZINC001229396734;-7.0555325;-7.3724465;-6.9555264;-7.285694;-6.849476
ZINC001229396121;-6.7279506;-7.3682556;-7.021753;-7.2119393;-7.142297
ZINC001229395973;-7.5677505;-7.30527;-7.0596423;-7.495622;-7.1225114
ZINC001229395359;-7.159512;-7.602617;-7.14036;-7.9042673;-7.098473
ZINC001229395784;-7.2102194;-7.6157875;-7.3174486;-7.5089083;-7.1598034
ZINC001229396712;-6.4403353;-6.7538605;-6.5333967;-7.0921507;-6.5092435
ZINC001229396754;-7.025178;-7.2906127;-6.896992;-7.291615;-6.857845
ZINC001229396753;-7.028601;-7.28945;-6.892476;-7.2897024;-6.856331
ZINC001229395429;-6.9220695;-7.0673404;-6.6606274;-7.0037804;-6.8337493
ZINC001229394642;-7.4396343;-7.332367;-7.300385;-7.4400783;-7.0881834
ZINC001229396336;-7.2809353;-7.5104303;-7.038185;-7.399499;-7.0862193
ZINC001229397227;-7.154092;-7.645304;-6.7440786;-7.076891;-6.917561
ZINC001229396122;-6.7270675;-7.362568;-7.0198703;-7.208243;-7.146271
ZINC001229395133;-7.283349;-7.2366667;-7.1347694;-7.913513;-7.0854454
ZINC001229396342;-7.3405304;-7.4669404;-7.304336;-7.5061955;-7.149638
ZINC001229394974;-6.4150586;-6.731393;-6.0081487;-6.69383;-6.347255
ZINC001229397905;-7.534603;-7.506819;-7.296219;-7.458273;-7.4017067
ZINC001229397967;-7.082596;-7.324284;-6.8472795;-7.334925;-7.051522
ZINC001229397015;-6.749303;-7.3013277;-6.8189087;-7.1203194;-6.7200503
ZINC001229398129;-7.1798005;-7.6210213;-6.940884;-7.6526337;-7.3315763
ZINC001229395139;-7.125152;-7.3406773;-7.0805554;-7.423664;-7.0417747
ZINC001229395970;-7.176877;-7.3403964;-7.093271;-7.57616;-7.285438
ZINC001229395439;-7.0696816;-7.000124;-6.919223;-7.065119;-6.688494
ZINC001229395786;-7.295135;-7.7131214;-7.696398;-7.5048666;-7.14087
ZINC001229396334;-7.2786555;-7.5071883;-7.0254774;-7.407941;-7.1007376
ZINC001229394751;-6.5260744;-6.6255293;-6.259225;-6.754813;-6.5962057
ZINC001229396674;-7.1261683;-7.4366097;-6.6599216;-7.272399;-6.9724755
ZINC001229395526;-7.1197658;-7.6835585;-6.8104677;-7.054868;-6.785777
ZINC001229395361;-7.5655656;-7.6984625;-7.470415;-7.608016;-6.9952826
ZINC001229396128;-6.826311;-7.126001;-6.752496;-7.046662;-6.8380566
ZINC001229395435;-7.037982;-7.0451403;-6.9308553;-7.105508;-6.6845217
ZINC001229395136;-7.509707;-7.479586;-7.455562;-7.7295384;-7.2124825
ZINC001229396007;-7.1889234;-7.447837;-7.379502;-7.39632;-6.9644527
ZINC001229394749;-6.5068016;-6.690739;-6.3057027;-6.7526627;-6.6426287
ZINC001229396340;-7.307435;-7.3212013;-7.324253;-7.655594;-7.0666666
ZINC001229396833;-7.012324;-7.604293;-7.4355946;-7.495982;-7.0863976
ZINC001229395785;-7.1936617;-7.5773764;-7.313755;-7.4915752;-7.042402
ZINC001229396441;-7.7789497;-8.137314;-7.6872478;-7.7818775;-7.9148283
ZINC001229396010;-7.0532837;-7.337265;-6.8160796;-7.312934;-7.0372734
ZINC001229397016;-6.748493;-7.304775;-6.8198214;-7.1230583;-6.7204394
ZINC001229396341;-7.2843037;-7.412859;-7.096104;-7.5574837;-7.050593
ZINC001229396008;-7.202035;-7.4823375;-7.2109623;-7.448368;-6.9716644
ZINC001229395971;-7.2003098;-7.494252;-7.116266;-7.4405293;-7.106061
ZINC001229397480;-7.290331;-7.306809;-7.051938;-7.197818;-7.1166945
ZINC001229396711;-6.478713;-6.768341;-6.624237;-7.0898066;-6.594977
ZINC001229397505;-7.1586337;-7.6023407;-7.398927;-7.565621;-7.319047
ZINC001229396830;-7.0095425;-7.4331994;-7.052525;-7.4594264;-6.9281373
ZINC001229396343;-7.357298;-7.363518;-7.177063;-7.4988027;-7.2263556
ZINC001229397025;-7.337617;-7.289836;-6.95623;-7.26867;-7.304571
ZINC001229396349;-7.4967594;-7.3679266;-6.8532495;-7.223731;-7.099321
ZINC001229395432;-6.959615;-7.0665317;-6.680018;-7.011091;-6.8446436
ZINC001229397481;-7.02909;-7.472391;-7.0670223;-7.437709;-7.2075644
ZINC001229395787;-7.274754;-7.6849585;-7.309265;-7.718159;-7.217345
ZINC001229395360;-7.186223;-7.4917145;-7.2340527;-7.431134;-7.0585446
ZINC001229395967;-6.486491;-6.481546;-6.1848965;-6.484747;-6.086732
ZINC001229394863;-7.3408594;-7.3081923;-6.888997;-7.314265;-7.1456404
ZINC001229395135;-7.284802;-7.3321056;-7.450523;-7.6368623;-7.036384
