name;01;02;03;04;05
ZINC000004699189;-6.716254;-6.9581623;-6.699348;-6.7985864;-6.7582035
ZINC000004705047;-7.348904;-7.3008194;-7.362567;-7.3867435;-7.477212
ZINC000004715996;-6.8362923;-6.9286017;-6.975643;-7.151947;-7.235542
ZINC000004738063;-7.055525;-7.1183066;-6.8143744;-6.940986;-7.1426005
ZINC000004737765;-8.238984;-8.092202;-8.152497;-7.917069;-8.142345
ZINC000004738069;-6.4970307;-6.6956177;-6.6758623;-6.5845785;-6.7404656
ZINC000008322580;-6.4944453;-7.067379;-6.595994;-6.9349637;-6.8019385
ZINC000013920231;-7.448744;-6.911168;-7.07836;-7.1345706;-7.1067367
ZINC000004828348;-5.950596;-6.3901815;-6.425366;-6.272279;-6.221068
ZINC000008385505;-6.1385884;-6.059228;-5.9944777;-5.9295607;-6.2052913
ZINC000095919520;-6.270134;-6.1284065;-6.0313807;-6.0924654;-6.3602333
ZINC000004865535;-7.0125885;-7.0966372;-6.452759;-6.8629336;-6.942259
ZINC000016998607;-7.03784;-7.010643;-6.876111;-6.7904973;-6.9444184
ZINC000016977770;-6.97261;-6.616985;-6.5592723;-6.7166414;-6.6995945
ZINC000004871697;-6.9397564;-6.8317466;-6.6462803;-6.6919913;-6.869009
ZINC000033610680;-5.873964;-5.1932864;-5.302312;-5.5307665;-5.279852
ZINC000034872065;-8.180688;-7.9290533;-7.5179315;-7.8878784;-7.984644
ZINC000020166515;-7.2272406;-7.2642694;-7.049527;-7.0073204;-7.021781
ZINC000312104507;-6.7277775;-6.8751945;-6.7880254;-6.9303555;-6.838531
ZINC000004939516;-6.5815945;-6.5573854;-6.3829165;-6.436632;-6.5227466
ZINC000004955172;-6.475827;-6.689243;-6.411266;-6.494832;-6.620085
ZINC000252462190;-7.295827;-7.3268337;-6.800268;-7.0808396;-7.033229
ZINC000004996108;-6.9246335;-6.774379;-6.6614585;-6.694024;-6.9149218
ZINC000252463714;-6.421056;-6.8827453;-6.6851525;-6.7464013;-7.001232
ZINC000252512663;-7.2431717;-7.1631017;-6.900294;-7.0098925;-7.2511854
ZINC000252601718;-6.405202;-5.5232677;-6.014451;-5.981639;-6.154086
ZINC000252613775;-6.5564013;-6.8117127;-6.5003176;-6.764357;-6.911871
ZINC000252621786;-7.0784073;-7.2280507;-7.2030907;-7.18135;-7.579848
ZINC000252621090;-7.6003494;-7.2214003;-7.2541265;-7.1884103;-7.4061894
ZINC000005125478;-7.4000783;-7.3881106;-7.4374485;-7.087195;-7.5107675
ZINC000002272768;-6.873516;-6.8978763;-6.690036;-6.962595;-7.056443
ZINC000005177989;-6.590236;-6.9890413;-6.6771035;-6.4668226;-6.7091455
ZINC000027474004;-7.572682;-7.3921843;-7.2357025;-7.306243;-7.401404
ZINC000238937470;-6.208975;-6.0888095;-6.2458677;-6.240036;-6.3894854
ZINC000238937471;-6.2521634;-6.14526;-6.233152;-6.262446;-6.4042377
ZINC000085476854;-6.5781984;-6.468627;-6.351966;-6.3555193;-6.467314
ZINC000005265653;-7.379567;-7.233455;-6.94359;-7.302473;-6.869851
ZINC000005287368;-7.2606564;-7.5367055;-7.535711;-7.012437;-7.4466143
ZINC000005288600;-7.2084737;-7.4296703;-7.2775955;-7.349182;-7.5078
ZINC000005286757;-7.787916;-7.9897876;-7.821027;-7.5302796;-7.7534976
ZINC000033474189;-8.069121;-8.032967;-7.8840823;-7.82978;-7.775675
ZINC000005417510;-6.7258053;-6.5375037;-7.007323;-6.91329;-6.7068663
ZINC000254399859;-7.013936;-6.7979784;-6.217787;-7.1367455;-6.7954884
ZINC000002339796;-6.8347325;-6.976849;-6.8981323;-6.9564667;-7.3816056
ZINC000000159949;-7.063986;-6.937586;-6.736913;-7.072738;-7.090211
ZINC000005483169;-6.6121163;-6.589013;-6.3083825;-6.6252794;-6.5516877
ZINC000035287410;-6.8826537;-6.4221106;-6.4559717;-6.762046;-6.457112
ZINC000005508729;-7.2838473;-7.5795703;-7.585478;-7.4942;-7.566492
ZINC000005529472;-6.7046056;-6.3870955;-6.5812063;-6.4823008;-6.620095
ZINC000096663719;-6.0848584;-6.528627;-5.8589244;-6.2934265;-6.026
ZINC000003080700;-6.200677;-6.0423117;-5.8597474;-5.8440323;-6.3258953
ZINC000098045061;-5.918733;-6.0912685;-6.261016;-6.014504;-6.065954
ZINC000096792728;-6.2406855;-6.952897;-6.409265;-6.675775;-6.707657
ZINC000096792532;-6.725635;-6.8894444;-6.686473;-7.0555706;-6.8530045
ZINC000012976525;-6.8553286;-7.028427;-6.518785;-6.7726593;-6.6397004
ZINC000012978279;-6.4898176;-6.7659445;-6.353325;-6.574835;-6.3365655
ZINC000005583504;-7.6739955;-7.587232;-7.1466184;-7.125281;-7.220112
ZINC000005592193;-7.0096316;-6.8759394;-6.589076;-6.814349;-6.8334394
ZINC000328595353;-7.952979;-8.280297;-7.570097;-7.757039;-7.978718
ZINC000019860561;-7.581506;-7.1012497;-7.4677196;-7.1095304;-7.129394
ZINC000071328550;-6.0400834;-5.734531;-5.454404;-5.5002337;-5.7439346
ZINC000079111964;-6.9714046;-7.120262;-6.6902914;-7.0654907;-7.1232495
ZINC000091297097;-6.413544;-5.8827066;-5.9925528;-5.9116917;-6.315158
ZINC000005678792;-6.4765234;-6.570221;-6.1950636;-6.272005;-6.413235
ZINC000095389708;-6.41096;-6.572745;-6.6103806;-6.6887507;-6.9344487
ZINC000005686823;-6.9396424;-6.81467;-6.3432145;-6.8125973;-7.0072856
ZINC000095389709;-6.41096;-6.572745;-6.6103806;-6.6887507;-6.9344487
ZINC000096920058;-5.733176;-6.683101;-6.480031;-6.5344195;-6.596164
ZINC000005725895;-5.4457216;-5.7135024;-5.58934;-5.62704;-5.81223
ZINC000005731529;-6.9058366;-7.1616387;-6.6021976;-6.6044216;-6.816563
ZINC000254307409;-5.950596;-6.3901815;-6.425366;-6.272279;-6.221068
ZINC000044602952;-6.970387;-6.83696;-6.7283173;-6.799729;-6.838732
ZINC000096191632;-6.836735;-6.633232;-6.447448;-6.7916417;-6.8730297
ZINC000005777623;-7.026141;-6.955703;-7.0419374;-6.8955355;-7.0945783
ZINC000005777619;-7.026141;-6.955703;-7.0419374;-6.8955355;-7.0945783
ZINC000096316469;-6.4507337;-6.810415;-6.617093;-6.7378683;-6.7543707
ZINC000096336788;-6.5191736;-6.583441;-6.1219134;-6.7906504;-6.408496
ZINC000005823266;-5.4856935;-5.562004;-5.8602486;-5.8687277;-5.869937
ZINC000038529628;-3.658742;-3.879972;-3.8155875;-3.8280447;-3.7994208
ZINC000002493678;-6.668421;-6.485845;-5.9866743;-6.218459;-6.2123995
ZINC000198088011;-5.051441;-5.398757;-5.1280584;-5.0707345;-5.3724647
ZINC000254791665;-7.422469;-7.4377136;-6.910337;-6.94153;-7.181119
ZINC000101147854;-3.775623;-4.071216;-4.0792274;-4.112113;-3.8124719
ZINC000039023373;-6.978449;-6.893592;-6.6162686;-6.871481;-6.967305
ZINC000005981742;-7.755007;-7.456126;-7.398454;-7.127189;-7.540602
ZINC000005998841;-7.110894;-7.1543117;-6.850272;-6.7840614;-7.071425
ZINC000031773584;-7.2945848;-6.8405957;-6.6482735;-6.67938;-6.75569
ZINC000004023430;-5.9646497;-5.839803;-5.393429;-5.6671906;-5.841963
ZINC000004023431;-6.101244;-5.94641;-5.6502156;-5.818327;-6.1015344
ZINC000004025273;-6.1516733;-6.074329;-6.028702;-6.0320973;-6.4608226
ZINC000004025274;-6.390676;-6.100359;-6.1229835;-6.1489997;-6.3218813
ZINC000004023432;-5.794273;-5.586062;-5.238538;-5.489358;-5.7212973
ZINC000006293997;-6.806841;-7.2097983;-7.003898;-7.162955;-7.080491
ZINC000032502226;-7.2108603;-7.241353;-6.790966;-6.9478564;-6.7883725
ZINC000032502231;-7.347683;-7.4071245;-7.062557;-7.266136;-6.91188
ZINC000004279052;-6.790249;-6.827729;-6.6465087;-6.8256617;-6.934206
ZINC000004279009;-6.3161626;-6.239959;-6.1138735;-6.109259;-6.219816
ZINC000032502234;-7.337148;-7.4500976;-6.9821806;-7.0715017;-6.997154
ZINC000032502245;-7.56684;-7.7298145;-7.2239065;-7.42266;-7.196718
ZINC000032502229;-7.441109;-7.386131;-6.94434;-7.1694727;-7.1279907
ZINC000004279014;-6.3753166;-6.352108;-6.3064165;-6.2317195;-6.4690475
ZINC000032502246;-7.4287176;-7.5438223;-7.169607;-7.2579913;-7.322941
ZINC000006339675;-6.8313913;-7.051184;-6.7555075;-7.0185823;-6.9928474
ZINC000006349985;-5.9439006;-5.8303657;-5.85485;-6.298613;-6.038304
ZINC000107841015;-5.8763237;-6.031075;-5.84076;-5.6349916;-6.104802
ZINC000006403074;-6.243478;-6.4220843;-6.1716676;-6.3618193;-6.183394
ZINC000095883148;-6.2031946;-6.525861;-5.9768634;-6.325342;-6.238493
ZINC000095883149;-5.9835067;-6.299887;-6.0939703;-6.1434145;-6.1413364
ZINC000071784713;-6.3393784;-6.4915857;-6.204643;-6.2387505;-6.56378
ZINC000006494008;-6.9299765;-6.762823;-6.7760377;-6.7362266;-6.8906794
ZINC000006493554;-7.040261;-6.853631;-6.783351;-6.8651896;-6.897037
ZINC000006495660;-6.7461066;-7.0243506;-6.73237;-6.957384;-7.1064863
ZINC000006519868;-6.327558;-6.727118;-6.283478;-6.482063;-6.248241
ZINC000102311428;-7.48968;-7.262456;-7.303565;-7.263406;-7.489747
ZINC000011905640;-6.9627724;-6.8202825;-7.1373844;-6.861614;-7.1605144
ZINC000011903724;-6.203583;-6.3390455;-6.48579;-6.4979095;-6.6717734
ZINC000006665786;-7.665444;-6.9957943;-6.988708;-7.164319;-7.074111
ZINC000252638697;-6.7652917;-6.272581;-6.090928;-6.3288383;-6.425019
ZINC000036031843;-7.603597;-7.7189937;-7.699624;-7.887921;-7.7389727
ZINC000039337622;-5.248435;-5.2305255;-5.26852;-5.2475452;-5.0686865
ZINC000004673195;-6.727022;-6.460365;-6.5962634;-6.597496;-6.3543043
ZINC000004673193;-6.602995;-6.7953715;-6.343444;-6.5646133;-6.580335
ZINC000004673194;-6.6407685;-6.251314;-6.426255;-6.4075594;-6.3446503
ZINC000006926063;-6.6388016;-6.4172535;-6.476948;-6.3666015;-6.52569
ZINC000006926919;-6.770089;-6.267403;-6.183388;-6.2513947;-6.419325
ZINC000100067316;-6.370222;-6.1754594;-5.861613;-6.317052;-6.25269
ZINC000100456082;-6.978878;-7.0432487;-6.8204145;-7.0342503;-6.845736
ZINC000000219068;-7.7955337;-7.4676576;-7.5563083;-7.4463;-7.5600047
ZINC000052859220;-6.5387764;-6.9037;-6.7506056;-6.99256;-7.000741
ZINC000252461675;-5.9880085;-5.8106046;-5.536172;-5.8600397;-5.9752703
ZINC000000076548;-6.3753314;-6.9184475;-6.4096737;-6.4672813;-6.472887
ZINC000071788297;-5.930502;-6.1321244;-5.8278923;-5.896466;-6.0604973
ZINC000020841062;-6.089859;-5.9967604;-5.7112346;-5.8359065;-5.8534083
ZINC000007333372;-6.39719;-6.620445;-6.5352116;-6.6229973;-6.767084
ZINC000103259756;-6.993267;-6.742289;-7.173703;-7.0360103;-6.9416895
ZINC000103259709;-6.940275;-6.535734;-6.8904;-6.5458193;-6.806994
ZINC000103259711;-6.940275;-6.535734;-6.8904;-6.5458193;-6.806994
ZINC000103259753;-6.993267;-6.742289;-7.173703;-7.0360103;-6.9416895
ZINC000002861642;-6.56676;-6.7488527;-6.854299;-6.9610267;-6.9100885
ZINC000007712435;-6.326181;-6.626153;-6.266924;-6.589307;-6.627577
ZINC000007713705;-6.401005;-6.923797;-6.4228597;-6.6847796;-6.7439356
ZINC000014921220;-7.137344;-7.208365;-6.954133;-6.9246807;-7.264854
