name;01;02;03;04;05
ZINC000001613243;-6.3585663;-6.62456;-6.27577;-6.483863;-6.505377
ZINC000002379608;-6.205431;-6.137133;-5.9152575;-5.9439564;-6.157341
ZINC000952844769;-6.863495;-6.218102;-6.601892;-6.5664883;-6.248473
ZINC000004692527;-6.520487;-6.2904844;-6.4023485;-6.393364;-6.110084
ZINC000408784434;-6.154258;-6.4732804;-6.214925;-6.5477314;-6.4866495
ZINC000104830877;-6.464277;-6.7497888;-6.820214;-6.809272;-6.7021303
ZINC000408729118;-6.862509;-7.0821495;-6.921006;-6.691748;-6.912572
ZINC000004963512;-6.460111;-6.6043744;-6.37933;-6.497482;-6.500617
ZINC000100161179;-6.800618;-6.6259136;-6.6718216;-6.6808596;-6.753357
ZINC000005004467;-6.603479;-6.702975;-6.526507;-6.5958323;-6.4211264
ZINC000005004466;-5.7964954;-5.983184;-6.278561;-5.990294;-6.282449
ZINC000005004469;-6.6607623;-6.7897816;-6.0084205;-6.532327;-6.516734
ZINC000005004470;-6.8035364;-6.47322;-6.659742;-6.658158;-6.6049275
ZINC000026508648;-6.832378;-7.2351832;-6.751665;-7.124557;-7.034315
ZINC000005163487;-6.846163;-6.730523;-6.43844;-6.729141;-6.8184857
ZINC000260840642;-6.769377;-6.769896;-6.678387;-6.6936636;-7.058803
ZINC000008116531;-5.943944;-5.857963;-5.8243465;-6.1440988;-6.0551887
ZINC000143853965;-7.307625;-7.5154514;-7.3257666;-7.1951127;-7.505471
ZINC000110504091;-6.6513968;-7.2258873;-6.9952035;-7.074363;-7.1297994
ZINC000137938434;-5.823988;-6.109203;-5.882247;-5.859377;-5.901065
ZINC000107986513;-6.340542;-7.086878;-6.909109;-6.677122;-6.8059072
ZINC000005410342;-6.006237;-5.938573;-5.4982324;-6.0834475;-5.821231
ZINC000106029521;-5.989653;-6.0046105;-5.9856315;-6.564279;-6.164405
ZINC000033663492;-7.1608152;-7.1629505;-7.1463566;-7.178024;-7.2099195
ZINC000137602428;-6.6254115;-6.7139616;-6.5933537;-6.6218553;-6.579273
ZINC000108918266;-6.3307066;-6.815981;-6.6003704;-6.6047964;-6.717441
ZINC000100686080;-7.0454783;-7.250758;-7.233273;-7.1183186;-7.2552967
