name;01;02;03;04;05
ZINC000256002867;-5.6706805;-5.888302;-5.6855764;-5.9291196;-5.7427115
ZINC000256053317;-5.2881417;-5.2401795;-5.017481;-5.533959;-5.5504146
ZINC000257223989;-6.6846952;-6.4206357;-6.578323;-6.6214786;-6.672567
ZINC000257223990;-6.5333657;-6.4929094;-6.425779;-6.289573;-6.394539
ZINC000005121198;-6.95715;-7.05444;-6.98063;-6.824027;-6.9721355
ZINC000257236353;-6.88627;-6.481735;-6.6151266;-6.501752;-6.482188
ZINC000257236352;-6.9397516;-6.5100527;-6.661026;-6.660796;-6.90753
ZINC000004877407;-5.70456;-5.895115;-6.0645275;-6.12257;-6.2181797
ZINC000076555396;-6.3423157;-6.2590246;-6.507602;-6.665681;-6.5159717
ZINC000076555395;-6.262087;-6.5617867;-6.4145975;-6.7419553;-6.7715936
ZINC000076555500;-6.6750507;-6.7803097;-6.6490297;-6.878437;-6.8938828
ZINC000076555498;-6.74831;-6.6550074;-6.7129793;-6.87662;-6.68764
ZINC000020156957;-6.2170715;-6.391694;-6.226398;-6.099279;-6.2272453
ZINC000004962737;-6.5423803;-6.7048354;-6.7155585;-6.866994;-7.164811
ZINC000004962696;-6.113695;-6.521245;-6.670227;-6.7759295;-7.0395494
ZINC000004991040;-6.678829;-6.8276143;-6.712824;-7.1405587;-7.3930025
ZINC000043463635;-5.3884974;-5.3908405;-5.248244;-5.24131;-5.472908
ZINC000020195604;-7.081307;-6.7809954;-6.7336416;-6.993316;-6.8446503
ZINC000020195637;-6.908484;-6.732719;-6.5978794;-6.7298574;-6.964734
ZINC000020195602;-7.005191;-6.862477;-6.8670335;-6.9168105;-6.824738
ZINC000020195600;-7.1624227;-6.9501;-6.905672;-6.9694557;-7.218892
ZINC000005082440;-7.0438957;-7.084419;-7.1658764;-7.156861;-7.251656
ZINC000005082443;-6.9494934;-7.3069777;-7.1740103;-7.0807133;-7.408517
ZINC000005082441;-6.6608872;-7.176117;-6.9769797;-6.9338474;-7.29002
ZINC000006496327;-6.998758;-6.934079;-6.928604;-6.925176;-7.0354166
ZINC000035242265;-6.0687723;-6.3831115;-6.1228237;-6.1989956;-6.3240886
ZINC000005413377;-5.794153;-5.820345;-5.745707;-5.990575;-6.264023
ZINC000005479251;-7.5157475;-7.0080624;-7.15874;-7.3352737;-7.0890245
ZINC000685938504;-5.140062;-4.8443336;-4.802554;-5.0217357;-4.7326217
ZINC000685938458;-5.1090145;-5.543272;-5.2595477;-5.6989913;-5.317416
ZINC000685938099;-5.2362504;-5.5853314;-5.333744;-5.503991;-5.268881
ZINC000005535422;-6.754434;-6.7278852;-6.1812553;-6.2724957;-6.339422
ZINC000005535418;-6.8111615;-6.737803;-6.516336;-6.416135;-6.52282
ZINC000064875367;-6.3367014;-6.520792;-6.779806;-6.4755177;-6.8575015
ZINC000064875388;-6.3393307;-6.6010447;-6.7251444;-6.5687838;-6.675193
ZINC000064875393;-6.286034;-6.438343;-6.8217096;-6.428296;-6.5224276
ZINC000095094777;-7.0258923;-7.039937;-6.9203653;-6.9074764;-6.9853873
ZINC000095094776;-6.924966;-6.9764624;-6.8198414;-6.7745285;-6.887094
ZINC000095094775;-7.1588125;-6.945265;-7.011663;-6.8927026;-7.142897
ZINC000095094782;-6.880384;-6.8656883;-6.9081216;-6.689925;-6.8307962
ZINC000095094781;-6.7615175;-6.678722;-6.576876;-6.470344;-6.640243
ZINC000005687238;-6.425459;-6.785019;-6.5628395;-6.4575524;-6.6004386
ZINC000005724885;-6.3038063;-6.368943;-6.2793303;-6.351474;-6.4826527
ZINC000005728661;-6.2048125;-6.4436483;-6.4651985;-6.2941046;-6.404917
ZINC000096024595;-6.430797;-6.428197;-6.434784;-6.2903533;-6.547495
ZINC000096024593;-6.198246;-6.1123843;-6.3531876;-6.265;-6.2162724
ZINC000096032877;-5.792228;-5.553657;-6.0468664;-5.862741;-5.8836627
ZINC000096032878;-5.968136;-5.8759446;-6.1400537;-5.805583;-6.1936917
ZINC000005868089;-7.185633;-7.154422;-7.0120735;-6.7727346;-6.6968
ZINC000005973609;-6.781441;-6.5043726;-6.0887628;-6.3966007;-6.5259147
ZINC000005973619;-6.55812;-6.377234;-6.154744;-6.3522744;-6.319346
ZINC000005973607;-6.554489;-6.4806943;-5.622118;-6.478296;-6.217952
ZINC000020374723;-6.155675;-5.9659233;-6.08934;-6.1290283;-6.2656937
ZINC000216912688;-6.236416;-6.343829;-6.179264;-6.196808;-6.0976753
ZINC000216912608;-6.1378174;-6.2190123;-6.0218005;-6.2454305;-6.222932
ZINC000216912648;-6.638691;-6.4947586;-6.4486365;-6.514355;-6.59439
ZINC000006292090;-6.005138;-6.5633593;-6.3621864;-6.318172;-6.5268984
ZINC000006292157;-6.485575;-6.7833457;-6.6879773;-6.652179;-6.8342953
ZINC000006379297;-6.9157524;-6.6731753;-6.404413;-6.278317;-6.489633
ZINC000006379299;-6.727313;-6.7492375;-6.3732123;-6.412322;-6.411774
ZINC000040169519;-6.292804;-6.4659314;-6.4046574;-6.455159;-6.1892967
ZINC000040169519;-6.5990114;-6.920966;-6.8482823;-6.8055763;-6.5352364
ZINC000040174051;-6.787366;-6.5225105;-6.4296913;-6.408992;-6.6900873
ZINC000040174491;-6.5978537;-6.6840906;-6.5072393;-6.4658995;-6.590351
ZINC000040174491;-6.434403;-6.538595;-6.5138216;-6.458643;-6.7160187
ZINC000040174493;-6.980034;-7.011397;-6.9013977;-6.8432674;-7.0699625
ZINC000040174493;-6.7822013;-6.9898834;-7.074145;-6.8094983;-7.082802
ZINC000040174517;-6.730393;-6.6459503;-6.4757705;-6.411646;-6.786058
ZINC000040174517;-6.6643496;-6.764015;-6.5086403;-6.3814287;-6.684428
ZINC000040174515;-6.9429193;-6.9469647;-6.8503838;-6.7119007;-6.9902496
ZINC000040174515;-6.994977;-6.878646;-7.066008;-6.727437;-7.0816975
ZINC000040174421;-7.2754107;-7.170424;-7.2979026;-7.124297;-7.1191015
ZINC000040174421;-7.0582128;-7.260605;-7.479093;-7.0871863;-7.241064
ZINC000040174049;-7.012305;-6.4985685;-6.351848;-6.551416;-6.796141
ZINC000040175761;-6.3337603;-6.3897758;-6.27363;-6.5289497;-6.467593
ZINC000040175761;-6.311057;-6.3051515;-6.4576373;-6.406658;-6.3361335
ZINC000685938739;-6.232134;-6.388007;-6.3305545;-6.646252;-6.4706306
ZINC000005211096;-6.896542;-6.9180403;-6.5165367;-6.650308;-6.533346
ZINC000020635368;-5.3402586;-5.4479947;-6.0493994;-5.7540603;-5.5033813
ZINC000000132051;-6.6605806;-6.7840557;-6.665462;-6.5345535;-6.9204764
ZINC000007343617;-6.7550073;-6.4140644;-6.5890374;-6.577472;-6.1095624
ZINC000007343616;-6.6804156;-6.8435464;-6.2186804;-6.484455;-6.4172544
ZINC000007343619;-6.2234507;-6.1618;-6.2788124;-6.20948;-6.355673
ZINC000007343618;-6.5494823;-6.3937645;-6.3767877;-6.465197;-6.589292
ZINC000031553992;-5.4257135;-5.353895;-5.5525045;-5.8492355;-5.5759807
ZINC000032130145;-5.517112;-5.729645;-5.793086;-5.794295;-5.589845
ZINC000008048394;-6.704817;-6.815807;-6.558527;-6.795644;-6.6519523
ZINC000008048394;-6.449085;-6.5007863;-6.247391;-6.5101404;-6.3946247
ZINC000042013356;-6.5624733;-6.50117;-6.266561;-6.560776;-6.6147285
ZINC000042013356;-6.522835;-6.6868315;-6.3265915;-6.7306676;-6.604997
ZINC000078374296;-6.7997417;-6.6278524;-6.428513;-6.6585484;-6.6775746
ZINC000078401437;-6.7995777;-6.747445;-6.668936;-6.8625293;-6.577729
ZINC000078401626;-6.737761;-7.025934;-6.797429;-6.826295;-6.9467025
ZINC000078401630;-6.1488814;-6.826679;-6.368102;-6.141737;-6.2374263
ZINC000008616448;-7.238007;-7.1891603;-7.3575187;-7.080985;-7.4988065
ZINC000008616449;-7.127985;-7.0235853;-7.0849404;-7.091872;-7.2266607
ZINC000008616302;-7.0453153;-7.3061895;-7.3546696;-7.023367;-7.596597
ZINC000216919434;-6.5845504;-6.3513045;-6.445908;-6.351906;-6.4873424
ZINC000216919506;-6.295587;-6.2651052;-6.2104096;-6.415182;-6.57631
ZINC000021999615;-6.4201126;-6.446289;-6.739279;-7.005911;-7.0524697
ZINC000022124682;-6.7774076;-6.8434277;-6.5812125;-6.6630354;-6.665127
ZINC000022124497;-6.0889707;-6.060364;-5.8779435;-6.210827;-5.9663982
ZINC000022124509;-6.3477154;-6.2429214;-6.2278094;-6.3105197;-6.3392916
ZINC000022124689;-6.6884804;-6.9612236;-7.0413985;-7.019719;-6.877582
ZINC000022147779;-6.006331;-6.1804724;-6.080908;-5.967597;-5.785879
ZINC000299817213;-6.053053;-5.9076667;-6.2031913;-6.1384788;-6.0168066
ZINC000299817230;-6.278035;-5.994413;-6.1105766;-6.2380733;-6.195192
ZINC000299817214;-6.3699923;-6.2248707;-6.3040996;-6.1100335;-6.2999816
ZINC000299817229;-6.2832513;-5.943572;-6.091654;-6.2361684;-6.226431
ZINC000064874845;-6.9592466;-6.8152018;-7.2298164;-6.9616213;-6.906309
ZINC000408618739;-6.7112813;-6.683222;-6.5164123;-6.601804;-6.725077
ZINC000041005842;-5.9502535;-6.2165065;-5.936935;-5.9309416;-6.084506
ZINC000216912801;-6.286182;-6.563678;-6.3984556;-6.433619;-6.2230186
ZINC000000303309;-6.5192294;-6.419043;-6.396263;-6.349987;-6.2023387
ZINC000000319833;-6.504461;-6.100479;-6.4846377;-6.6189017;-6.3287516
ZINC000216913746;-6.5298896;-6.4690676;-6.491574;-6.5391855;-6.6198196
ZINC000072217676;-6.6973104;-6.6045785;-6.5218277;-6.6649847;-6.7705145
ZINC000064874842;-6.5260224;-6.3012385;-6.469716;-6.747323;-6.3442
ZINC000001611290;-6.6704874;-6.053306;-5.9413123;-6.1846457;-6.2248545
ZINC000216919396;-6.527767;-6.4925027;-6.3955;-6.4513087;-6.638705
ZINC000001730726;-6.718521;-6.413404;-6.4043117;-6.8265524;-6.300249
ZINC000000001228;-6.352882;-6.3517537;-6.2120767;-6.374932;-6.294464
ZINC000079428371;-6.709812;-6.3195505;-6.106323;-6.3970366;-6.5009255
ZINC000015109553;-4.9918737;-4.9765944;-4.62278;-4.632958;-5.059089
ZINC000000570149;-6.1232433;-6.1920824;-6.0833216;-6.1313148;-6.205057
ZINC000001481879;-7.1156025;-7.509346;-7.3140607;-7.04827;-7.5744166
ZINC000001563695;-7.549529;-7.574024;-7.3308187;-7.2807965;-7.387496
ZINC000001591087;-6.335537;-6.050793;-6.2163887;-6.206974;-6.3720484
ZINC000001664075;-5.191138;-5.4574995;-5.4052334;-5.5911984;-5.3096642
ZINC000001667052;-6.6971173;-6.5262656;-6.190174;-6.551177;-6.4342675
ZINC000001669462;-6.5101695;-6.4700613;-6.027499;-6.229686;-6.2957153
ZINC000001667450;-6.5870066;-6.359224;-5.684064;-6.3803663;-6.178608
ZINC000001679488;-6.9433775;-6.379469;-6.731371;-6.8561163;-6.882229
ZINC000001700060;-6.1977916;-6.3405256;-6.122045;-6.116177;-6.2002215
ZINC000001701254;-6.86452;-6.7674584;-7.056542;-7.4486976;-7.477896
ZINC000001716431;-6.991171;-7.1712494;-7.251863;-7.1119423;-7.406598
ZINC000002021498;-6.951178;-6.8935156;-6.574425;-6.8467736;-6.919608
ZINC000002048476;-5.258489;-5.362753;-5.5131283;-5.5796404;-5.3633375
ZINC000002146736;-5.440688;-5.580465;-6.127349;-6.3286467;-5.7933626
