name;01;02;03;04;05
ZINC000336427889;-5.89349;-5.6821756;-5.885951;-5.7910676;-5.890217
ZINC000132862274;-6.596709;-6.371672;-6.5206747;-6.375593;-6.6175723
ZINC000317441417;-6.8327446;-6.8611455;-7.345363;-6.944725;-7.1331034
ZINC000317441418;-6.8270326;-7.08386;-7.040542;-7.1743026;-7.189761
ZINC000513265509;-6.0021014;-6.1141095;-5.6452937;-5.900901;-5.7465167
ZINC000307768410;-7.836532;-7.6171837;-7.4050684;-7.3839746;-7.5990105
ZINC000307768413;-7.6769266;-7.594608;-7.4969974;-7.283124;-7.4527307
ZINC000307774293;-7.3123665;-7.2550607;-7.327224;-7.1955504;-7.2392855
ZINC000307774292;-7.314024;-7.2190137;-7.2628794;-7.153886;-7.1985865
ZINC000546257736;-7.039537;-7.466469;-7.4488273;-7.597626;-7.4573765
ZINC000095829318;-7.044283;-7.2115993;-7.009609;-7.020184;-6.913324
ZINC000531756330;-6.685667;-7.03934;-6.983528;-7.2097697;-6.954999
ZINC000531756331;-6.6240425;-6.9569216;-6.895333;-7.274601;-6.9437904
ZINC000533971888;-6.845055;-6.8987856;-6.862892;-6.7680597;-7.087409
ZINC000531755998;-6.5685587;-6.641803;-6.522298;-6.90849;-6.619693
ZINC000531755997;-6.643189;-6.813648;-6.7503905;-6.9869523;-6.768585
ZINC000380823791;-6.8799286;-7.104053;-6.64344;-6.713218;-7.125628
ZINC000574606585;-6.699178;-6.170335;-6.0756154;-6.2802267;-6.2906218
ZINC000574606587;-6.1746936;-6.294366;-6.059048;-6.112785;-6.3409467
ZINC000380876946;-6.3268003;-6.3559613;-6.530034;-6.2053995;-6.4717994
ZINC000574770338;-6.348363;-6.2623506;-6.02004;-6.2784405;-6.220687
ZINC000574770337;-6.207575;-6.1509385;-5.955952;-6.211411;-6.3531666
ZINC000381065758;-6.686223;-6.7429833;-6.3056574;-6.409181;-6.8620152
ZINC000489344170;-6.950946;-7.441539;-7.527482;-7.1426563;-7.181874
ZINC000381369385;-6.0640135;-6.1523857;-6.128905;-5.8386765;-6.227207
ZINC000381423855;-6.63694;-6.552825;-6.0111566;-6.082885;-6.463622
ZINC000381430457;-6.2544823;-6.339719;-6.1276083;-6.029527;-6.426732
ZINC000381436896;-7.070067;-7.063373;-6.68026;-6.454003;-6.945815
ZINC000563439519;-6.631898;-6.821305;-7.2682447;-6.41813;-7.127508
ZINC000563439520;-6.6597295;-6.790355;-7.233135;-6.4098415;-7.159586
ZINC000572424779;-6.3065286;-6.525174;-6.6486325;-6.226337;-6.563644
ZINC000572424780;-6.151437;-6.58119;-6.612823;-6.3537703;-6.5862303
ZINC000339372215;-6.6628666;-6.8406653;-6.1110053;-6.2628946;-6.0054173
ZINC000516833112;-7.19867;-7.2809267;-7.5009117;-7.1553984;-7.0229144
ZINC000563674758;-7.3349752;-7.540876;-7.2482367;-7.6103196;-7.6284676
ZINC000382385267;-6.3132014;-6.430406;-6.197234;-6.0768204;-6.3915854
ZINC000547498752;-7.109503;-6.367278;-6.938944;-6.722453;-6.839579
ZINC000490649164;-6.5693254;-6.695064;-6.609228;-6.660112;-6.683172
ZINC000020260302;-7.188499;-7.1748104;-7.0024343;-7.1545587;-7.069293
ZINC000020260335;-7.2166862;-7.498355;-7.2893677;-7.0257716;-7.055333
ZINC000020260331;-6.506782;-6.673044;-6.516079;-6.5573373;-6.6419296
ZINC000020260314;-7.2000766;-7.50513;-7.336907;-7.445606;-7.450375
ZINC000020260216;-6.515157;-6.209873;-6.2659173;-6.311564;-6.3631353
ZINC000020260222;-6.4275007;-6.4164886;-6.143604;-6.4497643;-6.6187563
ZINC000182875409;-5.8669577;-6.1516185;-6.308521;-6.3495846;-6.061222
ZINC000558852083;-6.916252;-7.642519;-7.1958604;-7.246038;-7.11685
ZINC000558852082;-6.899717;-7.622912;-7.16877;-7.254482;-7.11129
ZINC000581694915;-6.3450413;-6.434304;-6.315862;-5.81703;-6.0408154
ZINC000135831735;-7.4283934;-7.454283;-7.231845;-7.442358;-7.014431
ZINC000576087828;-6.833453;-6.587833;-6.4427757;-6.546029;-6.9923778
ZINC000385621607;-6.3520966;-6.3902993;-5.8943386;-5.920171;-6.373337
ZINC000070333805;-6.8542895;-6.843334;-6.7900105;-6.968735;-7.0163145
ZINC000385795792;-6.097683;-5.706694;-5.9472;-5.67316;-5.8730364
ZINC000385798723;-6.084509;-6.2842164;-6.0403566;-5.916618;-6.300953
ZINC000385821318;-6.0142612;-6.0941863;-5.802924;-5.7043324;-6.126657
ZINC000385831324;-5.9775558;-5.926638;-5.970645;-5.6461844;-6.031885
ZINC000385914004;-6.6395106;-6.6758385;-6.5182533;-6.8055596;-6.6943207
ZINC000386043993;-7.0107365;-6.9561615;-7.3527865;-6.967968;-7.437717
ZINC000386043983;-7.381474;-6.677361;-7.115849;-6.7440495;-7.205753
ZINC000386043986;-6.993916;-7.07347;-7.340626;-7.345768;-7.2239385
ZINC000386044000;-6.9154086;-7.0218983;-7.1616964;-7.400946;-7.278669
ZINC000386048834;-7.4091372;-7.168256;-7.3807497;-7.401575;-7.3239956
ZINC000518474101;-7.467547;-7.3468204;-7.6255774;-7.7628984;-7.399111
ZINC000518474100;-7.415187;-7.3830853;-7.4661503;-7.669737;-7.323372
ZINC000569379780;-7.3048196;-7.0017014;-7.0389132;-7.202485;-7.7079625
ZINC000569382475;-7.292158;-6.6394587;-6.6558733;-6.772798;-6.6920724
ZINC000386500995;-6.293355;-6.1735706;-6.3943257;-6.3961096;-6.5131016
ZINC000386500997;-6.246389;-6.353957;-6.076258;-6.549091;-6.4027295
ZINC000195541193;-6.624283;-6.627302;-6.8867707;-6.5785995;-6.6377015
ZINC000195541192;-6.67811;-6.5623903;-6.752496;-6.5151772;-6.554063
ZINC000319157759;-7.044538;-7.529326;-7.1435456;-7.3549433;-7.293177
ZINC000319157756;-7.204791;-7.2842164;-7.425309;-7.0981593;-7.348532
ZINC000195621794;-7.0251226;-6.5393653;-6.8157377;-6.4699287;-6.607063
ZINC000393349771;-6.287405;-6.5367775;-6.4079676;-6.074176;-6.494976
ZINC000386816006;-7.1169567;-6.993874;-7.1206107;-6.789173;-7.0488157
ZINC000386816005;-6.990471;-7.36705;-7.343283;-7.270478;-7.2726574
ZINC000386816003;-6.9304743;-7.312771;-7.3712816;-7.2234035;-7.3493876
ZINC000386816004;-7.2092257;-7.0331397;-7.145543;-6.9007397;-7.0111523
ZINC000387152794;-7.8390203;-7.7141275;-7.4174824;-7.6346865;-7.565406
ZINC000387235686;-6.81338;-7.139186;-6.9369764;-7.2062693;-7.1310453
ZINC000387235689;-6.8027925;-6.9905825;-6.880655;-7.1885924;-7.125463
ZINC000387276587;-6.763055;-6.186639;-6.5318055;-6.642714;-6.7006855
ZINC000387342350;-6.9391794;-6.4852185;-6.761147;-6.7264156;-6.8083754
ZINC000387355856;-5.375202;-5.417648;-5.083353;-5.0279856;-5.2578826
ZINC000387360497;-7.271586;-6.809025;-7.225611;-7.215814;-7.3223867
ZINC000518677956;-6.4669123;-7.2294507;-6.945356;-6.7275777;-6.657351
ZINC000387459837;-6.219161;-6.0557127;-6.184882;-6.260667;-6.380352
ZINC000445477430;-7.2370353;-7.6012115;-7.2566557;-7.5524573;-7.2681894
ZINC000456776675;-6.0711637;-6.31781;-6.133747;-6.548705;-6.1493998
ZINC000456776676;-6.218185;-6.150638;-6.440748;-6.5004396;-5.844476
ZINC000445477431;-7.5802555;-7.4194436;-7.4354506;-7.7902384;-7.578744
ZINC000456781831;-6.7972517;-6.616833;-7.016953;-6.9473596;-6.562219
ZINC000456781903;-6.1750236;-6.0133376;-5.9561086;-6.2758036;-5.893362
ZINC000456781833;-6.658924;-6.907479;-6.8499317;-7.1492605;-6.816556
