name;01;02;03;04;05
ZINC000169800181;-7.784173;-7.3487043;-7.212328;-7.2973833;-7.3867807
ZINC000169800162;-8.126631;-8.086979;-7.7790365;-7.9623756;-7.929138
ZINC000004707333;-6.8721743;-6.797268;-6.5869465;-6.778247;-6.8204784
ZINC000004707625;-6.942508;-6.811243;-6.7058544;-6.957586;-6.6300163
ZINC000004719174;-7.109181;-7.4394636;-7.484775;-7.2707314;-7.1691747
ZINC000004742310;-6.3408813;-6.2877097;-6.1027675;-6.2185507;-6.279524
ZINC000004768967;-6.3019605;-6.1714554;-6.034993;-6.1935916;-6.3244386
ZINC000004769112;-6.227201;-6.2365627;-6.2225914;-6.123756;-6.1265254
ZINC000004803656;-7.505776;-7.1198177;-7.302081;-7.7010946;-7.547024
ZINC000004822335;-7.0389786;-6.9790797;-6.9480925;-7.0156565;-7.0190744
ZINC000004824251;-7.5593343;-7.1172676;-6.767006;-7.2203293;-7.0724416
ZINC000004824303;-6.7033987;-6.5120068;-6.7421336;-7.201177;-6.6832466
ZINC000004824252;-7.1549807;-7.3038054;-6.8969;-6.9716716;-7.1869755
ZINC000016931265;-7.8303933;-7.514614;-7.6590014;-7.7912593;-7.976159
ZINC000076495169;-7.146461;-7.368067;-7.5895686;-7.453239;-7.8076024
ZINC000076495142;-6.660567;-6.65097;-6.788678;-6.5275474;-6.622213
ZINC000076495121;-6.6163406;-6.5388045;-6.6920443;-6.344751;-6.91832
ZINC000076495189;-7.3245764;-7.782147;-7.6737356;-7.369587;-7.9521666
ZINC000016955549;-6.4653873;-6.8681602;-6.4961915;-7.061555;-7.0798845
ZINC000004880479;-6.617935;-7.0051656;-7.044957;-7.395356;-7.3891735
ZINC000004933967;-6.6008463;-6.576601;-6.3191767;-6.4765096;-6.520378
ZINC000004933961;-6.6638536;-6.6825533;-6.4887896;-6.619153;-6.724084
ZINC000004946554;-7.4480762;-7.350672;-7.084282;-7.057245;-6.867258
ZINC000004983158;-6.9876533;-7.170495;-7.3341503;-7.5308604;-7.4115744
ZINC000004984627;-6.2924337;-6.244926;-6.124965;-6.3182583;-6.2202067
ZINC000005004188;-7.1170073;-6.4813676;-6.725031;-6.622322;-6.788928
ZINC000005011569;-7.142095;-6.637393;-6.4062448;-6.690446;-6.9713597
ZINC000005027464;-6.328189;-6.4334354;-6.400299;-6.365375;-6.571639
ZINC000005027463;-6.537772;-6.687159;-6.4423676;-6.4413877;-6.401589
ZINC000017418982;-7.3206944;-7.2748127;-7.0313253;-7.165154;-7.233053
ZINC000017418988;-7.793772;-7.8351626;-7.5467052;-7.610578;-7.898808
ZINC000017418985;-7.7195473;-7.6126432;-7.4128704;-7.281288;-7.4529834
ZINC000005119271;-6.3128986;-6.7407875;-6.3008723;-6.298151;-6.6136537
ZINC000005119272;-6.8231664;-6.956055;-6.696897;-6.664098;-7.0527062
ZINC000005260906;-6.9563284;-7.009867;-7.138184;-7.040637;-6.688963
ZINC000033554245;-7.242447;-7.2353153;-7.2441235;-7.2265043;-7.4689307
ZINC000022803639;-7.669192;-7.605436;-7.373909;-7.4753246;-7.34552
ZINC000058080216;-6.88701;-6.735407;-6.447237;-6.245925;-6.4004717
ZINC000146912602;-7.271406;-7.3194222;-6.906392;-7.6155314;-6.8160276
ZINC000035152294;-6.8291106;-6.754211;-6.694136;-7.168961;-6.7549996
ZINC000035352476;-6.729707;-6.7014637;-6.688454;-6.8619914;-6.8339367
ZINC000015149475;-5.800907;-6.047191;-6.0703554;-6.0348735;-6.257332
ZINC000005332245;-6.8275747;-7.005757;-6.9438787;-7.471839;-7.2660294
ZINC000005381293;-6.732575;-6.300526;-6.253985;-6.547425;-6.414025
ZINC000005396850;-7.067152;-6.828315;-6.8079185;-6.714853;-6.9061
ZINC000225208347;-7.6048064;-7.1435657;-6.951366;-6.888802;-7.27514
ZINC000005463129;-6.5579724;-6.5017896;-6.377492;-6.6567144;-6.6703467
ZINC000005464965;-6.491753;-6.450314;-6.2882123;-6.8413486;-6.414119
ZINC000005464640;-6.560709;-6.7315383;-6.21105;-6.9537992;-6.6640882
ZINC000005503881;-6.3358774;-6.510652;-6.2115717;-6.5196486;-6.5074563
ZINC000005534668;-8.013464;-7.857832;-7.9541445;-7.517992;-7.6208644
ZINC000255189643;-6.337647;-6.887107;-6.44558;-6.874785;-6.6374464
ZINC000005553785;-6.8755445;-6.954471;-6.5184546;-6.8071003;-6.847518
ZINC000013219945;-6.8754673;-7.394654;-6.873326;-7.0597053;-7.2015777
ZINC000012940200;-7.124545;-7.6910696;-7.381475;-7.5757203;-7.5682077
ZINC000012940192;-7.5052023;-7.8618245;-7.903415;-7.867188;-7.786585
ZINC000005589017;-8.111133;-7.6309466;-7.7817626;-8.090061;-7.9722953
ZINC000019074594;-6.239329;-6.384423;-6.2323327;-6.434189;-6.1744566
ZINC000005618786;-6.6662626;-6.264042;-6.1231117;-6.199666;-6.3133245
ZINC000035313214;-6.010819;-6.138876;-6.0274715;-6.0524015;-6.103037
ZINC000091297433;-6.3551974;-6.6109314;-6.625159;-6.7537575;-6.6574154
ZINC000035325039;-7.1599436;-7.5869226;-7.267194;-6.9297786;-7.0589395
ZINC000035325710;-7.422414;-7.3880997;-7.054495;-7.292821;-7.153734
ZINC000005724619;-6.911839;-6.6983657;-6.8606915;-6.8533344;-6.9265394
ZINC000005732875;-6.113303;-6.083184;-5.9509788;-6.0389395;-6.089916
ZINC000005743153;-6.509887;-6.3481627;-6.348683;-6.074543;-5.912493
ZINC000005794787;-7.0202827;-7.462087;-7.1920147;-7.400623;-7.4790792
ZINC000005811766;-6.7850723;-6.5662727;-6.80773;-6.571271;-6.8565397
ZINC000002540140;-4.867646;-5.0313296;-4.84404;-5.0503154;-5.1537175
ZINC000005836713;-7.0069447;-6.7438726;-7.084971;-7.187239;-7.346151
ZINC000044138742;-7.1042485;-6.8539314;-6.5970793;-7.0916266;-6.908332
ZINC000225644015;-7.3991575;-7.439501;-7.685936;-7.6057353;-7.5999703
ZINC000225643944;-7.5409346;-7.4157076;-7.720928;-7.493594;-7.497202
ZINC000002540386;-6.4590483;-6.583698;-6.3326592;-6.6909437;-6.6786485
ZINC000038676706;-6.404845;-6.358445;-6.4544573;-6.0377355;-6.4721956
ZINC000005893590;-7.2119823;-7.5738378;-7.533184;-7.4501996;-7.479381
ZINC000044216236;-6.727863;-7.082247;-6.583856;-6.4984264;-6.7505875
ZINC000044216239;-6.7413483;-7.12598;-6.5886855;-6.5221505;-6.7665253
ZINC000216868583;-7.2062764;-7.236381;-7.0383997;-7.1118364;-7.1067576
ZINC000005921382;-6.8334074;-6.563373;-6.6973896;-7.17295;-6.6958017
ZINC000216772777;-6.315567;-6.270886;-6.8197474;-6.865363;-6.4687467
ZINC000057351247;-7.2808595;-7.497741;-7.350933;-7.1950264;-7.128182
ZINC000216735230;-7.621886;-7.331253;-7.2550535;-7.3526707;-7.350938
ZINC000216743111;-7.5495033;-7.707453;-7.3120193;-7.6916213;-7.6295705
ZINC000003065325;-7.6133556;-7.620103;-7.45524;-7.4970818;-7.503054
ZINC000038875748;-6.2974086;-5.881775;-5.810541;-6.1513424;-6.2263393
ZINC000005942436;-6.9123144;-6.75414;-6.6922565;-6.818144;-6.936057
ZINC000005948905;-6.9142404;-6.9066386;-6.916534;-6.8689723;-7.5441303
ZINC000039258768;-6.0592184;-6.1982174;-6.212886;-5.9717116;-6.303177
ZINC000039271204;-6.804988;-6.821576;-6.523511;-6.709568;-6.7571864
ZINC000039566247;-5.851631;-5.9188094;-5.5494547;-5.710117;-5.7034364
ZINC000006060169;-6.825219;-6.8165326;-6.540175;-6.858213;-6.834445
ZINC000006094909;-6.5937433;-7.0260873;-6.7567782;-6.9764566;-6.9625263
ZINC000031723331;-5.166597;-5.4618616;-5.31532;-6.1926155;-6.0876107
ZINC000006204074;-7.3642225;-7.5898323;-7.638888;-7.5965014;-7.606566
ZINC000032271260;-6.1249237;-5.958185;-6.0868707;-6.1165566;-6.0499344
ZINC000059526987;-6.4587336;-6.6701484;-6.4709787;-6.5461664;-6.6020617
ZINC000242554691;-6.7050433;-6.653105;-6.7816133;-6.81113;-6.7303295
ZINC000006426943;-7.1022654;-7.0453224;-6.952865;-6.9044847;-7.012453
ZINC000006443323;-6.150678;-5.987852;-6.042331;-5.720554;-5.9183354
ZINC000090613151;-6.6466346;-6.642812;-6.5943403;-6.6881285;-6.699349
ZINC000006779853;-7.735021;-7.462777;-7.6583652;-7.9567313;-7.3766885
ZINC000070462093;-6.212637;-6.3254914;-6.171244;-6.014901;-6.1984234
ZINC000034398686;-5.981436;-6.0633707;-5.874393;-6.198714;-6.0778804
ZINC000006863859;-6.6026826;-6.3963447;-6.507111;-6.7821374;-6.9094725
ZINC000006922028;-7.354187;-7.736905;-7.682924;-7.875895;-7.497512
ZINC000072206769;-6.8910294;-6.633129;-6.6340885;-6.501688;-6.525257
ZINC000014258319;-6.905428;-7.1257386;-6.995463;-7.065287;-6.8171597
ZINC000074725863;-6.4814034;-6.304561;-6.1363316;-6.3433642;-6.090071
ZINC000248013579;-8.340074;-8.474781;-8.356549;-8.310942;-8.354331
ZINC000045069800;-6.9573746;-7.1569405;-6.963039;-7.0322285;-7.6944447
ZINC000021297493;-5.397702;-5.331455;-5.148837;-5.236425;-5.179851
ZINC000038303143;-6.1882167;-5.9907393;-5.662444;-6.2951326;-6.1122274
ZINC000000391728;-5.161738;-5.0359216;-5.2170706;-5.4577346;-5.1427484
ZINC000008056083;-7.2076697;-7.5015335;-7.2486963;-7.2516723;-7.154599
ZINC000008119754;-7.591041;-7.261587;-7.02135;-6.907373;-7.356445
ZINC000008141544;-7.8001733;-8.029729;-7.844815;-7.964882;-8.189646
ZINC000008148954;-7.78525;-7.480597;-7.2374697;-7.492672;-7.2250247
ZINC000059184725;-6.540273;-6.9125986;-6.652436;-7.1033635;-6.8565965
