name;01;02;03;04;05
ZINC000004706168;-7.5030856;-7.270767;-7.2808456;-7.082711;-7.168919
ZINC000004713884;-6.7137656;-6.497778;-6.864144;-6.643271;-6.7915
ZINC000004774655;-7.2040176;-6.8053517;-7.1035533;-6.9756374;-7.063333
ZINC000004774657;-7.0002646;-6.731083;-6.9966846;-7.0547104;-6.8819594
ZINC000004823765;-6.349655;-6.8380413;-6.5404196;-6.544409;-6.6759944
ZINC000004824571;-5.8953586;-5.923009;-6.1169395;-6.273056;-6.375481
ZINC000004829422;-8.055039;-7.6636233;-7.5593824;-7.8121214;-7.7339473
ZINC000004832544;-6.606112;-6.782976;-6.892079;-6.681572;-6.8088026
ZINC000004832911;-6.8778768;-7.0019083;-6.601206;-6.7957053;-6.9990444
ZINC000004832536;-6.9118695;-6.879588;-7.227488;-6.8000307;-6.916943
ZINC000004887394;-7.0078955;-7.6340594;-7.09426;-7.594898;-7.4758835
ZINC000004891500;-6.7617555;-7.233256;-6.942928;-6.928313;-6.9914637
ZINC000257351370;-7.227853;-7.145033;-6.8506703;-7.208596;-7.224903
ZINC000095951459;-5.6950626;-5.817323;-5.3823433;-5.9128366;-5.7626624
ZINC000095951458;-5.989684;-6.2282376;-5.5381517;-5.8490653;-5.613515
ZINC000140213092;-6.683846;-6.4420366;-6.443084;-7.042281;-6.6722717
ZINC000136228763;-7.5217867;-6.8697186;-7.006178;-7.221857;-7.139451
ZINC000199732922;-6.5089407;-6.1764364;-6.299649;-6.1358614;-6.1304946
ZINC000199745384;-5.9598627;-5.5514274;-5.8896017;-6.044881;-5.8708377
ZINC000199746211;-6.5980706;-6.160708;-6.5152035;-6.245162;-6.330262
ZINC000199732659;-6.40465;-5.836473;-6.2774577;-6.311805;-5.842677
ZINC000005027585;-6.4306808;-6.7224574;-6.3739443;-6.382887;-6.538964
ZINC000004959395;-7.2422657;-7.461337;-7.046101;-7.5003963;-7.424409
ZINC000004959394;-7.543215;-7.5761123;-7.53117;-7.7561774;-7.93831
ZINC000004959393;-7.6968946;-7.357054;-7.581745;-7.7626815;-7.7148676
ZINC000004004310;-6.105152;-5.9855776;-5.8830776;-5.933483;-5.839779
ZINC000004004309;-6.8982534;-6.1782155;-5.93651;-6.1483707;-6.4333787
ZINC000033482718;-7.0183134;-6.915951;-6.6772585;-6.3918343;-6.7125583
ZINC000005331957;-7.4070144;-7.0582333;-7.2335505;-7.6598315;-7.487057
ZINC000005331953;-7.082466;-6.5560436;-6.6554427;-6.837309;-7.0994253
ZINC000005344562;-7.463174;-6.8216443;-7.11403;-7.406478;-7.721345
ZINC000071256984;-6.0028496;-6.040424;-5.661479;-6.0295224;-5.886406
ZINC000071256988;-7.9464235;-7.9782476;-7.6213465;-7.737689;-7.8937736
ZINC000071256983;-6.3114324;-6.252092;-6.037124;-6.248417;-6.3678074
ZINC000071256982;-6.1579337;-6.066817;-5.895921;-6.2044287;-5.9839306
ZINC000005422974;-5.8953586;-5.923009;-6.1169395;-6.273056;-6.375481
ZINC000018117924;-6.9752936;-7.2355733;-6.558618;-6.668483;-7.379872
ZINC000005513529;-7.575226;-7.310145;-7.2143955;-7.162924;-7.2163124
ZINC000005513517;-7.502378;-7.380179;-7.2834005;-7.384904;-7.360519
ZINC000018067899;-6.57939;-6.3843255;-6.385761;-6.52617;-6.1618233
ZINC000064875362;-5.747552;-6.0971975;-6.3815103;-6.2799735;-6.2513595
ZINC000064875301;-5.836126;-6.204891;-6.3364882;-6.0344577;-6.223944
ZINC000005589210;-6.020016;-5.7760925;-6.0967116;-5.9475036;-6.1107492
ZINC000070453991;-5.5016584;-6.277056;-6.0920396;-5.828512;-6.230261
ZINC000005618119;-8.226296;-8.200291;-8.300106;-8.0401745;-8.30078
ZINC000005707166;-7.667898;-7.4947667;-7.4444385;-7.4131885;-7.556118
ZINC000020278485;-6.415574;-6.538248;-6.1730967;-6.280653;-6.4232144
ZINC000005764998;-6.7491903;-6.593321;-6.533944;-6.5564365;-6.637127
ZINC000005795697;-5.822305;-5.375229;-5.633115;-5.3179183;-5.606848
ZINC000005838560;-6.3676634;-6.6762815;-6.387682;-6.504298;-6.555415
ZINC000409201845;-6.632373;-6.644618;-6.5456104;-6.7365017;-6.9311857
ZINC000409201109;-6.618847;-6.681073;-6.499192;-6.9783053;-6.7726502
ZINC000071404987;-6.5888586;-6.853932;-5.9773707;-6.455731;-6.5989127
ZINC000005931006;-7.291487;-6.886347;-6.679802;-7.0025387;-6.730699
ZINC000006374992;-6.235685;-6.3870735;-6.3011966;-6.3448997;-6.114277
ZINC000071580537;-6.575158;-6.167536;-6.4182997;-6.3561416;-6.4280005
ZINC000006584083;-6.336829;-6.600367;-6.3508134;-6.4602733;-6.5114737
ZINC000006547932;-7.4540124;-6.815312;-6.9302607;-6.7807136;-7.045796
ZINC000408732896;-6.443408;-6.4336414;-6.8781476;-6.309648;-6.5730786
ZINC000408733389;-6.6585636;-6.6220255;-6.763951;-6.216926;-6.8542523
ZINC000408733748;-6.5829244;-6.6157293;-6.8717933;-6.3309894;-7.0137672
ZINC000017005675;-7.137025;-6.7414565;-6.891991;-7.0363026;-6.998213
ZINC000012360038;-7.076551;-7.5308313;-7.4001985;-6.623775;-6.9128327
ZINC000409058500;-6.939898;-6.9313083;-7.1302624;-6.8797164;-6.9688444
ZINC000409055186;-6.5447903;-6.5353503;-6.900858;-6.6045423;-6.624463
ZINC000409051467;-6.7363706;-6.4522696;-6.897962;-6.6382856;-6.685413
ZINC000006912888;-6.332021;-6.6976714;-6.2161493;-6.252415;-6.218521
ZINC000006912445;-6.158871;-6.4389787;-6.050008;-5.983655;-6.0446963
ZINC000006913029;-6.1598043;-6.4146;-6.214212;-6.0124025;-6.0645638
