name;01;02;03;04;05
ZINC000004720271;-6.6049256;-5.250345;-6.0270987;-6.390142;-6.0470734
ZINC000020124127;-6.315298;-6.596731;-6.243262;-6.420337;-6.398942
ZINC000020124126;-6.110101;-6.4599857;-5.9360476;-6.216545;-6.3606844
ZINC000095698510;-6.6238737;-6.295075;-6.2411184;-6.2812424;-6.654794
ZINC000095698510;-6.326572;-6.1085753;-6.033694;-6.2328806;-6.2025867
ZINC000006256876;-6.312573;-6.1199493;-6.287253;-6.387701;-6.0591326
ZINC000004842555;-6.796832;-7.6432667;-6.8716297;-7.036075;-7.1510916
ZINC000004842556;-6.9903493;-7.3891306;-7.16714;-7.0122995;-7.3477015
ZINC000089904937;-6.5096645;-6.7241693;-6.1178827;-6.7421303;-6.806605
ZINC000089904934;-6.639122;-6.754495;-6.297932;-6.6707983;-6.6722517
ZINC000089904935;-6.735153;-6.641754;-6.1637764;-6.759371;-6.789184
ZINC000004868719;-7.0780115;-7.2032423;-6.960515;-6.9694967;-7.194812
ZINC000076555413;-6.401171;-6.3324075;-6.793893;-6.7436852;-6.69281
ZINC000076555415;-6.309039;-6.393996;-6.5839534;-6.634193;-6.879342
ZINC000043258002;-6.7780237;-6.7298703;-6.747222;-6.6991706;-6.768975
ZINC000004956697;-6.984199;-6.552204;-6.4799247;-6.6110473;-6.7478733
ZINC000095967105;-6.528987;-6.7054663;-6.602165;-6.8123627;-6.8450427
ZINC000095967107;-6.4890757;-6.9192905;-7.108013;-6.9713926;-6.936669
ZINC000095967108;-6.493576;-6.7419105;-6.482419;-6.757145;-6.8855762
ZINC000095967106;-6.80725;-6.875191;-6.5600405;-6.903762;-6.760758
ZINC000004977795;-6.24981;-6.0487947;-6.0131283;-6.111408;-6.3025064
ZINC000004977442;-6.1154656;-6.0045414;-5.942845;-6.1084385;-6.1133995
ZINC000005418198;-7.1545196;-7.1460896;-6.935293;-6.9618435;-7.035533
ZINC000334159102;-6.781098;-6.490091;-6.3863683;-6.596638;-6.6926455
ZINC000005615551;-5.716454;-5.853263;-5.742376;-5.9216247;-5.650594
ZINC000334159103;-6.7218494;-6.243923;-6.23182;-6.4523225;-6.484042
ZINC000095419218;-6.645551;-6.7320952;-6.106664;-6.8153763;-7.013795
ZINC000095419220;-6.635367;-6.5980167;-6.025737;-6.478417;-6.8857355
ZINC000095419219;-6.4604244;-6.563258;-6.1340346;-6.722997;-6.873124
ZINC000096026602;-6.0833325;-6.841078;-5.9959483;-5.892478;-6.7633615
ZINC000096026601;-5.917207;-6.6293235;-5.8008957;-6.09729;-6.52553
ZINC000005798914;-6.2105556;-6.446124;-6.1857104;-6.3710036;-6.4423018
ZINC000005799681;-6.631185;-6.6835604;-6.821603;-6.8474894;-6.7154794
ZINC000005799679;-6.6334944;-6.6860266;-6.8220587;-6.850244;-6.7206125
ZINC000005818425;-6.2777066;-6.625931;-6.559589;-6.609607;-6.742188
ZINC000005818426;-6.277051;-6.6232986;-6.5614133;-6.607981;-6.738166
ZINC000005819108;-6.2648745;-6.4663887;-6.3497276;-6.15319;-6.1773477
ZINC000005818390;-6.2866306;-6.8898826;-6.429996;-6.584653;-6.858186
ZINC000005818394;-6.8065343;-7.144288;-6.82119;-6.957711;-7.0936866
ZINC000005818414;-6.5148463;-7.0475035;-7.012662;-6.8411465;-6.8705735
ZINC000005866201;-7.0635996;-7.210712;-6.9660816;-7.2362585;-6.95565
ZINC000005866196;-7.0686555;-7.2137756;-6.969659;-7.247235;-6.9609356
ZINC000005887329;-6.515391;-6.955829;-6.753158;-6.6508284;-6.9369955
ZINC000044346460;-7.158963;-6.844205;-7.093137;-6.8116984;-7.0076747
ZINC000044346453;-7.259178;-6.546688;-6.753824;-6.50851;-6.8968673
ZINC000044346464;-7.2099924;-6.626875;-6.9376445;-6.6827526;-6.890514
ZINC000044346457;-7.1264443;-6.793995;-7.001502;-6.8111253;-7.0317383
ZINC000006028493;-6.73274;-6.659255;-6.713816;-6.51837;-6.4008574
ZINC000006044868;-7.094079;-6.861277;-7.015141;-7.0749817;-6.8378596
ZINC000067847857;-6.2274575;-5.972065;-5.9196997;-6.224167;-6.032668
ZINC000006387529;-6.4534745;-6.292048;-6.405605;-6.4963827;-6.1592164
ZINC000006432439;-7.0994782;-7.6652527;-7.3710794;-7.1952934;-7.379911
ZINC000006571337;-6.3047485;-6.2352166;-6.068758;-6.200345;-6.287109
ZINC000004688983;-6.393152;-6.34987;-6.088281;-6.225667;-6.305197
ZINC000006614588;-6.5147552;-6.3011646;-6.2787747;-6.2819276;-6.0939918
ZINC000006657458;-6.169722;-6.4451957;-6.283907;-6.2944107;-6.4574547
ZINC000006657459;-6.168096;-6.4431605;-6.2861433;-6.2926197;-6.453418
ZINC000006697129;-7.126764;-7.8302712;-7.1969237;-7.205575;-7.420829
ZINC000006697130;-7.3060694;-7.5693593;-7.5007486;-7.1929984;-7.6355343
ZINC000006743535;-7.5729265;-7.239917;-7.2223268;-7.3121686;-7.4899473
ZINC000035511295;-6.682082;-6.636491;-6.6858478;-6.749948;-6.882579
ZINC000020542548;-6.814433;-6.7054105;-6.4799385;-6.631643;-6.5380454
ZINC000035511296;-7.611082;-7.219843;-7.264263;-7.1183224;-7.123989
ZINC000020542550;-6.890365;-6.8444037;-6.414696;-6.544605;-6.5864635
ZINC000064984495;-7.0719037;-7.392514;-7.00039;-7.009288;-6.937918
ZINC000064984497;-7.6741304;-7.3553605;-7.5072737;-7.1374717;-7.151191
ZINC000006953532;-6.0697045;-6.4270897;-6.320961;-6.1765175;-6.100971
ZINC000007009365;-6.782188;-6.717042;-6.484249;-6.538354;-6.536439
ZINC000020935005;-7.5215373;-7.2927246;-6.624929;-7.0617037;-7.1281905
ZINC000021005467;-6.065248;-5.814212;-5.9073668;-6.0341816;-6.002461
ZINC000007524297;-7.2405953;-7.6109734;-7.2929015;-7.210748;-7.5443754
ZINC000007524334;-6.661918;-6.890268;-6.6249404;-6.7081656;-6.9495683
ZINC000007524408;-6.575654;-6.687048;-6.4408417;-6.5662174;-6.686873
ZINC000007524564;-7.351823;-7.182648;-7.0055346;-7.0661383;-7.1751566
ZINC000007524295;-6.95736;-7.85437;-6.9796515;-7.1954174;-7.390139
ZINC000007524800;-7.853164;-7.5080185;-7.441624;-7.383886;-7.4517455
ZINC000007538221;-7.0238013;-7.023666;-6.750363;-6.8128324;-6.9565387
ZINC000007538171;-6.571281;-6.4760056;-6.3100724;-6.2962904;-6.6708612
ZINC000007538217;-7.3104696;-7.2000833;-7.11415;-7.0091114;-7.2337937
ZINC000021171061;-7.341454;-7.18768;-6.5786724;-6.9841275;-6.5925283
ZINC000021171066;-7.4388313;-6.734784;-6.9861174;-7.0350604;-6.4632273
ZINC000007718855;-6.8687716;-6.580398;-6.477591;-6.5427656;-6.615758
ZINC000007718854;-6.778019;-6.466119;-6.7158837;-6.6395216;-6.675391
ZINC000022150660;-6.1381173;-6.49337;-5.9598823;-6.4130297;-6.5529428
ZINC000022150663;-6.059641;-6.2974334;-5.9221015;-6.3280168;-6.4924545
ZINC000022150656;-6.117879;-6.3178444;-6.051326;-6.376463;-6.409584
ZINC000007997074;-6.6366796;-6.8663445;-6.6240163;-6.74116;-6.4448967
ZINC000012391831;-6.424739;-6.4359508;-6.295203;-6.4864635;-6.451643
ZINC000012391832;-6.281329;-6.2285686;-6.060345;-6.2838345;-6.5051928
ZINC000021658920;-6.314727;-6.535226;-6.3066926;-6.5020103;-6.618087
ZINC000021658841;-6.4309325;-6.495049;-6.454673;-6.5598397;-6.606212
ZINC000021658856;-6.8962154;-6.999806;-6.806874;-7.168906;-6.9181685
ZINC000021658938;-6.6504393;-6.713919;-6.587272;-6.9097624;-6.9026327
ZINC000021658826;-6.400402;-6.255193;-6.560402;-6.6136775;-6.5294924
ZINC000021658922;-6.398306;-6.509704;-6.4561644;-6.603438;-6.5037494
ZINC000021658798;-6.112231;-6.4973755;-6.309632;-6.3191686;-6.540342
ZINC000021658863;-6.797005;-6.6916356;-6.752483;-6.980789;-6.8390527
ZINC000021658843;-6.624765;-6.364137;-6.62498;-6.7435904;-6.514668
ZINC000021658865;-6.743851;-6.5261664;-6.77414;-6.846109;-6.453378
ZINC000021658857;-6.926905;-6.8895373;-6.704874;-7.218522;-6.6611886
ZINC000021658939;-6.6100116;-6.4651937;-6.6630273;-6.8119287;-6.658187
ZINC000021719768;-6.604195;-7.0467854;-6.4649353;-6.586178;-6.3600693
ZINC000021719798;-6.9332595;-6.9817085;-6.9061127;-6.6162796;-6.8371487
ZINC000021719800;-6.518739;-6.836506;-6.5694666;-6.654027;-6.3076177
ZINC000021719766;-7.11256;-7.189222;-6.607254;-6.861536;-6.9986124
ZINC000072143749;-6.699269;-6.3088593;-6.5183454;-6.273712;-6.925381
ZINC000072143747;-6.830687;-6.4556794;-6.554909;-6.3440943;-6.8602357
ZINC000008324593;-6.879728;-6.9920807;-6.5849915;-6.6996317;-6.7277365
ZINC000008324597;-6.463639;-6.8169165;-6.0058246;-6.391601;-6.6716413
ZINC000008403258;-6.602517;-7.3841324;-6.774583;-7.1528673;-7.0583057
ZINC000008403263;-6.9422493;-7.2491107;-6.776741;-7.202378;-7.120358
ZINC000008534275;-6.5012712;-6.8396406;-6.382383;-6.657039;-6.903899
ZINC000008535345;-6.8860636;-6.9606385;-6.710583;-6.722436;-6.9952836
ZINC000008549711;-6.3650985;-6.7304635;-6.6944375;-6.241246;-6.5117407
ZINC000008578053;-6.2839084;-6.824191;-6.5458627;-6.4779725;-6.6984463
ZINC000008578659;-6.2994394;-6.543362;-6.3912077;-6.34879;-6.715091
ZINC000015836776;-5.9948807;-6.055875;-5.5911517;-5.810324;-5.877302
ZINC000015836804;-6.039104;-6.109678;-5.9379063;-6.0526795;-6.0247674
ZINC000015836802;-6.3737025;-6.070119;-6.306799;-6.130994;-6.5344043
ZINC000015836834;-6.0248594;-5.776004;-5.9557514;-5.898139;-6.468783
ZINC000015836836;-6.0245705;-6.1007924;-5.757784;-5.840471;-5.9940023
ZINC000035682729;-6.1450977;-6.615966;-6.051644;-6.309825;-6.276468
ZINC000100565977;-6.3890495;-6.9664726;-6.82113;-6.5668216;-6.692941
ZINC000008892594;-6.9414873;-7.288441;-6.80021;-6.870367;-7.0254583
ZINC000072296393;-6.0516653;-5.9752035;-5.5887;-5.604854;-5.9898224
ZINC000072296394;-5.9662037;-5.9463754;-5.7282434;-5.8939133;-5.5998774
ZINC000002821810;-6.7727547;-6.8228045;-6.9050484;-6.797225;-6.7599435
ZINC000079059109;-6.068217;-6.52131;-6.3049736;-6.2431946;-6.1816473
ZINC000000094953;-6.3848066;-6.483394;-6.434674;-6.3384414;-6.391676
ZINC000033327188;-6.827354;-6.4912014;-6.8277445;-6.6303396;-6.5674953
ZINC000000000627;-6.7367277;-7.073901;-6.823119;-6.718059;-6.9398737
ZINC000000075403;-6.54938;-6.284135;-6.608575;-6.378125;-6.4931135
ZINC000006223639;-6.714254;-6.3746624;-6.3463316;-6.452357;-6.343232
ZINC000000097674;-6.8836937;-6.869368;-6.9584613;-6.793343;-7.0139575
ZINC000000112352;-6.667536;-6.37003;-6.7496276;-6.570362;-6.3068743
ZINC000000121444;-6.4492307;-6.268253;-6.2343616;-6.768188;-6.427699
ZINC000000171640;-6.405841;-6.2795;-6.0740275;-6.2829175;-6.162626
ZINC000000171644;-6.121517;-6.1500793;-6.2343817;-6.427652;-6.3102117
ZINC000000171641;-6.1782637;-6.0175753;-6.1200275;-6.099675;-6.167251
ZINC000000183375;-6.556868;-6.136834;-6.315812;-6.416045;-6.1968412
