name;01;02;03;04;05
ZINC000004695065;-6.852326;-7.023542;-6.776016;-7.078688;-6.6245036
ZINC000004695064;-7.0556936;-7.194856;-6.9089837;-6.976556;-6.8753867
ZINC000065431157;-6.0787954;-6.1761303;-6.055436;-5.920246;-6.083282
ZINC000089904766;-5.7964373;-5.9350834;-5.6877933;-5.7662034;-5.730354
ZINC000089904766;-5.758477;-6.0935283;-5.840107;-5.6955957;-5.719666
ZINC000004845238;-6.6944327;-7.1523952;-6.906499;-7.0020943;-7.137234
ZINC000089904767;-5.7593684;-6.096971;-5.842354;-5.699256;-5.7222424
ZINC000089904767;-5.7958984;-5.937455;-5.6887903;-5.768343;-5.7316675
ZINC000002822322;-7.720162;-6.9364347;-6.755283;-7.41484;-7.407107
ZINC000002822931;-7.149791;-6.9882817;-6.9985094;-7.0155663;-6.9325414
ZINC000002824003;-6.633322;-7.0962334;-6.939324;-6.9199553;-7.0444393
ZINC000002822399;-7.2030144;-7.4483924;-7.199675;-7.3720284;-7.4032865
ZINC000002824001;-6.5172806;-7.1331034;-7.066516;-6.9835577;-6.9664655
ZINC000095944423;-6.926129;-7.1875467;-6.8496966;-5.787018;-6.549204
ZINC000002823239;-7.388439;-7.1965885;-6.8928103;-7.3094845;-7.241681
ZINC000002822324;-7.54154;-7.1936893;-6.939591;-7.3121243;-7.1834283
ZINC000004915155;-7.0869727;-7.0620055;-7.185043;-6.7840543;-6.732001
ZINC000004978627;-7.09278;-7.5103393;-6.916304;-7.169032;-7.433362
ZINC000004989027;-7.3035693;-7.656103;-7.4584684;-7.344867;-7.5403414
ZINC000004989028;-7.736765;-7.696468;-7.401275;-7.398205;-7.580473
ZINC000000143879;-6.725057;-6.9352994;-6.5797334;-6.7988977;-6.7276955
ZINC000096001692;-7.483791;-6.9392896;-7.5203075;-7.296781;-7.2936573
ZINC000096001691;-7.206443;-6.739941;-7.1111937;-7.062682;-7.1218114
ZINC000037554040;-6.8230834;-6.5577464;-6.306963;-6.3980913;-6.385409
ZINC000005587561;-6.2637587;-6.3395157;-6.1340666;-6.3309264;-6.262884
ZINC000334159102;-6.893713;-6.8927794;-6.7060137;-7.0691934;-6.7020226
