name;01;02;03;04;05
ZINC000004706227;-6.9080205;-6.7632556;-6.5722795;-6.3339577;-6.4972734
ZINC000004715012;-7.480344;-7.0042768;-6.6130247;-7.275217;-6.6682224
ZINC000095533196;-5.4640136;-5.664296;-5.7221317;-5.6986284;-5.4764695
ZINC000004726202;-6.764422;-6.746221;-6.865682;-6.564527;-5.9018545
ZINC000004726203;-7.03237;-7.0651617;-6.9671326;-6.8070545;-6.0495415
ZINC000095533194;-4.9780836;-5.374617;-5.4610496;-5.452502;-5.220769
ZINC000095533198;-5.403166;-5.666517;-5.756692;-5.709282;-5.479827
ZINC000004726201;-6.9806657;-6.4797225;-6.466523;-6.396191;-6.101652
ZINC000095533193;-5.0295973;-5.3970428;-5.4349117;-5.422404;-5.231803
ZINC000004761220;-6.6722546;-7.0851393;-6.4811654;-6.877823;-6.5023804
ZINC000004761216;-6.6938686;-6.945056;-6.4580812;-6.70973;-6.4476995
ZINC000004777656;-7.0107574;-7.2804217;-7.464201;-7.1369853;-7.125276
ZINC000004777658;-6.894446;-7.224743;-6.9649816;-7.068839;-7.001488
ZINC000004777657;-7.1120396;-7.3362517;-7.249752;-7.08596;-6.9390025
ZINC000257228522;-7.343163;-7.3581853;-6.5948696;-7.282148;-7.087046
ZINC000004777659;-6.779099;-6.973586;-6.9792433;-6.949193;-6.9258146
ZINC000005121004;-7.078476;-6.5000362;-6.8559046;-6.6638045;-6.4575667
ZINC000004792341;-7.655225;-7.979388;-7.5221677;-7.4976354;-7.3498
ZINC000020136165;-6.7873783;-6.6804056;-6.5741353;-6.898271;-6.9690266
ZINC000095869778;-7.066214;-7.323642;-6.939395;-6.900588;-7.0663905
ZINC000104899411;-5.9758415;-6.24197;-6.285076;-6.2023654;-6.2127376
ZINC000004887734;-6.362732;-6.346706;-6.190804;-5.807319;-5.9126077
ZINC000004896463;-7.5140095;-7.52006;-7.247515;-7.32805;-7.431142
ZINC000020158527;-7.510505;-7.3308506;-6.6579504;-6.993552;-7.196393
ZINC000020158647;-7.4348254;-6.924687;-7.0146527;-6.7469234;-6.8627777
ZINC000020158557;-7.3025794;-7.052562;-6.648179;-6.817375;-6.96706
ZINC000095951599;-5.9011555;-6.2523417;-6.15697;-6.177459;-5.967783
ZINC000001481747;-6.938387;-7.1989307;-6.8845863;-6.933674;-6.9036674
ZINC000004967373;-7.8893743;-7.4953823;-7.0777283;-7.3983917;-7.22953
ZINC000004986665;-7.481863;-7.0111995;-6.8416767;-7.2307568;-7.087559
ZINC000004986662;-7.684079;-6.836966;-7.2066793;-7.7068005;-7.2329416
ZINC000005002323;-7.2504454;-7.1221004;-6.9732094;-6.77267;-6.876648
ZINC000005002273;-6.941709;-6.718508;-6.727499;-6.5604334;-6.6472797
ZINC000005002426;-7.53976;-7.746726;-7.438255;-7.4533057;-7.56142
ZINC000005004064;-6.0723896;-6.0277963;-5.6431403;-5.805006;-5.7871842
ZINC000005046313;-7.5907373;-7.123213;-6.713187;-6.806121;-6.7087193
ZINC000005046311;-7.05781;-6.787664;-7.249495;-6.860759;-6.779439
ZINC000005046314;-7.014664;-7.2362046;-7.1186028;-6.781688;-7.036553
ZINC000005046103;-8.012696;-8.229395;-7.910615;-8.480276;-8.027698
ZINC000004959730;-6.4037595;-6.3362045;-6.270764;-6.350625;-6.3143997
ZINC000005181078;-6.0298777;-6.241655;-5.8314676;-6.1669736;-6.14429
ZINC000096052539;-7.628843;-7.2679143;-6.9545226;-7.02884;-7.4316306
ZINC000096052541;-7.45973;-6.9836993;-6.9376006;-7.127156;-7.477476
ZINC000005285164;-6.198754;-6.6117983;-6.538284;-6.0856047;-6.3772497
ZINC000142362247;-7.5438805;-7.6724606;-7.860977;-7.633999;-7.553415
ZINC000005328176;-6.9236336;-7.7045913;-7.287959;-7.1073084;-7.454066
ZINC000005328178;-6.6153393;-7.75608;-7.2304173;-7.1057363;-7.3236637
ZINC000005328174;-7.0971837;-7.6667137;-7.049458;-7.0996194;-7.0582705
ZINC000005328175;-7.244289;-7.903463;-7.123968;-7.1872272;-7.3904934
ZINC000085565206;-7.7840657;-8.049594;-7.6805453;-8.00017;-7.7751784
ZINC000085565203;-7.789987;-8.051416;-7.680868;-8.004599;-7.7751007
ZINC000005432319;-7.187463;-7.48191;-6.9664516;-7.330654;-7.9911394
ZINC000005432318;-6.734005;-7.28132;-7.1402864;-7.5869484;-7.0466275
ZINC000005432320;-7.237946;-7.130092;-6.975644;-7.3307242;-7.6410904
ZINC000005432322;-7.6527586;-7.403552;-7.225633;-7.363124;-7.887025
ZINC000005463536;-7.386472;-7.251545;-7.0561;-7.545218;-7.1466365
ZINC000108368551;-6.8684535;-6.1236534;-6.6866484;-6.4840975;-7.0113316
ZINC000108368546;-6.3605704;-6.333491;-6.438821;-6.328501;-6.221004
ZINC000108368687;-7.255775;-6.589142;-6.8408337;-6.953215;-7.284527
ZINC000108368683;-6.735492;-6.8407393;-6.880539;-7.069083;-7.08523
ZINC000019996185;-7.963616;-7.2180796;-7.671672;-7.873108;-7.7081847
ZINC000218283133;-7.354034;-6.6350803;-6.6762366;-6.6591506;-6.6683283
ZINC000218283076;-7.632607;-6.5147924;-6.8188844;-6.708315;-7.006485
ZINC000005758134;-7.093028;-6.7807937;-6.7500434;-6.36497;-6.102813
