name;01;02;03;04;05
ZINC000036382756;-7.4150295;-7.4503527;-7.1840153;-7.6474056;-7.347669
ZINC000004713677;-6.766592;-7.1020193;-6.496866;-6.8700643;-6.9635777
ZINC000004718909;-6.3618565;-6.4152336;-6.4101167;-6.687495;-6.7256556
ZINC000004739230;-7.2239113;-7.10574;-6.9318953;-6.970065;-7.1896486
ZINC000004773839;-6.5283804;-6.73117;-6.5391;-6.6087823;-6.780638
ZINC000104704639;-6.4736214;-6.8077006;-6.28335;-6.444008;-6.2629066
ZINC000003846762;-6.7988214;-6.494953;-7.201142;-7.0890026;-7.261867
ZINC000004826064;-7.5624647;-7.7236567;-7.6627355;-7.7892485;-7.6375737
ZINC000004865550;-7.1776323;-7.709178;-7.388364;-7.3144107;-7.3917294
ZINC000004873189;-7.576199;-7.5382075;-6.972403;-7.302028;-7.361221
ZINC000035188591;-6.786144;-6.9060655;-6.8460245;-6.9305654;-6.7775126
ZINC000004982089;-7.8282504;-7.872601;-7.623356;-7.7343583;-7.951457
ZINC000004982211;-7.6689467;-7.667469;-7.8008633;-7.7238717;-7.6995325
ZINC000004983341;-7.687105;-7.2619505;-7.078239;-7.246082;-7.3550916
ZINC000005002821;-6.6910434;-6.5065646;-6.03001;-6.2884064;-6.290585
ZINC000000334165;-6.2978926;-6.2270956;-6.2017856;-6.5871177;-6.452263
ZINC000002156239;-7.634842;-7.510109;-7.510476;-7.4740634;-7.4946585
ZINC000002156181;-6.859886;-7.229062;-7.0201006;-7.1886415;-7.10999
ZINC000002204216;-6.9080486;-6.882646;-6.726285;-6.5736547;-7.372103
ZINC000096026324;-6.7322674;-6.830225;-6.814459;-6.522921;-7.160836
ZINC000096028089;-7.0554895;-6.72115;-6.629417;-7.1507716;-6.8477697
ZINC000005128502;-6.593972;-6.7569723;-6.9447393;-6.6878877;-6.967169
ZINC000005156819;-8.853031;-8.246475;-8.289576;-8.276954;-8.27186
ZINC000005175696;-5.985717;-6.1035304;-5.9568377;-6.3580456;-6.1535106
ZINC000005180053;-6.732806;-6.6998143;-6.6884537;-6.69238;-6.811529
ZINC000002265478;-7.0101995;-7.132604;-6.903174;-6.695503;-7.195113
ZINC000085476997;-7.1606746;-7.04297;-6.793091;-7.032317;-7.0434093
ZINC000034188658;-6.260728;-6.1480303;-6.3199944;-6.208831;-6.486487
ZINC000034203765;-6.4473276;-5.927612;-6.412227;-6.3746686;-6.173011
ZINC000116661612;-7.1225123;-6.9484468;-7.3287764;-7.2720304;-7.095275
ZINC000005523018;-7.8037777;-6.655648;-6.807757;-7.2453485;-6.7980595
ZINC000096759328;-7.2015486;-7.6344576;-7.5463443;-7.656358;-7.462395
ZINC000005567987;-6.919098;-7.0991626;-6.8416605;-6.8718023;-7.012972
ZINC000096792272;-7.0801797;-6.660119;-7.1262913;-7.067996;-7.161542
ZINC000005591179;-6.3603487;-6.540781;-6.4104853;-6.8694596;-6.5902205
ZINC000019898275;-6.7930655;-6.18136;-6.4521036;-6.394389;-6.8336453
ZINC000005660468;-6.97334;-6.6499004;-6.7896986;-7.219157;-6.890435
ZINC000019941811;-6.811003;-6.956185;-6.913124;-6.916645;-6.930209
ZINC000005672393;-7.39476;-7.221845;-6.7378526;-7.313011;-7.2435274
ZINC000020060326;-5.287715;-5.498558;-5.5298686;-5.511453;-5.399692
ZINC000000057645;-7.2895756;-7.1875253;-7.28581;-7.259684;-7.261604
ZINC000005675804;-7.395228;-7.222207;-6.7373123;-7.3131194;-7.241656
ZINC000005710519;-7.4857826;-7.664216;-7.2327843;-7.6423507;-7.5628567
ZINC000005761680;-6.5808992;-6.5198717;-6.645234;-6.5278635;-6.583911
ZINC000096028081;-7.1634855;-6.637985;-6.75388;-7.1473365;-6.789185
ZINC000096028080;-7.2356687;-6.775179;-7.1426296;-7.480052;-7.1149335
ZINC000005777948;-7.0466027;-6.9543715;-6.606436;-6.822549;-6.8802547
ZINC000096562206;-6.4916983;-6.5901384;-6.384037;-6.6519885;-6.602796
ZINC000002462851;-6.843721;-6.887996;-6.9632444;-7.037733;-6.78833
ZINC000002486863;-6.5824137;-6.320673;-6.6882143;-6.2402267;-7.2639933
ZINC000005898696;-7.8271494;-7.595233;-7.5225873;-7.651556;-7.913777
ZINC000002878122;-7.3301516;-7.61743;-7.334733;-7.16191;-7.1041527
ZINC000002880616;-6.663597;-6.0475507;-6.3742924;-6.623188;-6.559493
ZINC000003014185;-6.6377106;-6.63463;-6.549753;-6.7112465;-6.6077185
ZINC000005937857;-8.250795;-8.10851;-7.688701;-7.95474;-7.8713284
ZINC000005948917;-6.722943;-6.6567087;-6.5396066;-6.9755335;-7.020553
ZINC000003165411;-6.8632426;-7.0826845;-7.1045876;-7.114718;-7.125005
ZINC000003167917;-8.311497;-8.451675;-8.165692;-8.398513;-8.674156
ZINC000006197876;-6.122265;-6.1144757;-5.991405;-6.2642665;-6.2854424
ZINC000004018713;-7.0421867;-7.21748;-6.703066;-7.127817;-6.995194
ZINC000004010651;-7.079411;-7.0063415;-6.753563;-6.8929877;-7.115655
ZINC000004008187;-7.371922;-6.9986854;-7.7906923;-7.7827578;-7.489702
ZINC000006234359;-8.123267;-8.083184;-8.066228;-8.315202;-8.189631
ZINC000004139821;-6.015622;-5.5525;-5.5672703;-6.248029;-5.9478326
ZINC000004256511;-7.2407494;-6.8256087;-7.800164;-6.795062;-7.1218944
ZINC000004281607;-5.349941;-5.6684566;-5.6801567;-5.6459093;-5.4424825
ZINC000004281605;-5.463685;-5.464776;-5.4263372;-5.5250893;-5.5418887
ZINC000006522674;-7.4996634;-7.2106624;-7.526548;-7.3085213;-7.3352404
ZINC000006529788;-7.129528;-7.081986;-7.0160913;-7.4188957;-7.2195
ZINC000006549584;-6.8611007;-7.261161;-7.0025916;-7.3744617;-6.975497
ZINC000001886826;-7.1305737;-6.9140778;-6.8901815;-6.966383;-7.14266
ZINC000006583621;-6.3963356;-6.3887734;-6.050864;-6.4110317;-6.459861
ZINC000006629462;-6.5203137;-6.468478;-6.316922;-6.275092;-6.9896617
ZINC000006745008;-6.484215;-6.657362;-6.266559;-6.859578;-6.944129
ZINC000004645929;-6.7712684;-7.1698847;-6.8409796;-6.9452987;-7.1454296
ZINC000006831984;-7.7060895;-7.9008083;-7.711906;-7.892396;-8.137594
ZINC000006831939;-7.6911488;-7.5779676;-7.5493917;-7.834702;-8.074395
ZINC000006831663;-7.618053;-7.6559153;-7.668925;-7.5473223;-7.843688
ZINC000000063995;-6.821619;-6.2013073;-6.2921495;-6.5638137;-6.5806723
ZINC000000063997;-6.8224444;-6.201456;-6.29081;-6.561836;-6.5790453
ZINC000000069803;-6.5799017;-6.885626;-6.9117117;-6.59072;-6.7545724
ZINC000006864872;-5.810494;-5.7491927;-5.6909184;-5.783136;-5.963833
ZINC000006872222;-7.2383957;-7.124479;-6.7406425;-7.1090174;-7.0065193
ZINC000006912813;-7.09111;-7.3746505;-7.274501;-7.6103272;-7.6362014
ZINC000006996197;-7.6588807;-7.577815;-7.5904336;-7.643849;-7.6408615
ZINC000071791196;-5.907047;-5.8949556;-5.6075163;-5.8745365;-5.9651084
ZINC000196255610;-7.2901206;-7.379138;-7.064533;-7.66774;-7.268853
ZINC000007586273;-8.261776;-8.267059;-8.2169075;-8.265388;-8.800581
ZINC000003163707;-6.675148;-6.4964085;-6.179921;-6.387436;-6.6155176
ZINC000007716543;-8.444034;-8.514319;-8.212694;-8.231987;-8.621502
ZINC000007746018;-8.029794;-7.9334188;-7.775327;-7.81799;-8.100825
ZINC000007746227;-8.275164;-8.318848;-7.9938;-7.9743996;-8.061818
ZINC000007847505;-7.9488745;-8.094561;-7.671676;-8.067945;-8.007323
ZINC000071971778;-9.01649;-8.7411995;-8.568717;-8.653274;-8.761148
ZINC000071971752;-7.8760567;-7.5378633;-7.534902;-7.795661;-7.6728263
ZINC000071971785;-8.793454;-8.485355;-8.203417;-8.238803;-8.542141
ZINC000071971759;-7.519234;-7.4284186;-7.2060103;-7.4430904;-7.5536427
ZINC000008080215;-6.924984;-6.8024964;-6.770074;-6.8124743;-6.9408083
ZINC000003080646;-6.7564597;-6.4815617;-6.494356;-6.560961;-6.736066
ZINC000003080643;-8.432689;-8.496471;-8.300988;-8.438871;-8.521078
ZINC000252494117;-6.209481;-6.1320524;-6.3342695;-6.0942492;-6.402344
ZINC000252506327;-6.4426537;-6.311773;-6.4211187;-6.4066687;-6.503932
ZINC000001005085;-6.502448;-6.6487947;-6.709451;-7.0076003;-7.061361
ZINC000040544629;-7.847815;-7.7850556;-7.869055;-7.945057;-7.5202723
ZINC000003880706;-7.877653;-7.66303;-7.605132;-7.3949075;-7.805481
ZINC000004173634;-5.3721833;-5.7732935;-5.6449637;-5.815443;-5.6587286
ZINC000008574691;-6.806254;-6.956032;-6.9484034;-6.8453293;-6.8751345
ZINC000049588611;-5.879043;-5.7145433;-5.602335;-5.649983;-5.8548956
ZINC000008816503;-6.4711637;-6.011328;-5.8650956;-6.2661824;-6.392481
ZINC000004750903;-7.0386634;-7.0135098;-7.0600777;-7.366138;-6.9037037
ZINC000002173336;-7.320692;-7.2534447;-7.2811594;-7.0879083;-7.0973377
ZINC000082046445;-7.2449217;-7.2177534;-7.1454353;-7.33584;-7.3028474
ZINC000003848480;-6.872095;-6.8894286;-7.3048143;-7.327388;-7.01272
ZINC000010493977;-6.3462653;-6.4143;-6.4690814;-6.612407;-6.68313
ZINC000000038933;-7.1599784;-7.181301;-7.284971;-7.18286;-7.2476125
ZINC000000071446;-6.685447;-6.695286;-6.550153;-6.7588315;-6.668353
ZINC000013217006;-6.535516;-6.3483605;-6.5222297;-6.505684;-6.8484597
ZINC000097992895;-7.8193455;-7.5595055;-7.656342;-7.5905924;-7.880663
ZINC000000137562;-7.002536;-7.238298;-7.340865;-6.937074;-7.3988996
ZINC000000138314;-6.601856;-6.43681;-6.726775;-6.340323;-6.894082
ZINC000000166532;-6.531526;-6.592746;-6.557447;-6.663879;-6.5780067
ZINC000000175733;-7.2679152;-7.1703763;-7.150495;-7.023403;-7.695075
ZINC000000235381;-7.3062735;-7.392808;-7.276446;-7.1719084;-7.2928925
ZINC000000235378;-7.24844;-7.287949;-7.5327625;-7.47988;-7.4077063
ZINC000000339093;-8.597588;-8.43269;-8.109316;-8.216958;-8.49085
ZINC000000343816;-7.29431;-7.6356697;-7.198264;-7.4913774;-7.587999
ZINC000000346195;-6.3282595;-6.6615877;-6.385351;-6.818441;-6.552958
ZINC000036381102;-6.977329;-6.7409544;-7.3931046;-7.231568;-6.9777045
ZINC000000454093;-7.493288;-7.6310644;-7.501979;-7.6479344;-7.795185
ZINC000000520190;-6.3787503;-6.2627068;-5.9623814;-6.283821;-6.315564
ZINC000000611608;-6.8353724;-7.063157;-7.041134;-7.3421135;-7.0959535
ZINC000000980084;-6.3890686;-6.236117;-6.219482;-6.5577602;-6.6237016
ZINC000001232556;-6.6888013;-6.8900003;-6.666168;-7.0956516;-6.8824654
ZINC000001448955;-6.596507;-6.796707;-6.345542;-6.5140743;-7.2004433
ZINC000001448954;-6.768794;-6.4139433;-6.667056;-6.3452506;-7.278957
ZINC000504285717;-6.7343054;-6.8924117;-7.010684;-7.136634;-7.124028
ZINC000016697844;-6.401717;-6.5242033;-6.4136124;-6.785112;-6.8006954
ZINC000032264387;-6.56797;-6.6391277;-6.4395614;-6.4088416;-6.6200867
ZINC000001689074;-5.026123;-5.628599;-5.438092;-5.3409166;-6.0018425
ZINC000001825753;-6.7853136;-6.621003;-6.558029;-6.42329;-7.0464125
ZINC000002495595;-7.0449867;-7.0843163;-6.923458;-7.539462;-7.254605
ZINC000004661577;-6.2927947;-6.373794;-6.0741997;-6.358866;-6.243637
ZINC000004661611;-6.8696756;-7.0781584;-7.1988263;-7.245932;-7.182258
ZINC000000104248;-7.4335346;-7.078445;-7.1187344;-7.31379;-7.234049
ZINC000000104246;-7.2395625;-7.1659594;-7.0312777;-7.2732954;-7.011407
