name;01;02;03;04;05
ZINC000488724020;-6.827779;-6.870532;-6.7393236;-6.7204423;-6.1854534
ZINC000513556147;-7.438201;-7.273458;-7.380273;-7.4589767;-6.9603696
ZINC000513618553;-7.0245967;-7.580251;-6.867827;-7.2456594;-7.070286
ZINC000513618552;-7.020467;-7.5687494;-6.8652835;-7.216397;-7.077243
ZINC000513856704;-6.970553;-7.1551323;-6.8291597;-7.302493;-7.227792
ZINC000513856752;-7.8626695;-8.060247;-7.8351965;-7.904793;-8.044889
ZINC000513856713;-7.1912117;-7.569757;-7.074537;-7.517979;-7.3203454
ZINC000048331299;-6.834689;-7.235298;-6.9012294;-7.112807;-6.9680767
ZINC000048331298;-6.8143277;-7.2359023;-6.871375;-7.138391;-6.954966
ZINC000048335258;-6.5286007;-7.1212897;-6.9182444;-7.226055;-6.9413013
ZINC000048335259;-6.5989885;-7.128707;-6.9181805;-7.176598;-6.9336553
ZINC000048337147;-7.363163;-7.5223293;-7.4360805;-7.422208;-7.579098
ZINC000035223871;-6.929154;-7.128744;-6.917875;-7.076266;-7.11646
ZINC000517623010;-6.6650333;-7.293627;-7.0548806;-7.107354;-7.073659
ZINC000517623021;-6.6626487;-7.2937837;-7.056772;-7.106093;-7.078588
ZINC000575758336;-6.820569;-6.5993805;-6.5983443;-6.6669583;-6.7891746
ZINC000226039052;-7.2460194;-7.5904694;-6.775555;-7.206048;-7.393217
ZINC000226039041;-7.237287;-7.5848193;-6.775322;-7.2020516;-7.3957295
ZINC000226039076;-7.738863;-7.8677797;-7.082855;-7.9398227;-7.9274163
ZINC000226039068;-7.7280574;-7.863966;-7.088106;-7.9338093;-7.930307
ZINC000173420362;-7.690466;-8.21876;-7.974684;-8.354694;-8.729203
ZINC000173420373;-7.267357;-8.299757;-7.4734297;-8.018405;-8.346981
ZINC000173420347;-7.7381887;-8.136516;-8.050065;-8.5150175;-8.613929
ZINC000173420334;-7.7796264;-8.262046;-7.804098;-8.229391;-8.581937
ZINC000539678629;-7.1124773;-7.594775;-7.207587;-7.3599987;-7.4567175
ZINC000020358647;-7.8133335;-7.749153;-6.981941;-7.864107;-7.6625338
ZINC000020358646;-7.8049803;-7.74205;-6.9863048;-7.859231;-7.665705
ZINC000386086439;-7.6035028;-7.492271;-7.2890205;-7.5233674;-7.6432276
ZINC000386086438;-7.9071;-7.602546;-7.4250317;-7.633235;-7.646328
ZINC000386237563;-8.244308;-8.54621;-7.8315663;-8.294341;-8.572109
ZINC000386237562;-8.234098;-8.542385;-7.8354583;-8.289184;-8.574629
ZINC000386333094;-7.779149;-7.4255056;-7.699016;-7.6037583;-7.774093
ZINC000521483521;-8.056642;-8.172483;-7.647894;-8.172971;-8.05242
ZINC000386466752;-7.4827166;-7.903661;-7.6305275;-7.6632705;-7.5780816
ZINC000386466751;-7.584494;-7.881971;-7.5842557;-7.543098;-7.506399
ZINC000386485009;-7.469394;-7.3347917;-7.652736;-7.6210966;-7.8316574
