name;01;02;03;04;05
ZINC000271956789;-7.00862;-6.394869;-6.6145773;-6.738385;-6.5927267
ZINC000271956787;-7.3287163;-6.803872;-6.71944;-6.8531227;-6.532433
ZINC000545875399;-7.5427027;-7.6448536;-7.1037674;-7.5599985;-6.985893
ZINC000545875392;-7.5349894;-7.6536703;-7.09645;-7.479412;-6.985761
ZINC000581083864;-6.7132893;-7.067207;-7.017391;-7.07161;-7.094918
ZINC000174809785;-6.8277497;-6.4541616;-7.139037;-6.964236;-6.6980166
ZINC000174808972;-6.923657;-7.2032495;-6.886499;-7.0487666;-7.2521257
ZINC000174810471;-7.0257587;-6.63733;-6.4485607;-6.344691;-6.458644
ZINC000174810487;-6.8169603;-6.4310985;-6.392454;-6.3773146;-6.5188046
ZINC000174816792;-6.5359626;-6.318372;-6.8199377;-6.5076137;-6.758559
ZINC000174821005;-6.93971;-6.9673386;-7.1368985;-7.201627;-7.1495624
ZINC000174816081;-7.01975;-7.2608175;-7.142024;-7.0807905;-7.3946247
ZINC000174819081;-7.014915;-7.4715877;-7.3225155;-7.2284083;-7.2159047
ZINC000174822229;-7.0401616;-7.502794;-7.2563896;-7.4307914;-7.5329447
ZINC000174819071;-6.9025083;-7.556072;-7.245987;-7.3542514;-7.0064955
ZINC000174830137;-6.3038893;-6.3387103;-6.8174853;-6.6255155;-6.6127353
ZINC000174816785;-6.8072033;-7.2058725;-7.1893454;-7.420099;-7.0729685
ZINC000174816075;-6.945341;-7.1911793;-7.4188414;-6.985525;-7.3043804
ZINC000174823016;-6.437516;-6.2462053;-7.12121;-6.703219;-6.745899
ZINC000174830123;-6.8341756;-7.178993;-7.23368;-7.4588146;-7.125453
ZINC000174839977;-7.9156957;-7.890219;-8.028985;-7.629532;-8.137595
ZINC000174833426;-6.8184276;-6.8074427;-7.0231276;-6.866305;-6.7213035
ZINC000174859510;-6.5787954;-6.696876;-6.497549;-6.8634915;-6.8461275
ZINC000174859522;-6.720236;-7.131364;-6.8530674;-7.2830176;-7.2186623
ZINC000174869440;-7.211241;-7.2090006;-7.5158415;-7.4932737;-7.4572983
ZINC000174869420;-7.2302876;-6.8349338;-7.437688;-7.4632483;-7.7558527
ZINC000174868908;-7.490437;-7.408759;-7.7141285;-7.2101417;-7.2682114
ZINC000174868922;-7.394761;-7.433878;-7.537133;-7.295358;-7.1969123
ZINC000174869451;-7.315021;-7.152213;-7.382057;-7.5508413;-7.6368012
ZINC000174869429;-7.559166;-7.0492444;-7.5187116;-7.447081;-7.5989933
ZINC000513240655;-6.6567054;-7.356133;-7.6901903;-6.878095;-7.6718416
ZINC000513240657;-6.465992;-7.321686;-7.3459926;-7.4364667;-7.4473696
ZINC000513240658;-6.591023;-6.9922867;-7.286113;-6.5880933;-7.1470137
ZINC000513240656;-6.3264675;-7.236999;-7.495098;-7.1008916;-7.325717
ZINC000175150583;-6.839799;-6.84002;-7.2230535;-7.163998;-7.281981
ZINC000175150570;-6.5010414;-7.0835247;-7.4341984;-7.209008;-7.2445188
ZINC000531580933;-7.3590827;-7.3678584;-6.47764;-7.0969996;-6.8008766
ZINC000531580929;-7.4595857;-6.936438;-6.5977445;-7.0820603;-6.589163
ZINC000451185606;-7.0634727;-6.7212005;-7.2696514;-7.1684866;-7.21562
ZINC000451185607;-6.850213;-7.0020514;-7.2392797;-7.3215218;-7.4520273
ZINC000451185605;-7.0629897;-7.0065484;-7.3410463;-7.444027;-7.386037
ZINC000451185608;-6.7561083;-7.4871674;-7.4013295;-7.4749384;-6.9839077
ZINC000557703408;-7.062353;-7.2330503;-7.3544626;-7.540515;-6.8994393
ZINC000557703412;-6.9915895;-7.058214;-7.6345353;-7.3813515;-7.1779246
ZINC000488692414;-7.2394724;-6.7782955;-6.7956114;-6.987156;-7.2702975
ZINC000488692415;-7.3314185;-6.9886937;-6.9973454;-6.868494;-7.5004
ZINC000295037366;-6.9242153;-6.4357696;-6.5599217;-6.382472;-6.6442614
ZINC000295037368;-6.6418543;-6.4198585;-6.2949657;-6.3605914;-6.639113
ZINC000557922935;-6.242283;-5.9546084;-5.997465;-5.8953714;-6.0057416
ZINC000557922894;-6.127033;-6.1942472;-5.889;-6.0997415;-6.181058
ZINC000557922934;-6.304991;-5.9353065;-6.6130543;-5.5282106;-6.0342846
ZINC000557922895;-6.247088;-5.901004;-5.9119415;-6.0213265;-6.20578
ZINC000513725354;-6.5177794;-6.7570186;-6.4759355;-6.5036426;-6.6274695
ZINC000513725354;-6.756435;-7.0085464;-6.7045903;-6.368492;-6.430947
ZINC000513742554;-6.594719;-6.4227753;-6.3537903;-6.386779;-6.608302
ZINC000513742554;-6.8542852;-6.597655;-6.8619246;-6.344818;-6.4444447
ZINC000534215794;-7.1261687;-6.3935094;-6.713057;-6.686049;-6.568112
ZINC000534215793;-7.1192093;-6.9566917;-7.1818767;-6.696685;-6.740465
ZINC000534206200;-6.9248247;-6.5109673;-6.609152;-7.0758047;-6.571377
ZINC000534206199;-6.0089827;-6.249466;-6.32133;-6.507645;-6.3110046
ZINC000451740235;-6.2715936;-6.4947577;-6.057323;-6.1775255;-6.332571
ZINC000277613388;-6.393522;-6.6305213;-6.881798;-6.42037;-6.7794724
ZINC000277613391;-6.3941536;-6.997966;-7.008204;-6.728022;-6.8925824
ZINC000277818011;-6.0543313;-5.9991264;-6.1517367;-6.400364;-6.5300903
ZINC000277818013;-5.548058;-5.7685213;-6.2286363;-6.170706;-6.1458097
ZINC000277874624;-6.6787133;-6.8116956;-6.890348;-6.645123;-6.9608383
ZINC000277874619;-6.276948;-6.4290404;-6.6048155;-6.5037613;-6.5522714
ZINC000498563775;-6.5999637;-6.5480685;-6.9016976;-6.477177;-6.692587
ZINC000498563775;-6.8126235;-6.4484816;-6.781445;-6.7092714;-6.73744
ZINC000451864692;-6.3656244;-6.1208525;-6.730016;-6.3856215;-6.633274
ZINC000451864693;-5.9160256;-6.3496842;-6.5626745;-6.5158715;-6.75053
ZINC000278158369;-6.5018396;-6.495585;-6.611637;-6.645999;-6.4644723
ZINC000278158375;-6.5482154;-6.2921333;-6.0982533;-6.580981;-6.3250413
ZINC000278158377;-6.3350644;-6.214734;-6.0189533;-6.5063376;-6.3563757
ZINC000278158371;-6.343024;-6.435378;-6.5127993;-6.4796777;-6.145209
ZINC000451964216;-5.8280807;-5.984826;-6.500369;-6.4826703;-6.51011
ZINC000451964215;-6.5996747;-6.8228607;-7.3307495;-7.183354;-7.0410576
ZINC000534337046;-6.2486963;-6.141929;-6.1932883;-6.13918;-6.402252
ZINC000534337046;-6.562608;-6.650224;-6.588934;-6.2640367;-6.6088414
ZINC000110456112;-4.9439154;-5.3891788;-5.728592;-5.565131;-5.146062
ZINC000110456109;-5.704128;-5.4265175;-5.8887215;-5.5284214;-5.649179
ZINC000513961196;-6.3491797;-6.130543;-6.078514;-6.340046;-6.5925994
ZINC000513961195;-5.9237843;-6.3277936;-5.97434;-6.323646;-6.3809137
ZINC000444642495;-5.9807663;-7.017597;-6.941733;-7.196534;-6.5911794
ZINC000444649466;-7.1941476;-7.49914;-7.656321;-7.567511;-7.6237445
ZINC000195732739;-4.9864564;-5.3297625;-5.2701907;-5.4317904;-5.263135
ZINC000195732740;-5.166881;-5.3344193;-5.5017886;-5.344725;-5.207283
ZINC000444666558;-6.7738953;-7.132899;-6.7464266;-6.823622;-7.0365114
ZINC000489600975;-6.323209;-6.3631425;-6.1628523;-6.2080975;-6.2226524
ZINC000489600975;-6.6855855;-6.2864146;-6.1731935;-6.674588;-6.1699986
ZINC000489600976;-6.7894278;-6.24173;-6.112076;-6.2375336;-6.299112
ZINC000489600976;-6.551944;-6.7238917;-6.1072993;-6.302708;-6.4269924
ZINC000489646520;-6.2559366;-6.253835;-6.2733192;-6.091535;-6.081967
ZINC000489646519;-6.754643;-6.2211766;-6.0350943;-6.179108;-6.138725
ZINC000444686094;-7.1670957;-7.84033;-7.4645767;-7.4674892;-7.458913
ZINC000444686095;-7.5431275;-7.767509;-7.388353;-7.431681;-7.3994026
ZINC000490051005;-7.055027;-7.6459;-7.7041335;-7.5782943;-7.5006914
ZINC000271517083;-5.887005;-6.1735744;-5.7815137;-6.0240307;-6.196329
ZINC000271517086;-5.79305;-6.149049;-5.953384;-5.947179;-6.2365413
ZINC000271517079;-6.306946;-6.3617654;-6.28434;-6.255138;-6.153949
ZINC000271517075;-6.31888;-6.3479576;-6.0850563;-6.2637296;-6.13747
ZINC000271715868;-7.567993;-6.847218;-7.2073107;-6.722307;-6.227308
ZINC000490117027;-6.7168026;-6.778272;-7.0154147;-7.1482573;-6.807148
ZINC000490117027;-7.2445173;-6.6207848;-6.7647443;-6.8922095;-6.703144
ZINC000490117029;-6.994164;-6.830471;-7.0439687;-7.1798573;-6.9896183
ZINC000490117029;-7.0577264;-6.8585296;-6.78275;-6.9795327;-6.450571
ZINC000490117026;-7.183503;-6.6287794;-6.767161;-6.9893093;-6.722521
ZINC000490117026;-6.7209105;-6.7794623;-7.0129085;-7.147196;-6.8130274
ZINC000490117025;-7.0710487;-6.864394;-6.7855186;-6.974759;-6.454146
ZINC000490117025;-7.066097;-6.907608;-6.9752903;-7.2176604;-7.0559387
ZINC000271715870;-7.4779997;-6.748928;-6.9869833;-6.7098775;-6.0310597
ZINC000179989937;-6.057942;-6.3384404;-6.185258;-5.9676504;-6.2450433
ZINC000571171470;-6.770964;-6.818715;-6.3268547;-6.6148295;-6.569731
ZINC000571171469;-6.5729437;-6.844514;-6.368785;-6.6901283;-6.633704
ZINC000180149518;-6.155861;-5.8408475;-5.980343;-6.461012;-5.7115736
ZINC000180149494;-6.1339045;-6.0169964;-6.1374316;-6.1565094;-5.7678175
ZINC000558461923;-6.8643312;-6.5314674;-6.5621033;-6.388352;-6.8358364
ZINC000558471392;-6.2481694;-5.9536295;-6.0885105;-6.1552362;-6.020589
ZINC000160962560;-5.904355;-6.2476997;-5.473667;-5.9854946;-5.8333263
ZINC000160962438;-6.289131;-6.026366;-5.507963;-5.8856015;-5.593167
ZINC000575473441;-7.215992;-7.2824993;-7.4334044;-6.9947023;-7.4172225
ZINC000575473442;-7.3047853;-7.084563;-7.256277;-7.2514725;-7.4229727
ZINC000274401403;-7.1216354;-7.0322046;-6.5141845;-6.492893;-6.6379066
ZINC000274401399;-6.85482;-7.0362453;-6.2888923;-6.503598;-6.4818687
ZINC000274401392;-6.8490124;-7.0667343;-6.3015327;-6.522719;-6.524551
ZINC000274401396;-7.133177;-6.9546366;-6.5023365;-6.4379506;-6.617078
ZINC000521197431;-6.94356;-6.15875;-6.27773;-6.392721;-6.706933
ZINC000521196668;-5.4386215;-5.846727;-5.8137608;-5.7289886;-5.9704843
ZINC000521197432;-6.5468755;-6.1876736;-6.051729;-6.602475;-6.12164
