name;01;02;03;04;05
ZINC000070666008;-7.3140535;-7.043035;-7.0664577;-7.1961102;-7.274333
ZINC000261494479;-7.419362;-7.1052985;-7.3206253;-7.331231;-7.545376
ZINC000000391703;-6.176059;-5.95699;-5.929226;-5.9884;-6.079309
ZINC000000391715;-6.048625;-6.2466764;-5.8091984;-6.386577;-6.179145
ZINC000005009317;-7.123076;-7.609547;-7.488329;-7.477604;-7.6018276
ZINC000003123093;-6.87721;-7.185649;-7.2388425;-6.8512354;-6.9071445
ZINC000001654283;-7.268858;-6.8806043;-6.7593966;-7.2885904;-7.003269
ZINC000003123099;-7.060201;-6.9440002;-6.7774925;-7.401021;-7.3053207
ZINC000002166880;-4.844779;-6.2301636;-5.7163916;-6.1622524;-6.0530057
ZINC000005200116;-6.4671845;-6.835043;-6.971263;-6.944026;-6.8275714
ZINC000005337029;-6.807558;-6.9753475;-6.938882;-7.2379217;-7.017096
ZINC000252536708;-6.340721;-6.398887;-6.8177495;-6.9257383;-6.771277
ZINC000005542520;-6.908725;-7.138166;-7.2046957;-7.1142645;-7.2308307
ZINC000005746172;-7.2957573;-6.950399;-6.8454;-7.2713227;-7.2109814
ZINC000044069195;-6.930763;-6.9396763;-6.7781935;-7.2090964;-7.255683
ZINC000044069359;-7.054831;-7.1447124;-6.8808103;-7.1114454;-7.3013144
ZINC000044138610;-6.6981816;-6.7198887;-6.357951;-6.94066;-6.835651
ZINC000077011762;-5.557878;-5.5863433;-5.4579053;-5.497077;-5.6641126
ZINC000077011774;-5.7089562;-5.700067;-5.7614865;-5.6141214;-5.688855
ZINC000003014184;-7.4784408;-7.6379156;-7.641266;-7.805149;-7.571689
ZINC000005935212;-7.220978;-7.025752;-7.1048813;-7.29712;-7.581712
ZINC000003050961;-6.9671135;-7.4026093;-7.101396;-7.5246673;-7.2035623
ZINC000003065549;-7.163576;-7.6098943;-7.3784738;-7.7679768;-7.3379555
ZINC000003122989;-7.434362;-7.4915276;-7.6779366;-7.3167768;-7.352514
ZINC000003190119;-7.2560844;-7.1616726;-7.236236;-7.2143016;-7.0500784
ZINC000006031170;-6.5060573;-6.4671125;-6.3012886;-6.708694;-6.7929316
ZINC000006037786;-6.500017;-6.3425627;-6.313445;-6.6329637;-6.6791625
ZINC000039630908;-7.8332734;-7.3227906;-8.232506;-7.5542936;-7.3415937
ZINC000006118465;-7.1559386;-7.1554613;-7.2354054;-7.2744875;-7.5483913
ZINC000003628124;-6.5073867;-6.889279;-6.535215;-7.0263424;-7.12594
ZINC000004133877;-6.9086275;-7.5342255;-7.3551497;-7.430916;-7.5348654
ZINC000006375145;-6.499625;-6.4952655;-6.4524055;-6.610335;-6.418288
ZINC000086029458;-7.060066;-7.0023413;-6.8628902;-7.0102024;-7.0801725
ZINC000006792543;-7.0946794;-7.013168;-7.13698;-6.9997406;-7.289979
ZINC000004673290;-7.4757533;-7.591859;-7.7049146;-7.4915237;-7.8701096
ZINC000000060130;-7.7069697;-7.752466;-7.605984;-8.00883;-7.680234
ZINC000001632916;-7.3464203;-7.112072;-7.1319256;-7.219101;-7.2915773
ZINC000001632918;-6.8838863;-6.754022;-6.892943;-6.9817433;-7.067444
ZINC000000353168;-7.4132166;-7.4247465;-7.417596;-7.4718485;-7.6140103
ZINC000001722236;-6.8833447;-6.8849235;-7.2316175;-7.0659614;-7.1597466
ZINC000001722308;-7.073183;-7.066893;-6.927052;-7.022715;-7.070714
ZINC000367614499;-7.5731544;-6.4391236;-6.6043525;-5.9918566;-6.275621
ZINC000001635210;-7.6129866;-7.121695;-7.12121;-7.5082135;-7.2922344
ZINC000045068474;-6.4990177;-6.493612;-6.4161863;-6.784219;-6.7641783
ZINC000003075466;-6.6145535;-6.6908712;-6.870059;-7.013768;-6.773217
ZINC000003075522;-7.209005;-6.9948564;-6.936648;-7.067687;-7.0574527
ZINC000003132855;-7.3984017;-6.960953;-6.967631;-7.2864347;-6.7675676
ZINC000003132845;-7.018564;-7.0400953;-7.2982483;-7.025758;-7.193649
ZINC000003132693;-6.165636;-6.2979493;-6.11537;-6.505985;-6.376174
ZINC000001232565;-7.486881;-7.4177127;-7.5494275;-7.7011013;-7.775015
ZINC000004126545;-6.6801906;-7.064101;-7.543176;-7.5631595;-7.4225764
ZINC000008383990;-7.7494164;-7.248892;-7.4428453;-7.477638;-7.642901
ZINC000008384652;-6.8305435;-6.930301;-6.5955667;-6.9518776;-7.0191927
ZINC000008384648;-7.3490934;-6.635542;-6.725828;-6.6972666;-7.100017
ZINC000008383882;-6.431642;-6.339673;-6.689584;-6.666495;-6.746653
ZINC000007089615;-6.43044;-6.5952754;-6.4731073;-7.089346;-6.5318565
ZINC000006255928;-7.109514;-7.114198;-7.1786275;-7.1552353;-7.415523
ZINC000001507176;-7.0604825;-7.062459;-7.108193;-7.4155035;-7.359084
ZINC000002172739;-7.987968;-7.7481284;-7.8479204;-7.8591576;-7.95238
ZINC000003167922;-7.420779;-7.660932;-7.424782;-7.4343553;-7.6265416
ZINC000219588692;-6.511715;-6.558751;-6.630945;-6.6025753;-6.602126
ZINC000009531130;-6.4112344;-6.13564;-6.197199;-6.3707433;-6.439514
ZINC000009577402;-6.640213;-6.3457007;-6.750249;-6.6565785;-6.8544645
ZINC000097994604;-6.8774757;-6.6992693;-6.739478;-6.663824;-7.06723
ZINC000022636377;-5.7715936;-6.7833967;-6.6764407;-6.270036;-6.37327
ZINC000097994602;-6.8735147;-6.927053;-6.9032836;-7.0187955;-6.9049363
ZINC000100631942;-6.537887;-6.6703057;-6.446533;-6.90076;-6.7860484
ZINC000000049657;-7.0388474;-7.1353793;-6.935025;-7.2796206;-7.218767
ZINC000013655235;-6.334602;-6.19524;-6.0414577;-6.476386;-6.445796
ZINC000071766886;-7.014304;-6.749841;-6.7921586;-6.882806;-7.091943
ZINC000000463804;-7.1778765;-6.9567738;-6.826432;-6.9887457;-6.9726467
ZINC000000509890;-7.633495;-7.7578106;-7.8161936;-8.024221;-7.7829485
ZINC000001000268;-6.8262687;-6.7326007;-6.74269;-6.8108053;-6.9619637
ZINC000001022034;-6.588604;-6.8023934;-6.707808;-6.8582497;-6.7543354
ZINC000064033297;-6.5918045;-6.4105415;-6.512927;-6.5578117;-6.9013004
ZINC000001445238;-7.314682;-7.1013207;-7.374478;-7.311685;-7.387466
ZINC000001562130;-6.6735015;-6.905267;-6.970626;-7.0009146;-7.154687
ZINC000001599927;-7.422981;-7.3770857;-7.2526073;-7.6381617;-7.544415
ZINC000001601996;-6.681945;-6.432336;-6.167431;-6.4991636;-6.1709037
ZINC000001693568;-7.0218863;-7.055262;-7.0866346;-7.10983;-6.9810896
ZINC000001696186;-7.7907405;-8.380017;-7.959416;-7.9756317;-8.185763
ZINC000001722310;-6.988866;-6.987632;-6.7601147;-6.9776063;-6.98431
ZINC000001632863;-6.831393;-6.564696;-6.668264;-6.744568;-6.8626995
ZINC000006069428;-6.88463;-6.6877036;-6.519781;-7.0845137;-6.9502454
ZINC000071786522;-6.06687;-5.9107904;-5.9384294;-5.967001;-6.067333
ZINC000071786909;-6.552517;-6.5243936;-6.7671494;-6.9010296;-6.5777073
ZINC000001812740;-7.516632;-7.54038;-7.5689044;-7.543354;-7.70253
ZINC000001868948;-7.194271;-6.9407563;-7.115289;-7.1201406;-7.2216597
ZINC000002077597;-7.054619;-6.9902506;-6.7675724;-7.031558;-7.040545
ZINC000002077571;-7.3064165;-7.5060296;-7.4654565;-7.343759;-7.460144
ZINC000002146805;-7.4430633;-7.6682057;-7.343777;-7.544117;-7.581517
ZINC000002172374;-6.8211756;-7.1965303;-7.039643;-7.2565765;-7.044214
ZINC000001040100;-7.086129;-7.14779;-7.1427517;-7.2380853;-7.246578
ZINC000001114000;-7.5377855;-7.2844706;-7.6187963;-7.604059;-7.7012396
ZINC000002484583;-7.4799905;-7.5267487;-7.549367;-7.3026304;-7.6650095
ZINC000002530744;-7.1058345;-6.87072;-6.809966;-6.878813;-6.966243
ZINC000003876017;-7.9442425;-7.628129;-7.7781906;-7.3258963;-8.040173
ZINC000003876020;-7.4015284;-7.338487;-7.547389;-7.470877;-7.769748
ZINC000003876016;-6.962511;-6.987553;-7.4061313;-7.2021227;-7.565935
ZINC000002558792;-7.3582397;-7.0629787;-7.1404696;-7.3014097;-7.3430037
ZINC000068563076;-7.121663;-6.8981094;-6.736685;-7.0105596;-7.1226244
ZINC000004661609;-6.9523234;-6.9376006;-6.9626575;-6.916123;-6.8782053
ZINC000004661610;-7.3088717;-7.58354;-7.370972;-7.715146;-7.46018
ZINC000004661594;-7.035902;-7.2967367;-7.3320727;-7.47386;-7.317757
ZINC000004661575;-6.627454;-6.596113;-6.7410245;-6.8767023;-6.71958
ZINC000000052689;-7.0917478;-7.1713815;-6.9901547;-7.1716475;-7.4503736
ZINC000000054630;-6.9738326;-6.8906727;-6.7831664;-6.67984;-6.8548226
ZINC000000054631;-6.9914455;-7.011667;-6.6669197;-6.6405025;-6.9445534
ZINC000000271577;-7.3808384;-7.268291;-7.1966786;-7.381012;-7.378334
