name;01;02;03;04;05
ZINC001128789049;-6.0019946;-6.946239;-5.617478;-6.1169653;-6.97423
ZINC000599110212;-7.3339567;-8.052856;-6.9324737;-6.718329;-7.2744384
ZINC000599100706;-7.6752534;-7.8092246;-7.3955503;-7.306225;-7.4902773
ZINC000599100705;-7.9263353;-7.8620343;-7.5489397;-7.335729;-7.439873
ZINC000599106843;-7.4610524;-7.7556653;-7.3895884;-7.4285345;-7.678928
ZINC000599106840;-8.262613;-7.5756407;-7.656847;-7.3262577;-7.594691
ZINC000599098474;-8.091755;-7.5773187;-7.301912;-7.1440935;-7.7710037
ZINC000599107213;-7.618618;-6.7067986;-6.5228753;-6.491572;-6.295967
ZINC001350869010;-7.606468;-7.458243;-7.1416464;-7.4539022;-7.482497
ZINC000247332485;-6.775178;-6.778421;-5.893702;-5.973939;-6.7824116
ZINC000247332485;-7.1650987;-6.842333;-6.6461043;-6.482488;-7.0388074
ZINC000247332490;-7.0468993;-6.953027;-6.380532;-6.38901;-6.8442974
ZINC000247332490;-7.119085;-6.81674;-6.4566593;-6.4939113;-6.863889
ZINC001328396423;-6.998185;-7.186507;-6.830485;-7.053684;-6.974241
ZINC001557710540;-7.1592045;-7.3353424;-7.372424;-7.3753276;-7.5930285
ZINC001557710540;-7.481428;-7.360305;-7.3100777;-7.469798;-7.6112337
ZINC001557710530;-7.004013;-6.9450016;-7.39553;-6.895668;-7.0224633
ZINC001557710530;-7.242034;-7.186576;-7.2833157;-7.2796125;-7.3735156
ZINC001560076274;-7.3490677;-6.941223;-6.375788;-7.2690487;-6.699064
ZINC001560076273;-7.458423;-7.0972767;-6.404076;-6.889694;-6.935389
ZINC001302503523;-6.974136;-5.993096;-6.3665047;-6.0492363;-6.5486197
ZINC001302503524;-6.640177;-5.582428;-5.7418303;-5.9662247;-6.1869364
ZINC001303514125;-7.7546782;-7.0574884;-7.5981946;-7.03455;-7.1930013
ZINC001303190403;-7.3794036;-6.724897;-7.5695777;-6.8591332;-6.5704746
ZINC001196285466;-5.768534;-6.3029075;-5.9304757;-6.1837935;-6.015122
ZINC001196285471;-6.1438293;-6.0701227;-5.7994723;-6.1524067;-5.893
ZINC001196285470;-5.774815;-6.2945724;-6.0329356;-6.0298815;-6.111661
ZINC001304071567;-6.531133;-6.9427905;-6.03547;-6.1660314;-6.2498407
ZINC001196285472;-6.0543675;-6.1248865;-5.7955184;-6.4219875;-5.9876404
ZINC001305896091;-7.586546;-7.3818674;-7.7775292;-7.347402;-7.0821714
ZINC001308021030;-7.272031;-6.8231034;-6.3332944;-6.531442;-6.4719925
ZINC001308021031;-7.171073;-7.018076;-6.0419292;-6.84549;-6.3771925
ZINC001328900132;-6.9735956;-6.7120147;-5.7803574;-6.4442472;-6.7687407
ZINC001328900132;-6.9449706;-7.0352006;-5.8382473;-6.512215;-7.0784087
ZINC001328900137;-6.956761;-7.144535;-5.4701567;-6.566492;-6.5858345
ZINC001328900137;-7.3940635;-6.777163;-5.7398853;-6.4298487;-6.4087434
ZINC001328900135;-6.8991776;-6.9927406;-5.5001707;-6.224735;-6.6530995
ZINC001328900135;-7.2079496;-6.7723517;-5.5723968;-6.5174046;-6.6080666
ZINC001328900134;-6.7394166;-6.5632706;-5.8036046;-6.061176;-6.3998566
ZINC001328900134;-6.7779493;-6.9616776;-5.6184416;-6.56317;-6.7938805
ZINC001126668256;-7.158247;-7.2701936;-6.421271;-6.9799094;-7.2494926
ZINC001126678095;-6.1541147;-6.8325;-6.1712694;-6.7576528;-6.818401
ZINC001138062000;-7.377691;-8.178625;-7.758974;-7.7304053;-7.985686
ZINC001138062001;-7.437651;-8.303861;-7.9560122;-7.5072184;-8.076056
ZINC001266591552;-6.725417;-6.068694;-6.6471586;-6.333334;-5.2785196
ZINC001266683224;-6.8704486;-7.0247297;-6.545593;-7.485841;-6.5662627
ZINC001266696838;-7.3975863;-7.3509836;-7.189906;-7.12807;-7.154725
ZINC001200462366;-8.897531;-8.088188;-7.885034;-8.038248;-7.965447
ZINC001098364758;-7.740759;-6.4297442;-6.1310234;-6.404839;-5.8101625
ZINC001267193824;-7.1339827;-7.2154207;-6.3686037;-6.7308617;-7.195133
ZINC001267193824;-7.1362658;-7.084569;-6.4487267;-6.7599225;-7.215475
ZINC001267193824;-7.134205;-7.215774;-6.368678;-6.731116;-7.194931
ZINC000441304138;-6.623439;-5.7538977;-5.5329113;-6.0789957;-6.548225
ZINC000175889729;-6.6388674;-6.8137712;-5.827686;-5.9415207;-6.593729
ZINC000175889729;-6.6388674;-6.8137712;-5.827686;-5.9415207;-6.593729
ZINC001267371300;-6.7214117;-7.215679;-6.537719;-6.880077;-6.838562
ZINC001086083300;-8.138116;-8.375473;-8.114722;-8.636685;-8.026076
ZINC001316963380;-7.8054814;-7.6540546;-7.675977;-7.7837224;-7.1929817
ZINC000358073506;-7.4925213;-7.9634166;-7.851671;-7.571952;-7.93895
ZINC001086363434;-8.278534;-8.230438;-8.062296;-8.123497;-7.6154013
ZINC000347330478;-5.6005917;-6.068137;-5.4937067;-6.026429;-6.052752
ZINC000441304140;-6.7463174;-5.4892125;-4.4962234;-5.348571;-5.844592
ZINC001031661007;-8.044552;-7.4316034;-7.4046946;-7.396001;-7.8468437
ZINC000175889710;-6.9218163;-6.6691823;-6.514953;-6.4737625;-6.927129
ZINC000175889710;-7.0159893;-6.97079;-6.332833;-6.3276916;-6.8835106
ZINC001126021828;-6.8723307;-7.4442163;-5.7639556;-6.535475;-6.7201753
ZINC001224800368;-7.7818065;-7.767756;-6.567927;-7.0169992;-7.7083364
ZINC001224800368;-7.43558;-7.4276233;-6.584648;-7.1105804;-7.4291244
ZINC001224800367;-7.479448;-7.4486346;-6.5771585;-7.129016;-7.414466
ZINC001224800367;-7.84025;-7.808369;-6.5740166;-7.0194893;-7.6773434
ZINC001276002457;-6.8631287;-6.977408;-5.941613;-7.07042;-6.618177
ZINC001317584363;-7.5566525;-7.5527925;-7.1367116;-7.000637;-7.243159
ZINC001042976729;-7.8493457;-7.580354;-7.4673996;-6.965022;-7.714668
ZINC001022064104;-8.040715;-8.245504;-7.29296;-8.150964;-7.4773483
ZINC001171229182;-6.989769;-7.031959;-6.578187;-6.935633;-6.819868
ZINC001171229183;-6.7474318;-7.1448026;-6.6974983;-6.892352;-7.240997
ZINC001171229184;-6.571369;-6.9470277;-6.134205;-6.7028675;-6.8099017
ZINC001171229181;-6.56289;-6.948503;-6.279594;-6.6019044;-7.1478887
ZINC000340675844;-7.807885;-7.9447308;-7.9597826;-7.6757264;-8.093656
ZINC001318912605;-5.592531;-5.6866317;-5.4615397;-5.8741627;-6.1351438
ZINC001318912604;-5.806548;-6.027127;-5.270917;-5.8811593;-5.959637
ZINC001147278212;-6.2561426;-6.9096193;-5.5600243;-6.06462;-6.718094
ZINC001098366206;-7.4911623;-6.884229;-6.1657677;-6.348425;-6.3122935
ZINC001098366206;-7.108876;-6.5198174;-5.779778;-6.39453;-6.2332726
ZINC001098366206;-7.491119;-6.8842373;-6.16561;-6.3483825;-6.3121786
ZINC001045713597;-7.603546;-7.6770983;-7.130857;-6.8925347;-8.078363
ZINC000996429236;-8.249185;-8.009922;-7.767472;-7.67484;-7.7170143
ZINC001256176307;-6.866409;-6.6326184;-5.971885;-6.6978974;-6.68901
ZINC001256176308;-6.8413305;-6.6009855;-6.276266;-6.454585;-6.3570595
ZINC001256176296;-6.6782084;-6.372429;-5.838652;-6.4482055;-6.4491205
ZINC001256176305;-6.8766;-6.669156;-6.427183;-6.7460155;-6.8006363
ZINC000441304132;-6.533865;-5.223204;-4.4390025;-5.729799;-5.9553256
ZINC000441304136;-6.240348;-5.771678;-5.140765;-5.5529275;-5.8917084
ZINC001271038924;-6.814802;-6.4967427;-7.070168;-6.4322443;-6.3040676
ZINC001158074811;-6.68085;-7.1084704;-7.468656;-7.636445;-7.294056
ZINC001025775356;-7.5139055;-7.3484273;-7.987929;-7.5356603;-7.435047
ZINC001025777117;-6.781337;-6.6863456;-7.036423;-7.0985217;-6.5833673
