name;01;02;03;04;05
ZINC000595928385;-6.815559;-6.900197;-7.4271593;-7.2261477;-6.7624345
ZINC000595902256;-6.7593007;-6.8773265;-6.3675766;-5.556002;-6.1071534
ZINC000595902255;-6.534573;-6.2173324;-5.938696;-5.23997;-5.7795367
ZINC000596580794;-7.599027;-8.30987;-7.797589;-7.498063;-7.8398027
ZINC001327472276;-7.340401;-7.007579;-6.078757;-6.500819;-7.391439
ZINC001327510646;-7.638025;-7.1296697;-6.4929733;-7.3787475;-7.9151053
ZINC000599101842;-7.5221934;-7.339742;-7.2548013;-6.976186;-6.9218493
ZINC000599101851;-6.901683;-7.543187;-7.470303;-6.9076185;-7.067911
ZINC000599109607;-7.089834;-6.900332;-6.307454;-6.272503;-6.359722
ZINC000599264884;-6.8293753;-6.3301;-6.559028;-6.335887;-6.8541393
ZINC000599264892;-6.4992414;-6.409711;-6.4111185;-6.37833;-7.0113254
ZINC001328181035;-7.5878515;-7.650083;-7.8411536;-7.0955663;-7.368301
ZINC001328222777;-7.4817467;-7.571209;-7.618329;-7.4903235;-7.463488
ZINC000569229120;-8.075744;-8.221157;-8.037728;-7.762475;-8.222191
ZINC001118198446;-7.512004;-7.7734356;-7.816417;-7.1981564;-7.4454794
ZINC001556753282;-7.5106397;-7.341672;-7.356072;-7.2893066;-7.6998525
ZINC000315972857;-7.4302115;-7.03265;-6.220222;-6.5713773;-6.7734814
ZINC000315972855;-7.3275833;-6.9617996;-5.919303;-6.4222484;-6.836938
ZINC000569961136;-7.9828067;-7.24922;-6.8000574;-6.8382654;-7.384758
ZINC000315972856;-7.364778;-7.26308;-6.215034;-6.752357;-6.8338914
ZINC000315972854;-7.0284257;-6.7430587;-6.028863;-6.4924498;-6.8393903
ZINC001351352446;-6.5600834;-6.84244;-6.8030596;-6.5701;-6.7159457
ZINC001560076274;-7.169978;-7.0067344;-6.551414;-7.025799;-6.650662
ZINC001560076273;-7.3442492;-7.1608405;-6.5865073;-7.077161;-6.48693
ZINC001328524710;-8.639832;-8.032023;-7.966904;-7.681382;-7.554403
ZINC001328524709;-8.604193;-7.626212;-8.014622;-7.4533505;-7.5091195
ZINC001303190403;-6.595056;-6.3406897;-7.222763;-7.0961432;-7.119316
ZINC001351556470;-7.692192;-7.270622;-7.075254;-7.075733;-7.6520643
ZINC001196285466;-6.077765;-6.4131384;-5.2748466;-5.890353;-6.1733522
ZINC001196285471;-5.8765144;-6.425666;-5.8477864;-6.070724;-6.1042805
