name;01;02;03;04;05
ZINC000003306713;-5.652114;-6.1321964;-6.134409;-6.1253676;-6.120809
ZINC000003306715;-5.288528;-5.8566275;-5.7521358;-6.2073226;-5.855751
ZINC000262939023;-6.854891;-6.789637;-6.20838;-6.5130663;-6.6351624
ZINC000003358670;-6.2140427;-6.3217564;-6.330688;-6.402383;-6.741703
ZINC000003358672;-5.6168647;-5.6860876;-5.971293;-5.901207;-6.1250343
ZINC000252477263;-7.7167006;-6.763046;-7.054972;-7.5880904;-7.215692
ZINC000039947552;-5.772036;-5.804472;-6.0624204;-6.1898885;-6.842777
ZINC000262992432;-6.1701;-5.5828485;-5.008467;-5.5230913;-5.5762553
ZINC000142913648;-5.2937374;-5.0567603;-4.577978;-4.982454;-4.9697285
ZINC000032267223;-4.874869;-4.362589;-5.5647078;-5.4050584;-6.34481
ZINC000003618328;-7.209337;-7.086417;-7.2487106;-7.3774214;-7.496691
ZINC000000142321;-5.819601;-6.631172;-5.622771;-6.093026;-6.0973043
ZINC000000142323;-5.818992;-6.2492514;-5.9078646;-5.8887095;-6.0217533
ZINC000101412849;-6.675407;-6.6447744;-6.202609;-6.42884;-6.757349
ZINC000003894860;-6.405984;-5.9764853;-6.514555;-6.766735;-6.424385
ZINC000003995581;-6.604199;-7.4306607;-7.1073303;-7.3227816;-6.887384
ZINC000057905434;-5.3236146;-5.7697783;-5.85253;-5.8864403;-5.6948514
ZINC000057905436;-5.4848127;-5.4519444;-5.6653676;-5.671694;-5.5131564
ZINC000004023164;-5.326627;-6.2166166;-6.0592237;-6.235895;-6.3532877
ZINC000004081830;-7.0276823;-6.826044;-6.97603;-7.2609515;-7.136941
ZINC000299803959;-6.6116533;-6.6873403;-6.7168145;-6.348775;-6.410301
ZINC000097895603;-5.552777;-5.4422603;-5.5540886;-5.569981;-5.7743034
ZINC000653545538;-6.7127647;-6.7781425;-6.9456873;-6.8021913;-6.617942
ZINC000653545539;-7.1624765;-6.7562666;-7.1613355;-7.186198;-6.905889
ZINC000002139855;-5.8025446;-7.027874;-5.7845893;-6.6062946;-6.6017437
ZINC000058244451;-6.324664;-6.0196505;-5.622421;-6.030384;-6.179212
ZINC000004306793;-6.8087015;-6.778248;-6.8215027;-7.0211678;-6.9083233
ZINC000269092022;-7.321345;-6.967525;-6.6477323;-6.858771;-7.168382
ZINC000004311981;-5.259215;-5.6211166;-5.8720636;-6.101519;-6.1426654
ZINC000004311982;-5.4078474;-5.7523913;-5.8170047;-6.1450152;-6.074335
ZINC000000096882;-7.1169147;-7.1032495;-6.6740346;-7.4825163;-7.6752715
ZINC000072292866;-7.1971474;-7.056994;-6.604392;-6.9631906;-6.7839684
ZINC000004464067;-5.850267;-6.08984;-5.990119;-6.086069;-6.386226
ZINC000004482267;-6.314097;-5.1536865;-5.7059703;-6.008225;-5.6998944
ZINC000135953113;-7.6002626;-7.422988;-7.0624995;-7.1196966;-7.3497033
ZINC000001690118;-5.529926;-5.696347;-5.4406404;-5.9109845;-5.69429
ZINC000002529815;-5.3180785;-5.504089;-5.3336015;-5.6121316;-5.6977425
ZINC000004573499;-7.209337;-7.086417;-7.2487106;-7.3774214;-7.496691
ZINC000004577689;-6.5893607;-5.49146;-5.747816;-5.986032;-5.8486395
ZINC000004601087;-6.67973;-7.0189466;-6.712005;-7.224304;-7.3324404
ZINC000004475051;-5.373698;-5.996585;-6.5303855;-5.9892545;-6.9540944
ZINC000004657024;-5.669436;-6.2323008;-5.3185935;-5.728382;-5.934485
ZINC000008577928;-7.0434666;-6.6279745;-6.543644;-6.7001276;-6.7292013
ZINC000009419146;-6.9635406;-7.018808;-7.335159;-6.9475455;-7.1874022
ZINC000127094443;-6.9391317;-7.1838045;-6.6375155;-6.8085217;-6.4842296
ZINC000019775951;-6.8081403;-6.118839;-6.2771707;-6.385106;-6.425134
ZINC000020530565;-7.57137;-6.9077816;-6.9315486;-6.786671;-7.204765
ZINC000004811946;-6.0481205;-6.3994756;-6.546095;-6.3748636;-6.368151
ZINC000072420924;-7.11961;-6.9275665;-6.8802447;-7.1727247;-7.2965155
ZINC000072427062;-7.026734;-7.8233027;-7.126398;-7.1056476;-7.1407695
ZINC000072429274;-7.258285;-7.096345;-7.122332;-7.1267715;-7.2965446
ZINC000004899205;-5.8353844;-5.854308;-5.861051;-5.33387;-5.56932
ZINC000004899204;-5.7745094;-5.8977776;-6.0544167;-5.630849;-5.5850263
ZINC000002139853;-6.0571103;-7.1299634;-5.8157043;-6.7148013;-6.629442
ZINC000072473346;-6.044331;-6.5128555;-6.1992993;-6.3528852;-6.5308876
ZINC000262716729;-6.2057705;-6.0041504;-5.101572;-5.871537;-5.849839
ZINC000072473345;-5.785775;-6.479828;-6.1281033;-6.316331;-6.610528
ZINC000888098923;-6.242979;-6.2900667;-6.1314216;-6.958018;-6.49106
ZINC000888098930;-6.1179876;-5.982583;-5.7051277;-6.671996;-6.5071535
ZINC000075253027;-5.1989746;-5.1773;-5.1519313;-5.164055;-5.3103046
ZINC000075253030;-5.2523384;-5.4312997;-5.588099;-5.103848;-5.177811
ZINC000001733685;-6.7537737;-6.1734133;-6.000639;-6.32483;-6.424521
ZINC000004969651;-6.902225;-7.7751126;-7.5911837;-6.8986163;-7.0626574
ZINC000004977729;-5.8838344;-6.074058;-5.6754246;-5.6642385;-5.5668077
ZINC000299803960;-6.569926;-6.713561;-6.67069;-6.3237114;-6.392892
ZINC000863981894;-5.830515;-5.565543;-5.5440903;-5.812128;-5.8149347
ZINC000863981895;-5.6821833;-5.8414426;-5.7709317;-5.911009;-5.9215417
ZINC000043198995;-6.0573425;-6.1641674;-6.232341;-6.410505;-6.4645166
ZINC000019775950;-6.946146;-6.101054;-6.3123026;-6.2678843;-6.5084453
ZINC000043198994;-6.742096;-6.1982126;-5.749796;-6.2254286;-6.5645566
ZINC000043198997;-6.0016823;-5.7006416;-5.736568;-6.0491157;-6.4021435
ZINC000005234901;-5.178419;-4.7057734;-5.151696;-5.426935;-4.8731194
ZINC000005283841;-7.626349;-5.9373274;-6.867014;-6.5618486;-6.058006
ZINC000005304924;-7.2323256;-6.839942;-6.4532094;-6.523728;-6.758818
