name;01;02;03;04;05
ZINC000647700162;-7.545811;-7.7588363;-7.389926;-7.430222;-7.6517797
ZINC000002889084;-6.0301805;-5.901305;-5.936397;-5.879784;-5.7756543
ZINC000056650298;-6.9572735;-7.0732164;-6.1154194;-6.505461;-6.727785
ZINC000004052847;-6.143514;-6.3382854;-6.5206413;-6.283949;-6.375895
ZINC000044260572;-5.9187355;-5.7135534;-6.1806355;-6.359843;-6.2618856
ZINC000000507699;-6.8026547;-6.920213;-6.32212;-6.8213477;-6.3762836
ZINC000282284755;-5.872311;-6.4566884;-6.242485;-5.9384675;-6.040077
ZINC000282284752;-5.888399;-6.503829;-6.2572618;-5.9512167;-6.037591
ZINC000016130643;-6.3502846;-6.7428317;-6.98339;-6.827009;-6.559958
ZINC000863953244;-6.7544208;-7.346306;-6.90023;-6.396316;-6.9158683
ZINC000148701252;-6.883412;-6.732892;-6.6445065;-7.0416436;-6.6921625
ZINC000148701054;-6.9084463;-6.667165;-6.6366353;-6.971401;-6.7140684
ZINC000001746503;-6.822805;-6.874749;-6.7113266;-6.7849197;-6.834986
ZINC000002471049;-7.263576;-7.4926043;-7.1254835;-7.2290425;-7.508392
ZINC000002305584;-7.449507;-7.591753;-7.027464;-7.525729;-7.945448
ZINC000003883096;-6.934429;-6.7005825;-6.6667404;-6.8966036;-7.285595
ZINC000003883815;-5.0316057;-5.2969046;-5.293064;-4.9335613;-5.287205
ZINC000003884746;-6.5170627;-6.558324;-6.7233777;-6.945069;-6.6408052
ZINC000101392985;-6.634097;-6.682344;-6.027044;-6.46052;-6.5436645
ZINC000014113914;-6.5272217;-6.8183265;-6.561552;-6.5894566;-6.1313505
ZINC000014113918;-6.59597;-6.8818984;-6.6707273;-6.671114;-6.159882
ZINC000016887439;-6.861623;-6.881917;-6.1904244;-6.7435093;-7.277512
ZINC000091505494;-7.6867547;-7.4310985;-7.1607604;-7.8349614;-7.5357304
ZINC000091505497;-7.6652765;-7.438522;-7.16313;-7.8652444;-7.5244265
ZINC000004046523;-6.2058086;-6.858851;-6.2375984;-6.568883;-6.6058297
ZINC000004046762;-6.8817964;-7.0005035;-6.839176;-7.1616383;-6.9186487
ZINC000072166631;-7.1627545;-7.195713;-6.853357;-7.4175444;-7.013697
ZINC000004045887;-6.373225;-6.7496586;-6.521635;-7.0271974;-6.8511624
ZINC000016978448;-6.7739425;-6.811525;-6.679905;-6.724343;-6.734923
ZINC000016978445;-6.731121;-7.042295;-6.570066;-6.514196;-6.585738
ZINC000004060760;-5.825346;-5.371266;-6.0486975;-5.783016;-5.9038763
ZINC000095367433;-6.2473307;-6.3595123;-6.667165;-6.638281;-6.7101684
ZINC000095367434;-6.2591767;-6.345731;-6.5903077;-6.6553297;-6.747378
ZINC000004072835;-4.6881647;-4.880667;-5.1889877;-4.8051057;-5.1731625
