name;01;02;03;04;05
ZINC001174503777;-7.343573;-6.640973;-7.0769677;-6.9657235;-6.8744516
ZINC001593472901;-7.76743;-7.913081;-7.6846123;-7.546401;-7.4013577
ZINC001593472902;-7.76743;-7.913081;-7.6846123;-7.546401;-7.4013577
ZINC001610436812;-6.749017;-6.516161;-6.6879745;-6.967739;-6.6240206
ZINC001592418093;-6.0367966;-6.1868496;-6.3511887;-6.6550584;-6.43395
ZINC001216751360;-8.01781;-7.8706903;-7.904676;-8.327351;-7.8520265
ZINC001216751143;-7.763461;-7.303721;-7.487055;-8.0283985;-7.5946856
ZINC001216751294;-8.214033;-7.7572675;-8.181721;-8.393998;-8.039644
ZINC001216751291;-7.9139223;-7.4555078;-7.835814;-8.187587;-7.8526664
ZINC001592418101;-6.038047;-6.1889057;-6.352048;-6.656488;-6.4341407
ZINC001216751353;-7.7355413;-7.593285;-7.8829527;-8.254379;-7.7974687
ZINC001216751056;-8.07901;-7.8876123;-8.071414;-8.470147;-8.12425
ZINC001216751508;-8.092109;-7.91753;-8.120088;-8.42663;-7.993405
ZINC001216751355;-8.108122;-7.5335765;-8.056949;-8.429712;-7.991721
ZINC001216751431;-8.154921;-7.893955;-8.156754;-8.490116;-8.029243
ZINC001216751065;-8.5448265;-7.8119;-8.202024;-8.432084;-8.138944
ZINC001216751399;-7.996194;-8.083442;-8.154215;-8.507019;-8.041775
ZINC001216751088;-7.98113;-7.412857;-7.8552713;-8.077125;-7.7844844
ZINC001610475426;-6.4900584;-6.907285;-6.652053;-7.0312023;-6.7909155
ZINC000827914498;-8.043376;-7.5200257;-7.411294;-7.693449;-7.062809
ZINC001610543149;-7.434477;-7.470166;-7.171767;-7.352127;-7.0985937
ZINC001610557843;-7.9571095;-8.078037;-8.33739;-7.944663;-8.477465
ZINC001611421803;-7.8407006;-8.264151;-8.093966;-8.247139;-8.258959
ZINC001611421804;-7.939614;-8.297566;-8.186285;-8.425284;-8.370073
ZINC001611426032;-7.6068616;-8.1244545;-7.946174;-8.272815;-8.030591
ZINC001611426033;-7.5568204;-8.020528;-7.858649;-8.143755;-7.903815
ZINC001594870674;-7.137748;-7.8721204;-7.2499757;-7.251413;-7.25561
ZINC001594870673;-7.536765;-7.608774;-7.421031;-7.09797;-7.358365
ZINC001595015242;-7.4184995;-7.5828223;-6.843606;-7.39035;-7.2772675
ZINC001595015243;-7.300459;-7.566968;-6.862087;-7.4261427;-7.303998
ZINC000263225430;-7.324887;-7.5431576;-7.490737;-7.858046;-7.5121765
ZINC001595136959;-6.372957;-6.888571;-7.011307;-7.3792496;-7.1243124
ZINC001595136947;-7.3813515;-7.7074976;-8.14497;-7.9731574;-8.131651
ZINC001610676242;-8.468345;-8.898231;-8.038975;-8.185597;-8.4624405
ZINC000834095512;-6.3428;-6.6384797;-6.3044887;-6.5434303;-6.2679577
ZINC000263225428;-7.479939;-7.4625006;-7.452135;-7.7029996;-7.4235554
ZINC001610683830;-6.696873;-7.091759;-6.7565327;-7.2356167;-7.1448956
ZINC001595137309;-7.2423162;-7.615878;-7.777973;-7.6370955;-7.9053607
ZINC001610683780;-6.920221;-7.894161;-7.131051;-7.458217;-7.313747
ZINC001610689429;-6.9956245;-7.07749;-7.427142;-7.513101;-7.4832973
ZINC000024100924;-7.209584;-7.336857;-7.6157055;-7.7869105;-7.524304
ZINC001610689352;-7.615616;-7.550906;-8.150076;-7.802382;-7.8239026
ZINC000262941917;-7.1161013;-7.706786;-6.979497;-7.606692;-7.9168816
ZINC001610706945;-7.906294;-8.037146;-8.01609;-7.9776607;-8.290213
ZINC001610702673;-7.854701;-7.9005356;-8.026132;-7.9892297;-7.9344354
ZINC001610712885;-7.424806;-7.1558666;-7.189271;-7.12824;-7.296862
ZINC001610766600;-7.9781146;-7.817883;-7.8000016;-8.075558;-7.667368
ZINC001610768994;-6.840952;-7.114679;-6.753211;-7.006837;-7.1694927
ZINC001594967864;-8.084882;-8.188641;-7.8493085;-7.8000927;-8.183971
ZINC001594967865;-7.877375;-7.6831074;-7.4144335;-7.510822;-7.9243627
ZINC001610792485;-7.247667;-7.322561;-6.978168;-7.409202;-7.3360233
ZINC001610793399;-6.7344365;-7.155819;-6.948166;-7.1412616;-7.173219
ZINC001298744458;-8.144818;-8.52065;-8.481302;-8.698521;-8.36945
ZINC001610804902;-7.8772125;-8.204945;-7.8564653;-7.8207445;-7.436452
ZINC001610805282;-7.986689;-8.258276;-7.667678;-8.140202;-7.5759954
ZINC001610814003;-7.1857395;-7.6792564;-7.648863;-7.699911;-7.7470317
ZINC001610824345;-7.064052;-6.68511;-6.5749965;-7.0315814;-6.590957
ZINC001610824339;-7.20289;-7.10081;-6.832268;-7.2222834;-7.3302183
ZINC001610831756;-7.7540436;-7.9454603;-7.743113;-7.5693803;-7.877224
ZINC001610834865;-7.4161253;-7.820353;-7.4631367;-7.618911;-7.7185616
ZINC001610847730;-7.211671;-7.444173;-7.2447767;-7.6266036;-7.7692704
ZINC001610849396;-7.0175557;-7.0806446;-6.8782673;-7.331809;-7.27863
ZINC001168590238;-6.5404787;-5.6608152;-5.4137454;-5.921169;-6.2159004
ZINC001168591234;-5.693706;-5.6479864;-5.7604175;-5.38405;-5.399705
ZINC001168591841;-6.340224;-6.3622613;-5.902588;-6.426508;-6.4466386
ZINC001168592343;-6.5254316;-5.6334887;-6.020534;-6.640381;-6.756681
ZINC001168592415;-6.249142;-5.9409294;-5.841362;-6.538886;-6.1181445
ZINC001168592925;-6.0000134;-6.15706;-6.0508766;-6.1636853;-6.510258
ZINC001168595232;-6.6007547;-6.0337167;-5.7527347;-6.4299316;-6.4607344
