name;01;02;03;04;05
ZINC000008300004;-6.6150064;-7.400882;-7.0309744;-7.045466;-7.695767
ZINC000008575889;-6.747779;-6.683761;-6.312413;-6.7815995;-6.57585
ZINC000006379311;-7.326363;-7.823352;-7.475275;-7.633341;-7.2507896
ZINC000096217284;-7.1553426;-6.6553507;-6.667567;-6.77175;-7.186539
ZINC000035446857;-7.636127;-7.0135937;-7.359611;-7.188406;-7.2311964
ZINC000095869849;-7.432705;-7.7519355;-7.519562;-7.9102116;-7.9367394
ZINC001549162145;-7.5744658;-6.948167;-6.9783845;-7.057042;-6.9689946
ZINC000096039701;-6.7455835;-6.051988;-6.221447;-6.3608007;-5.6716223
ZINC000096039703;-7.360004;-6.7097707;-6.8274446;-6.971429;-6.670265
ZINC000096039700;-6.7489343;-6.754348;-6.454882;-6.7522254;-6.2977514
ZINC000096039702;-6.5660105;-6.5120907;-6.432422;-6.3335524;-6.078023
ZINC000096038514;-6.4437037;-6.672632;-5.927424;-5.8990183;-6.142852
ZINC000096042019;-6.5816994;-6.939599;-6.2230296;-6.509984;-6.705504
ZINC000096042022;-6.394043;-6.145173;-6.5774956;-6.3826084;-6.741964
ZINC000096042666;-6.724735;-6.273954;-6.7127037;-6.643284;-6.502667
ZINC000096047648;-7.5549564;-7.386711;-7.181427;-7.2981176;-7.0994434
ZINC000096046817;-6.9554067;-7.262302;-6.911705;-6.88863;-7.199422
ZINC000096047657;-7.2120047;-7.6723833;-7.4434757;-7.3316965;-7.4594226
ZINC000096047659;-7.6894245;-7.469688;-7.709766;-7.6515174;-7.45489
ZINC000096048326;-7.783681;-7.3348913;-7.5335793;-7.3756676;-7.0642896
ZINC000096048325;-7.2544413;-7.2160654;-7.438177;-7.3014164;-6.904598
ZINC000096047651;-7.600792;-7.3831716;-7.4147673;-7.515435;-7.259152
ZINC000096048327;-7.2332735;-7.051881;-7.3713975;-7.096811;-6.9231734
ZINC000096047656;-7.5508833;-7.632849;-7.244164;-7.5993505;-7.387545
ZINC000096047650;-7.6276937;-7.4862633;-7.415737;-7.27088;-7.0540733
ZINC000096047649;-7.2235475;-7.386384;-7.410598;-7.1968064;-7.26847
ZINC000096048324;-7.339349;-7.183098;-7.2008634;-7.4646072;-6.763308
ZINC000096047658;-7.796295;-7.559915;-7.5487123;-7.6006846;-7.4011893
ZINC000096050056;-6.4768977;-6.6204414;-6.131384;-6.1195736;-6.5413113
ZINC000096051894;-6.8177366;-6.9235287;-7.231666;-6.5796328;-6.580926
ZINC000096055986;-6.0493007;-5.610097;-5.053218;-5.181088;-5.6089215
ZINC000096054977;-6.761852;-6.6097264;-6.583274;-6.93518;-6.671974
ZINC000096062233;-5.2757845;-6.6997476;-6.0887613;-5.9879103;-5.9666
ZINC000096062232;-5.683591;-6.7674356;-6.2682543;-5.9962535;-6.2828445
ZINC000096065066;-6.8554597;-6.6722093;-6.641463;-6.405232;-6.4783335
ZINC000096062240;-5.952181;-6.9035506;-6.3391805;-6.3070374;-6.291152
ZINC000096065067;-6.9739876;-6.7729235;-6.8316526;-6.9258847;-6.5351763
ZINC000096062241;-6.259921;-6.9752474;-6.544773;-6.443736;-6.79123
ZINC000096078848;-6.9136496;-7.3450375;-7.040361;-7.0962725;-7.061432
ZINC000096079005;-6.8073363;-7.0791388;-7.0472584;-7.269808;-7.1753445
ZINC000096082352;-7.0854063;-6.9185934;-6.7566533;-7.0561776;-6.8215013
ZINC000053994630;-6.5871096;-6.91601;-6.5331388;-6.6364274;-6.5895047
