name;01;02;03;04;05
ZINC000038539956;-5.923107;-6.016132;-6.1415358;-6.0138674;-6.2378607
ZINC000038539959;-5.9429955;-6.242387;-5.835144;-6.0856156;-5.955219
ZINC000038539957;-6.260569;-6.372521;-6.094533;-6.2321115;-6.0628843
ZINC000078967425;-6.0028543;-6.670201;-7.0262423;-6.897981;-6.6816854
ZINC000104424053;-7.0656667;-7.3775935;-6.837677;-7.298046;-6.6767273
ZINC000079026249;-6.9187546;-6.9300504;-6.811741;-6.8209496;-6.929655
ZINC000193264929;-6.5643706;-6.865134;-6.6223397;-6.4324017;-6.858773
ZINC000072336784;-7.3586984;-7.2168446;-7.4717326;-7.1261797;-7.2885876
ZINC000079108551;-6.347254;-6.5221;-5.9797072;-6.0819306;-6.4511237
ZINC000257297800;-8.063699;-7.51643;-7.291643;-7.2589316;-7.6915445
ZINC000141696356;-6.2641954;-6.4514813;-6.24784;-6.1360483;-6.6251135
ZINC000016087821;-7.0261683;-6.5625534;-6.4966717;-7.247507;-6.762513
ZINC000016087822;-7.0058184;-6.50187;-6.7598896;-7.1711802;-6.8157625
ZINC000039289536;-5.4294763;-5.466722;-5.128548;-5.1828146;-5.4374447
ZINC000016310563;-6.7233;-6.3906837;-6.6489983;-6.7324705;-6.493955
ZINC000016780352;-6.336925;-6.335517;-6.564555;-6.1036777;-6.309538
ZINC000016780636;-6.963174;-6.758543;-6.4746914;-6.7278333;-6.813676
ZINC000075081333;-6.7265606;-7.0870643;-6.858611;-7.2309694;-6.7003694
ZINC000075081331;-6.8579097;-7.0590034;-6.8342366;-6.9434443;-6.5854707
ZINC000075081342;-6.7531385;-6.974283;-6.840922;-6.9961963;-6.5436463
ZINC000016977635;-6.030675;-5.9793434;-5.751308;-5.8232207;-5.847418
ZINC000017021968;-5.363599;-5.42259;-5.4336424;-5.745597;-5.6295185
ZINC000017023717;-6.702624;-7.9318104;-7.338256;-6.9712057;-7.0794253
ZINC000004098322;-6.147894;-6.1745253;-6.0675883;-6.4770703;-6.2513533
ZINC000193543062;-6.2803364;-6.0515876;-6.1628647;-6.0817747;-6.2121277
ZINC000017288069;-5.836605;-6.277379;-5.5513854;-5.843504;-5.958609
ZINC000004169445;-7.321398;-8.2288265;-8.099886;-8.024857;-7.8307047
ZINC000004169444;-7.41208;-8.21567;-7.9781537;-8.028734;-7.9509745
ZINC000017314416;-6.2628264;-6.3763576;-6.6128397;-6.1955748;-6.4960804
ZINC000017315233;-5.860264;-6.205632;-6.4203987;-5.8666835;-6.252102
ZINC000017316298;-6.3123507;-6.621275;-6.4475374;-6.0367804;-6.4634566
ZINC000018102301;-6.7391396;-7.3467555;-6.991443;-6.819678;-7.0936027
ZINC000018154634;-6.9350176;-7.2492127;-7.057856;-6.756395;-7.0372186
ZINC000006270181;-6.5998445;-6.748573;-6.324047;-6.804936;-6.652567
ZINC000004382686;-8.196854;-8.311064;-7.9789577;-8.01905;-7.7752156
ZINC000252516875;-6.875385;-6.5283947;-6.6949177;-6.3785024;-6.5828223
ZINC000252516874;-6.252448;-7.1266675;-5.8383594;-6.26079;-6.1796727
ZINC000225606238;-6.866865;-6.5785065;-6.3618307;-6.343553;-6.251747
ZINC000103619363;-7.337264;-7.9542727;-7.178847;-7.143715;-7.26252
ZINC000103619388;-7.907396;-7.9335155;-7.810243;-7.335721;-7.675574
ZINC000103619370;-7.3664217;-7.184069;-6.451222;-6.341049;-6.806895
ZINC000103619333;-6.8299503;-6.5745807;-6.5736732;-5.959216;-6.877822
ZINC000103619301;-6.0536394;-6.08675;-6.2145467;-6.1406813;-6.374495
ZINC000078899996;-7.2782316;-6.5830727;-6.819887;-7.0595226;-7.2623267
ZINC000072360124;-7.0654936;-7.2873945;-7.4385853;-7.2274084;-7.315096
ZINC000072360123;-6.951084;-7.2129765;-7.3246717;-7.229031;-7.069234
ZINC000072363478;-7.450362;-7.677638;-7.707292;-7.0560102;-7.1972485
ZINC000072363477;-7.0330772;-7.763521;-7.2962227;-7.0468564;-7.2025986
ZINC000072376126;-7.577281;-7.759876;-8.2011175;-7.4988704;-7.6362586
ZINC000072375934;-7.6701694;-8.041363;-8.1094;-7.687252;-7.727817
ZINC000019723930;-6.057334;-5.864401;-5.84979;-5.66539;-5.9250474
ZINC000072375933;-7.664715;-7.994184;-8.107427;-7.6784377;-7.7478294
ZINC000072375128;-7.3492727;-7.0531726;-7.4367714;-7.124265;-7.2822795
ZINC000072375127;-7.1477346;-7.46709;-7.9081993;-7.623109;-7.527364
ZINC000004706533;-6.560354;-6.822027;-6.740909;-6.9342113;-6.8043966
ZINC000004706534;-6.7281327;-6.951094;-6.912625;-7.0561132;-7.0919867
ZINC000072384634;-6.8328953;-6.816334;-7.109847;-6.582746;-6.8924556
ZINC000072384633;-6.8212395;-6.8113766;-7.1158056;-6.585774;-6.899194
ZINC000072414388;-6.1840696;-6.436177;-6.577933;-6.3489637;-6.3008595
ZINC000079096071;-6.986308;-6.8400283;-7.0249133;-7.0152164;-6.911269
ZINC000078234576;-6.795159;-6.578954;-6.27724;-6.7604904;-6.4936175
ZINC000078234567;-7.521168;-6.8262362;-6.613589;-6.781844;-6.6344028
ZINC000078234671;-6.980631;-6.428685;-6.2081437;-6.5706644;-6.361712
ZINC000041091278;-6.883073;-6.5197453;-6.607006;-6.516538;-6.535404
ZINC000041091194;-6.2723513;-6.43884;-6.454856;-6.4206605;-6.4264617
ZINC000004861214;-7.8421597;-7.5794134;-7.4702077;-7.2016544;-7.3280706
ZINC000019937203;-7.0726423;-7.4674716;-7.1555004;-7.0927067;-7.230165
ZINC000019937248;-7.3781166;-7.2504888;-7.110158;-7.1772814;-7.4423075
ZINC000019937219;-6.980835;-6.9735384;-6.74085;-6.724266;-6.986164
ZINC000019937191;-7.3668027;-7.618393;-7.5262423;-7.53009;-7.4190974
