name;01;02;03;04;05
ZINC000015424024;-7.834996;-7.5633883;-7.4698253;-6.946312;-7.613631
ZINC000072386146;-7.0230293;-7.0810776;-7.3164506;-7.7506084;-7.142305
ZINC000108536707;-7.592306;-7.337618;-7.2138343;-7.05707;-7.3752785
ZINC000328963437;-7.839757;-8.348841;-7.8717117;-7.9754477;-7.8650846
ZINC000079415772;-8.446688;-8.288441;-7.543274;-8.065902;-8.277741
ZINC000257299439;-6.081387;-6.6821456;-6.3550243;-6.651179;-6.496127
ZINC000257299438;-6.0826836;-6.417384;-6.3908215;-6.8837333;-6.7028217
ZINC000019588436;-7.450116;-7.242153;-6.934716;-7.0838423;-6.7411423
ZINC000257336651;-6.5706267;-6.871132;-6.705786;-6.8561163;-6.7637663
ZINC000257336650;-6.771941;-7.130484;-6.8869367;-7.194656;-6.6716967
ZINC000606422273;-6.0349503;-6.0999403;-6.1717734;-6.1878686;-6.6843843
ZINC000306123737;-6.6703753;-6.4066806;-7.3201466;-7.195556;-6.5967617
ZINC000004325885;-7.494998;-7.657938;-7.2322683;-7.017913;-7.4533124
ZINC000004325887;-7.127294;-6.94524;-7.473129;-7.0838904;-7.3059545
ZINC000004411110;-7.2132077;-7.5993323;-7.5936956;-7.2750816;-7.429432
ZINC000019375112;-6.52047;-7.044616;-6.2393622;-6.739205;-6.987584
ZINC000072222674;-8.125818;-7.9136477;-7.791868;-7.6826086;-7.487238
ZINC000072224682;-8.212107;-7.9269543;-7.3193464;-7.5395455;-7.392676
ZINC000072224761;-8.105284;-8.133444;-7.508621;-7.746544;-7.611665
ZINC000072223715;-8.280404;-7.724384;-7.3968334;-7.58384;-7.688897
ZINC000072223638;-7.756341;-7.6299973;-7.5893455;-7.572468;-7.5127397
ZINC000072225620;-8.257741;-7.6710396;-7.7939606;-7.8472633;-7.686895
ZINC000072223637;-8.166528;-7.403601;-7.443135;-7.631431;-7.827819
ZINC000072224760;-8.395852;-8.078009;-7.324223;-7.7444143;-7.489463
ZINC000072224683;-7.924883;-7.885597;-7.402948;-7.5780544;-7.6496897
ZINC000072225621;-8.2523365;-7.6619196;-7.765136;-7.8053026;-7.6869445
ZINC000072222673;-8.153197;-7.8533587;-7.8062625;-7.710746;-7.526556
