name;01;02;03;04;05
ZINC000003281918;-7.576946;-8.095394;-7.651676;-7.871559;-7.546494
ZINC000003281919;-8.191201;-8.133489;-7.943178;-7.8311667;-7.87866
ZINC000071899443;-6.5673056;-6.7510357;-6.1475945;-6.7600727;-6.6852818
ZINC000071904379;-7.036404;-6.918746;-6.7590075;-7.027846;-6.8660526
ZINC000071904380;-7.2113166;-7.03271;-6.6911955;-6.747743;-6.947436
ZINC000128926717;-6.962064;-6.753058;-7.045725;-7.3128376;-7.0586634
ZINC000170599719;-8.079029;-8.044551;-7.473178;-7.9306927;-7.928032
ZINC000170599720;-8.10747;-8.342791;-7.5605955;-8.009993;-7.963542
ZINC000299254665;-6.7739334;-6.7152243;-6.5411882;-6.6222486;-6.8152103
ZINC000170625989;-8.716422;-8.41581;-8.551344;-7.717007;-7.7860155
ZINC000170625992;-8.180946;-7.9947195;-8.0274515;-7.3865385;-7.759787
ZINC000072292470;-7.619012;-7.857878;-7.891797;-7.6496162;-8.026303
ZINC000072304838;-6.5301003;-6.913896;-7.0792623;-7.0028677;-7.14997
ZINC000108463574;-7.659172;-8.148426;-7.10753;-7.9812374;-7.4983635
ZINC000072896623;-7.3695807;-7.5364966;-7.3320713;-7.314454;-7.3675523
ZINC000003445685;-7.368538;-7.379501;-7.096457;-7.5701857;-7.0749106
ZINC000072896622;-7.527071;-7.17553;-7.4770703;-7.248817;-7.4066563
ZINC000008435496;-7.887577;-7.1084867;-7.5885425;-7.93361;-7.900018
ZINC000016247205;-7.323075;-7.5657816;-7.1390786;-7.527635;-7.423411
ZINC000003791739;-7.155782;-7.0572762;-7.026984;-7.336611;-7.1150184
ZINC000221745385;-7.3507943;-7.700923;-7.2130876;-7.900732;-7.5331244
ZINC000003832976;-7.288765;-6.937662;-7.481214;-7.365386;-7.3325143
ZINC000127042110;-6.0920486;-6.196737;-6.183175;-6.370826;-5.9231873
ZINC000003879138;-7.6783304;-7.350757;-7.3032603;-7.7180395;-7.366413
ZINC000003904289;-7.8546324;-8.151453;-7.6381555;-8.411546;-8.12682
ZINC000075388520;-6.892837;-7.283362;-7.332782;-7.9939685;-7.5077677
ZINC000075388519;-7.1790833;-7.124442;-7.448966;-7.3081126;-7.6955566
ZINC000075388521;-6.9932427;-7.3021255;-7.31192;-7.922061;-7.6949353
ZINC000075388522;-7.3945055;-7.143328;-7.6263294;-7.4879565;-7.842644
ZINC000162744440;-7.576269;-7.7583933;-7.586315;-7.449981;-7.4679174
ZINC000162744537;-7.830719;-7.6387615;-7.4221077;-7.140737;-7.454565
ZINC000076068119;-6.198997;-6.6986313;-6.3947034;-6.917574;-6.967415
ZINC000058304911;-7.1516657;-6.7236977;-7.118835;-7.3886437;-7.38761
ZINC000058356240;-7.2861075;-6.7638574;-6.6967473;-7.488687;-7.0239353
ZINC000058356241;-6.650686;-7.2561326;-6.5596395;-7.1242633;-7.151401
ZINC000020426974;-6.495066;-6.869779;-6.809434;-6.7708564;-6.7727194
ZINC000019300546;-6.636012;-6.604212;-6.8950467;-7.2499876;-6.9954357
ZINC000058426268;-7.466655;-7.787898;-7.700617;-7.5892653;-7.600818
ZINC000058426275;-8.597703;-8.490802;-8.38921;-8.271605;-8.130914
ZINC000058426272;-8.55608;-8.418191;-8.413804;-8.180667;-8.16296
ZINC000058426277;-7.654356;-7.63756;-7.671919;-7.7787414;-7.5494785
ZINC000091855924;-6.8055897;-6.547597;-6.500915;-6.8094344;-6.693904
ZINC000091855923;-6.995106;-7.132477;-6.671614;-7.0748186;-6.822118
ZINC000058441060;-6.7468653;-6.5621233;-5.9696894;-6.426632;-5.8483295
ZINC000072313853;-6.926717;-6.611492;-6.635535;-6.824848;-6.986416
ZINC000128735040;-6.8475013;-7.291271;-7.5701847;-7.6020126;-7.0444603
ZINC000019607298;-6.810351;-6.9220443;-7.058855;-7.2417297;-7.283919
ZINC000019607315;-7.0528307;-7.209128;-7.2732253;-7.263383;-7.1857443
ZINC000004676468;-7.4499702;-7.844708;-7.4220033;-7.774019;-7.887168
ZINC000019721030;-6.8736753;-6.7647305;-6.5561914;-6.754496;-6.72727
ZINC000004814491;-6.851968;-6.615927;-6.6976027;-7.254451;-6.9080467
ZINC000252550154;-8.041057;-7.520677;-7.613117;-7.7799516;-7.468028
ZINC000225452334;-7.7476053;-7.484926;-7.704532;-7.6161203;-7.8179927
ZINC000252550155;-7.5414376;-7.140111;-7.13145;-7.614593;-7.055617
ZINC000004805342;-8.556921;-8.547548;-8.660247;-8.562892;-8.681204
ZINC000004833194;-7.225065;-7.757662;-7.1095943;-7.159462;-6.93887
ZINC000004833532;-6.4579067;-6.498371;-6.609134;-6.839054;-6.3768477
ZINC000004834741;-7.0292416;-6.865479;-7.25033;-7.619318;-7.398069
ZINC000004844782;-7.585898;-7.7637258;-7.715822;-7.7476273;-7.497987
ZINC000019902102;-7.121325;-7.353109;-7.0839806;-7.171973;-6.7752028
ZINC000019902104;-7.139866;-7.4045177;-7.0620837;-7.2407045;-6.7985177
ZINC000004891747;-7.1015177;-6.6178923;-6.6936226;-7.324133;-7.0179176
ZINC000004937851;-7.9582734;-8.072274;-7.523631;-8.061334;-7.742937
ZINC000004954250;-6.9693394;-7.340912;-7.0531063;-7.239791;-7.196293
ZINC000004953615;-6.6482315;-7.3912797;-7.0323677;-7.02206;-7.051864
ZINC000107146024;-7.445177;-7.3292904;-7.4153767;-7.226486;-7.486854
ZINC000004974113;-8.081406;-7.914441;-7.7577443;-7.946321;-7.9182057
ZINC000004977755;-7.3825245;-7.8869205;-7.823353;-7.6773224;-7.661346
ZINC000004985425;-7.5861707;-7.624063;-7.506956;-7.406494;-7.5804625
ZINC000004986275;-7.7794104;-7.8653054;-7.8569713;-7.8055534;-8.286623
ZINC000020074872;-7.1214957;-7.241213;-7.1550245;-7.0470023;-6.7223473
ZINC000004990237;-7.140302;-6.983958;-6.9641685;-6.851845;-7.0041037
ZINC000004990295;-7.739159;-8.283459;-8.0845375;-8.225784;-8.489452
ZINC000004988940;-7.756974;-7.568855;-7.39245;-7.517647;-7.6519766
ZINC000004988938;-7.5636263;-7.075399;-7.3655534;-7.5491066;-7.3926144
ZINC000252585264;-8.180946;-7.9947195;-8.0274515;-7.3865385;-7.759787
ZINC000252585263;-8.716422;-8.41581;-8.551344;-7.717007;-7.7860155
