name;01;02;03;04;05
ZINC000193165133;-7.3516397;-7.239398;-6.6757836;-6.829009;-6.92007
ZINC000193163482;-6.833384;-7.1802135;-6.894996;-6.8878174;-7.1787963
ZINC000193165146;-7.3643475;-7.1265035;-6.70175;-6.9901567;-7.138463
ZINC000193166252;-6.8327837;-6.7298684;-6.722025;-6.6284523;-6.7524137
ZINC000193166266;-6.494041;-6.6690426;-6.3271227;-6.504424;-6.5022664
ZINC000002306392;-6.301925;-6.5652704;-6.1200714;-6.454919;-6.4655857
ZINC000078974837;-6.8526106;-6.943643;-6.2517414;-6.890339;-6.5613976
ZINC000078974843;-6.8968735;-6.7049036;-6.5037084;-6.7259097;-6.350691
ZINC000001207225;-7.0325003;-7.051468;-6.6551347;-7.187086;-6.8515406
ZINC000083312785;-7.321492;-7.062082;-6.9242344;-7.26771;-7.1935134
ZINC000005557818;-8.011046;-7.7945614;-7.301349;-7.694724;-7.5888996
ZINC000257278468;-7.264466;-7.293018;-6.7171755;-7.108387;-6.906322
ZINC000005886329;-6.991753;-7.3458405;-7.671655;-7.2484865;-7.406638
ZINC000072342077;-7.474234;-7.4859223;-6.730359;-6.998174;-7.026809
ZINC000079110313;-6.4693317;-6.4442506;-6.123716;-6.4919915;-6.3713803
ZINC000004104918;-6.0364437;-6.176938;-6.0436616;-6.218503;-6.2582884
ZINC000100055000;-8.456303;-8.364627;-7.239478;-8.352065;-8.2207155
ZINC000017021315;-6.9240203;-6.514598;-6.8604245;-6.803711;-7.030813
ZINC000005011641;-6.6708837;-6.524817;-6.7645097;-6.5311847;-6.5692883
ZINC000003471592;-6.3583937;-6.35112;-6.217461;-6.5788493;-6.5953918
ZINC000006481654;-6.958903;-7.347422;-7.66012;-7.247858;-7.4426847
ZINC000329016819;-6.8657246;-6.4507594;-6.225184;-6.807202;-6.7768717
ZINC000003547526;-6.1840286;-6.4149966;-6.3094945;-6.157835;-6.398382
ZINC000057339823;-5.8348136;-6.4054036;-6.367749;-6.7256107;-6.481981
ZINC000329058373;-6.309803;-6.427212;-5.970334;-6.3268423;-6.4952164
ZINC000016186350;-7.0060363;-6.6358814;-6.625829;-6.6138124;-6.591805
ZINC000031689672;-5.129603;-5.5653987;-5.4798617;-5.338413;-5.61583
ZINC000299888814;-6.3927774;-6.120134;-6.574019;-6.082181;-6.0932894
ZINC000000563633;-6.0340643;-5.87115;-6.180114;-6.063649;-6.416379
ZINC000223951696;-6.263159;-6.60191;-6.565593;-6.130039;-6.499995
ZINC000112109337;-7.317583;-7.2688656;-7.292544;-7.409376;-7.497951
ZINC000016928698;-7.4964647;-8.157797;-7.4010677;-7.6745014;-7.578879
ZINC000016939512;-7.663342;-7.623371;-7.456027;-7.607357;-7.380623
ZINC000017053761;-7.363899;-7.269681;-7.1385465;-7.1462708;-7.3390203
ZINC000017054926;-5.947812;-6.288247;-6.1813254;-5.8846908;-5.982487
ZINC000017109129;-5.914641;-5.9249363;-6.0127997;-5.9952154;-5.6846027
ZINC000017218451;-8.136653;-7.5572085;-7.6321573;-7.681779;-7.8692327
ZINC000017218416;-7.592143;-7.5413723;-7.6862283;-7.9413495;-8.30261
ZINC000017218402;-7.441744;-7.5108356;-7.3712606;-7.514951;-8.087734
ZINC000017920329;-7.0853276;-7.1159153;-7.343573;-7.6754646;-8.0624275
ZINC000018099690;-5.35271;-5.512474;-5.4182024;-6.0340056;-5.746723
ZINC000018166590;-6.765384;-6.747725;-6.6481504;-6.892417;-6.823349
ZINC000396186330;-7.1251526;-6.0562673;-7.3597703;-6.029586;-6.8892736
ZINC000396186332;-7.3418665;-6.0729723;-7.313138;-6.037472;-7.012355
ZINC000396186331;-6.4496274;-6.029638;-6.4131813;-6.0366163;-6.530467
ZINC000019142688;-6.443649;-6.3499575;-6.1814957;-6.703099;-6.667359
ZINC000001276966;-6.207824;-6.2124476;-6.523009;-6.2097745;-6.461337
ZINC000004552172;-7.535197;-7.0904655;-7.951071;-7.692114;-7.695461
ZINC000078926238;-5.9463987;-5.6227155;-6.1010957;-5.7786584;-5.7700815
ZINC000011330421;-6.801901;-6.806871;-6.7470927;-6.8465753;-6.9325423
ZINC000059435695;-6.2199845;-5.9800897;-6.0534983;-6.2484946;-6.264161
ZINC000059488401;-7.904256;-7.6877604;-7.459308;-7.882725;-7.8384914
