name;01;02;03;04;05
ZINC000107711658;-6.405584;-6.503278;-6.4882584;-6.3967505;-5.8631053
ZINC000107711767;-6.4844527;-6.4710064;-6.5651197;-6.12275;-6.234267
ZINC000107711767;-6.355935;-6.6793704;-5.9410915;-5.932906;-5.9753327
ZINC000107711654;-6.5924096;-6.5147233;-6.9611025;-6.6507154;-6.3393803
ZINC000208209583;-5.9052925;-5.9381833;-6.278755;-6.4359937;-6.170757
ZINC000107711633;-6.586702;-6.993739;-6.828457;-6.437622;-6.43836
ZINC000107711637;-6.292324;-6.672003;-6.6526713;-5.9971633;-6.415127
ZINC000107711761;-6.6456895;-6.8529196;-6.5775957;-6.7534876;-6.432556
ZINC000107711761;-6.50397;-6.618328;-6.2686577;-6.2402973;-6.240116
ZINC000078993063;-6.8637733;-7.843255;-7.3065066;-7.10857;-7.4726906
ZINC000108527965;-8.055548;-7.8478546;-7.88723;-7.9353867;-8.072445
ZINC000108531888;-7.7640777;-6.194617;-6.96809;-6.784472;-6.894218
ZINC000108531884;-7.421301;-6.4521503;-7.033242;-6.6625686;-7.1022573
ZINC000016215681;-6.9722466;-6.822059;-6.705224;-6.9155617;-7.0534725
ZINC000031961506;-5.8205185;-6.3731174;-5.9202905;-6.256485;-6.089927
ZINC000057811509;-6.897257;-7.3426805;-6.6411896;-6.835752;-6.493361
ZINC000057811506;-6.6185007;-6.836884;-6.4896555;-6.783627;-6.6258106
ZINC000329324056;-7.5010037;-7.5332;-7.2537813;-7.0252066;-7.6334963
ZINC000329324057;-7.3981686;-7.4825644;-7.363001;-6.9226837;-7.5181565
ZINC000019364909;-6.477154;-6.20952;-6.0988555;-6.2088323;-5.222155
ZINC000072340213;-6.5537024;-6.8049273;-6.3740187;-6.5867476;-6.5515018
ZINC000072340212;-6.448569;-6.610379;-6.4795713;-6.7317715;-6.303824
ZINC000072352838;-7.484177;-7.6221447;-7.264848;-7.566318;-7.0939903
ZINC000072352881;-7.8505764;-7.565772;-7.421704;-7.9527683;-7.6610355
ZINC000072352854;-7.2588835;-7.250238;-6.9800153;-7.45648;-6.9670143
ZINC000072352837;-7.540814;-7.641191;-7.332775;-7.6337485;-7.2310753
ZINC000072352882;-7.74635;-7.654821;-7.2048116;-7.7925677;-7.5142694
ZINC000072352853;-7.4005346;-7.1855884;-7.1560016;-7.557953;-7.1864986
ZINC000019576627;-6.631621;-6.2326384;-7.0816975;-6.582121;-6.8219347
ZINC000019576627;-6.46471;-6.389412;-6.9508104;-6.361039;-6.622385
ZINC000078970503;-7.2581744;-7.0280848;-7.070214;-7.053525;-7.471784
ZINC000078993076;-7.0588045;-7.636177;-7.4131327;-6.9868445;-7.280712
ZINC000019902403;-6.6186943;-6.6371727;-6.7039914;-6.7001085;-6.775111
ZINC000019902401;-6.4023542;-6.1489496;-6.7737765;-6.2828984;-6.716257
ZINC000195530764;-6.690466;-6.4185586;-6.7721844;-6.5252237;-6.5378647
ZINC000078949536;-6.5441995;-6.642015;-6.5586;-7.091417;-6.701746
ZINC000078949537;-6.5682187;-6.869354;-6.854927;-6.6221485;-6.5349236
ZINC000079016689;-7.480724;-7.3983593;-7.591422;-7.39755;-7.9691663
ZINC000079016693;-7.580073;-7.2304087;-7.6145763;-7.309501;-7.984373
ZINC000006795848;-6.781559;-6.7127647;-6.921782;-6.9499116;-6.1721873
ZINC000079760982;-6.2510424;-5.940786;-5.974545;-6.0965476;-6.145487
ZINC000079760982;-5.7158647;-5.7475953;-5.861356;-6.039089;-6.08502
ZINC000096255083;-7.3968186;-6.6136107;-7.2430944;-6.895093;-6.93429
ZINC000081010918;-7.4911537;-7.801725;-7.5396185;-7.5634713;-7.8536053
ZINC000409246159;-6.083903;-6.308339;-6.116746;-6.770381;-6.709385
ZINC000084661121;-7.275426;-7.6461334;-7.3273516;-7.233818;-7.316758
ZINC000084661122;-7.291305;-7.6569505;-7.1351347;-7.153355;-7.2323704
ZINC000084780007;-6.4087033;-6.8985887;-6.480028;-6.3049316;-6.3782463
ZINC000084789273;-7.3510227;-6.3307714;-6.902789;-6.797522;-7.0752563
ZINC000084789271;-7.162279;-6.6790304;-6.7237296;-6.8339963;-7.057187
ZINC000255187909;-5.807612;-6.0425262;-5.963278;-5.860999;-5.981346
ZINC000085435972;-7.5750165;-7.090854;-7.316674;-7.246266;-7.21222
ZINC000085470617;-7.044495;-7.3857117;-6.994366;-6.9818945;-6.974898
ZINC000085470638;-7.2513313;-7.4683857;-6.923501;-6.824905;-6.884908
ZINC000208506892;-5.947856;-5.757008;-6.039113;-6.0553575;-6.1701875
ZINC000245231619;-6.920792;-7.221858;-6.8784776;-7.016478;-7.0333395
ZINC000005601252;-7.4796896;-7.584695;-6.882289;-6.8166704;-7.3352585
ZINC000005601272;-7.1705933;-7.203099;-6.9899006;-7.1653004;-7.188017
ZINC000005601269;-6.446288;-7.09251;-7.3301706;-7.193783;-6.4958444
ZINC000005601250;-6.8984075;-7.2194977;-6.9697247;-6.8209867;-6.8565946
ZINC000005605183;-6.6191106;-6.9764585;-6.8836966;-6.6400013;-6.703488
ZINC000005605185;-6.482605;-7.245701;-6.7127657;-6.7225423;-6.779962
ZINC000005631259;-6.7277083;-6.269723;-6.546484;-6.2548804;-6.1271734
ZINC000005631258;-6.907768;-6.5383964;-6.190334;-6.164048;-6.457137
ZINC000005390156;-6.906894;-6.7944474;-6.053691;-6.6303725;-6.5947347
ZINC000001567914;-7.12656;-6.675128;-5.9064364;-6.3263392;-6.462674
ZINC000022863963;-6.9275575;-6.9514456;-7.047673;-6.9961424;-6.6697326
ZINC000022863956;-7.1370463;-6.9958534;-6.699304;-6.8359613;-6.960141
ZINC000006026500;-6.5777216;-6.1879616;-6.7464046;-6.1821203;-6.079896
ZINC000006576982;-7.0455265;-6.6855364;-6.4973097;-6.9181995;-6.3024592
ZINC000006576982;-6.780615;-6.626286;-6.4784575;-6.6434846;-6.041707
ZINC000006576980;-7.3541274;-6.862844;-6.428522;-7.188513;-6.6742053
ZINC000006576980;-6.72676;-6.728589;-6.3540287;-6.9017444;-6.422678
ZINC000008572452;-6.1144953;-6.642006;-6.307046;-6.804381;-6.802332
ZINC000584578925;-6.135463;-6.2171993;-6.5366654;-6.4634275;-6.566217
ZINC000013112128;-6.3610005;-5.838824;-5.9052186;-5.652913;-6.1354513
ZINC000096039605;-6.896263;-6.814747;-6.6701736;-6.8267345;-6.7890387
ZINC000096039608;-6.5699983;-6.6612024;-6.4612484;-6.641945;-6.2450924
ZINC000096039612;-6.417141;-6.319138;-6.3992095;-6.026161;-6.006199
ZINC000096039610;-6.3156323;-6.1140866;-6.2270164;-5.971001;-5.7521563
ZINC000096039604;-6.670204;-7.0012856;-6.739851;-6.0524187;-5.963827
ZINC000096039600;-6.110192;-6.2408032;-6.001775;-5.871735;-5.776972
ZINC000096039600;-6.1011467;-6.285919;-5.8881836;-6.0703363;-5.8590755
ZINC000096039602;-5.8138285;-6.1636;-5.5106244;-5.531148;-5.4068174
ZINC000096039602;-5.8119097;-5.8497643;-5.885998;-5.2568793;-5.5404406
ZINC000096039609;-6.1323214;-6.546879;-6.0830383;-5.968091;-5.772731
ZINC000096039613;-6.5557394;-6.672908;-6.6864443;-6.6115685;-6.312857
ZINC000096039611;-6.6180677;-6.8450727;-6.4077287;-6.302265;-6.1574783
ZINC000096039601;-6.0263867;-5.985799;-5.955638;-5.4639587;-5.4466443
ZINC000096039601;-5.907487;-6.284402;-5.640134;-5.46236;-5.413952
ZINC000096039697;-6.4829903;-6.8013625;-6.446459;-6.4886255;-6.1939363
ZINC000096039697;-6.685148;-6.930912;-6.566767;-6.5252295;-6.6051545
ZINC000096039696;-6.3724165;-6.7517667;-6.3961577;-6.1209826;-5.98573
ZINC000096039696;-6.8529844;-6.6607633;-6.4269505;-6.3641324;-5.9886947
ZINC000096051891;-7.0203857;-6.694652;-6.527806;-6.5125775;-6.3794813
ZINC000096051891;-7.30306;-6.9285808;-7.0610347;-6.9298797;-6.755812
ZINC000096056897;-6.255618;-5.926753;-6.3791523;-5.921319;-5.572903
ZINC000096050002;-5.7543135;-6.440503;-6.0491962;-6.176106;-6.184014
ZINC000096050002;-6.599441;-6.6030474;-5.798565;-6.164493;-6.188182
ZINC000096051892;-6.885318;-6.3670163;-6.3564444;-6.3486423;-6.222253
ZINC000096051892;-7.316906;-6.6577806;-6.8034587;-6.768188;-6.6457157
ZINC000096056894;-6.474947;-6.6379495;-6.357565;-6.4002914;-6.3030725
ZINC000096051890;-6.7129493;-6.8716874;-6.735107;-6.358532;-6.3048487
ZINC000096051890;-6.8865128;-6.877769;-6.992602;-6.858896;-6.7806015
ZINC000096056891;-6.60532;-6.514696;-6.309951;-6.6111684;-6.3549967
ZINC000096052468;-7.0736494;-6.753666;-6.9199185;-7.3544226;-7.234497
ZINC000096050001;-6.252312;-6.447663;-5.5465016;-6.306449;-6.1443014
ZINC000096050001;-6.4382143;-6.530666;-5.9278893;-6.3770304;-6.356774
ZINC000096056892;-6.136459;-6.245426;-6.206135;-6.057368;-5.8615093
ZINC000096056893;-6.543217;-5.9623017;-6.336148;-6.073756;-5.8897567
ZINC000096056895;-6.5979404;-6.2841897;-6.297622;-6.500206;-6.097929
ZINC000096056896;-6.072434;-6.3733764;-6.123375;-5.919724;-5.6754413
ZINC000096056898;-6.525588;-6.685523;-6.1912756;-6.290718;-6.027027
ZINC000096057823;-6.559847;-6.839332;-6.712161;-6.530735;-6.5041285
ZINC000096057823;-6.5998235;-6.4175425;-6.650691;-6.579316;-6.542926
ZINC000096065030;-7.6715565;-6.980708;-6.8911786;-7.0701733;-6.8377285
ZINC000096065030;-7.7271533;-7.382026;-7.0117803;-7.385585;-7.0262537
ZINC000096059228;-6.4820886;-6.0911202;-6.022882;-6.200582;-6.197012
ZINC000096059228;-6.48444;-5.968064;-6.0120783;-6.1520596;-6.067822
ZINC000096065031;-7.4112043;-6.846276;-7.146677;-6.6875806;-6.2894483
ZINC000096065031;-7.488527;-7.1993933;-7.2672424;-6.743826;-6.389488
ZINC000096059227;-6.5596848;-5.957693;-5.966219;-6.1018834;-6.080779
ZINC000096059227;-6.529364;-6.1001873;-5.994506;-6.180158;-6.222547
ZINC000096065033;-7.575482;-7.1073065;-7.03639;-7.086521;-6.6486945
ZINC000096065033;-7.722693;-7.648282;-7.428588;-7.1273623;-7.0488443
ZINC000096065032;-6.4030643;-6.5186567;-6.787779;-6.1296;-6.493306
ZINC000096065032;-7.4037952;-7.2726927;-7.4251785;-6.927083;-6.6097293
ZINC000096064768;-6.745885;-6.7512197;-6.887127;-6.729961;-6.579291
ZINC000096064768;-6.5808406;-6.8132076;-6.1339335;-6.7609935;-6.43823
ZINC000096059219;-6.5017447;-6.150946;-5.858181;-6.0942726;-6.093012
ZINC000096059297;-7.3286242;-7.292392;-7.0573745;-7.425426;-7.0242653
ZINC000096059224;-6.8796434;-6.4398246;-5.927431;-6.2434897;-6.169506
ZINC000096059224;-6.6316686;-6.418106;-5.8411207;-6.198747;-6.204089
ZINC000096059220;-6.728304;-6.2186737;-6.051009;-6.000812;-6.0640173
ZINC000096077445;-7.320362;-6.9810686;-6.901613;-7.0349917;-7.369161
ZINC000096069921;-6.432802;-6.3731065;-6.137991;-6.7105627;-6.4849834
ZINC000096071445;-6.612637;-6.469337;-6.8056693;-6.744081;-6.4866467
ZINC000096077444;-7.0439496;-7.0483027;-6.7523685;-7.234606;-7.3833475
ZINC000096069824;-7.587755;-6.8461766;-6.688543;-6.811774;-7.039424
ZINC000096084900;-6.9584093;-6.805382;-6.140322;-6.2480574;-6.325819
ZINC000096084900;-7.027667;-6.685001;-6.1716185;-6.666522;-6.3923526
ZINC000096071444;-6.652858;-6.6796403;-6.823909;-6.6863365;-6.7298374
ZINC000096069927;-7.8326464;-6.9709535;-7.0304627;-7.0314007;-7.0116634
ZINC000096159892;-7.2037024;-6.8492594;-6.8181195;-6.5789223;-6.8017626
ZINC000096159892;-7.7490144;-7.530908;-7.3129106;-7.0283117;-7.213995
ZINC000096189018;-7.4877343;-6.582254;-6.473745;-6.79595;-6.7411733
ZINC000096189018;-7.474811;-6.6033864;-6.4596252;-6.86453;-6.8295727
ZINC000096184118;-7.2563457;-6.9477363;-7.5538163;-7.2733135;-7.592343
ZINC000096184118;-7.5991096;-6.71457;-7.365038;-7.2033405;-7.4156384
ZINC000096189006;-6.488917;-6.1472106;-5.9969616;-6.0173674;-6.082283
ZINC000096189006;-6.6792507;-6.245279;-5.8321714;-5.9758215;-6.2620277
ZINC000096186638;-7.435706;-6.889499;-7.217572;-7.388029;-7.1572504
ZINC000096186272;-7.657698;-6.687759;-7.4942536;-7.373793;-7.7073812
ZINC000096186049;-7.292921;-6.756299;-6.9001956;-6.714475;-6.6977897
ZINC000096184642;-7.677725;-6.4908547;-7.166394;-7.12581;-7.404321
ZINC000096184642;-8.164492;-7.291993;-7.783853;-8.042475;-7.6867003
ZINC000096184642;-7.9794016;-7.2125416;-7.671893;-7.831299;-7.818503
ZINC000096187702;-6.1647825;-5.312054;-5.7691317;-5.917165;-5.796606
ZINC000096187702;-5.828136;-5.779404;-5.9079995;-5.5823026;-5.963689
ZINC000096189007;-6.509694;-6.2705445;-5.9471297;-6.0532064;-6.2757664
ZINC000096189007;-6.681797;-6.1633334;-5.997924;-6.0165396;-6.1262503
ZINC000096189019;-7.536179;-6.7544975;-6.585842;-6.8535624;-6.8992434
ZINC000096189019;-7.3010983;-6.5602646;-6.5154595;-6.860483;-6.7635956
ZINC000096187703;-6.120433;-5.4167953;-6.0058546;-5.699054;-6.077921
ZINC000096187703;-5.8660445;-5.45047;-5.8261747;-5.7722063;-5.676987
ZINC000096186683;-7.213637;-7.255625;-5.9776855;-6.867855;-6.610198
ZINC000096196668;-7.608667;-7.3397665;-7.22283;-7.3671994;-7.5696235
ZINC000096197203;-7.8561506;-7.75733;-7.5016212;-7.133379;-7.347251
ZINC000096196677;-6.804316;-6.760133;-6.7417192;-6.6646423;-6.9572206
ZINC000096200085;-6.551364;-6.9465165;-6.649515;-6.581264;-6.301406
ZINC000096196666;-6.9461246;-6.798496;-7.120889;-6.8676353;-6.9501185
ZINC000096196665;-6.716672;-6.714495;-6.6740866;-6.599849;-6.747782
ZINC000096201674;-6.501346;-6.082493;-6.8550878;-6.6831026;-6.6022544
ZINC000096214758;-6.3705454;-6.24863;-6.6638227;-6.6354685;-6.712784
ZINC000096214744;-6.7579546;-6.5507913;-6.837882;-6.9693565;-6.7524467
ZINC000096214743;-6.7871695;-7.004428;-7.0656447;-6.892484;-6.8950586
