name;01;02;03;04;05
ZINC000257276482;-7.300067;-7.6713758;-7.036325;-7.5093317;-7.8331842
ZINC000257295456;-8.048192;-8.018057;-7.5883446;-7.9393835;-8.051073
ZINC000257295456;-7.8488955;-7.956303;-7.889003;-7.7300935;-8.009877
ZINC000257295455;-7.977111;-7.9162493;-8.004978;-7.8154416;-8.099221
ZINC000257295455;-7.8944497;-7.7998104;-7.7744865;-8.007699;-8.055058
ZINC000257299632;-6.37773;-6.5595627;-6.8845663;-6.7089334;-6.546117
ZINC000257299633;-6.6036234;-6.7600493;-6.8364897;-6.6030345;-6.484049
ZINC000257302097;-6.28869;-7.045574;-6.881563;-7.3147283;-7.2290797
ZINC000257302097;-6.265492;-6.92919;-6.810956;-6.40989;-6.7502284
ZINC000257302098;-6.461234;-7.384951;-6.633767;-7.035426;-6.9687724
ZINC000257302098;-6.392936;-7.316847;-6.751823;-6.7700133;-7.0426307
ZINC000257309594;-6.810813;-7.063141;-7.2893963;-7.1852922;-7.679829
ZINC000257309594;-7.403031;-8.043902;-7.8298693;-7.5634794;-8.269919
ZINC000257318505;-6.939034;-7.603432;-6.821016;-6.9224524;-6.8909683
ZINC000257318506;-6.724152;-7.30743;-6.6778474;-6.655221;-6.756838
ZINC000257318830;-6.6910925;-6.925026;-7.1634326;-6.7523646;-7.4074764
ZINC000257318830;-7.9276032;-7.0522933;-7.5264664;-7.2210474;-7.3529577
ZINC000179221264;-8.083556;-7.148507;-7.590739;-7.936906;-7.2818837
ZINC000179221264;-8.003191;-7.155636;-7.107515;-7.7290587;-7.259328
ZINC000179221278;-8.460553;-7.454818;-7.5982285;-7.831931;-7.4785466
ZINC000179221278;-7.7560754;-7.094974;-7.2440705;-7.6117067;-7.489015
ZINC000096240303;-7.1130357;-7.7879653;-6.7177153;-7.124607;-6.384413
ZINC000096240303;-7.5849714;-7.491686;-7.3902454;-7.4089103;-6.60214
ZINC000306123650;-7.030075;-6.816602;-6.9991484;-7.128374;-6.5220637
ZINC000306123650;-6.831065;-6.6702604;-6.8210144;-7.112991;-6.6327124
ZINC000306131339;-7.4632883;-6.729625;-6.2408485;-6.378972;-6.6735687
ZINC000019214012;-8.201512;-8.344335;-8.556699;-8.093349;-8.354809
ZINC000019214012;-8.346654;-8.155867;-8.743208;-8.104912;-8.329405
ZINC000019214014;-8.20289;-8.312777;-8.696353;-8.296383;-8.412746
ZINC000019214014;-8.236271;-8.067548;-8.698856;-8.295811;-8.428216
ZINC000072216605;-7.2552104;-7.429554;-7.1682844;-7.4296703;-7.39437
ZINC000072216607;-7.27673;-7.4035854;-7.2826777;-7.38439;-7.2075596
ZINC000072216545;-7.3138304;-7.263824;-7.182084;-7.333701;-7.5227866
ZINC000072216606;-7.7169476;-7.841276;-7.53588;-7.418904;-7.976009
ZINC000072216547;-7.159702;-7.31003;-7.356456;-7.5502367;-7.4721527
ZINC000072216544;-8.011172;-7.5554924;-7.6278205;-7.552701;-7.7895994
ZINC000072216546;-7.814019;-7.444237;-7.562002;-7.7218227;-7.7631245
ZINC000072216604;-7.7070975;-7.9421697;-7.9052734;-7.516412;-7.949239
ZINC000585103203;-6.7681394;-7.264658;-7.103863;-6.714659;-6.57562
ZINC000585103316;-6.961893;-7.0144777;-7.236533;-6.516023;-6.5860596
ZINC000585103317;-7.2521625;-6.914953;-7.263826;-6.6627054;-6.9976397
