name;01;02;03;04;05
ZINC000063882427;-7.5485325;-7.5895443;-7.6307406;-7.364732;-7.42887
ZINC000063883069;-7.1741176;-6.9729514;-7.5228796;-7.350215;-7.0359383
ZINC000015580737;-6.834679;-6.1123905;-6.7800007;-6.8601785;-6.589757
ZINC000064984411;-6.708771;-6.977606;-6.742545;-6.5997543;-6.2549963
ZINC000064984343;-6.396078;-7.1082745;-6.858189;-6.622439;-6.10582
ZINC000064984341;-6.5388494;-6.845214;-6.82293;-6.629805;-6.392195
ZINC000064984410;-6.847232;-6.708131;-7.0835776;-6.464887;-6.5555844
ZINC000064984357;-6.7430286;-7.092066;-6.591887;-6.70388;-6.310173
ZINC000065528517;-7.222871;-6.7193193;-6.633827;-6.7851815;-6.9128284
ZINC000065528515;-7.0555754;-6.649581;-6.830166;-6.6474066;-6.9363203
ZINC000067011213;-7.5148845;-7.0490556;-6.7915564;-7.0771484;-7.1533256
ZINC000071763220;-6.4169164;-6.918498;-6.5926423;-6.275941;-6.6196713
ZINC000067514430;-5.9419837;-6.3398757;-6.5675282;-5.881318;-6.46388
ZINC000040088655;-7.1821413;-6.51659;-6.893542;-6.5673976;-6.7662377
ZINC000058440138;-5.946519;-6.1473727;-6.1664124;-6.383652;-6.2814364
ZINC000057476964;-7.1712728;-6.7231526;-6.229512;-6.555158;-6.4460917
ZINC000067967550;-7.9904613;-7.7206936;-7.415219;-8.12567;-7.973057
ZINC000067967503;-7.571403;-7.4940176;-7.574531;-7.3294773;-7.411456
ZINC000155084641;-6.8215985;-6.374136;-6.7164617;-6.526471;-7.059878
ZINC000845971833;-6.535315;-6.29934;-6.719301;-6.4926157;-6.719458
ZINC000845971831;-6.8877683;-6.3865066;-6.8756685;-6.677757;-6.7334814
ZINC000016663033;-5.7124834;-6.3632035;-6.1618347;-6.210509;-6.2411566
ZINC000016663036;-5.60915;-6.5660744;-6.4019394;-5.989855;-5.951906
ZINC000155495546;-6.182256;-5.9590964;-6.1589103;-6.463083;-6.178064
ZINC000155495432;-5.863883;-5.5946684;-5.746932;-5.7907987;-6.0215807
ZINC000155495659;-6.221698;-6.1456995;-6.090675;-6.445014;-6.1845474
ZINC000155495755;-5.9453306;-5.4687204;-5.565128;-5.65859;-6.1254435
ZINC000021658070;-7.5105333;-7.4334846;-7.0593834;-7.356063;-7.2315474
ZINC000004007745;-6.2012405;-6.3283525;-6.581296;-6.250863;-6.3769603
ZINC000040477061;-6.9960704;-6.5193615;-6.364673;-6.6510954;-6.3880744
ZINC000040477037;-7.1018376;-6.462388;-6.3255053;-6.7748203;-6.556959
ZINC000040477035;-7.2756133;-6.5032043;-6.255662;-6.5568314;-6.3288293
ZINC000040477062;-7.335726;-6.776101;-6.8634977;-7.0870037;-7.040415
ZINC000040477119;-6.8210316;-6.3055987;-6.7314324;-6.6396503;-6.3745904
ZINC000040477063;-7.0182433;-6.4605002;-6.673375;-6.7270436;-6.637047
ZINC000170642684;-6.7752724;-6.955483;-6.962448;-6.381002;-6.3061447
ZINC000170642682;-7.1000123;-7.0617485;-6.8277855;-6.4861846;-6.4051576
ZINC000058171942;-6.6042957;-6.2939863;-6.8175573;-7.000191;-6.404726
ZINC000058192526;-6.842114;-6.87368;-6.772578;-6.5020638;-6.7122483
ZINC000005235524;-6.9760714;-7.32642;-7.458702;-7.228963;-6.662144
ZINC000019680925;-6.8194795;-6.665631;-6.529111;-6.848557;-6.990857
ZINC000058213971;-6.479712;-6.466919;-6.331125;-6.109185;-6.207069
ZINC000055197285;-6.5042934;-7.043914;-6.9175987;-6.723243;-6.3909287
ZINC000156320934;-7.2847233;-6.690812;-6.592595;-6.778987;-7.124863
ZINC000156320816;-7.6317215;-6.8153944;-6.705242;-7.377012;-7.1812296
ZINC000156320558;-7.401134;-6.8555274;-6.4944215;-6.739836;-7.114236
ZINC000156320686;-7.71765;-6.9338646;-6.8971906;-7.306736;-7.129636
ZINC000135237128;-6.0446367;-6.4329414;-5.9140224;-6.431781;-6.61804
ZINC000135237112;-6.683611;-6.634579;-6.124291;-6.317062;-6.7905903
ZINC000019219008;-7.999694;-7.72924;-7.1514635;-7.675123;-7.5896606
ZINC000019219005;-7.821362;-7.310053;-7.404052;-7.626445;-7.744637
ZINC000156379880;-7.7688727;-7.405259;-7.5148325;-7.46346;-7.563595
ZINC000156379524;-8.147542;-7.3787313;-7.5554266;-7.6319547;-7.7944655
ZINC000156379650;-8.462453;-8.04118;-8.0822525;-8.304633;-7.8352876
ZINC000156379768;-8.479126;-7.9528995;-7.81112;-8.220631;-8.106608
ZINC000058403863;-7.5441504;-7.228092;-7.4180074;-7.1324177;-7.0551353
ZINC000091845637;-7.2422075;-7.032357;-7.2639832;-7.7633147;-7.7896695
ZINC000091845640;-7.4723263;-7.178985;-7.2243485;-8.143444;-7.937767
ZINC000019358781;-7.8464866;-7.8552384;-7.7328053;-7.5644765;-7.752712
ZINC000000068877;-6.7918367;-6.9957795;-6.8618116;-6.7305255;-6.5915213
ZINC000156554114;-7.080736;-7.4106092;-7.176893;-7.032883;-6.9855013
ZINC000156554243;-6.989732;-6.187989;-6.794898;-6.3497553;-6.8017144
ZINC000584896956;-7.4171786;-7.1540666;-7.1989145;-7.402621;-7.2318897
ZINC000584896957;-7.2749124;-6.914649;-6.809838;-6.849585;-7.2811775
ZINC000000110981;-7.3936396;-7.581478;-7.6499295;-7.5585504;-7.51116
ZINC000000104524;-6.0142956;-6.3587956;-6.4063606;-6.468922;-6.458183
ZINC000000104527;-6.015585;-6.335659;-6.2982635;-6.38094;-6.398729
ZINC000000110901;-7.162487;-6.3941245;-6.444117;-6.928634;-6.9017377
ZINC000585139978;-6.845075;-6.133459;-6.632558;-6.2577524;-5.7455506
ZINC000585139977;-6.7682524;-6.1408467;-6.8248916;-6.0631638;-5.625731
ZINC000019537066;-6.411413;-6.5616627;-6.7121944;-6.70354;-6.7187147
