name;01;02;03;04;05
ZINC000102980120;-7.4405813;-7.1953864;-7.293993;-7.2031755;-7.558707
ZINC000104212270;-6.7459335;-6.721503;-6.0530534;-6.433588;-6.601389
ZINC000104212286;-6.713981;-7.0274763;-6.085593;-6.270997;-6.799503
ZINC000104212276;-6.713981;-7.0274763;-6.085593;-6.270997;-6.799503
ZINC000104212281;-6.7459335;-6.721503;-6.0530534;-6.433588;-6.601389
ZINC000104226013;-7.158841;-7.4959574;-7.182864;-7.2668066;-7.342948
ZINC000039502343;-8.506648;-8.306491;-7.766291;-8.722398;-8.394311
ZINC000039955168;-6.937669;-6.515596;-6.3645873;-6.387338;-6.3559566
ZINC000004895907;-7.651485;-7.829648;-7.0892925;-7.3907475;-7.324944
ZINC000031658684;-7.651485;-7.829648;-7.0892925;-7.3907475;-7.324944
ZINC000032192934;-7.7757974;-7.668566;-7.7848215;-7.9476686;-7.9112806
ZINC000016159383;-6.7985134;-6.1091247;-6.445881;-6.105618;-6.540029
ZINC000107747209;-6.6278415;-6.582352;-6.610476;-6.5967865;-6.6596837
ZINC000107747214;-6.4157925;-6.7396574;-6.968504;-6.556252;-6.3629856
ZINC000020637767;-6.8165164;-6.3658714;-6.8300333;-6.6424417;-6.6508904
ZINC000016688241;-6.0846243;-6.5837226;-6.8517375;-6.53992;-6.5297484
ZINC000059349338;-7.10236;-6.9398913;-7.261901;-7.4547005;-7.1762457
ZINC000016778286;-7.552277;-7.7411036;-7.019689;-7.405213;-7.477021
ZINC000003119093;-7.4608235;-7.2454853;-7.4099364;-7.1271963;-7.3851166
ZINC000020637760;-6.8165164;-6.3658714;-6.8300333;-6.6424417;-6.6508904
ZINC000016929488;-5.35274;-5.7468066;-5.3373914;-5.672044;-5.636532
ZINC000016977438;-6.5723486;-6.603054;-6.683551;-6.8495727;-7.078714
ZINC000003119092;-7.4608235;-7.2454853;-7.4099364;-7.1271963;-7.3851166
ZINC000017130930;-7.498718;-7.2889857;-7.1579895;-7.370138;-7.010059
ZINC000017125810;-6.9840293;-6.8676953;-6.378562;-6.8150196;-6.550083
ZINC000017300278;-5.8540277;-6.1389375;-6.010654;-6.278219;-5.977629
ZINC000104230910;-6.976488;-6.6520953;-6.725567;-7.06524;-7.178145
ZINC000017695922;-5.4811687;-5.398117;-5.458692;-5.165018;-5.6098146
ZINC000004252563;-5.4589024;-5.8295774;-5.5890737;-6.1643605;-5.7591205
ZINC000004273419;-7.7177877;-7.155079;-6.83496;-7.229529;-7.0362635
ZINC000006297277;-5.5196676;-5.2973356;-5.1791754;-5.635635;-5.6930475
ZINC000006297129;-6.205984;-5.6457877;-5.602535;-6.007953;-6.124981
ZINC000006622308;-5.8711567;-5.413114;-5.6322546;-5.776696;-6.030993
ZINC000007343415;-7.3466177;-7.0805054;-6.909069;-7.131;-7.567297
ZINC000007343338;-7.225882;-7.059152;-6.870238;-7.0525503;-7.4415517
ZINC000007343332;-7.0253286;-6.670439;-6.679152;-6.7078156;-7.181886
ZINC000007343430;-7.57982;-6.516808;-7.109923;-7.37136;-7.5247784
ZINC000007343386;-6.7245154;-6.1913347;-6.0466347;-6.453461;-6.954546
ZINC000007343387;-6.986828;-6.6002073;-6.355156;-6.806084;-7.143909
ZINC000019237554;-6.782947;-6.52393;-6.5041146;-6.5018897;-7.2683935
ZINC000000001516;-7.921645;-7.9068046;-7.780987;-7.4475574;-7.4399495
ZINC000000001516;-7.921645;-7.9068046;-7.780987;-7.4475574;-7.4399495
ZINC000000044621;-6.4623384;-6.411657;-6.5788193;-6.349064;-6.6059275
ZINC000000044620;-6.4623384;-6.411657;-6.5788193;-6.349064;-6.6059275
ZINC000004679333;-7.0314755;-6.7615833;-6.8099804;-7.155764;-7.214306
ZINC000013407365;-8.024545;-7.131959;-6.970751;-7.393075;-7.7489266
ZINC000004273420;-7.3253994;-7.222706;-6.7184806;-7.1689086;-7.050085
ZINC000072392337;-6.8144293;-6.3343015;-6.5569835;-6.584722;-6.867547
ZINC000189343657;-7.5406055;-7.67231;-7.219683;-7.178759;-7.571689
ZINC000189343680;-7.4309783;-7.6327066;-7.3629146;-7.2391033;-7.4007387
ZINC000020637763;-7.2442346;-6.946963;-6.772616;-6.9855103;-6.9466577
ZINC000009262147;-6.894261;-6.8388557;-6.4244337;-6.635169;-6.791317
ZINC000009262149;-6.6706343;-6.252898;-6.6687045;-6.5291786;-6.5679517
ZINC000020637849;-6.7651186;-6.2690163;-6.5599813;-6.5099196;-6.646641
ZINC000020637756;-7.2442346;-6.946963;-6.772616;-6.9855103;-6.9466577
ZINC000020637843;-6.7651186;-6.2690163;-6.5599813;-6.5099196;-6.646641
ZINC000009262152;-6.894261;-6.8388557;-6.4244337;-6.635169;-6.791317
ZINC000004896039;-6.07621;-6.247917;-5.9353094;-6.298782;-6.005125
ZINC000000344815;-6.6847076;-6.795236;-6.6018;-6.714053;-6.7663
ZINC000005072505;-7.1658573;-6.690406;-6.741393;-6.6556334;-7.083634
ZINC000005092593;-8.219358;-7.6539803;-7.677478;-8.052064;-7.9223323
ZINC000001102055;-5.3977942;-5.183569;-4.670685;-4.93258;-5.3047676
ZINC000250081228;-7.3704705;-6.650503;-7.1295652;-7.0687413;-7.045631
ZINC000250187587;-7.3897214;-6.734771;-7.1035266;-7.4789686;-7.081212
ZINC000250187585;-7.697218;-7.1686683;-7.382219;-7.412944;-7.2661123
ZINC000250408725;-6.774006;-6.787862;-6.729302;-7.1675577;-6.850385
ZINC000250081234;-7.460945;-6.9872417;-7.3113747;-7.127356;-7.1128545
ZINC000001240468;-6.9202423;-7.0177774;-6.789566;-6.7668834;-7.24365
ZINC000001307728;-6.8640866;-7.767437;-6.9748774;-7.3902063;-7.4757423
ZINC000237298874;-6.035136;-5.764041;-5.5724196;-5.850464;-6.186701
ZINC000111431065;-5.246088;-5.6505494;-5.765949;-5.8910832;-5.589237
ZINC000237302637;-5.9249296;-5.7859297;-5.415403;-5.8558226;-6.291534
ZINC000001564512;-6.9439034;-7.03715;-6.8070626;-6.7833843;-7.371441
ZINC000001579760;-6.314224;-6.550109;-6.1709576;-6.3023586;-6.078817
ZINC000005552557;-6.4847293;-6.6819806;-6.8284483;-6.5500603;-6.7191186
ZINC000001585675;-7.043823;-6.5304184;-6.4671173;-6.4835086;-6.376096
ZINC000001589113;-5.743951;-6.497343;-5.9226127;-6.011341;-6.1632357
ZINC000001624657;-7.4088607;-7.789346;-7.3041925;-7.4058733;-7.256094
ZINC000001624657;-7.4088607;-7.789346;-7.3041925;-7.4058733;-7.256094
ZINC000001589115;-5.511113;-5.7655;-5.4858947;-5.3957777;-5.0598097
ZINC000001589111;-6.355561;-6.5589967;-6.1034555;-6.341426;-6.1211615
ZINC000001661272;-7.771775;-7.3524942;-7.271064;-7.858765;-7.7439427
ZINC000001716547;-5.35274;-5.7468066;-5.3373914;-5.672044;-5.636532
ZINC000005392931;-6.4847293;-6.6819806;-6.8284483;-6.5500603;-6.7191186
ZINC000001871529;-6.831031;-6.567227;-6.0442314;-6.7123656;-6.7168274
ZINC000020754423;-8.164831;-8.509161;-8.305106;-8.543957;-8.4799
ZINC000005342767;-6.7836885;-6.7158055;-6.8785243;-7.1330523;-7.122513
ZINC000001462746;-7.150241;-7.1130624;-7.0191426;-7.1530776;-7.445393
ZINC000020932499;-6.84779;-7.179364;-6.700995;-6.604615;-6.9421887
ZINC000005607184;-6.4718127;-5.962242;-6.059848;-6.397157;-6.2553344
ZINC000005618469;-5.9646487;-5.724779;-5.9231544;-5.904619;-5.4067783
ZINC000248121309;-6.3710213;-6.452758;-6.639351;-6.422078;-6.473586
ZINC000248121306;-6.769818;-6.574853;-6.627817;-6.6513104;-6.529218
ZINC000005664489;-6.9840293;-6.8676953;-6.378562;-6.8150196;-6.550083
ZINC000005665623;-5.684137;-5.9662924;-5.847468;-5.9903026;-5.751382
ZINC000005722902;-7.2035103;-7.094759;-6.6577015;-7.0784774;-7.015813
ZINC000003033959;-7.428153;-7.5214386;-7.1815977;-6.963327;-7.1780796
ZINC000005772500;-7.368945;-7.165471;-7.25412;-7.318443;-7.365141
ZINC000028630468;-7.7432513;-7.2823744;-7.3808174;-7.4187403;-7.6564636
ZINC000004837572;-7.017286;-6.4643183;-6.721679;-6.217084;-6.1729345
ZINC000005163131;-6.6257553;-6.9077387;-6.900917;-6.958844;-6.964567
ZINC000005439254;-6.005712;-6.0961404;-6.1399918;-6.1818614;-5.9808
ZINC000005439251;-6.134152;-6.1774883;-5.9308243;-6.009424;-5.9157853
ZINC000005342764;-7.352082;-6.658493;-7.3500066;-7.6005626;-7.363105
ZINC000005461097;-6.5716696;-6.441702;-6.347578;-6.510985;-6.1185226
ZINC000020638124;-6.389878;-6.497336;-6.4369736;-6.7447767;-6.925416
ZINC000005888809;-7.7703204;-7.45952;-7.564643;-7.545711;-7.676992
ZINC000020638131;-6.5418425;-6.516458;-6.512124;-6.7678633;-6.7891016
ZINC000022259035;-6.5028424;-6.468735;-6.0917406;-6.4129066;-6.376122
ZINC000022259031;-6.8086224;-6.5948625;-6.459617;-7.0255184;-6.7978125
ZINC000006190005;-5.419981;-5.4214926;-5.0494013;-5.2343497;-5.7760873
ZINC000006210384;-6.564507;-6.4578;-5.968443;-6.515754;-6.960823
ZINC000106353907;-6.9417295;-7.1156387;-6.8291864;-6.7283525;-6.947838
ZINC000073640479;-6.89873;-6.6505866;-6.60124;-6.5639753;-6.711694
ZINC000006384848;-7.349908;-6.9674115;-6.727237;-7.123997;-6.8757024
ZINC000107659753;-6.450486;-6.505755;-6.4924707;-6.5985217;-6.6689816
ZINC000022871591;-6.577318;-7.233451;-6.947292;-7.2854757;-7.099034
ZINC000006473904;-5.236564;-4.9297705;-4.5609937;-5.3201094;-5.1494393
ZINC000006497106;-5.596834;-5.6324196;-5.030967;-5.382439;-5.718562
ZINC000006491566;-7.40886;-7.789346;-7.3041916;-7.4058743;-7.256094
ZINC000006491566;-7.4088607;-7.789346;-7.3041925;-7.4058733;-7.256094
ZINC000108930713;-6.491151;-6.29938;-6.216967;-6.181218;-6.309125
ZINC000017025033;-6.790022;-6.647931;-6.747116;-6.6791954;-7.0887465
ZINC000016941918;-6.607199;-6.2471266;-6.4470983;-6.4719944;-6.230407
ZINC000110167184;-7.114288;-7.2949605;-7.049731;-6.8870206;-7.165314
ZINC000006575556;-7.122528;-7.484281;-7.1746264;-7.289834;-7.356671
ZINC000006622424;-5.8176055;-5.7688446;-5.639846;-5.9912486;-6.0989666
ZINC000006672188;-5.482346;-6.2187824;-5.820747;-5.7451606;-5.8975544
ZINC000006685102;-6.745864;-6.962188;-6.5681024;-6.8353095;-7.1036143
ZINC000000295414;-6.5968766;-6.4783254;-6.3967476;-6.5677032;-6.464409
ZINC000008300007;-6.8649974;-7.6149797;-7.4933786;-7.266885;-7.937093
ZINC000611430293;-6.4658465;-7.0838346;-6.7026525;-6.6913557;-6.4217186
ZINC000253486617;-7.6353865;-7.5917945;-7.691376;-7.8063264;-7.2139444
ZINC000008655406;-6.567565;-6.1572866;-5.7078767;-6.274873;-6.3153195
ZINC000041214182;-5.7195616;-5.0271983;-4.823785;-5.62134;-5.3930674
ZINC000254479305;-7.461434;-7.4905653;-7.1107235;-6.9613743;-7.3797154
ZINC000255188679;-7.254691;-7.468632;-7.4633665;-7.315936;-7.1742287
ZINC000255188680;-7.254691;-7.468632;-7.4633665;-7.315936;-7.1742287
ZINC000009189491;-6.845487;-7.1232142;-6.875781;-7.51156;-7.1444087
ZINC000009189492;-6.845487;-7.1232142;-6.875781;-7.51156;-7.1444087
ZINC000009262153;-6.6706343;-6.252898;-6.6687045;-6.5291786;-6.5679517
ZINC000009885266;-6.751809;-6.9157906;-6.2846184;-6.700247;-6.3907685
ZINC000253486616;-7.5674067;-7.270403;-7.586219;-7.5978956;-6.975057
ZINC000008816522;-7.2497287;-6.8368673;-6.574221;-6.960985;-6.8556314
ZINC000012147431;-7.2395525;-7.1752152;-7.159922;-7.2619557;-7.256998
ZINC000012188418;-6.77454;-6.654844;-6.504761;-6.3875284;-7.3444
ZINC000096059225;-6.911401;-6.653589;-6.4206133;-6.4218817;-6.244874
ZINC000040448550;-6.268021;-6.09055;-6.0324106;-6.082346;-5.800804
ZINC000013135826;-7.2390766;-6.569442;-6.696642;-7.2727094;-7.3176804
ZINC000013407369;-7.9206324;-7.5481796;-6.8342133;-7.4014435;-7.516059
ZINC000035189308;-7.8659763;-6.9416504;-7.0411024;-6.931113;-7.5304775
ZINC000013635091;-6.79929;-7.205008;-7.0815935;-7.2093773;-7.1411476
ZINC000013991068;-6.803255;-6.638227;-6.7652464;-6.2817216;-7.107569
ZINC000014134294;-7.207745;-6.6244087;-6.204057;-6.8360696;-6.9496956
ZINC000408692161;-8.050815;-7.814931;-7.672848;-7.9211597;-8.362617
ZINC000408660526;-7.546698;-6.6008534;-6.871757;-6.9230647;-6.9907575
ZINC000408692462;-7.3305655;-7.0219398;-6.952236;-7.5687947;-7.2824755
ZINC000023468968;-6.471204;-7.3115063;-6.94304;-7.162467;-7.0686245
ZINC000408657600;-7.2531233;-6.7840605;-6.7941985;-6.9683485;-7.329022
ZINC000408692211;-7.1307783;-6.9646063;-6.98199;-7.1576586;-7.6706257
ZINC000408667460;-8.889592;-8.190791;-8.360607;-8.498809;-8.512474
ZINC000408692908;-6.930834;-7.1612043;-6.705315;-7.03478;-7.228418
ZINC000408692908;-7.0520716;-7.228928;-6.8736315;-7.1809793;-7.3700294
ZINC000408692808;-8.382488;-8.094673;-8.232517;-8.286379;-8.52757
ZINC000408691984;-7.610118;-7.1463623;-7.323886;-7.51263;-7.663824
ZINC000408692925;-6.7423267;-6.6949244;-6.2267833;-6.889344;-7.04758
ZINC000408646221;-6.8873334;-6.604828;-6.463624;-6.8076973;-7.2506523
ZINC000408692923;-7.0747004;-7.0605955;-7.1114893;-7.15674;-7.4877963
ZINC000408740435;-8.214839;-8.716177;-8.455596;-8.402764;-8.509899
ZINC000408740435;-8.626116;-8.964509;-8.67133;-8.631418;-8.497917
ZINC000408740434;-8.214839;-8.716177;-8.455596;-8.402764;-8.509899
ZINC000408740434;-8.626116;-8.964509;-8.67133;-8.631418;-8.497917
ZINC000408740126;-7.6217623;-7.883964;-7.871224;-7.7327433;-7.9375734
ZINC000408740126;-7.6972876;-8.0813465;-7.9033766;-7.8913336;-7.82732
ZINC000408740127;-7.6217623;-7.883964;-7.871224;-7.7327433;-7.9375734
ZINC000408740127;-7.6972876;-8.0813465;-7.9033766;-7.8913336;-7.82732
ZINC000408930107;-6.2108507;-6.4784822;-5.8700933;-6.2252674;-6.069237
ZINC000408919964;-7.149619;-7.6420107;-7.521882;-7.1986537;-7.224007
ZINC000227104555;-7.945712;-7.2527733;-7.614376;-8.026514;-7.2135954
ZINC000409045340;-6.6727138;-6.789078;-6.717023;-6.3575177;-6.8028364
ZINC000138169315;-6.450486;-6.505755;-6.4924707;-6.5985217;-6.6689816
ZINC000137703666;-6.491151;-6.29938;-6.216967;-6.181218;-6.309125
ZINC000409224910;-6.5058594;-6.805774;-6.727478;-6.565654;-6.834343
ZINC000409222925;-6.1755342;-6.566032;-6.4817553;-6.201899;-6.6536617
ZINC000409082644;-7.81435;-7.7006946;-7.825292;-8.225317;-7.789963
