name;01;02;03;04;05
ZINC001606509404;-8.048832;-7.960333;-7.898381;-7.9001493;-7.9507904
ZINC001606509406;-7.9319396;-7.7398105;-7.950134;-7.8218474;-7.8298426
ZINC001606509407;-7.7573166;-8.040461;-7.6471977;-7.4937243;-7.474586
ZINC001606509405;-7.2973404;-7.445295;-7.4038296;-7.3202047;-7.344689
ZINC001602870236;-6.2980027;-6.688467;-6.690246;-6.942071;-6.384076
ZINC001602870231;-6.2921686;-6.7058525;-6.5230184;-6.965658;-6.475479
ZINC000793080521;-6.380413;-6.7975383;-6.8753214;-6.585354;-6.626979
ZINC000793080519;-6.503095;-6.5820093;-6.778252;-6.674402;-6.85292
ZINC001602990896;-7.211693;-7.533593;-7.012918;-7.378315;-7.776485
ZINC001589017619;-6.662435;-6.798404;-6.482589;-6.8598347;-6.700041
ZINC000436565709;-5.9789276;-6.267385;-6.18578;-6.2522817;-6.454297
ZINC001175321692;-5.5860796;-6.028682;-5.787032;-6.097344;-6.061368
ZINC001210006728;-5.9163885;-5.9856915;-5.8000336;-5.931262;-5.953028
ZINC001215614938;-5.6993475;-5.709979;-5.610413;-6.0755467;-5.9923334
ZINC001603545853;-7.117679;-7.204708;-7.0992885;-6.8688927;-7.054504
ZINC001603545923;-7.174128;-6.891488;-7.2886763;-7.1484194;-6.957672
ZINC001603545854;-7.117679;-7.204708;-7.0992885;-6.8688927;-7.054504
ZINC001603545922;-7.174128;-6.891488;-7.2886763;-7.1484194;-6.957672
ZINC001194928650;-5.4322;-5.2158146;-5.5485077;-5.8619947;-5.9307966
ZINC000157311206;-7.5608044;-7.338261;-7.4817433;-7.607914;-7.468198
ZINC000157321633;-7.361352;-7.162042;-7.398466;-7.4980288;-7.4778357
ZINC000157320691;-7.5153346;-7.161832;-7.501531;-7.390441;-7.5260096
ZINC001604124322;-6.4327145;-6.746059;-6.8253026;-6.8482637;-6.8216825
ZINC000070333910;-6.725493;-7.365658;-7.233987;-6.9559703;-7.147104
ZINC001212515059;-5.166557;-5.531296;-5.450052;-5.8101344;-5.6157613
ZINC001242336794;-5.9779654;-5.811244;-6.060545;-6.2485414;-6.289693
ZINC001195120069;-7.2078986;-7.795177;-7.4014826;-7.348185;-7.7105665
ZINC001604618063;-7.2702837;-7.8399277;-7.2140136;-7.570294;-7.7332087
ZINC001604618067;-7.5237055;-7.9882503;-7.394564;-8.074322;-7.9555597
ZINC001604618065;-7.795213;-8.002736;-7.6453037;-7.6544094;-7.8259277
ZINC001604618066;-7.1689396;-7.8397427;-7.330367;-7.650684;-7.831088
ZINC000136511106;-8.316022;-8.196116;-7.753812;-7.866731;-8.028454
ZINC000805257326;-6.7169533;-6.7239957;-6.2901664;-6.5822306;-6.505778
