name;01;02;03;04;05
ZINC000340690892;-7.390622;-7.3345356;-7.2682657;-7.4152164;-7.5206804
ZINC000445451040;-8.864771;-8.71725;-8.63874;-8.985996;-8.964675
ZINC000559326505;-6.880886;-7.281729;-6.8224087;-6.827767;-7.4143524
ZINC000340580171;-6.860757;-6.9677253;-6.89914;-6.932696;-6.9899297
ZINC000426595380;-8.583719;-8.225529;-7.8366666;-8.65239;-8.212353
ZINC000563440275;-7.3377404;-7.818275;-7.391978;-7.2711864;-7.546746
ZINC000563440266;-7.4441185;-7.654914;-7.2944436;-7.3442206;-7.6779222
ZINC000563441297;-7.8013873;-7.5168443;-7.5133533;-7.5850687;-7.8211327
ZINC000499963814;-7.9452386;-7.4834085;-7.0673246;-7.1868715;-7.450736
ZINC000351666090;-6.769889;-6.994919;-6.7800403;-6.9849186;-6.979668
ZINC000500474082;-7.136297;-7.2770824;-6.6315637;-6.6708875;-7.1038823
ZINC000500474083;-6.6781607;-6.938563;-6.787006;-7.017802;-7.2003827
ZINC000747733632;-7.7391853;-8.167004;-7.543874;-7.7043366;-7.7041245
ZINC000353436804;-7.367775;-7.252512;-7.223331;-7.6510267;-7.3555512
ZINC000500856161;-7.793967;-7.445335;-7.429636;-7.0991383;-7.367506
ZINC000538516847;-7.336364;-7.726903;-8.052563;-7.8969536;-8.114795
ZINC000429720889;-6.957649;-7.4730983;-7.1025257;-7.22492;-6.903159
ZINC000460441385;-8.288902;-8.652736;-8.19567;-8.529239;-8.3289385
ZINC000341338138;-7.5921974;-7.6943536;-7.4526043;-7.965699;-7.4849653
ZINC000502029090;-8.510521;-8.039248;-7.9401774;-7.9537945;-7.9440694
ZINC001210949105;-7.7715707;-7.5187006;-7.3399525;-7.6615305;-7.558284
ZINC001210950512;-7.044937;-7.067148;-7.1432233;-7.5836473;-7.556214
ZINC001175734651;-7.781862;-7.60169;-7.17126;-7.4302044;-7.2979097
ZINC001210952255;-7.058986;-6.5782485;-6.4677806;-7.0166254;-6.720044
ZINC001175737286;-7.1641726;-7.0184255;-6.4016604;-6.7077637;-6.492526
ZINC000463036303;-7.322095;-7.823583;-7.2749124;-7.3107915;-7.6066513
ZINC000493002183;-7.672514;-7.588647;-7.8395796;-8.163917;-7.8312483
ZINC000559095252;-6.914308;-7.7414603;-7.0903997;-7.294549;-6.967607
ZINC000468518159;-7.5274477;-8.315379;-7.7966666;-7.9162107;-8.004483
ZINC000431246937;-7.690139;-7.412543;-7.401282;-7.723276;-7.67093
ZINC000431246187;-7.848822;-7.60259;-7.4523716;-7.557778;-7.6626763
ZINC000431255323;-7.670459;-7.5221753;-7.2668567;-7.5715656;-7.4909587
ZINC001133070583;-6.848057;-6.4461565;-6.470018;-6.716713;-6.4524055
ZINC001212800270;-7.8774414;-8.013374;-7.9297333;-8.2800045;-8.345822
ZINC000514428352;-7.875252;-8.11793;-7.6039915;-7.52711;-8.020289
ZINC000559144519;-7.4153023;-7.1860743;-7.1389155;-7.4124727;-7.8892603
ZINC000545692531;-8.556705;-8.13142;-7.8940806;-8.608475;-8.235461
ZINC000592146949;-7.1389837;-7.0090055;-7.0757537;-7.134612;-7.2263412
ZINC000463036304;-7.334776;-7.9224997;-7.388637;-7.3162503;-7.592188
ZINC000175860661;-8.74583;-8.343034;-8.4771385;-8.55454;-8.338866
ZINC000504854256;-8.985762;-8.803237;-8.441172;-9.037659;-8.729909
ZINC001175905889;-7.186532;-7.5313783;-7.077881;-7.6177464;-7.544409
ZINC000546313675;-8.763113;-8.918817;-8.597454;-9.036196;-8.731616
ZINC000546327543;-8.725518;-8.579935;-8.284054;-8.86153;-8.2964325
ZINC000592188073;-6.558663;-6.968255;-6.668017;-6.613104;-6.9200025
ZINC000592188075;-6.9013214;-7.4246535;-6.9151316;-7.2329903;-7.210592
ZINC000592187145;-7.0552397;-7.074738;-6.757676;-7.1974297;-7.156269
ZINC000505612494;-7.030038;-7.0362716;-6.6432004;-7.022863;-7.0625725
ZINC000465342983;-7.5376244;-7.5083323;-7.447734;-7.451005;-7.4420457
ZINC000351928931;-7.6058874;-7.449437;-7.2049713;-7.6215587;-7.414777
ZINC000505882579;-8.293136;-8.022579;-8.068486;-8.091894;-8.091412
ZINC000427186351;-7.313677;-7.237665;-7.113782;-7.449448;-7.287883
ZINC000338953517;-7.301866;-7.699409;-7.06182;-7.2258463;-6.957546
ZINC000808070206;-7.4132686;-7.122734;-6.9677544;-6.98995;-7.0632877
ZINC000547106242;-8.250194;-8.158571;-8.056283;-8.587896;-8.40817
ZINC000563441298;-7.9781394;-7.6386147;-7.5851936;-7.5764804;-7.9639077
ZINC000561324900;-6.9513273;-7.218752;-6.9393864;-7.3763638;-7.118165
ZINC000185113958;-8.853857;-8.33089;-8.469858;-8.225586;-8.998863
ZINC000020298614;-6.5941;-6.640174;-6.767693;-6.760827;-6.862379
ZINC000339064194;-6.7997313;-6.9955196;-6.8784943;-7.161798;-7.307522
ZINC000190908051;-8.123981;-8.1025915;-7.8311043;-8.119875;-7.7707405
ZINC000339064192;-6.959905;-7.1733146;-6.769931;-6.7400656;-7.124779
ZINC000507132324;-7.0372853;-7.2521896;-7.4023905;-7.315854;-6.9030747
ZINC000507132323;-7.266931;-7.4369946;-7.0964365;-7.1424556;-7.2190495
ZINC000466589019;-7.305173;-7.1345983;-6.605307;-7.0413284;-7.1987042
ZINC000153446242;-7.016538;-7.1825037;-7.047968;-7.174619;-7.145041
ZINC000352316084;-7.4499955;-7.1346965;-7.375601;-7.1822815;-7.551819
ZINC000339064392;-6.9095707;-7.3851423;-7.040096;-7.3611507;-7.3607197
ZINC000190920248;-7.9440303;-8.139924;-7.5917096;-8.241809;-7.8107195
ZINC000184607334;-6.6418495;-7.1965833;-7.2438674;-7.2506776;-7.1644764
ZINC000339064391;-6.9149036;-7.286935;-6.7791295;-6.600654;-7.0011473
ZINC000339064332;-6.735699;-7.1302834;-6.829254;-7.2823467;-7.221017
ZINC000339064331;-7.026539;-6.8504767;-6.777831;-7.047347;-7.0520988
ZINC000352358009;-6.763501;-6.7064657;-6.9246917;-7.303453;-7.1336703
ZINC000347388646;-6.869156;-6.805604;-6.856929;-6.860646;-6.810643
ZINC000507245407;-7.217017;-7.4209843;-6.6540966;-6.7956176;-6.7928276
ZINC000794123595;-7.894634;-7.24797;-6.9782553;-7.123707;-7.2770357
ZINC000588080171;-8.407503;-8.136807;-8.20927;-8.333273;-8.232102
ZINC001225666104;-7.3152695;-7.366059;-7.6840744;-7.769203;-7.702256
ZINC001225666104;-7.281371;-7.264646;-7.284688;-8.034336;-7.7824316
ZINC001225668127;-6.330227;-6.974761;-6.272558;-6.8387794;-6.852587
ZINC001225668132;-6.3041306;-6.795851;-6.3040442;-6.810918;-6.797196
ZINC000435683997;-6.2584343;-6.61719;-6.423405;-6.827814;-7.105743
ZINC001176360390;-7.3289266;-7.293774;-7.6734686;-7.6384807;-7.671445
ZINC001176364054;-6.924963;-6.629825;-6.772235;-6.61812;-6.795184
ZINC000173054390;-7.737675;-7.6375704;-7.525197;-8.087612;-7.6060123
ZINC000571889865;-6.6131945;-7.3297462;-7.1738048;-6.9594674;-7.3358054
ZINC000436241471;-7.1960745;-7.5955443;-7.0037117;-7.019488;-7.246714
ZINC000436241470;-7.1030836;-7.725876;-7.0463977;-7.0171905;-7.11378
ZINC000190350145;-8.184814;-7.867919;-8.000122;-8.108592;-7.6582394
ZINC000436265990;-7.237171;-8.076908;-7.417815;-7.236696;-7.312372
ZINC000436265988;-7.0349255;-7.6377883;-7.552133;-7.1182427;-7.4464674
ZINC000136899822;-6.8040876;-6.8521185;-6.451483;-7.169856;-6.6840324
ZINC000255071056;-7.24535;-7.5964255;-7.181636;-7.758001;-7.558883
ZINC000778840817;-7.811971;-8.074487;-8.024959;-8.21068;-7.9398317
ZINC000778840816;-7.422712;-7.9626727;-7.8372955;-8.228477;-7.773601
ZINC000436472983;-7.1184387;-7.701268;-7.285946;-7.464647;-7.3790727
ZINC000436559748;-7.3824015;-7.2230754;-7.258848;-7.353316;-7.114683
ZINC000469047713;-7.017648;-7.5662413;-7.164703;-7.243064;-7.4002533
ZINC000175006204;-7.6987057;-7.8943367;-7.7227764;-7.7673736;-7.646677
ZINC000338411149;-7.038929;-6.8426023;-6.886319;-6.9294643;-6.8170004
ZINC000477432668;-7.042271;-7.009017;-6.6768265;-6.8961334;-6.805799
ZINC000436702092;-7.669712;-7.223465;-7.179421;-7.544197;-7.7297807
ZINC000436834728;-8.632555;-8.815158;-8.502967;-8.810112;-8.783616
ZINC000063803380;-6.6066217;-6.93967;-6.8844624;-7.1946983;-7.1213737
ZINC000436876269;-7.8949614;-8.330267;-7.6344953;-8.608817;-8.044235
ZINC000549343004;-7.11675;-7.7711315;-7.1636944;-7.477145;-7.401554
ZINC000549343009;-7.018173;-7.531528;-7.012463;-7.617841;-7.6278887
ZINC000436906298;-8.574288;-8.376985;-8.121897;-8.64816;-8.232949
ZINC000345028398;-7.384511;-7.06975;-7.1172147;-7.6175113;-7.4133024
ZINC000436949363;-7.5568924;-7.4806623;-7.4948974;-7.550669;-7.710905
ZINC000436976118;-7.089194;-7.1778526;-7.0728188;-7.1893315;-7.456543
ZINC000569990518;-7.261495;-7.1314764;-7.5015135;-7.2193623;-6.622267
ZINC000569990517;-7.2190995;-7.34412;-7.0272646;-6.8701687;-7.140596
ZINC000604033421;-8.039003;-8.195789;-8.4179325;-8.334639;-8.235428
ZINC000604033162;-7.957271;-7.7358236;-7.78111;-8.13691;-7.861841
ZINC000261367118;-7.1353545;-7.198638;-6.7863207;-7.0884414;-7.1470194
ZINC000128656575;-6.872277;-7.1031346;-6.9438996;-7.1501293;-7.301886
ZINC000604058025;-7.942956;-7.9224067;-7.9117517;-8.076468;-7.9256983
ZINC000339066484;-7.1814923;-7.2388935;-6.840365;-7.295655;-7.1645455
ZINC000339066483;-6.5806413;-7.295883;-6.639379;-7.3046465;-7.077036
ZINC000416409735;-7.6436324;-7.852242;-7.404767;-7.632025;-8.168702
ZINC000604056900;-8.486521;-8.292922;-8.228172;-8.3528;-8.077247
ZINC000764552940;-7.298354;-7.592106;-7.8024793;-7.6024375;-7.680868
ZINC000470280590;-7.6590357;-7.355401;-7.492499;-7.2256055;-7.44021
ZINC000470280589;-7.757549;-7.3065343;-7.466826;-7.1974936;-7.441455
ZINC000470443464;-7.6144605;-7.822575;-7.977658;-7.519116;-7.7808437
