name;01;02;03;04;05
ZINC000003317501;-7.68836;-7.480074;-7.450943;-7.49322;-7.3096204
ZINC000003328145;-6.89532;-7.0071735;-6.503822;-6.8954563;-6.693031
ZINC000003330598;-6.635152;-6.7891836;-6.72025;-7.1845784;-7.1013703
ZINC000003329798;-6.158107;-6.654127;-6.4421954;-6.7211204;-6.3151464
ZINC000048652272;-6.604248;-6.9669733;-6.6241956;-6.945654;-6.8255687
ZINC000015833164;-7.8071837;-7.5283346;-7.571783;-7.625354;-7.6445785
ZINC000048653321;-6.579731;-6.65635;-6.9022455;-6.9105883;-6.519562
ZINC000015933449;-6.5013175;-6.5464897;-6.4978414;-6.554674;-6.6281533
ZINC000015933428;-5.884886;-5.8728976;-5.554482;-5.8910384;-5.9680543
ZINC000015933430;-5.7736216;-5.5475082;-6.0863433;-6.039612;-6.13199
ZINC000015933451;-6.706236;-6.6533704;-6.506015;-6.5948477;-6.7096767
ZINC000016097171;-7.845256;-7.8946457;-7.4898252;-7.7440424;-7.627249
ZINC000016101231;-6.603815;-6.5660925;-6.4725595;-6.826005;-6.7017093
ZINC000016130543;-6.570431;-6.199328;-6.367274;-6.8003902;-6.7586374
ZINC000056687087;-6.4649124;-6.563784;-6.3841968;-6.713923;-6.4673605
ZINC000056678304;-6.909187;-6.836922;-6.768736;-7.1145196;-7.263158
ZINC000056696599;-6.6974072;-6.9167185;-6.6548157;-6.812583;-6.4663706
ZINC000003581622;-6.792653;-6.895106;-6.786454;-6.9638643;-6.777086
ZINC000003771727;-6.8633604;-6.8248253;-6.872516;-6.694201;-6.9117064
ZINC000003771728;-6.8683457;-6.825879;-6.874461;-6.696706;-6.9171357
ZINC000072147797;-6.2845516;-6.3010206;-6.055349;-6.3410172;-6.502835
ZINC000003906925;-6.579807;-6.7600436;-6.7378607;-6.6937504;-6.9538617
ZINC000003984263;-7.111811;-7.103053;-7.0296116;-6.966652;-7.15666
ZINC000004026533;-6.9559507;-7.009257;-7.1138844;-6.981987;-7.2681494
ZINC000017031250;-7.053271;-7.2951536;-7.0551405;-7.060339;-6.6795254
ZINC000017032394;-6.287479;-5.891145;-6.144781;-5.8352704;-5.922
ZINC000017032396;-5.907973;-5.7681994;-5.478005;-5.9905734;-5.9522567
ZINC000017054487;-5.678666;-5.7145467;-5.468772;-5.582078;-6.037558
ZINC000017054430;-7.0587635;-7.281916;-7.3486395;-7.0544295;-7.147703
ZINC000004112622;-6.8449497;-7.111037;-6.778081;-6.432557;-6.7345862
ZINC000004121607;-7.530111;-7.89058;-7.478737;-7.7672873;-7.3987536
ZINC000004169829;-7.1960545;-7.5257297;-7.3128448;-7.138652;-7.495446
ZINC000018107208;-7.567354;-7.2025123;-7.3970604;-7.2515864;-7.1672506
ZINC000004313804;-6.5166397;-6.860549;-6.6934624;-6.978202;-6.8567133
ZINC000004320252;-7.1758065;-7.728779;-7.470704;-7.2358456;-7.483227
ZINC000018182719;-6.72868;-6.702243;-6.7899895;-6.3600836;-6.8486032
ZINC000012787568;-6.922663;-6.788798;-6.9363337;-7.17532;-6.927861
ZINC000004642589;-6.626706;-6.618017;-6.979294;-6.611512;-6.955126
ZINC000004662712;-6.652894;-6.751481;-6.4216366;-6.587204;-6.480565
ZINC000004662713;-6.6466475;-6.7521396;-6.4236584;-6.5851145;-6.478748
ZINC000041091292;-7.4472294;-7.4243317;-7.250851;-7.4568415;-7.1823945
ZINC000004974702;-6.0627623;-6.255005;-5.862797;-6.460021;-6.288215
ZINC000005045068;-7.6321774;-7.7862215;-7.5736666;-7.396687;-7.3779716
ZINC000254377870;-6.169367;-6.3236537;-6.1183815;-6.3880715;-6.103343
