name;01;02;03;04;05
ZINC001239651694;-7.4301376;-7.462615;-7.3006296;-7.378764;-7.225484
ZINC001244590663;-5.5053673;-5.398663;-5.726632;-5.466052;-5.6504064
ZINC001244612337;-5.646674;-5.981583;-5.758068;-5.7673917;-5.763954
ZINC001244612331;-5.9716477;-6.1813736;-6.4626007;-6.111865;-6.295767
ZINC001244614260;-5.979515;-6.0690246;-5.963284;-5.663868;-5.988419
ZINC001244614721;-5.567973;-5.902271;-5.7152495;-5.6545763;-5.8306494
ZINC001244614225;-5.963701;-6.437894;-6.1672287;-6.27224;-6.334242
ZINC001241348806;-6.016162;-6.2097063;-5.9297066;-6.1786823;-6.307687
ZINC001241349246;-5.806085;-6.35198;-5.8593946;-6.0849986;-6.3926673
ZINC001244738414;-6.2434425;-6.5866814;-6.373123;-6.4780164;-6.326687
ZINC001211624358;-6.4767685;-6.301216;-6.1866674;-6.73225;-6.328394
ZINC001244838409;-6.4636054;-6.913362;-6.561655;-7.0338306;-6.9846153
ZINC001245675598;-5.7707996;-6.2746935;-5.940669;-6.4623694;-6.3297753
ZINC001244989235;-7.834589;-7.3482246;-7.67102;-7.705389;-7.374839
ZINC000036891067;-7.034895;-7.61541;-7.109248;-7.016957;-7.49602
ZINC001209902772;-6.152443;-6.106502;-6.505967;-6.1884947;-6.0679293
ZINC001209902612;-6.1558847;-6.219509;-5.845474;-6.194127;-6.042474
ZINC001209902830;-6.3147287;-6.1658745;-5.757514;-6.1245303;-6.131213
ZINC001241611371;-6.753511;-7.049033;-6.4777074;-6.782485;-6.347432
ZINC001245097645;-6.036454;-6.706172;-6.2422037;-6.594005;-6.488438
ZINC001239891281;-6.261274;-6.240119;-6.5989194;-6.259935;-6.5710373
ZINC001239895416;-7.13147;-7.037756;-6.9787197;-6.918208;-6.9938135
ZINC001245299391;-6.708384;-6.204894;-6.178632;-6.80241;-6.491951
ZINC001245299478;-6.701027;-6.5327992;-6.4053864;-6.9501557;-6.673519
ZINC001245318379;-6.60957;-6.4910145;-6.577639;-7.0551267;-6.6949463
ZINC001245318126;-6.8460827;-6.7737913;-6.8507276;-7.166712;-6.998643
ZINC001205052153;-6.396768;-6.7033396;-6.548728;-6.713364;-6.1555147
ZINC001215273834;-6.002847;-6.149522;-5.782133;-5.933245;-5.915614
ZINC001215279078;-5.89688;-6.0676594;-5.6392627;-5.960561;-5.9398255
ZINC001175157585;-6.05169;-6.172641;-6.0176287;-6.575747;-6.354636
ZINC001215283608;-6.0560346;-5.915435;-6.0953927;-5.8850765;-6.4061193
ZINC001245373435;-5.8030896;-6.217367;-5.864145;-6.2779493;-6.119557
ZINC001212513165;-5.954709;-5.9336433;-5.5303645;-5.922392;-5.654257
ZINC001212514111;-5.783234;-5.8333974;-5.350929;-5.9992766;-5.6267877
ZINC001212516113;-5.9467387;-5.851623;-5.8392305;-5.906707;-6.142646
ZINC001236548826;-6.1381044;-6.569562;-6.3518;-6.698209;-6.3883567
ZINC001210242353;-6.601848;-6.7472525;-6.498726;-6.882493;-6.8425064
ZINC001241829295;-6.6013117;-6.4776254;-6.464752;-6.8240066;-6.5967493
ZINC001241828549;-6.7132473;-6.670509;-6.6782246;-6.8525376;-6.9260645
ZINC001210260156;-6.434965;-6.396596;-5.872833;-6.249321;-6.3984666
ZINC001210260235;-6.3691034;-6.314825;-6.239312;-6.102009;-6.2702584
ZINC001210257476;-6.252512;-6.58907;-5.9032264;-6.371314;-6.296175
ZINC001170936335;-6.701555;-6.9405575;-6.801308;-6.819682;-6.8540754
ZINC001203324322;-5.671635;-5.8237095;-5.494929;-5.775182;-5.635128
ZINC001241874088;-6.8266625;-6.533118;-7.0460954;-6.8591995;-7.0118213
ZINC001175219894;-6.4573154;-6.4183307;-6.2094874;-6.6382723;-6.366455
ZINC001170412508;-6.8302913;-6.855971;-7.012475;-6.788713;-6.8746104
ZINC001170412509;-6.8364987;-6.8611217;-7.018311;-6.7862206;-6.8740273
ZINC001241901052;-6.266021;-6.8937774;-6.506084;-6.4975915;-6.563871
ZINC001161990910;-6.0940566;-6.0230975;-6.077591;-5.822396;-6.236024
ZINC001215463765;-5.9932976;-6.1859546;-5.8700166;-6.041195;-5.9034157
ZINC001215467843;-6.1176023;-6.1326985;-5.7242627;-6.026713;-5.977087
ZINC001215468939;-6.026822;-5.8268685;-6.1894507;-5.938037;-5.869847
ZINC001241937544;-6.973291;-7.0747557;-7.274742;-7.204523;-7.1788225
ZINC001239993740;-6.867218;-6.701248;-6.916815;-6.923131;-6.9197006
ZINC001162172505;-6.793355;-6.7450175;-6.6406236;-6.29373;-6.905451
ZINC000564346589;-6.942723;-6.234199;-6.7398763;-6.743851;-6.3238173
ZINC001242084135;-6.371889;-6.1841326;-6.482063;-6.1776032;-6.5128036
ZINC001162292528;-5.669719;-5.808156;-5.741732;-5.6838994;-5.7759256
ZINC001242094238;-6.7333894;-6.633258;-6.763857;-6.6540446;-6.702175
ZINC001240025774;-6.644418;-6.7102137;-6.889634;-6.7960773;-6.8499665
ZINC001175321674;-5.963382;-5.873231;-5.8766584;-6.319872;-6.377298
ZINC001175330586;-6.5329986;-6.559169;-6.369717;-6.4310555;-6.5271773
ZINC001175330837;-6.5336943;-6.496733;-6.5770764;-7.0111146;-6.817806
ZINC001186153080;-6.874114;-6.723221;-6.89952;-7.072229;-7.0592694
ZINC001186153169;-6.554619;-6.530528;-6.6737757;-6.6768117;-6.870966
ZINC001242128469;-5.549458;-5.938963;-6.3283744;-5.900045;-5.9435244
ZINC000436594850;-6.7837524;-7.20916;-6.9250064;-7.0924687;-7.2584205
ZINC001242161006;-6.4474726;-6.4166555;-6.3726454;-6.3186865;-6.574937
ZINC001242161726;-6.270715;-6.364152;-6.477112;-6.5503707;-6.421142
ZINC001242161515;-6.139583;-6.346129;-6.2384315;-6.1939354;-6.2541933
ZINC001242163848;-7.3412642;-6.8643627;-7.034377;-6.4705873;-6.9850283
ZINC001168484829;-5.572383;-5.7344556;-6.1074963;-5.765895;-5.836762
ZINC001168484824;-5.567728;-5.7335124;-6.1032352;-5.761738;-5.8358927
ZINC000436774190;-6.0202436;-6.091804;-5.9906616;-6.438711;-6.388234
ZINC000436774189;-6.553443;-6.5043507;-6.4632688;-6.991296;-7.1323233
ZINC001240054314;-6.677554;-6.6571875;-7.0945077;-6.451658;-6.637421
ZINC000436914143;-7.199171;-7.2817774;-6.965867;-7.190357;-7.4687953
ZINC001240059355;-7.3620276;-7.2003293;-7.326985;-7.0267262;-7.2190647
ZINC000436914142;-6.58323;-6.4675694;-6.366399;-6.786901;-6.5770445
ZINC001245637602;-5.798223;-5.9401803;-5.8512607;-6.103637;-6.0397015
ZINC001245636965;-5.7677307;-5.667709;-5.676565;-6.075823;-5.8055425
ZINC001215693960;-6.2371726;-6.1786256;-6.1091213;-6.496621;-6.251541
ZINC001240083372;-6.984903;-6.9968343;-7.4378314;-7.073497;-7.162257
ZINC001245665501;-7.1709137;-7.235685;-6.903818;-7.120529;-7.481494
ZINC001162639433;-6.3835483;-6.2968755;-6.408354;-6.4030285;-6.2780476
ZINC000584422442;-7.5192;-7.1729364;-6.893168;-7.238857;-7.2005596
ZINC001245687454;-6.2279825;-6.632473;-6.584794;-6.6269083;-6.2677264
ZINC001162754469;-5.5255184;-5.898905;-5.7187705;-5.6102133;-5.661452
ZINC001242379157;-6.4998918;-6.444821;-6.3966603;-6.7038345;-6.473584
ZINC001242379524;-6.6617603;-6.7541785;-6.6346726;-6.8178287;-6.719894
ZINC001171108378;-6.848909;-7.2277727;-6.829119;-7.082613;-7.310073
ZINC001242423403;-6.193114;-6.2201552;-6.255955;-5.89783;-6.081111
ZINC001171108379;-6.845402;-7.230125;-6.833515;-7.08464;-7.309616
ZINC000439268026;-7.5824847;-7.789177;-7.296608;-7.228924;-7.756118
ZINC000439267614;-7.513371;-7.5176425;-7.127423;-7.2243505;-7.6706724
ZINC000439271927;-7.4532976;-7.4789104;-7.119005;-7.107304;-7.5006776
ZINC001240207216;-6.346302;-5.7980165;-6.481941;-6.364966;-6.109719
ZINC001162834589;-6.546495;-6.8461356;-6.81163;-6.699887;-6.7522693
ZINC001205095741;-6.2272725;-6.4948816;-6.245741;-6.3856544;-6.3391404
ZINC001205095985;-6.079226;-6.1101027;-6.0357685;-6.3294225;-6.1148443
ZINC001242561180;-5.4116707;-6.3933563;-5.830884;-6.1382;-5.909956
ZINC001240285070;-6.051709;-6.015671;-6.3423166;-6.2282557;-6.328296
ZINC000565236693;-7.4333625;-6.628343;-6.845684;-7.1323547;-6.645965
ZINC001242638717;-6.1218877;-6.0844116;-6.309643;-6.2226973;-6.3869653
ZINC001242641916;-7.0886374;-6.884047;-7.1452327;-7.351497;-7.447916
ZINC000657204956;-6.8832207;-6.2613525;-6.6320496;-6.796021;-6.4347124
ZINC001242672804;-6.232334;-6.596565;-6.673274;-6.1296115;-6.2723107
ZINC001211036964;-6.4628143;-6.2938385;-5.865876;-6.1897273;-6.1357794
ZINC001211038422;-6.3482494;-6.123572;-6.1133122;-6.0729437;-6.1391754
ZINC001211036845;-6.4717684;-6.4452553;-6.032076;-6.2159004;-6.0914874
ZINC001245776008;-6.08378;-6.2923374;-6.064718;-6.1649776;-6.0267363
ZINC001167721057;-5.8444285;-6.3995233;-6.247699;-6.1595354;-6.2822437
ZINC001168974334;-6.789903;-6.84703;-6.9920287;-6.6929474;-6.8446155
ZINC001222352263;-6.2521744;-6.8335104;-6.3643594;-6.296147;-6.2619295
ZINC001222361181;-5.7433147;-5.6946387;-6.1361094;-5.840295;-5.908918
ZINC001242854191;-6.588638;-6.775613;-6.7688503;-6.6510916;-6.422561
ZINC001234332213;-6.25646;-6.5681825;-5.9603863;-5.929031;-6.352569
ZINC001234333848;-6.310391;-6.6961093;-5.81284;-5.90132;-6.2735786
ZINC001234333505;-6.102316;-6.422858;-6.0279737;-5.688987;-6.29524
ZINC001234336166;-6.7696896;-7.2114983;-6.79529;-6.5987225;-7.2912574
ZINC001234333165;-6.488278;-6.947675;-5.8722243;-6.040371;-6.5440497
ZINC001234332217;-6.14925;-6.58332;-6.1942997;-6.3318477;-6.67065
ZINC001234336165;-6.442052;-7.1359463;-6.7148075;-6.6149545;-7.367397
ZINC001234333849;-6.7391596;-6.7662773;-6.265358;-6.3185625;-6.693856
ZINC001234333166;-6.72403;-7.00313;-6.04146;-6.2548656;-6.7148337
ZINC001242873984;-6.281609;-5.9795113;-6.396404;-6.448627;-6.4284973
ZINC001242883904;-6.713261;-6.6472454;-6.6866736;-6.623442;-6.5872545
ZINC001222593413;-6.1846128;-6.966116;-6.4870243;-6.5688987;-6.455268
ZINC001211487976;-5.298377;-5.410783;-5.291209;-5.5804358;-5.4671264
ZINC001245828045;-6.136684;-6.6938763;-6.7804756;-6.5241365;-6.2960978
ZINC001222694214;-6.783197;-6.215157;-6.5598645;-6.7151947;-6.4642644
ZINC001222694611;-6.763657;-6.5053625;-6.9045167;-6.9825487;-7.1221137
ZINC001242981464;-6.3604293;-6.608734;-6.628605;-6.5508785;-6.5422673
ZINC001163950723;-6.4465957;-6.7634454;-7.00227;-6.587298;-6.858237
ZINC000623329437;-6.633623;-7.2010317;-6.9137464;-6.6993947;-7.0091424
ZINC000623329468;-6.7252502;-7.254592;-7.2715397;-6.8379464;-7.215005
ZINC001211964794;-6.673305;-6.7594705;-6.485576;-6.691463;-6.7062254
ZINC001243078552;-5.6626043;-5.7479887;-5.8528337;-5.750551;-5.664498
ZINC001240549378;-7.245141;-7.2403026;-7.007003;-7.5482044;-7.2271705
ZINC001240549747;-7.4652195;-7.44193;-7.22509;-7.534851;-7.570589
ZINC001164051689;-6.787864;-6.524464;-6.907284;-6.794457;-7.195041
ZINC001164051690;-6.82421;-6.370833;-6.921235;-6.6095157;-7.168625
ZINC001211485755;-5.686471;-5.6000214;-5.313636;-5.571256;-5.632697
ZINC001211969512;-6.6232576;-6.368929;-6.407051;-6.887502;-6.8674893
ZINC001240580747;-6.5149393;-6.567897;-6.905588;-6.577403;-6.7105875
ZINC001243157537;-5.2262316;-5.301513;-5.2027225;-5.165881;-5.2557635
ZINC001243160715;-5.083467;-5.1952004;-5.011917;-5.043931;-5.3685627
ZINC001243161300;-5.261058;-5.4933558;-5.3325915;-5.1203737;-5.3434525
ZINC001245884012;-5.8803387;-5.8078275;-6.027404;-5.938818;-5.8789763
ZINC001240585214;-7.126828;-6.8960414;-7.0771685;-6.851965;-7.048955
ZINC001164183487;-5.780244;-5.774317;-6.09332;-5.831494;-5.790023
ZINC001164183486;-5.7809906;-5.7757993;-6.092405;-5.8325324;-5.7961006
ZINC001243195725;-7.007248;-6.927134;-6.5868025;-6.8278913;-6.8066654
ZINC001243195666;-6.905287;-6.631562;-6.384392;-6.8073378;-6.4589763
ZINC001164194406;-6.6444674;-6.6135573;-6.4769926;-6.338932;-6.7298164
ZINC001243204152;-6.285832;-6.2380295;-6.241508;-6.5933685;-6.4747653
ZINC001243205092;-6.3462;-6.1670947;-6.042725;-6.5276446;-6.400545
ZINC001243215281;-6.828359;-6.668234;-6.5077214;-6.745386;-6.6522856
ZINC001243214865;-6.8027964;-6.4663343;-6.262995;-6.7034836;-6.277396
ZINC001176242071;-7.3136177;-7.2373953;-7.4176;-7.2156854;-7.4989815
ZINC001176238077;-7.579831;-7.109168;-7.1320252;-7.2653365;-7.238863
ZINC001176244782;-7.288328;-7.164147;-7.2318377;-7.2017136;-7.6281013
ZINC001176238883;-7.5882006;-7.313546;-7.680998;-7.329636;-7.578024
ZINC001176245242;-7.605933;-7.2215023;-7.23441;-7.144255;-7.422336
ZINC001176244270;-7.4235134;-6.972587;-7.3972955;-7.2502327;-7.3806663
ZINC001176243980;-6.67193;-6.7726207;-7.127904;-6.9397187;-6.928909
ZINC001244906195;-5.451229;-5.6374383;-5.5166664;-5.473207;-5.771532
ZINC001206038521;-6.2305326;-6.184684;-6.1132584;-6.4378033;-6.165611
ZINC001206038523;-6.3392034;-6.4572697;-6.2954597;-6.4749045;-6.4844003
ZINC001243326238;-6.598389;-6.70545;-6.561533;-6.733254;-6.8040867
ZINC001243331566;-6.1408114;-6.132156;-6.627516;-6.4980516;-6.244535
ZINC001235998378;-5.8076324;-5.88259;-5.6022663;-5.9136543;-5.8480644
ZINC001235998840;-5.81666;-5.647216;-5.5266685;-5.9255133;-5.6859527
ZINC001176438782;-5.635308;-5.969532;-5.716449;-5.767939;-5.712929
ZINC001176438910;-6.3559656;-6.5316267;-6.088141;-6.7360125;-6.4020896
ZINC001213627678;-7.0034394;-7.2318153;-6.74723;-6.901449;-7.0999627
ZINC001213590951;-6.584692;-6.7768373;-6.4223914;-6.6760025;-6.5460105
ZINC001216312265;-6.036051;-5.8258743;-5.8877783;-6.2431903;-6.079528
ZINC001213597455;-6.4636526;-6.578558;-7.0083323;-6.722471;-6.4755926
ZINC001213595098;-6.6656723;-6.722159;-6.2985134;-6.587962;-6.6635246
ZINC001245002034;-6.4017763;-6.408141;-6.211435;-6.232126;-6.619335
ZINC001243491876;-7.8618956;-7.3953953;-7.3730106;-7.3731976;-7.2720613
ZINC001243515255;-5.7588873;-5.913317;-5.999642;-6.312375;-6.1572523
ZINC001243515284;-5.7938967;-5.840267;-5.9019465;-6.3458285;-5.987851
ZINC001169794303;-6.0627007;-6.2290564;-6.04273;-5.751404;-6.234803
ZINC001213635346;-6.953698;-6.790348;-6.7339134;-6.4757648;-6.662506
ZINC001213632192;-7.0322895;-7.1600504;-6.5243063;-6.772507;-7.1072164
ZINC001231230076;-7.191474;-7.6688356;-7.262021;-7.163889;-7.638382
ZINC001231230075;-7.195924;-7.9942427;-7.348763;-7.293872;-7.6059117
ZINC001243556233;-5.6500793;-5.5749145;-5.802401;-5.6963553;-5.5476823
ZINC001176587061;-6.9856796;-6.939553;-6.699542;-7.063189;-7.0367527
ZINC001176588092;-6.8873186;-6.8869047;-6.5063834;-7.0060368;-7.060237
ZINC001176590341;-6.7265577;-6.7121162;-6.689171;-6.717533;-6.807277
ZINC001235459381;-7.086514;-7.2428746;-6.8678026;-7.1788015;-7.231646
ZINC001235459521;-6.860274;-6.979803;-6.698904;-7.176405;-6.900664
ZINC001243604943;-6.0289826;-6.0806766;-6.1435156;-6.312302;-6.3417244
ZINC001240890677;-7.0963573;-7.2058983;-7.2137895;-7.3763275;-7.383498
ZINC001206511363;-6.405487;-6.2950206;-6.83339;-6.4363112;-6.5151024
ZINC001176672118;-5.795292;-5.554255;-5.648634;-5.703411;-5.8664865
ZINC001243719239;-6.530146;-6.4599237;-6.3455515;-6.1724234;-6.1906986
ZINC001167758698;-6.341132;-6.420205;-6.4435415;-6.4287252;-6.9248576
ZINC001176712720;-6.2565007;-6.360587;-6.1545897;-6.732701;-6.4767485
ZINC001176715581;-6.1570845;-6.1111755;-5.764928;-6.213255;-6.04383
ZINC001243913897;-4.9817085;-5.21186;-5.3365965;-5.3117075;-5.5764675
ZINC001241001664;-6.60015;-6.571805;-6.473572;-6.7326517;-6.6371922
ZINC001241001545;-6.4873443;-6.3420415;-6.2467604;-6.5716496;-6.5546083
ZINC001241005150;-6.7264476;-7.17395;-6.7789626;-6.8373456;-6.6938505
ZINC001239006375;-6.2002544;-6.1460395;-6.2011557;-6.1527085;-6.385881
ZINC001239017502;-6.754745;-6.843215;-6.862575;-6.849251;-6.923724
ZINC001241033129;-7.442961;-7.0812006;-7.231154;-6.8360744;-6.822154
ZINC001244060526;-6.937951;-7.13516;-6.7704616;-7.0538173;-7.287526
ZINC001239262801;-5.9785757;-5.917942;-5.910942;-6.361324;-6.1442723
ZINC001239262455;-5.963639;-5.98769;-6.0165424;-6.3671384;-6.290227
ZINC000584183460;-7.045097;-6.2843647;-6.706013;-6.723882;-6.38288
ZINC001216681756;-6.4018793;-6.3103237;-5.8554106;-6.2226267;-6.286883
ZINC001216683363;-6.381952;-6.3974214;-6.0104656;-6.2352867;-6.1986084
ZINC001216684131;-6.1481743;-6.531398;-6.3260875;-6.1142044;-6.300678
ZINC001203330067;-5.612427;-5.74864;-5.3090787;-5.821542;-5.6799345
ZINC001203332697;-5.600426;-5.647718;-5.5725985;-5.7041364;-5.4791503
ZINC001235965860;-6.0472636;-6.414213;-6.219462;-6.4685507;-6.2006893
ZINC001244124452;-6.0666533;-6.391622;-6.2202826;-6.67506;-6.273078
ZINC001239353390;-5.6949363;-5.98341;-5.629044;-6.153886;-5.9785786
ZINC001239352308;-5.7980595;-6.1395383;-5.8166203;-6.111012;-6.311783
ZINC001248561470;-6.145028;-6.0054317;-5.721031;-6.4212847;-6.221175
ZINC001244166786;-6.752586;-6.738709;-6.9002395;-6.8371725;-6.508135
ZINC001244189760;-6.8819323;-6.9188867;-6.690952;-6.9960337;-7.0324316
ZINC001244189068;-7.1735735;-7.243912;-6.891436;-7.001073;-7.3252306
ZINC001244197161;-5.66558;-5.6217146;-5.626128;-5.687566;-5.4185867
ZINC001239492424;-7.4401007;-7.35442;-6.9807935;-7.0199137;-7.0438085
ZINC001244267114;-5.2762012;-5.3114414;-5.3074403;-5.573962;-5.555805
ZINC001244274317;-6.580987;-6.495878;-6.485403;-6.812406;-6.554803
ZINC001236061194;-5.561903;-5.5570917;-5.804586;-5.590608;-5.513024
ZINC001244294646;-5.332283;-5.299944;-5.3686247;-5.279811;-5.5866394
ZINC001244296668;-6.562149;-6.7870874;-6.388843;-6.8065114;-7.130253
ZINC001174675524;-6.047481;-6.076782;-5.9825225;-6.0747204;-6.254079
ZINC001174677481;-6.2792296;-6.120624;-5.661774;-6.3557835;-6.4210234
ZINC001174676744;-6.3175793;-6.239069;-5.864338;-6.3587356;-6.4147577
ZINC001174685723;-6.2299333;-5.889351;-5.8785925;-6.1322937;-6.1243415
ZINC001174686602;-6.0745554;-5.832999;-5.8592234;-5.967858;-5.931155
ZINC001174686857;-6.141057;-5.8457475;-5.6295676;-6.1498766;-6.166111
ZINC001241186132;-5.8954916;-6.0589614;-5.7813716;-6.239685;-6.09264
ZINC001241184767;-6.0666914;-6.1940312;-5.9376235;-6.216243;-6.4058905
ZINC001244419397;-6.096802;-6.107561;-6.442621;-6.3246794;-6.259371
ZINC001236126835;-6.06594;-6.326612;-6.2815905;-6.494318;-6.1400065
ZINC001236128433;-6.5996237;-6.725674;-6.8349667;-6.8089805;-6.5562596
ZINC001236163625;-5.596839;-5.7597103;-5.7061696;-5.7057633;-5.834071
ZINC001236159864;-5.914241;-6.3454742;-6.0487933;-6.2193336;-6.2458577
ZINC001236163915;-5.9251842;-6.0236106;-6.3099456;-6.114361;-6.2352386
