name;01;02;03;04;05
ZINC001308455727;-7.524795;-7.4805717;-7.324826;-7.955373;-7.3235683
ZINC001308455727;-7.8725204;-8.113593;-7.32542;-8.325769;-7.5731683
ZINC001236214802;-8.010796;-8.711136;-8.179596;-8.12725;-8.027474
ZINC000775488649;-7.5992765;-7.740511;-7.6042366;-7.471279;-7.5157943
ZINC000775488648;-7.52822;-7.790492;-7.569824;-7.451566;-7.5454335
ZINC000192743417;-7.848423;-7.7680283;-7.6839566;-8.113885;-7.872498
ZINC001473233794;-7.1840367;-7.8344812;-7.5566344;-8.065391;-8.150473
ZINC000192743402;-8.164957;-8.080903;-7.554506;-8.193095;-7.979707
ZINC001236223808;-8.3815975;-7.9088907;-7.5141716;-7.758946;-7.577035
ZINC000297750775;-8.392862;-8.1573105;-7.748227;-7.989276;-8.067458
ZINC000297750770;-8.297408;-8.34964;-7.9313684;-8.097581;-8.170105
ZINC001205297145;-7.48363;-7.2493286;-7.094336;-8.03718;-7.4027615
ZINC001205297144;-7.938192;-7.2365723;-7.343364;-7.939522;-7.0509353
ZINC000775502188;-7.122371;-7.549298;-7.279131;-7.3717813;-7.4185343
ZINC000775502191;-8.130237;-7.7003207;-7.6043277;-7.6334777;-7.5806994
ZINC000775502190;-8.506131;-7.5503216;-7.3894978;-7.6356034;-7.648655
ZINC000775502189;-7.623693;-7.8625507;-7.182253;-7.5123367;-7.6752615
ZINC000183546196;-7.672643;-8.000082;-8.392545;-8.089697;-7.9902954
ZINC000183546169;-7.917818;-7.735605;-7.87155;-8.000143;-7.95758
ZINC000183546160;-7.947669;-8.160096;-7.997263;-8.223774;-7.9685855
ZINC000183546183;-7.9995413;-7.7223015;-7.8677244;-8.337502;-7.7417293
ZINC000808692644;-8.788826;-7.9049997;-8.195809;-8.421005;-7.9167233
ZINC000808685975;-8.37033;-8.166714;-8.193788;-8.028861;-8.133217
ZINC000808692646;-7.9056177;-7.3970137;-8.186268;-8.328947;-7.5370917
ZINC000808685976;-8.388416;-8.0115795;-8.312827;-8.178405;-7.914954
ZINC000808692645;-8.081093;-7.5206747;-8.3188925;-8.18747;-7.7868485
ZINC000808692643;-8.549813;-7.959538;-8.170553;-8.362922;-8.159832
ZINC001199419883;-7.944681;-7.1791434;-7.773579;-7.7254505;-7.2280345
ZINC000794817050;-8.039245;-6.932148;-7.3132124;-7.3789277;-7.361582
ZINC000794817049;-8.619192;-7.078189;-7.5053945;-7.4837275;-7.515544
ZINC000794817051;-7.5793557;-7.4820166;-7.424431;-7.1961894;-7.336617
ZINC000794817048;-7.6609707;-7.0879707;-6.9967585;-6.811809;-7.3203096
ZINC000756429822;-7.7995143;-8.375802;-8.422358;-7.7480316;-8.215446
ZINC000756429817;-7.8942738;-8.401527;-8.753559;-7.861107;-8.108984
ZINC000756428868;-8.075473;-8.430457;-8.47932;-8.338221;-8.398087
ZINC000756432245;-8.180965;-8.09798;-8.158924;-8.573889;-8.308053
ZINC000756429820;-7.568445;-8.498028;-8.295259;-7.9310837;-8.208355
ZINC000756428866;-7.956648;-8.326077;-8.109136;-8.4305935;-8.261958
ZINC000756422894;-8.226275;-8.294521;-8.16444;-8.014713;-7.8783913
ZINC000756432244;-8.186899;-8.10524;-8.431008;-8.326169;-8.217944
ZINC000756432246;-8.210427;-8.120816;-8.556859;-8.383625;-8.2890835
ZINC000756429825;-7.628936;-8.4119005;-8.475741;-8.116804;-8.128631
ZINC000756428860;-7.936635;-8.36961;-8.473776;-8.269081;-8.291543
ZINC000756425324;-8.056107;-8.085654;-7.931846;-8.014725;-7.877948
ZINC000756428870;-7.99017;-8.444719;-8.275193;-8.451805;-8.362309
ZINC000756422893;-8.119888;-8.158287;-7.9726024;-8.037137;-7.920532
ZINC000756425319;-8.295795;-7.931198;-8.032117;-8.179393;-7.850315
