name;01;02;03;04;05
ZINC000003301234;-7.1766534;-7.193329;-7.2299814;-7.288282;-7.0775523
ZINC000003316227;-5.7065763;-5.9246273;-6.1387277;-6.131924;-5.9919147
ZINC000013510055;-7.1507573;-7.3910494;-7.153303;-7.2016096;-7.089558
ZINC000003407827;-7.1972346;-6.782756;-7.004198;-6.8146176;-6.9371557
ZINC000013141329;-8.298934;-8.162416;-7.936068;-8.271043;-8.098346
ZINC000015859798;-7.1757245;-6.9200335;-6.616352;-6.600535;-6.5771565
ZINC000253618173;-7.5293155;-7.4491267;-7.284337;-7.7181187;-7.762584
ZINC000253618174;-6.9329357;-7.071112;-7.0488997;-6.98714;-7.063646
ZINC000015923900;-7.285982;-7.591979;-7.5305514;-7.631071;-7.386887
ZINC000016323278;-7.1988125;-6.701217;-6.952166;-6.946393;-6.8568068
ZINC000003927796;-7.5523567;-7.521867;-7.589472;-7.765178;-7.6576886
ZINC000003925823;-7.7961264;-7.538557;-7.583126;-7.4650865;-7.4958143
ZINC000013920180;-7.0203853;-6.567547;-6.77137;-6.865383;-6.8747106
ZINC000013920373;-7.655238;-7.4296637;-7.3525577;-7.3999233;-7.4500885
ZINC000040447885;-6.0699015;-6.341249;-5.971739;-6.1226373;-6.3408475
ZINC000004091610;-7.0780125;-6.7518363;-6.8384814;-7.0716133;-6.7399335
ZINC000004091615;-7.559704;-7.716863;-7.6488276;-7.3911343;-7.5923243
ZINC000004091612;-7.5105014;-7.4622025;-7.2875857;-7.3183527;-7.51875
ZINC000004091614;-7.488424;-7.445215;-7.2949457;-7.300339;-7.5357327
ZINC000004090752;-5.549558;-5.59232;-5.594709;-5.549534;-5.68756
ZINC000004090750;-5.548886;-5.591755;-5.594241;-5.5505505;-5.688446
ZINC000004115437;-6.055703;-6.0621624;-6.160997;-6.003185;-6.399384
ZINC000004136103;-7.261162;-7.2211227;-6.908994;-7.074336;-7.0845366
ZINC000017173028;-7.1536245;-6.9759235;-6.6465964;-6.917367;-7.0555916
ZINC000004188185;-7.180607;-7.624739;-7.305382;-7.4675097;-7.4649124
ZINC000004252515;-6.983427;-6.847071;-6.530093;-6.765234;-6.6078734
ZINC000018060894;-6.858855;-6.9571233;-6.9701805;-6.762127;-7.323448
ZINC000004279028;-6.8819833;-6.740253;-6.467832;-6.7261887;-6.649209
ZINC000004280789;-6.6817493;-6.692245;-6.618703;-6.586397;-6.6979265
ZINC000018093825;-7.859056;-7.6057177;-7.4499984;-7.4507065;-7.51225
ZINC000014920403;-7.3219714;-7.463336;-7.2546225;-7.3529725;-7.6167874
ZINC000098053029;-6.8861914;-6.7758894;-6.4906754;-7.004982;-6.8991704
ZINC000004348899;-7.9579453;-7.9661145;-7.6540036;-7.6815486;-7.8466754
ZINC000018283659;-6.782762;-7.115493;-6.8429275;-6.740738;-7.1778016
ZINC000012757998;-5.900609;-6.055067;-6.021524;-6.062703;-5.9416122
ZINC000004371672;-6.9364753;-7.0390387;-7.0344353;-7.1057005;-7.183308
ZINC000170612936;-7.9795737;-7.63089;-7.4624214;-7.627578;-7.8541255
ZINC000004587143;-6.426104;-6.8499436;-6.462039;-6.7988787;-6.7989173
ZINC000004587184;-7.6951327;-7.4091787;-7.74935;-7.8084273;-8.119708
ZINC000004582942;-6.9680033;-6.961008;-6.9288626;-6.9175286;-7.0734396
ZINC000004635862;-7.6097736;-7.188232;-6.9665375;-7.0504036;-7.104594
ZINC000013002609;-7.375809;-7.0588555;-6.845611;-7.080723;-7.087912
ZINC000059206873;-3.7096035;-3.567927;-3.7069285;-4.2418056;-3.6205335
ZINC000004689218;-7.5402737;-7.6302614;-7.108941;-7.473312;-7.374357
ZINC000504273606;-6.7021604;-6.705793;-6.680151;-7.1116905;-6.692875
ZINC000004738362;-6.8023868;-6.8005357;-6.524658;-7.016244;-6.9144297
ZINC000004772886;-7.2074456;-7.121209;-7.0675373;-7.0151453;-7.032711
ZINC000004812637;-7.395487;-7.514294;-7.075048;-7.209992;-7.4839964
ZINC000004865563;-6.8794312;-6.846173;-6.6695523;-6.7671604;-6.983176
ZINC000004888931;-6.913027;-7.1968203;-7.8152246;-7.0859914;-7.3095565
ZINC000004900297;-6.823883;-6.735065;-6.4828153;-6.6475167;-6.700202
ZINC000004949894;-7.1271005;-7.037125;-6.7576613;-6.925853;-7.0102143
ZINC000004953409;-7.798852;-7.834282;-7.825797;-7.612594;-8.18556
ZINC000254302626;-7.8832746;-8.007786;-7.438908;-7.4255114;-7.624069
ZINC000004990425;-7.83907;-7.8722734;-7.8161125;-7.6460857;-7.730522
ZINC000005002849;-7.031894;-7.2086463;-7.2871604;-6.960876;-7.4393587
ZINC000005062083;-7.4453278;-7.0429416;-7.03137;-7.3979645;-7.3333006
ZINC000005101601;-6.9499154;-6.627658;-6.8967457;-6.555682;-6.3385653
ZINC000254403505;-7.145102;-6.943361;-7.04882;-7.3999615;-7.1215725
ZINC000000007324;-7.0099573;-6.9976068;-6.5445175;-6.8594093;-6.726736
ZINC000000001055;-6.040232;-6.2118406;-6.2499166;-6.1833544;-6.473954
ZINC000000061233;-7.5138893;-7.6213255;-7.4639792;-7.4145494;-7.4940977
ZINC000000061239;-7.810353;-7.962607;-7.825142;-7.6179686;-7.800279
ZINC000000061241;-8.17931;-8.31359;-8.23545;-7.890817;-8.112101
ZINC000005163305;-8.24662;-7.9926543;-8.197449;-8.306192;-8.653871
ZINC000000067743;-6.859359;-7.262212;-6.8976727;-6.797627;-7.127819
ZINC000254485274;-6.668476;-7.1290064;-6.922441;-7.5002627;-7.268386
ZINC000005195397;-7.6171803;-7.501231;-7.5827465;-7.7927437;-7.744095
ZINC000000095359;-6.345436;-6.442363;-5.62823;-5.9140162;-6.0235333
ZINC000000145111;-6.6724906;-6.68812;-6.592126;-6.764143;-6.9101744
ZINC000000226180;-6.5436683;-6.8771896;-6.6214223;-6.550959;-7.0490947
ZINC000005850362;-6.8527613;-6.875541;-6.5893197;-6.9329214;-6.6610785
ZINC000005377492;-8.227987;-7.781795;-7.8933034;-7.5890083;-7.922059
ZINC000000344949;-7.1567674;-7.461223;-6.9343147;-6.9721045;-7.2004275
ZINC000006174174;-7.7249656;-7.6101418;-7.7306814;-7.185527;-7.60959
ZINC000020841028;-6.780056;-7.1201224;-6.7341676;-6.694625;-7.0191193
ZINC000005488543;-7.2008004;-7.2555976;-7.2404833;-7.5672193;-7.530959
ZINC000005513758;-6.556648;-6.6767197;-6.39719;-6.7708383;-6.5914683
ZINC000005519670;-7.114856;-7.0140376;-6.786049;-7.0139933;-7.3252554
ZINC000000440515;-6.881135;-6.765534;-6.792118;-6.7341175;-6.8913283
ZINC000299738245;-6.963098;-7.003041;-6.7926035;-6.9776964;-7.13936
ZINC000299738338;-7.0697784;-7.188815;-7.0033374;-7.169371;-7.395503
ZINC000299738322;-7.0525184;-7.003182;-6.7432513;-7.0635495;-7.1027
ZINC000005582699;-6.6099505;-6.765943;-6.794085;-6.9774103;-6.641013
ZINC000005605951;-6.464153;-6.3929667;-6.5799875;-6.7229934;-6.7200627
ZINC000005605963;-6.693713;-6.968064;-6.5805664;-6.7298665;-6.878919
ZINC000328593186;-7.0675063;-7.019517;-7.0701833;-6.792333;-6.959926
ZINC000328593187;-6.9797735;-7.1459894;-6.8995266;-6.8066626;-6.893935
ZINC000000559005;-6.4476404;-6.906646;-6.8224487;-6.7546277;-6.657881
ZINC000000559426;-6.8744984;-7.3860083;-6.966613;-7.2700644;-7.449682
ZINC000016431650;-8.559321;-8.563269;-8.624314;-8.37931;-8.642326
ZINC000005665526;-7.3949413;-7.4703174;-7.421843;-7.182003;-7.454172
ZINC000005686831;-7.2456207;-7.3851256;-6.6355414;-7.187814;-7.4053793
ZINC000005737329;-7.684998;-7.669651;-7.3122177;-7.7292867;-7.556901
ZINC000001245484;-7.356111;-7.544553;-7.5361257;-7.3201356;-7.6640854
ZINC000001241985;-7.4704933;-7.4254847;-6.7955704;-6.9390736;-7.1683607
ZINC000001261534;-7.25405;-7.556901;-7.3245993;-7.1268682;-7.471562
ZINC000001294344;-7.1865897;-6.893244;-6.7616777;-6.988465;-7.263334
ZINC000001253866;-7.693693;-7.5674024;-7.345573;-7.508225;-7.536912
ZINC000001306530;-7.456834;-7.219749;-6.900183;-7.147998;-7.2785597
ZINC000001246226;-7.0480475;-7.43645;-6.946229;-6.8545394;-7.3056545
ZINC000005855930;-6.0179906;-5.8169627;-6.18131;-6.074592;-6.2968416
ZINC000005908600;-7.822415;-7.578339;-7.6089854;-7.438978;-7.7236137
ZINC000001969757;-7.673388;-7.637439;-7.4206333;-7.4698477;-7.7391486
ZINC000070029002;-6.6335144;-6.7244363;-6.5533166;-6.667848;-6.6936603
ZINC000002144865;-6.23073;-6.3931947;-6.399247;-6.5224724;-6.502783
ZINC000005968890;-7.7403684;-7.793728;-7.260074;-7.333387;-7.4505424
ZINC000005968169;-7.7552557;-7.4351673;-7.2941356;-7.151047;-7.5317907
ZINC000005969751;-8.038581;-7.834162;-7.802478;-7.48173;-7.785798
ZINC000005981743;-7.5383153;-7.091881;-7.206946;-6.9303102;-7.3175297
ZINC000005998838;-7.623388;-7.5399904;-7.3339252;-7.282998;-7.576922
ZINC000002579995;-6.198597;-6.5667467;-6.2504563;-6.8940496;-6.1699247
ZINC000006238087;-6.986115;-7.3055615;-6.971309;-7.0188956;-7.067823
ZINC000003150075;-6.9854918;-6.976197;-6.783458;-6.5687914;-6.778172
ZINC000253531458;-7.0402365;-7.6918893;-6.920852;-7.1580296;-7.1655397
ZINC000005101273;-7.374357;-7.6803985;-7.4527636;-7.3059263;-7.6233845
ZINC000011769987;-6.573579;-6.8631825;-6.947338;-6.9753137;-6.921525
ZINC000121301103;-6.8734293;-6.5765996;-6.693227;-6.6218057;-6.672245
ZINC000121301269;-6.8734293;-6.5765996;-6.693227;-6.6218057;-6.672245
ZINC000006491272;-7.0007815;-7.0451;-7.289569;-7.1894813;-7.1506
ZINC000003068824;-7.6539974;-7.8362107;-7.8569517;-7.6695843;-7.8370514
ZINC000006519622;-7.3727736;-7.477359;-7.2115254;-7.197216;-7.3487077
ZINC000008654472;-7.434188;-7.5733614;-7.1766844;-7.4638715;-7.451392
ZINC000009109425;-7.3775787;-7.2900324;-7.4672413;-7.1498537;-7.5964603
ZINC000006556824;-7.2386184;-6.9411182;-6.729285;-6.759012;-7.0678577
ZINC000006557720;-7.6174045;-7.82458;-7.3508596;-7.3145065;-7.5782404
ZINC000058982987;-7.2857575;-7.412884;-6.708011;-7.214909;-7.2784967
ZINC000012562565;-7.1566815;-7.313118;-7.413118;-7.2922497;-7.5599804
ZINC000012494077;-7.1566815;-7.313118;-7.413118;-7.2922497;-7.5599804
ZINC000006683649;-7.1139383;-7.3345556;-7.4346046;-7.423449;-6.9923487
ZINC000013119162;-7.725698;-6.8532033;-7.3963437;-7.757789;-7.9289656
ZINC000013548809;-7.7881603;-8.058605;-7.8289013;-7.6866827;-8.067162
ZINC000043796807;-7.022974;-7.0393806;-6.8750124;-7.0378704;-7.220045
ZINC000096792621;-7.027439;-7.5355954;-6.840917;-7.334056;-7.3715487
ZINC000066089571;-7.502412;-6.571971;-6.980705;-6.9733486;-7.078147
ZINC000006788230;-6.4548664;-6.5407424;-6.462055;-6.407837;-6.748456
ZINC000097040510;-6.5087295;-6.593499;-6.7878437;-6.804821;-6.578023
ZINC000017186076;-6.928171;-7.137314;-6.662236;-7.078458;-7.166311
ZINC000002860943;-7.3123784;-7.197447;-7.0703692;-7.332054;-7.5181437
ZINC000013468535;-7.259457;-6.94936;-6.8398724;-7.0010214;-7.0217047
ZINC000033248683;-6.9835553;-7.30055;-6.8898907;-7.348143;-7.077479
ZINC000030730192;-3.9970949;-3.7019057;-3.9362197;-4.3611994;-3.731421
ZINC000000434197;-7.8201804;-7.2914534;-7.2397757;-7.4866185;-7.4081182
ZINC000000059978;-7.9535055;-8.057888;-7.937188;-7.699198;-7.8046117
ZINC000013920631;-7.5219417;-7.1270947;-7.1429734;-7.5452576;-7.301147
ZINC000002163431;-8.24414;-8.141904;-8.0566845;-7.7369633;-7.8441505
ZINC000000059976;-7.9996614;-7.9145527;-7.8193808;-7.768414;-7.842226
ZINC000245224552;-7.296138;-7.4877896;-7.1239243;-7.08558;-7.339223
ZINC000000089137;-7.4043155;-7.239874;-6.946047;-7.157434;-7.111172
ZINC000100034127;-8.199676;-8.455443;-8.098339;-8.080696;-8.3155985
ZINC000100024603;-6.83348;-6.761479;-6.708796;-6.6321125;-7.032321
ZINC000100031294;-7.457251;-7.69297;-7.289434;-7.5571995;-7.6349773
ZINC000100329157;-7.1695704;-7.103676;-7.040199;-7.228358;-7.2031374
ZINC000100324572;-7.3974495;-7.6737967;-7.45976;-7.7720466;-7.4501247
