name;01;02;03;04;05
ZINC000039360897;-6.498426;-6.5771685;-6.579906;-6.903462;-6.6016974
ZINC000016312696;-8.189027;-7.887742;-8.060869;-7.713238;-7.8245087
ZINC000016349026;-7.8773394;-7.693595;-7.542719;-7.5256524;-7.60369
ZINC000016349926;-7.1972146;-7.1992893;-7.012479;-7.02061;-7.2519693
ZINC000003844262;-6.8461494;-6.9969006;-6.5558205;-6.8963733;-7.0350356
ZINC000016524283;-7.0457735;-7.449836;-6.963179;-7.3540936;-7.4196033
ZINC000016958765;-8.0574665;-7.860919;-7.6255856;-7.4947357;-7.7139683
ZINC000016958825;-6.6304336;-6.98273;-6.673663;-7.2244678;-6.7138357
ZINC000016957585;-7.887793;-7.7594137;-7.4456663;-7.6105113;-7.7561207
ZINC000017289629;-6.3286333;-6.9257913;-6.851168;-6.8563137;-6.739041
ZINC000011893022;-8.569377;-7.9154315;-7.989425;-8.097298;-7.8301783
ZINC000004277065;-7.0324593;-6.911787;-6.786317;-6.8524213;-6.9668226
ZINC000004366261;-6.7260327;-6.7680407;-6.5261917;-6.7164288;-6.546153
ZINC000019075529;-7.0869093;-6.8194594;-6.4072638;-6.592547;-6.648411
ZINC000072320549;-7.1970034;-7.0223393;-6.8989882;-7.24904;-7.1536093
ZINC000072320550;-7.580719;-7.125758;-7.3311706;-7.100638;-7.1682467
ZINC000072320547;-6.931631;-6.9643073;-7.0516796;-7.0746307;-7.1433387
ZINC000072320548;-7.5281467;-7.52478;-7.3171234;-7.3954544;-7.2211037
ZINC000058822415;-7.7782826;-8.077365;-7.692248;-7.7509556;-7.7595015
ZINC000019850068;-7.7403684;-7.793728;-7.260074;-7.333387;-7.4505424
ZINC000020154458;-5.9684124;-5.9833093;-5.9015317;-5.8634787;-6.154202
ZINC000020160485;-6.227891;-6.153679;-6.061743;-6.0550613;-6.3914914
ZINC000143160616;-4.7536554;-4.4316907;-4.549318;-5.3500123;-4.2578745
ZINC000059104763;-6.5254006;-7.0902114;-6.8858104;-6.8035045;-7.081938
ZINC000039557385;-6.7283125;-6.733609;-6.3626246;-6.948784;-6.5478992
ZINC000039557386;-6.7936945;-6.677305;-6.549148;-6.913121;-6.682635
ZINC000409245347;-6.5381913;-7.257663;-7.20735;-6.866066;-6.7752404
ZINC000409217419;-7.1677017;-6.9245296;-6.673515;-6.983437;-6.692913
ZINC000409215888;-6.6929793;-6.4114203;-6.5011287;-6.975659;-6.648732
ZINC000409239267;-6.7097163;-7.0783587;-6.462551;-6.8088684;-6.6250124
ZINC000409240173;-6.5402455;-7.2092733;-7.1145563;-7.0195684;-6.9592223
ZINC000409236595;-6.47513;-6.9462805;-6.2681456;-6.689427;-6.6950874
ZINC000409209167;-6.761763;-6.6418886;-6.6322503;-6.760084;-6.778904
ZINC000409236987;-6.468569;-6.956751;-6.4370894;-6.6733556;-6.8557844
ZINC000409213819;-6.9672923;-6.7988076;-6.7454343;-6.9180574;-6.8549395
ZINC000409213453;-7.902062;-7.618326;-7.6456237;-7.6449385;-7.440781
ZINC000409235231;-6.4081526;-6.6388235;-6.1692677;-6.40831;-6.247181
ZINC000409215847;-7.565633;-7.581542;-7.5668445;-7.4938703;-7.393292
ZINC000409213161;-6.885938;-7.054821;-6.590064;-7.0790215;-6.943004
ZINC000409217007;-6.921065;-6.9212584;-6.8182254;-7.4379616;-7.139556
ZINC000409182880;-7.4023504;-7.3301444;-7.362096;-7.6314497;-7.53282
ZINC000409201095;-6.820767;-6.6318264;-6.433418;-6.82997;-6.77249
ZINC000409176338;-8.034143;-7.9636607;-8.045773;-7.936536;-8.128157
ZINC000409181812;-7.147766;-7.201007;-6.8885145;-7.1383305;-7.039603
ZINC000409180929;-6.7831507;-7.017638;-6.9244576;-7.0493736;-7.2455907
ZINC000409176634;-6.6180587;-6.410183;-6.546317;-6.507882;-6.9549074
ZINC000409182772;-7.2627783;-7.2402005;-6.84333;-7.15699;-7.060227
ZINC000409182250;-7.4308624;-7.2965837;-7.1728115;-7.213956;-7.07681
ZINC000083328006;-6.5422525;-6.8051386;-6.8902774;-6.5318656;-6.500307
ZINC000083328016;-6.559209;-6.522813;-6.769852;-6.3604646;-6.4851656
ZINC000409111819;-8.165973;-8.277336;-8.168767;-8.250846;-8.418194
ZINC000409105601;-6.3528204;-6.3885303;-6.001994;-6.3876195;-6.451175
ZINC000409101694;-7.2003236;-7.5474143;-7.1498837;-7.244307;-7.508787
ZINC000409098852;-5.808601;-6.3767624;-6.0771103;-6.105262;-6.3231106
