name;01;02;03;04;05
ZINC000297288822;-7.2085276;-7.7070985;-6.936886;-7.327903;-7.8864474
ZINC000297288819;-7.2246466;-7.7178817;-7.0812283;-7.4617457;-7.9391346
ZINC000563786326;-7.5813975;-7.7628703;-7.373752;-7.5966554;-7.85043
ZINC000563786325;-7.71082;-7.791785;-7.0791845;-7.585235;-7.655584
ZINC000178649636;-7.5630727;-7.727348;-6.9496255;-7.6886387;-8.225424
ZINC000178649667;-7.662393;-7.7650356;-7.437546;-7.66723;-8.179567
ZINC000178657682;-6.996703;-7.2052393;-7.0544996;-7.4183936;-8.122279
ZINC000178657668;-7.383733;-7.0939407;-6.5825796;-6.951374;-7.5370965
ZINC000559303493;-8.756206;-8.422472;-8.088969;-8.211175;-8.122424
ZINC000180247025;-7.4941363;-7.926788;-7.2169323;-7.70947;-8.418724
ZINC000180247005;-7.530589;-7.9230056;-7.474331;-8.042475;-8.50599
ZINC000180247046;-7.515926;-8.115857;-6.952066;-7.946751;-8.370643
ZINC000180246992;-7.6423817;-7.6723175;-7.1047077;-7.6952643;-8.048419
ZINC000180735280;-7.6922016;-7.6383033;-7.7552657;-8.044938;-8.159071
ZINC000180735297;-7.4978;-7.7829995;-7.343543;-7.9534984;-7.8981934
ZINC000071307605;-7.6971493;-7.88768;-7.6777315;-7.960055;-7.925913
ZINC000071307617;-7.960038;-8.179659;-7.8878083;-8.009019;-7.8774405
ZINC000071307603;-7.638063;-7.823156;-7.289999;-7.8566923;-7.614481
ZINC000071307615;-7.724689;-8.07295;-7.631807;-7.9048963;-7.628789
ZINC000563901169;-7.2243457;-7.6152706;-7.183243;-7.6806955;-7.4815736
ZINC000182635141;-8.039723;-8.1947775;-7.917888;-8.075983;-8.140451
ZINC000182635124;-8.058673;-8.169771;-7.8899117;-7.936789;-8.495799
ZINC000461083864;-7.70952;-7.3947926;-7.624853;-7.772715;-7.977727
ZINC000461083862;-7.616935;-7.421946;-7.406788;-7.7020664;-7.7559047
ZINC000409839337;-7.088823;-7.6923833;-6.8173556;-7.544979;-7.7743134
ZINC000409839338;-7.374787;-7.5359907;-7.0115185;-7.4861283;-7.9169364
ZINC000409894128;-7.189063;-7.113771;-6.766491;-7.179599;-7.2598987
ZINC000409894127;-6.658797;-7.538717;-6.7656755;-7.24743;-7.072052
ZINC000428872973;-6.662778;-7.0771194;-7.097522;-7.249059;-7.6487107
ZINC000428872970;-7.1983805;-7.114949;-7.028247;-7.4564533;-7.654795
ZINC000429232929;-6.7340603;-7.598824;-7.2666044;-7.553913;-7.003266
ZINC000544349643;-7.638691;-7.3274;-7.3307743;-7.188823;-7.0797176
ZINC000544349642;-7.5114503;-7.5350657;-7.4788685;-7.0954947;-7.354959
ZINC000193895291;-7.689165;-7.7506504;-7.4684734;-7.961959;-8.4018345
