name;01;02;03;04;05
ZINC000003335983;-6.999213;-7.250661;-7.1045475;-7.3684444;-7.088353
ZINC000003633815;-8.435669;-7.9668026;-8.355249;-8.102551;-8.666499
ZINC000003633812;-8.438394;-7.9676;-8.354279;-8.104153;-8.666684
ZINC000003878659;-6.652964;-6.6491675;-7.339929;-7.6415877;-7.310119
ZINC000003894004;-6.0184264;-6.890861;-6.337764;-6.6637955;-6.6241517
ZINC000004065093;-8.147383;-7.656935;-8.080433;-8.054808;-7.94394
ZINC000004115890;-7.0127563;-7.0373363;-6.8956766;-7.3613195;-7.114679
ZINC000004128065;-6.772884;-6.889779;-6.4501004;-6.66091;-6.8079023
ZINC000077051484;-6.5336957;-6.366218;-6.2832665;-6.9810443;-6.547855
ZINC000004158512;-8.079079;-7.8389993;-7.714631;-7.8160057;-7.9942617
ZINC000004158511;-8.077953;-8.20442;-8.052979;-7.993793;-8.168248
ZINC000004182179;-7.874394;-7.844611;-7.9085507;-7.9082823;-8.2906475
ZINC000091689933;-7.100527;-6.7373443;-6.6625137;-7.259925;-6.9479165
ZINC000004309373;-8.03382;-8.324059;-8.175183;-8.397102;-8.167931
ZINC000004512926;-7.1655917;-7.520413;-7.496404;-7.506723;-7.2148685
ZINC000004613349;-7.841334;-7.872778;-7.9425564;-8.041951;-7.911298
ZINC000004671098;-7.383699;-7.3607407;-7.470076;-7.4382067;-7.5628204
ZINC000004718575;-7.242922;-7.4660163;-7.397211;-7.1985035;-7.4766884
ZINC000004753653;-7.3845115;-7.0425115;-7.063431;-7.3982725;-7.2289457
ZINC000004750906;-7.0901136;-7.0824738;-7.1108036;-7.361521;-7.098762
ZINC000004776248;-6.9934597;-6.536984;-6.4400973;-6.302907;-6.652481
ZINC000004796090;-6.550337;-6.596947;-6.2042265;-6.2614574;-6.543003
ZINC000004831648;-6.8517003;-6.971345;-6.344692;-6.6173778;-6.743714
ZINC000041107659;-7.8108397;-7.9858093;-7.662741;-7.8728538;-7.6986237
ZINC000041107657;-7.813119;-7.9911804;-7.6647816;-7.8728004;-7.70706
ZINC000004877126;-7.1627026;-6.9464626;-7.024984;-7.213215;-7.3346047
ZINC000004958049;-7.346829;-7.470198;-6.9393606;-7.3898077;-7.40372
ZINC000020060081;-7.2831683;-7.5436516;-7.912438;-7.9310217;-7.7837305
ZINC000004989978;-6.6626396;-6.4832773;-6.1753435;-6.2896695;-6.4341335
ZINC000005006292;-7.889151;-7.423168;-7.685278;-7.696104;-7.713963
ZINC000005003279;-6.5329156;-6.581461;-6.409949;-6.7831717;-6.6894407
ZINC000005037761;-7.5654516;-7.315571;-7.264731;-7.4248643;-7.2561564
ZINC000005059857;-7.8824472;-8.14044;-7.7612576;-7.9052672;-7.9174166
ZINC000005129252;-7.200591;-6.8427477;-7.577251;-6.9291377;-6.9690104
ZINC000005129255;-7.5114007;-7.002502;-7.6764774;-7.233606;-6.997617
