name;01;02;03;04;05
ZINC000071766994;-8.190423;-7.89261;-7.907032;-7.9072666;-8.327856
ZINC000071767186;-6.9453487;-6.8685846;-6.993988;-6.8498926;-7.1340623
ZINC000071767002;-7.74702;-7.5612845;-8.031682;-7.607203;-7.722269
ZINC000016293588;-7.40505;-7.116559;-7.175005;-7.2160554;-7.3464313
ZINC000016293592;-8.308777;-7.709675;-7.9476213;-8.09276;-8.224506
ZINC000003664707;-7.4991193;-7.8048525;-7.6925783;-7.340021;-7.634736
ZINC000072134145;-6.2096677;-6.4455028;-6.4676013;-6.3714657;-6.453343
ZINC000003861501;-8.091956;-8.013557;-8.055058;-8.063103;-8.300023
ZINC000003876400;-8.33078;-7.474633;-7.6411405;-7.8316364;-8.079089
ZINC000003878353;-8.194877;-8.005689;-7.883156;-8.239625;-8.596044
ZINC000003876467;-8.189617;-7.4126086;-7.757306;-7.7581234;-8.180644
ZINC000003876459;-7.4012976;-7.4254794;-7.175321;-7.047291;-7.3251567
ZINC000003894541;-7.2497387;-7.083311;-7.1853647;-7.052925;-7.284815
ZINC000003900995;-7.8789463;-7.7052608;-7.603755;-7.594197;-7.8523154
ZINC000003907425;-7.1109834;-7.047243;-7.078317;-6.8825917;-7.0237336
ZINC000003907424;-6.990489;-7.088543;-7.0904865;-6.829883;-7.351207
ZINC000003906263;-6.781934;-6.5023246;-6.574689;-7.0067134;-7.135293
ZINC000003907430;-6.9548154;-6.681966;-6.7876973;-6.5998616;-6.7165384
ZINC000003907429;-6.9751077;-6.776592;-6.7081385;-6.5894785;-6.9957943
ZINC000003906261;-6.9678535;-6.7208767;-7.007028;-6.915331;-7.3057156
ZINC000003906254;-7.3219957;-6.605739;-6.868597;-6.8660154;-7.302671
ZINC000003906250;-6.966003;-6.641942;-6.909865;-7.1825;-7.0928884
ZINC000003909769;-6.857352;-6.161271;-6.4034705;-6.557495;-6.4921627
ZINC000003909758;-6.9358087;-6.9348326;-7.024474;-7.0117064;-6.812476
ZINC000016892120;-6.1383114;-6.7399454;-6.528087;-6.5862503;-6.674676
ZINC000004015220;-8.34015;-7.8603363;-7.6704884;-8.158775;-7.8665457
ZINC000004016621;-7.6707706;-7.387945;-7.5258584;-7.490309;-7.6959715
ZINC000004031937;-7.5210094;-7.1159024;-7.07072;-7.2555165;-7.412057
ZINC000004048212;-7.5292296;-7.25326;-7.4634085;-7.427617;-7.498918
ZINC000017062569;-6.1357136;-6.4196167;-6.425162;-6.531573;-6.366242
ZINC000017062565;-6.1471725;-6.3665533;-6.2646465;-6.3742313;-6.554522
ZINC000017062555;-6.3690877;-6.6426044;-6.5561504;-6.6749873;-6.56571
ZINC000017062621;-6.2473903;-6.55222;-6.53406;-6.2342477;-6.533531
ZINC000017062551;-6.3194385;-6.3544145;-6.2911396;-6.5532107;-6.5094967
ZINC000017062567;-5.998358;-6.6129284;-6.414562;-6.503612;-6.3895016
ZINC000004117443;-6.902424;-6.2622175;-6.6785145;-6.6102886;-6.7327766
ZINC000004117446;-7.336854;-7.405775;-7.2410707;-7.397324;-7.4426985
ZINC000004117447;-7.0964465;-6.885781;-6.833567;-6.673623;-6.871821
ZINC000004117444;-7.121477;-7.096991;-6.9377766;-7.0447054;-6.971665
ZINC000017161631;-6.664479;-6.572418;-6.7806835;-6.907107;-6.8499117
ZINC000017162398;-5.7604647;-6.5498447;-6.1630783;-6.3973494;-6.2219152
ZINC000004140601;-7.0018606;-6.439116;-6.660468;-6.721121;-6.951277
ZINC000004140603;-7.658842;-7.5905766;-7.551345;-7.8543873;-8.107377
ZINC000004168302;-7.3977585;-7.1827283;-7.4350324;-7.5729566;-7.5471315
ZINC000004168282;-7.524822;-7.4016647;-7.5455937;-7.7468176;-7.6980352
ZINC000004172137;-6.781825;-6.3829083;-6.885815;-6.6560926;-6.6321406
ZINC000018020828;-8.2789755;-7.816592;-7.7710485;-7.9459834;-8.126263
ZINC000018060107;-7.186785;-7.3873467;-7.146467;-7.133165;-7.6252394
ZINC000018084745;-6.498978;-6.6415462;-6.6118393;-6.5174828;-7.0348186
ZINC000018080707;-7.5637994;-7.745616;-7.3319626;-7.347124;-7.8196793
ZINC000004290248;-6.389426;-6.4645553;-6.488619;-6.6797824;-6.085609
ZINC000004300429;-6.940643;-7.1872916;-6.730529;-6.899584;-7.2160206
ZINC000004300917;-6.146414;-6.100978;-6.214252;-5.9004183;-6.425309
ZINC000004299969;-7.198664;-6.878321;-6.75301;-6.5737042;-7.032301
ZINC000004309470;-7.591567;-7.853989;-7.6010137;-8.035021;-7.992897
ZINC000004321347;-6.7007585;-6.8210983;-6.819837;-6.96383;-7.0882125
ZINC000004321349;-7.5087333;-7.328426;-7.1720524;-7.262147;-7.6779428
ZINC000004321346;-6.72624;-6.158081;-6.484615;-6.6539493;-6.776451
ZINC000004321348;-7.0920205;-7.5649757;-7.4565954;-7.3842173;-7.62728
ZINC000018194182;-6.870342;-7.141481;-6.743424;-6.703408;-6.925238
ZINC000018194178;-6.877598;-6.8546085;-6.434827;-6.601565;-6.9415
ZINC000018194180;-6.8556128;-7.2074018;-6.6414332;-6.70508;-6.8572807
ZINC000004334129;-7.4396725;-7.1317415;-7.3719187;-7.3155346;-7.6564503
ZINC000004343063;-7.3940573;-7.1736584;-7.5053716;-7.135502;-7.614924
ZINC000004375834;-8.395146;-8.087766;-8.231961;-8.308184;-8.386869
ZINC000004387616;-7.6053786;-7.7131085;-7.4394636;-7.960585;-7.80521
ZINC000004387617;-7.7614975;-7.3232884;-7.3190546;-7.5375237;-7.6493745
ZINC000004387615;-7.6641903;-7.839541;-7.65765;-7.7994685;-7.8790865
ZINC000004387614;-7.898395;-7.5116186;-7.3651686;-7.6074824;-7.709028
ZINC000004390343;-7.4353476;-7.5602884;-7.413283;-7.6840267;-7.7628593
ZINC000004419448;-7.4715223;-7.059671;-7.449222;-6.814593;-7.1081753
ZINC000004450134;-7.0727434;-6.482421;-6.747337;-6.9231043;-7.0694165
ZINC000004450145;-7.18936;-6.6438546;-6.8058915;-6.948821;-7.248646
ZINC000004473129;-7.581867;-7.8462005;-7.931039;-7.5425534;-8.125617
ZINC000004543521;-8.579273;-8.756934;-8.366876;-8.634692;-9.111049
ZINC000004567032;-7.4466186;-6.9348917;-7.298337;-7.770322;-6.9494567
ZINC000004578620;-7.4483204;-7.821431;-7.7926073;-7.708786;-7.93353
ZINC000004582972;-7.545872;-7.646969;-7.614451;-7.8317127;-7.710363
ZINC000004593445;-6.4925694;-6.0424304;-6.283494;-6.3941245;-6.553788
ZINC000004595237;-7.655761;-7.768295;-7.7256107;-7.996941;-8.04604
ZINC000004646929;-7.477295;-7.136471;-7.2638044;-6.9841723;-7.2429295
ZINC000004657157;-6.953455;-7.8310556;-7.464267;-7.5268536;-7.4942484
ZINC000004657155;-6.779804;-6.738904;-6.5405927;-6.4670506;-6.8237987
ZINC000004657156;-6.9883623;-7.6072326;-7.226899;-7.6590996;-7.3610086
ZINC000004657153;-6.685826;-7.315463;-6.5930667;-6.990983;-6.810269
ZINC000004697071;-7.3417325;-6.9486184;-6.9436216;-7.2148657;-7.2922153
ZINC000004697069;-6.887313;-6.1674986;-6.5881386;-6.4327583;-6.619416
ZINC000004697070;-7.0967555;-6.914505;-6.701076;-6.859702;-6.8557014
ZINC000004714265;-7.4632177;-7.305167;-7.397129;-7.40484;-7.607861
ZINC000004713055;-8.096991;-7.986465;-7.754459;-7.8772073;-8.3104925
ZINC000004754976;-7.891587;-7.9492207;-7.7864985;-7.7022767;-8.185193
ZINC000004763529;-7.933142;-8.219642;-8.336322;-8.072333;-8.169202
ZINC000004774722;-6.968465;-7.0913076;-6.8601027;-7.285993;-7.1042423
ZINC000004774737;-6.4238014;-6.1973205;-6.2249193;-6.535321;-6.275934
ZINC000004774733;-6.487959;-6.406235;-6.432076;-6.79495;-6.5502567
ZINC000004774342;-7.3695865;-7.162383;-7.469699;-7.359305;-7.3008533
ZINC000004773279;-7.9135504;-7.508587;-7.970265;-7.966689;-8.033416
ZINC000004774706;-8.309941;-7.5319524;-8.0365505;-7.9616594;-8.035113
ZINC000004773280;-7.7473087;-7.6603503;-7.913807;-7.706069;-7.6356883
ZINC000004774732;-6.6583495;-6.486878;-6.747522;-6.987511;-6.7762647
ZINC000004774392;-7.3784313;-7.3220882;-7.240054;-7.2749586;-7.064877
ZINC000004774730;-6.150378;-5.7825465;-6.1778927;-6.1750116;-6.025607
